date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,其他應付款合計,其他應付款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,半成品,原料,商品存貨,商譽,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,在製品,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付員工紅利,應付帳款,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應付董監事酬勞,應付薪資,應付設備款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,約當現金,累計折舊－其他設備,累計折舊－機器設備,累計折舊－租賃改良,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-08-13,2,2013,29810,247004,,,1644,172256,13547,1321,,9176,9176,28241,28241,,39427,22460,3929,1090,3725,,844,90417,11957,,1321,1321,0,2391,121151,115861,5290,525,0,65043,,,19135,87207,87207,431798,,93650,0,33409,12515,537299,535655,11360,11360,538,538,2839,,539460,2013年06月30日,187254,,23170,6109,997738,997738,0,59750,746120,1704446,2681,,638688,638688,,,368813,35815,9868,1730,1241,75000,16967,17061,489,604503,64930,,,750537,144910,144910,144910,,1748275,,,488,488,7613,9868,293288,,,2681,2681,0,4417,43829,,1334,0,0
2013-11-12,3,2013,28487,339491,,,1418,102231,15487,1018,,12812,12812,32963,32963,,34310,22284,4220,1381,3501,,1659,172761,10176,,1018,1018,1120,1361,189045,187188,1857,542,0,,,,28342,130114,130114,339894,,,5186,43167,10049,619909,618491,7973,7973,533,533,2839,,604503,2013年09月30日,279741,,10612,5007,1089922,1089922,0,59750,636631,1689756,2421,,608365,608365,,,232386,36120,15460,1730,1196,88898,12026,5605,534,604503,51232,,,640851,144910,144910,144910,,1730773,,,0,,6608,15460,142946,,,2421,2421,0,4220,41017,,2140,0,0
2014-02-10,4,2013,25845,434951,,,791,119485,16122,1486,,21991,21991,13742,13742,,34475,20530,796,796,3871,,1256,164055,12690,,1486,1486,2316,1334,225367,220523,4844,483,0,,,,25500,156211,156211,265614,,,6534,61270,10059,485031,484240,13633,13633,992,992,0,,604503,2013年12月31日,375201,,11761,4163,1185850,1185850,0,59750,619863,1771190,2235,,760577,760577,,,272639,50775,5787,1730,1152,80473,13945,7598,578,604503,85239,,,622083,144910,144910,144910,,1807933,,,1424,1424,4792,5787,191683,,,2235,2235,0,2220,36743,,1720,817,0
2014-05-07,1,2014,22127,516166,,,,98654,,1629,1629,9491,9491,20222,,,,,796,,3869,3869,,,,,,,,,372198,,,,,,,,,,192800,214852,,,,,,,541391,,4098,,1872,,,665303,2014年03月31日,456416,,,,2045189,2045189,0,59750,586081,2597487,2024,,,562744,,1094962,,70284,0,,,,,,,665303,,,,587579,862091,,,,2632768,,,702,,7261,,,,,,,,1498,35281,,,,0
2014-08-11,2,2014,23870,305153,,,,105159,,819,819,7753,7753,19695,,,,,796,796,2151,2151,,,,,,,,,492631,,,,,0,0,,,,156075,331714,,,,,,,693890,,37898,,5151,0,,665303,2014年06月30日,208221,,,,1833366,1833366,0,96932,644742,2442766,3251,,,755196,,438305,,44041,0,,,,,,,665303,,,,646166,862091,,,,2479532,,,628,,7494,,,,,,,,1424,36766,,,,0
2014-11-07,3,2014,25635,450182,42080,,,107298,,3765,3765,28320,28320,26151,,3953,,,795,795,57522,57522,,,,24287,,,,,472209,,,,,,0,,,,162857,483477,,,,,,1013335,1013335,,17908,,1181,0,,665303,2014年09月30日,353250,,,,2012818,1981341,0,96932,818934,2714825,28240,,,595765,,546196,,36982,0,,,,,,,665303,,,,821826,862091,,,,2834644,,,2097,,8422,,,,,,,31477,2892,119819,,,,0
2015-02-09,4,2014,50056,365972,49360,120095,,227626,,14143,14143,51877,51877,72422,,702090,,,796,,157472,157472,,,,215375,,,,,991990,,,,,,0,,,,492173,763747,1182,,,,,1963608,1963608,,18245,,2368,,,686803,2014年12月31日,269040,,,,3585326,2414909,0,96932,1643794,3979146,917465,,,163665,,717488,,107189,0,,,,,,,686803,,,,1652128,1347991,,,,5237454,,,7538,,13220,,,,,,,1170417,8334,1258308,,,,0
2015-05-12,1,2015,591301,539698,50400,117765,,200997,,13894,13894,57612,57612,107806,,685708,,,796,796,14537,14537,,,,215375,,,,,916753,,,,,,,,,,490880,688571,36,,,,,1681643,1681643,,27739,,7428,,,686803,2015年03月31日,442766,166036,,,3791542,2588386,0,96932,1604132,4114969,901083,126677,,,,,1196523,,,,,,,,,686803,,5758110,1966568,,1347991,,,5758110,,,,640,,18455,,,,361000,,,1203156,362436,1643141,,,,0
2015-08-11,2,2015,597088,503589,102487,0,,238269,,-4120,-4120,56428,56428,104376,,668809,,,1411,1411,6237,6237,,,,215375,,,,,963711,,,,,,,761755,,,760257,739417,272,,,,,1819518,1819518,,90694,,3378,,,686803,2015年06月30日,379753,107482,,,3506808,2390344,0,123836,1902125,4675105,884184,321779,,,,,1269162,,,,,,,,,686803,,6173996,2667188,,1204072,,,6173996,,920,,977,,11382,,,,,,,1116464,765063,1498891,,,,0
2015-11-06,3,2015,595704,750473,87964,0,,314338,,-8051,-8051,73189,73189,109005,,650652,,,1411,1411,150600,150600,,,,215510,,,,,1066406,,,,,,,711035,,,861338,898947,0,,,,,,2135271,,33570,,3316,,,688757,2015年09月30日,626637,92273,,,3889527,2687197,0,123836,2240085,5226801,866162,320698,,,,,1470571,,,,,,,,,688757,,6847128,2957601,,1256018,,,6847128,,2156,,2914,,7861,,,,,,,1202330,717516,1620327,,,,0
