date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,467826,600570,9235.0,73009,8631,-37,27779,,,,87769,50805,,-37,,,271049,,287502,,3616,177561,0,,167437,799994,2013年03月31日,136818,,,1444227,1434121,0,264489,468953,1371630,,728,199263,,605798.0,5455.0,,71592,799994,,,640432.0,33594,33594,,2084659.0,0,276602,9155.0,83710,7843,0.0,,10106,171479,713029,31989,,,0
2013-08-12,2,2013,,466850,605898,9288.0,146637,17340,8455,31180,,,,88163,51929,,8455,,,293273,,385469,,4447,278232,0,,167437,799994,2013年06月30日,135931,,,1458582,1447941,0,270704,772352,1701118,,629,199263,,760492.0,12596.0,,189000,799994,,,944381.0,33594,33594,,2402963.0,3023,310601,0.0,83866,5712,0.0,,10641,172029,701845,41180,,,0
2013-11-12,3,2013,0.0,464988,676550,9155.0,122408,27100,1625,29504,,,,88294,51288,1742.0,1625,599.0,624.0,397082,,396767,,876,448669,0,87695.0,167437,799994,2013年09月30日,206583,,,1522026,1511763,0,270704,774839,1776812,,530,199263,,631281.0,18902.0,,205162,799994,,,953283.0,33594,33594,,2475309.0,1220,234939,0.0,90150,5099,0.0,47891.0,10263,178444,698497,37741,1031.0,29504.0,0
2014-03-18,4,2013,0.0,465957,795961,0.0,127624,10338,10986,38046,,,,86263,55505,1551.0,10986,599.0,628.0,287522,,269388,5000.0,1696,393909,417,85664.0,167437,799994,2013年12月31日,325994,,,1651237,1640535,0,270704,739033,1878004,,431,199263,,858178.0,37932.0,,259347,799994,,,916474.0,33594,33594,,2567711.0,0,275151,0.0,91178,377,0.0,48483.0,10702,177441,689707,52489,4843.0,38046.0,0
2014-05-13,1,2014,0,456385,837810,0,94779,10833,10707,24342,,,,84122,54573,1307,10707,1049,640,319239,0,239205,0,1995,182748,0,83073,167437,799994,2014年03月31日,367843,,,1692836,1682105,0,270704,697030,1888079,,475,199263,890021,,39626,,297083,799994,,,874490,33594,33594,,2567326,0,436932,0,93338,377,,47880,10731,177460,679247,48306,4746,24342,0
2014-08-12,2,2014,0.0,450623,711723,0.0,261736,8885,342,24656,,,,84533,49893,1041.0,342,1049.0,629.0,234291,0.0,194360,0.0,630,221032,0,83484.0,167437,799994,2014年06月30日,214350,,,1556459,1545653,0,298110,683322,1747066,,3617,199263,828898.0,,18629.0,,183311,799994,,,863446.0,33594,33594,,2419905.0,0,403660,0.0,95591,1269,,46704.0,10806,180124,672839,50300,1519.0,24656.0,0
2014-11-11,3,2014,0.0,450112,752588,0.0,105588,29960,16354,19826,,,,84742,49479,797.0,16354,1836.0,642.0,320745,0.0,304947,30000.0,605,205735,136,82906.0,167437,799994,2014年09月30日,255215,,,1613990,1602530,0,298110,707278,1839763,,3262,199263,820627.0,,296.0,3595.0,246016,799994,,,896989.0,33594,33594,,2510979.0,0,398628,0.0,104969,926,,47705.0,11460,189711,671216,60337,335.0,19826.0,0
2015-03-17,4,2014,,450747,812879,,107653,17891,37063,23511,,,,90178,50109,637,37063,1837,664,277864,0,296148,0,2748,254121,417,88341,167437,799994,2014年12月31日,315506,,,1696019,1683530,0,298110,748060,1977986,,2895,199263,1045776,,7830,,310170,799994,,,953958,33594,33594,,2649977,,307268,,115720,803,,48745,12489,205898,671991,74649,63,23511,0
2015-05-12,1,2015,,443309,859222,,88360,6186,29766,20545,,,,89787,52148,489,29766,1837,654,303869,0,255855,30000,1165,167296,14,,167437,799994,2015年03月31日,361849,8179,,1734807,1722576,0,298110,467921,1746173,87950,2531,199263,,797275,,,63210,799994,2412467,677660,,33594,33594,2412467,,607,385048,,119952,869,,47927,12231,209739,666294,86485,3078,20545,0
2015-08-12,2,2015,,440219,775193,,229105,14264,19958,36440,,,,89196,51267,353.0,19958,1837.0,636.0,305787,0.0,279104,5000.0,288,234745,0,,167437,799994,2015年06月30日,259713,11752.0,,1640403,1628739,0,316217,580260,1775196,87359.0,2368,199263,,724394.0,,,18000,799994,2437411.0,797008.0,,33594,33594,2437411.0,,571,397065,,127552,924,,46949.0,11664,216748,662215,98941,3329.0,36440.0,0
