date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,電腦軟體淨額,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,104.0,42687,42791,985945,506334,0.0,106119,91471,4475,61874,49513,6722,60472,60472,,0,11792,74801,,,69698,,283,711058,711058,0.0,,0.0,213183,229687,211026,862937,165366,165366,11792.0,882469,2013年03月31日,,,1701578,1701578,0,,1366830,1953871,,73951,,,149563.0,31635.0,540315,882469,,,1503116.0,250901,250894.0,250894.0,7.0,,3204694.0,0.0,0.0,24029,10007,100465,27203,4253,136286,1250823,47315,0
2013-08-09,2,2013,0.0,45687,45687,996053,398709,0.0,145054,223624,5196,103653,51694,6007,51136,51136,14771.0,0,11238,64311,,,70107,,289,741862,741862,0.0,,0.0,179256,229698,261060,861329,181385,181385,11238.0,882469,2013年06月30日,,,1635732,1635732,0,,1542636,2002081,,88733,,,161173.0,13423.0,583881,882469,,,1668244.0,250901,250901.0,250901.0,0.0,,3303976.0,0.0,,26077,7744,88293,27597,3855,125608,1301895,36425,0
2013-11-08,3,2013,0.0,63487,63487,984001,441404,0.0,128875,87688,17536,88380,72108,8621,47424,47424,16280.0,0,10684,63842,,,69102,,286,759247,759247,0.0,,0.0,191228,249672,108811,829846,190353,190353,10684.0,882469,2013年09月30日,,,1663154,1663154,0,,1436662,1988513,,88824,,,144107.0,0.0,727155,882469,,,1599624.0,250901,250901.0,250901.0,0.0,,3262778.0,0.0,,24957,8723,127321,27175,3442,162962,1274265,36381,0
2014-02-21,4,2013,0.0,63487,63487,981100,477407,0.0,132131,90752,16679,94109,67211,3724,45283,45283,15751.0,0,11654,61685,,,69651,,291,729537,729537,0.0,,0.0,224380,249724,106980,825515,235462,235462,11654.0,882469,2013年12月31日,,,1704886,1704886,0,,1373279,1958308,,88442,,,105832.0,7505.0,626727,882469,,,1524549.0,250901,,,,,3229435.0,0.0,,28166,7769,111450,27454,3040,151270,1271127,33940,0
2014-05-09,1,2014,0.0,56820,56820,976807,500467,,125554,66938,13613,92491,63202,6382,87923,41263,14846.0,46660,11067,64953,,,71205,,302,711265,711265,,,,218229,249727,106842,858635,186740,186740,11067.0,882469,2014年03月31日,,,1726328,1726328,0,,1321598,1923887,,88687,,65711.0,,13314.0,603346,882469,,,1464207.0,250901,,,,,3190535.0,,,29297,10647,102245,27941,2636,142609,1266648,36710,0
2014-08-12,2,2014,,36820,36820,967513,420667,,127442,178297,4194,88493,42599,5779,79573,46323,13942.0,33250,10480,66037,,,69791,,307,720853,720853,,0.0,,197284,249744,126874,916176,180139,180139,10480.0,882469,2014年06月30日,,,1642530,1642530,0,,1438150,1956277,,86104,,55342.0,,19138.0,624214,882469,,,1572648.0,250901,,,,,3215178.0,,,30978,11805,93040,27121,2371,134498,1258901,38609,0
2014-11-06,3,2014,,43487,43487,964800,478050,,136125,74000,20624,100831,50988,7501,53729,39411,13037,14318,9893,59892,2104,2104,71088,,322,733205,733205,,0,,248359,249761,96120,914300,198125,198125,9893,882469,2014年09月30日,329334,,1712251,1712251,0,148716,1357256,1996336,,85941,0,76353,,16779,621249,882469,,,1541937,250901,,,,,3254188,,,37620,11094,137168,27362,1816,184681,1257852,30104,0
2015-03-10,4,2014,,50153,50153,956302,547659,,144423,104901,21513,120545,56181,6028,64987,50035,12133.0,14952,13035,64189,2061.0,2061.0,73963,,337,657697,657697,,0.0,,120558,249764,192783,1018986,214496,214496,13035.0,882469,2014年12月31日,398943.0,,1801574,1801574,0,148716.0,1399667,2115234,,87512,0.0,137555.0,,30649.0,644546,882469,,,1578673.0,250901,,,,,3380247.0,285.0,,44674,12587,121297,28347,1416,179006,1265013,33444,0
2015-05-08,1,2015,,56820,56820,969635,607843,,147495,84903,18005,118922,60066,3246,74516,59496,11228.0,15020,12466,38684,1894.0,1894.0,73145,,435,703222,703222,,,,232638,249753,106702,991804,176701,176701,,882469,2015年03月31日,459127.0,51579.0,1860135,1860135,0,148716.0,1308808,2071015,12466.0,85375,0.0,,106421.0,,523167,882469,3328628.0,1468493.0,,250901,,,,3328628.0,,0.0,346.0,41795,16424,105424,28055,1002,159685,1257613,8300,0
2015-08-07,2,2015,,63486,63486,955640,548874,,142191,223463,13034,111873,65999,2513,79300,54545,10324.0,24755,13898,38539,1741.0,1741.0,72116,,418,660824,660824,,,,158256,249764,95499,950010,170481,170481,,882469,2015年06月30日,382281.0,35623.0,1794117,1794117,0,166593.0,1313073,2018784,13898.0,83030,,,145135.0,,484021,882469,3253219.0,1459102.0,,250901,,,,3253219.0,,448.0,,42578,15035,89553,27519,590,146029,1234435,8861,0
