date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,375124,,375124,1459058,68861,139137,0.0,0,,58208,,31249,1294,60511,,,394711,19587,8487,53135,123835,,60511.0,529627,529627.0,66509,,,0,329755,3907,3279,439176,86450,10604,60244.0,52751,1160745,2013年03月31日,-9748,,3564852,3559563,2000000,148885,1228861,3087579,62874,0,,1822063.0,12541.0,417550,1160745,,,1297151.0,2265679,,,4862003.0,8910,0,0,15155,7045,,,5289,68290,1774424,98385,,0
2013-08-09,2,2013,376911,30416.0,407327,1841569,68861,129676,0.0,0,,255056,,37575,444,88461,,,438822,31495,8281,53900,174060,,88461.0,540007,540007.0,66509,,,0,695402,551,115938,796502,47848,52289,1789.0,4482,1160745,2013年06月30日,-22209,,3558883,3497442,2000000,151885,1944673,3381263,101223,0,,1756119.0,1337.0,424414,1160745,,,2019620.0,2185069,2185069.0,,5578503.0,13153,0,0,15155,7045,5892.0,,61441,74947,2197240,140409,,0
2013-11-12,3,2013,153924,23960.0,177884,1879898,68861,156136,0.0,0,,180659,,48225,16,70219,,,193240,15356,6719,53507,301134,,70219.0,661843,661843.0,66509,,,0,761247,5945,20899,650942,72595,25671,,4683,1160745,2013年09月30日,4251,,3563157,3512537,2000000,151885,1835482,3109512,97001,0,,1482335.0,4396.0,664410,1160745,,,1904977.0,2191946,2191946.0,,5468134.0,4686,0,0,15155,7045,833.0,,50620,69495,2358622,161166,,0
2014-03-11,4,2013,154657,10254.0,164911,1791037,68861,-14714,0.0,0,,161102,,18268,1713,101647,,,182652,17741,252,50478,291784,20085.0,101647.0,568247,568247.0,66509,,,911494,483215,3764,12454,552910,46350,14254,,4417,1160745,2013年12月31日,-166599,,3417923,3441408,2000000,151885,1039001,3184099,91991,0,,1861646.0,12396.0,179025,1160745,,,2024033.0,2260239,2260239.0,,5441956.0,4393,13800,0,9260,9767,,41444.0,-23485,985032,2257857,120459,230255.0,0
2014-05-06,1,2014,155394,5833.0,161227,1861034,68861,-8324,,0,,135124,366.0,33439,258,111038,,,185714,24487,5620,51182,293246,21962.0,111038.0,499784,499784.0,66509,,0.0,429985,473595,1411,7543,563385,50548,16129,0.0,4118,1314690,2014年03月31日,-160209,,3924537,3950667,2000000,151885,1123225,3210600,93080,0,1932982.0,,14022.0,304230,1314690,,,1616169.0,2599772,2599772.0,,5540706.0,1220,2517,0,9260,9767,,41434.0,-26130,492944,2330106,108455,229850.0,0
2014-08-05,2,2014,156133,3333,159466,2034776,68861,-42614,,0,,185655,,18900,1175,76348,,,184941,25475,4031,50343,249651,21981,,595021,595021,66509,,0,390992,720672,4087,2986,703316,48357,14489,0,3827,1327632,2014年06月30日,-42614,,3860946,3855752,2000000,0,1381179,3244072,86513,0,1730312,,11954,268785,1327632,,,1836575,2560895,,,5697521,2099,4801,0,9260,9821,0,40373,5194,455396,2453449,128471,187297,0
2014-11-04,3,2014,1157,0.0,1157,2252278,149719,-44759,,0,,158159,,30858,53,111144,,,31609,30452,363617,51020,127179,21082.0,,570337,570337.0,66509,,0.0,392855,725828,5093,1301,770505,45432,18412,,42416,1327632,2014年09月30日,-44759,,3964931,3891051,2000000,0,1522059,3288740,78099,0,1335554.0,,11289.0,588780,1327632,,,1983267.0,2563543,,,5948198.0,0,8073,0,9260,9767,0.0,40881.0,73880,461208,2659458,153972,65216.0,0
2015-03-10,4,2014,395889,0.0,395889,2298459,149719,-76678,-551.0,0,0.0,133839,,49986,108,205186,0.0,0.0,442206,46317,372141,49718,113150,25075.0,205737.0,432696,,116675,0.0,0.0,0,457188,381,54,711991,26450,18229,,40904,1327632,2014年12月31日,-76678,,3979288,3905249,4000000,0,1678452,3011283,70674,0,1283774.0,,4021.0,631500,1327632,,,1751224.0,2565784,,,5730512.0,9263,0,0,23054,46323,,42516.0,74039,72772,2719229,115908,45559.0,0
2015-04-28,1,2015,396607,0.0,396607,2309928,149719,-72204,,0,,143067,9.0,30480,536,117839,,,454497,57890,367466,49003,130594,42262.0,,492091,492091.0,116675,,0.0,0,654260,266,51,941701,8735,11164,,39747,1347632,2015年03月31日,-72204,6189.0,3951302,3879324,4000000,0,1878647,3160420,65275,0,,1204004.0,,613000,1347632,5902006.0,1950704.0,,2602732,,5902006.0,,7308,0,0,23054,46323,,41641.0,71978,72057,2741586,104243,46691.0,0
2015-08-10,2,2015,398496,0.0,398496,2342340,149719,-10766,-783.0,0,,220607,,34797,408,105846,-47552.0,-47552.0,509044,110548,2474,47984,153460,52099.0,154181.0,455799,455799.0,116675,,0.0,0,737533,0,2049,1026717,3879,19803,,37993,1347632,2015年06月30日,-10766,12461.0,3915272,3812510,4000000,0,2155132,3351112,60495,0,,1663783.0,,662900,1347632,6141442.0,2226170.0,,2486473,,6141442.0,,10538,0,0,23054,46323,,41010.0,102762,71038,2790330,143452,60351.0,0
