date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－流動,以成本衡量之金融負債－非流動,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,天然資源淨額,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,工程存出保證金,工程進度請款金額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待分配股票股利,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付建造合約款－關係人,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,指定按公允價值衡量之金融負債信用風險變動影響數總額,按攤銷後成本衡量之金融負債－流動,按攤銷後成本衡量之金融負債－非流動,按攤銷後成本衡量之金融資產－流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,生物資產－流動淨額,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,確定福利計畫再衡量數總額,礦產資源淨額,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,,,94415,,,,0.0,445990,,,,,,16748,0,102.0,0,-9542.0,,253871,144,33106,33106,1601,0.0,32,,205561,0.0,28770,,,,32,205561,751373,751373,0.0,,,,0.0,0.0,,,,,,82927,19512,,,,2793,,1140.0,0.0,,,5260,,,,,,,,,,,310200,2013年03月31日,444856,,,764818,764818,0,1134,375851,1409102,30371,,,,,,,,,540542.0,,,,0.0,117.0,0,,,310200,,0.0,,,,,981703.0,18170,,1746521.0,,,,,,,,,7072.0,,,,,,605820,0.0,605852,337419,77462.0,,253727,,0
2013-08-12,2,2013,,1049.0,93726,,,,0.0,44565,,,,,,40664,61840,117.0,38459,-9368.0,,296931,17255,305691,254831,1402,50860.0,32,,154336,0.0,28770,,,,32,154336,956454,956454,0.0,,,,,,,389800.0,,,,91049,14958,,,,6316,,,0.0,,,8448,,0.0,,,,,,,,,310200,2013年06月30日,-7733,,,753367,753367,0,45429,511758,1633789,30172,,,,,6869.0,,,,270089.0,,,,0.0,38.0,0,,,700000,,,,,,,1166061.0,18170,,1919428.0,,,,,,,,,7405.0,,,,,,654271,0.0,654303,285639,54493.0,,278627,,0
2013-11-08,3,2013,,49113.0,93038,,,,0.0,41418,,,,,,23573,704318,525.0,249055,0.0,,285571,18255,508665,71358,1234,174140.0,32,,110539,0.0,28770,,,,32,110539,2283898,2283898,0.0,263167.0,,,,,,0.0,,,,308923,55761,,,,18336,,,0.0,,,58840,,0.0,,,,,,,,,700000,2013年09月30日,-10880,,,759588,759588,0,45429,1398207,3267384,30004,,,,,6869.0,,,,153447.0,,,,1725.0,18.0,0,,,700000,,,,0.0,,,2741786.0,18170,,3501374.0,,,,,,,,,409.0,,,,,,1343547,0.0,1343579,233990,12936.0,,218203,,0
2014-03-24,4,2013,,2636.0,93007,,,,0.0,62000,,,,,,44185,158222,11.0,162699,0.0,,30518,13491,596934,41132,1214,181843.0,32,,36,0.0,28770,,,,32,36,1833529,1833529,0.0,373959.0,,,,,,,,,,208883,51622,,,,23318,,,0.0,,,1612,,,,,,,,,,,700000,2013年12月31日,9702,,,780170,780170,0,45429,1078994,2867533,29984,,,,,6869.0,,,,264674.0,,,,12246.0,162.0,550000,,,700000,,,,,,,2210390.0,18170,,2990560.0,,,,,,,,,0.0,,,,,,1131364,0.0,1131396,123027,7912.0,,14391,,0
2014-05-12,1,2014,,3175.0,92506,,,,,50327,,,,,,24871,173313,2631.0,130759,0.0,,24366,13705,608911,51057,1039,184078.0,32,,965,,28770,,,,32,341,1976362,1976362,,373776.0,,,,,,,,0.0,,182369,52683,,,,945,,,,,,37,,,,,,,,,,,700000,2014年03月31日,-1971,,,768497,768497,0,45429,1121054,2959867,29809,,,,,6869.0,,,235949.0,,,,,12507.0,141.0,650000,,,700000,,,,,,,2314650.0,18170,,3083147.0,,,,,,,,,0.0,,,,,,1193564,,1193596,123280,5077.0,624.0,7486,,0
2014-08-08,2,2014,,3191,92253,,,,,33447,,,,,,32482,244608,775,131907,0,,14868,563,573400,56432,1179,218192,32,,2889,,28770,,,,32,1230,2200481,2200481,,298776,,,,,,0,,0,,178520,68333,,,,7461,41,,,,,10974,,,,,,,,,,,700000,2014年06月30日,-12753,,,751617,751617,0,46200,1266230,3127548,29949,,,,,0,,,201291,,,,,1517,0,718400,,,700000,,,,,,,2501022,18170,,3252639,,,,,,,,,0,,,,,,1234760,,1234792,125091,8720,1659,11114,,0
2014-11-07,3,2014,,0.0,9829,,,,,18530,,,,,,29194,242932,0.0,131891,0.0,,21073,1950,494963,67395,2127,190388.0,32,,147173,,28770,,,,32,147173,2385713,2385713,,237180.0,,,,,,0.0,,0.0,,189690,34683,,,,7253,,,,,,0,,,,,,,,,,,700000,2014年09月30日,-27670,,,736700,736700,0,46200,1309401,3192894,30897,,,,,0.0,,,165646.0,,,,,1376.0,7205.0,783200,,,700000,,,,,,,2644093.0,18170,,3380793.0,,,,,,,,,0.0,,,,,,1334660,,1334692,187899,7476.0,,19123,,0
2015-03-24,4,2014,,0.0,9217,0.0,0.0,0.0,0.0,4234,,0.0,0.0,,0.0,24703,277728,49.0,130676,0.0,,44429,9210,556103,76528,2164,179220.0,80,,47865,,28770,,,0.0,80,47865,2583081,2583081,,300355.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,168265,27380,0.0,0.0,0.0,8886,0.0,0.0,0.0,0.0,0.0,60,0.0,4529.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,700000,2014年12月31日,-41966,,,722404,722404,0,46200,1320032,3392441,30934,,0.0,0.0,,0.0,,,111428.0,,,0.0,0.0,0.0,6852.0,768641,,,700000,,0.0,,0.0,0.0,,2762582.0,18170,,3484986.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1442470,0.0,1442550,92545,4192.0,,35219,,0
2015-05-12,1,2015,,0.0,8639,0.0,0.0,0.0,0.0,19543,,0.0,0.0,0.0,0.0,36261,203343,4960.0,129847,0.0,,66637,11550,351060,64455,2325,0.0,126,106.0,61632,,28770,,,,20,61632,2553159,2553159,,286605.0,0.0,318430.0,0.0,0.0,0.0,0.0,0.0,,0.0,179658,53806,0.0,0.0,0.0,17542,0.0,0.0,2429.0,0.0,0.0,581,0.0,4515.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,700000,2015年03月31日,-26657,0.0,6949.0,737713,737713,0,46200,1226331,3371829,31095,0.0,,,0.0,0.0,0.0,0.0,,318430.0,,0.0,0.0,,,669084,,0.0,700000,,0.0,3477710.0,0.0,0.0,2739997.0,,18170,3477710.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1513540,0.0,1513666,105881,4414.0,0.0,55087,0.0,0
2015-08-10,2,2015,,276647.0,8743,0.0,0.0,0.0,0.0,48938,,0.0,0.0,,0.0,32609,8610,0.0,20026,0.0,,286349,8220,205393,49289,2158,0.0,115,95.0,14588,,28770,,,,20,14588,2658034,2658034,,156104.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,228380,98427,0.0,0.0,0.0,11333,0.0,0.0,0.0,0.0,0.0,138,0.0,4502.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,700000,2015年06月30日,2738,0.0,7396.0,767108,767108,0,46200,1029518,3334496,30928,0.0,,,0.0,0.0,,,,440205.0,,0.0,0.0,,,363810,,0.0,700000,,0.0,3393257.0,0.0,0.0,2626149.0,,18170,3393257.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1596516,0.0,1596631,58761,3304.0,0.0,1482,,0
