date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原料,在製品,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付薪資,應收帳款,應收帳款淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,租賃資產成本,租賃資產淨額,約當現金,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－租賃資產,累計折舊－辦公設備,累計折舊－運輸設備,累計折舊－電腦通訊設備,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅資產,銀行存款,銀行長期借款,長期借款合計,電腦通訊設備成本,電腦通訊設備淨額,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,5771,224988,0.0,36428,20240,4700,,,451,451.0,3348,3348,64496,58725,21773,21773.0,8340.0,8340,15607,1333,9447.0,9447.0,40182,25122,,55050,61720,180,15675,159593,159593,,0.0,,,68118.0,68118,,100044.0,100044,40002.0,266834,212990,709206,2013年03月31日,36428,,9825,1930,805127,798401,0,0,136448,746334,,8340,,,,441107.0,3834.0,,,,292.0,53.0,,14274,53844,7895,,239.0,7156,3048,10442,709206,42823,,,207590.0,49419,,1012717.0,8982,1826,0.0,3126,5735,2687,3233,441107.0,30960.0,30960,14611,4169,6726,71142,266383,0
2013-08-14,2,2013,5771,223173,0.0,-675,13858,4980,,,606,,3927,3927,124642,118871,14272,,,6381,15607,765,,22551.0,39334,40389,,61863,72620,320,17838,172884,172884,,,0.0,,,95287,,,169558,39014.0,267374,211305,709206,2013年06月30日,-5436,,10086,1797,768336,761877,0,4761,221388,780407,,6381,,,,406729.0,1459.0,,298.0,40.0,,,,14842,56069,8289,258.0,,7596,3270,11436,709206,38401,,,290143.0,49419,,1058479.0,9241,1645,0.0,2500,5793,2523,3149,,,29421,16534,5098,6459,68755,278072,0
2013-11-12,3,2013,5771,226256,0.0,13207,14188,4380,,,840,,5853,5853,64551,58780,13705,,,6648,15634,668,,32163.0,38948,53003,,74025,69262,610,20840,199823,199823,,,,,,80098,,,95956,38338.0,267120,209115,709206,2013年09月30日,8446,,11751,3259,783646,777685,0,4761,147130,704144,,6648,,,,376138.0,2481.0,,295.0,24.0,,,,14966,58005,8492,271.0,,7875,3438,12452,709206,56536,,,213958.0,49419,,997604.0,9563,1688,0.0,3494,6351,2913,3173,,,27880,21041,8589,5961,66828,293460,0
2014-03-18,4,2013,7714,259942,0.0,24379,12822,4729,,,616,,6803,6803,57053,49339,7257,,,6347,2656,1523,,23010.0,38614,43759,,64889,59420,321,20749,161141,161141,457.0,,,,,48499,,,111690,38293.0,299359,238950,709206,2013年12月31日,19618,,8943,2863,796016,789807,0,4761,107664,670292,,6347,,101345.0,,272256.0,2112.0,,300.0,10.0,,,197956.0,1133,60409,6080,290.0,,3339,3168,9915,709206,36832,,,191750.0,49419,,987766.0,4967,1628,0.0,3165,5904,2736,2697,73843.0,,45472,22147,12232,6209,84086,317474,0
2014-05-06,1,2014,7714,247706,0,30325,12811,4750,,,473,473,2144,2144,49835,42121,10577,10577,6982,6982,2657,1361,23464,23464,38352,49015,,70773,59871,684,25551,177821,177821,,0,,0,50461,50461,,76182,76182,37668,289772,228421,709206,2014年03月31日,25564,,9030,2568,797821,791094,0,4761,102804,671835,,6982,,185586,204359,,2508,,,,307,0,,1296,61351,6462,,307,3575,3406,11314,709206,47177,,,184596,49419,,982417,5138,1563,,4026,5968,2562,2129,204359,43440,43440,22545,11231,6727,81792,310582,0
2014-08-12,2,2014,7714,243732,0.0,2571,12978,4646,,,744,744.0,1500,1500,73258,65544,9819,9819.0,6357.0,6357,2656,1207,25542.0,25542.0,37920,51504,,59286,74852,862,25962,174380,174380,,0.0,,0.0,81629.0,81629,,89421.0,89421,37058.0,289264,226006,709206,2014年06月30日,-4152,,8913,2266,769154,762696,0,6723,154887,694430,,6357,,299908.0,103791.0,,0.0,,,,300.0,0.0,,1449,63258,6647,,300.0,3705,3496,12527,709206,40242,,,234212.0,49419,,1003366.0,5096,1391,,3389,5883,2387,2697,103791.0,41405.0,41405,23002,10475,6458,79325,308936,0
2014-10-30,3,2014,7714,240518,0.0,3244,17955,4750,,,958,,2209,2209,48572,40858,14325,,,6318,2723,1129,,14260.0,37319,35542,,78220,72066,870,21282,191275,191275,,,,0.0,,81579,,,92649,36449.0,289597,224042,709206,2014年09月30日,-3479,,8987,2022,770402,764078,0,6723,130151,687411,,6318,,271807.0,95424.0,,0.0,,305.0,0.0,,,,1594,65555,6965,305.0,,3910,3670,13470,709206,40989,,,206834.0,49419,,977236.0,5259,1349,0.0,3018,5936,2266,2697,,,39364,23180,9710,6324,76683,289825,0
2015-03-27,4,2014,7714,239856,0.0,19557,14903,5103,,,734,,4382,4382,75145,67431,10272,,,7196,2193,1033,,16388.0,37247,36586,,87272,76117,1264,20198,204144,204144,268.0,,,0.0,,81236,,,107497,35983.0,290389,222264,709206,2014年12月31日,12834,,8617,1997,788879,782564,0,6723,156381,729340,,7196,,150866.0,237594.0,,0.0,,319.0,0.0,,,131501.0,1160,68125,6620,319.0,,3444,3927,6012,709206,40755,,,230945.0,49419,,1019824.0,5223,1779,0.0,3330,6071,2144,1743,105825.0,,37317,16651,10639,6315,74564,290484,0
2015-05-12,1,2015,7361,245836,0.0,10738,9710,5372,,,592,592.0,2249,2249,61582,54221,14356,14356.0,6590.0,6590,2233,935,9800.0,9800.0,36983,29551,,82769,91278,1650,19751,217751,217751,,0.0,,0.0,80097.0,80097,,102420.0,102420,,299582,229347,709206,2015年03月31日,4015,0.0,8579,1794,777364,771612,0,6723,141679,700903,35333.0,6590,173912.0,,,178793.0,,,,,313.0,0.0,,1298,70235,6785,,313.0,3580,4054,7046,709206,43704,991643.0,214279.0,,49419,991643.0,,5591,2011,,3369,6026,1972,3391,178793.0,35617.0,35617,16823,9777,5752,72600,290740,0
2015-08-11,2,2015,6477,243180,0.0,-3866,4716,4895,,,645,645.0,-336,-336,78239,71762,8185,8185.0,7376.0,7376,2281,855,9800.0,9800.0,36131,30550,,102038,76650,1455,20750,220929,220929,,0.0,,0.0,66522.0,66522,,96035.0,96035,,298190,226477,709206,2015年06月30日,-11823,,8540,1629,759699,754423,0,7957,144761,685094,34676.0,7376,186469.0,,,165059.0,,,,,310.0,0.0,,1426,71713,6911,,310.0,3762,4198,8122,709206,42241,975034.0,215335.0,,49419,975034.0,,6053,2291,,3056,5998,1800,3939,165059.0,34443.0,34443,18250,10128,5276,70574,289940,0
2015-11-10,3,2015,5594,239816,,-8413,17738,4169,,,3367,,-45,-45,52158,46564,13303,,,7226,2282,753,,9800.0,35838,28061,,101703,90296,1811,18261,233822,233822,,,,0.0,,43758,,,66784,,296193,224328,709206,2015年09月30日,-16370,0.0,8637,1490,753513,750167,0,7957,97191,637044,34027.0,7226,187255.0,,,112324.0,,1152.0,317.0,0.0,,,,1529,71865,7147,317.0,,4044,3149,9198,709206,41823,919805.0,166292.0,,49419,919805.0,,6380,2336,123.0,2451,4666,1517,3489,,,33263,18590,9392,3346,69101,282761,0
2016-03-29,4,2015,4711,236295,0.0,-6361,4745,4750,47605.0,,2249,,221,221,7654,2943,12643,,,6403,2305,685,,,37440,24244,9800.0,90006,84297,1469,14444,221330,221330,657.0,,,0.0,,44446,,,118180,,297140,222172,709206,2015年12月31日,-14318,,8546,1336,754353,752485,0,7957,99705,649976,35971.0,6403,181961.0,,,106552.0,,,0.0,0.0,,,27000.0,1620,74968,7210,0.0,,4213,3290,10273,709206,47027,923574.0,169221.0,,49419,923574.0,,6526,2313,0.0,2316,4630,1340,1906,78895.0,,32076,18722,8449,1868,69516,273598,0
2016-05-10,1,2016,4181,232843,0.0,-2820,6253,5870,31500.0,,1675,1675.0,320,320,8140,3959,13099,13099.0,5039.0,5039,2353,640,9800.0,9800.0,36656,22496,,85566,67863,1237,12696,210478,210478,,0.0,,0.0,50176.0,50176,,114851.0,114851,,296914,219699,709206,2016年03月31日,-10777,761.0,6403,1324,758194,756125,0,7957,90577,648202,35419.0,5039,142236.0,,,157238.0,,,,,0.0,0.0,,1713,77215,5079,,0.0,3901,3435,11346,709206,57049,916307.0,158113.0,,49419,916307.0,,6401,2500,,2372,4606,1171,1857,157238.0,30880.0,30880,18855,7509,2069,67536,268105,0
