date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,298590,-283292,0.0,0.0,46236,,13659,-622,2732,,22482,,13095,,28536,-622.0,76043,,,84011,997,168055,93834,56737,950091,2013年03月31日,-283292,,675703,675703,0,217525,522291,1162,,,148218.0,15386.0,68163.0,950091,,,,239329.0,9526.0,9526.0,,915032.0,,0.0,8709,7716,21804,392741,,0
2013-08-12,2,2013,,294368,-283251,0.0,0.0,51822,,16903,62,2963,,12622,,13546,,23736,62.0,85364,,,73046,210,139717,92894,57754,950091,2013年06月30日,-283251,,666902,666902,0,216445,519966,1979,,,172466.0,13230.0,75174.0,950091,,,,238622.0,0.0,0.0,,905524.0,,0.0,8631,7721,22177,385558,,0
2013-11-12,3,2013,,283044,-301636,0.0,0.0,52354,,13540,-4259,2737,,7119,,13570,,23305,-4259.0,67022,,,80927,1099,142474,123057,56349,950091,2013年09月30日,-301636,,644196,644196,0,204221,498315,1700,,,145103.0,10687.0,56417.0,950091,,,,226238.0,0.0,0.0,,870434.0,,0.0,8447,7721,22017,372119,,0
2014-03-26,4,2013,,278531,-322364,0.0,0.0,75835,,25588,-2510,1691,,5740,,12085,,26141,-2510.0,58154,,,57700,87,114751,103765,59442,950091,2013年12月31日,-322364,,625217,625217,0,161149,435315,1113,,,127317.0,9102.0,16734.0,950091,,,,183046.0,0.0,0.0,,808263.0,,0.0,9812,7721,21897,372948,,0
2014-05-12,1,2014,,269904,-348662,0.0,,62593,,12363,-2308,2318,,2972,,11454,,24168,-2308.0,49411,,0.0,61444,84,105369,138091,59198,950091,2014年03月31日,-348662,,599121,599121,0,180835,439282,1007,,131076.0,,7733.0,46663.0,950091,,,,202160.0,0.0,0.0,,801281.0,,,9871,7722,21325,361999,,0
2014-08-13,2,2014,,260211,-359143,0.0,0.0,93525,,28968,-2800,4135,,4722,,11607,,23328,-2800.0,35616,,0.0,59838,267,108808,143543,58112,950091,2014年06月30日,-359143,,588148,588148,0,195792,455056,727,,133399.0,,8027.0,30000.0,950091,,,,217007.0,0.0,0.0,,805155.0,0.0,0.0,9608,7721,21215,350099,,0
2014-11-12,3,2014,,257672,-440988,0,0,86658,,6125,-1794,4389,,4555,,11407,,23560,-1794,39140,,0,50728,40,95009,49663,59941,950091,2014年09月30日,-440988,,507309,507309,0,165555,344715,542,,150223,,3920,19820,950091,,,,186842,0,0,,694151,0,0,9880,7721,21287,349436,,0
2015-03-16,4,2014,,231967,-453267,0.0,,83736,,5342,-6123,3918,,4634,,11342,,26242,-6123.0,36067,,0.0,50483,96,90639,2886,61645,950091,2014年12月31日,-453267,,490701,490701,0,158602,342227,861,,171366.0,,3.0,20366.0,950091,,,,179962.0,0.0,,,670663.0,0.0,31293.0,10018,7721,21360,328436,,0
2015-05-12,1,2015,,145853,-480775,,,80106,,6401,-12810,9107,,3363,,3678,,25141,-12810.0,40792,,0.0,44434,46,72783,5272,134695,950091,2015年03月31日,-480775,0.0,456506,456506,0,153869,309487,779,,,139337.0,,20176.0,950091,,623676.0,167170.0,,,,623676.0,,0.0,41539.0,9623,7721,13301,314189,,0
2015-08-12,2,2015,,76822,-42283,,,25060,,3014,-15110,4383,,1540,,399,,10792,-15110.0,3657,218156.0,0.0,6074,2040,38233,1796,119539,496824,2015年06月30日,-42283,0.0,439431,439431,0,170804,399691,612,51090.0,,50944.0,,0.0,496824,133247.0,615177.0,175746.0,,,,615177.0,,0.0,31261.0,4543,7721,4942,215486,,0
2015-11-10,3,2015,,75135,-20640,,,21482,0.0,2658,3554,9939,,4730,,400,,10985,,2768,,0.0,6418,37,47035,3793,122374,496824,2015年09月30日,-20640,0.0,479738,479738,0,37876,305835,506,51090.0,,161581.0,,0.0,496824,,523951.0,44213.0,,,,523951.0,,,32180.0,5937,9116,6337,218116,,0
2016-03-28,4,2015,,72715,-25304,,,20303,0.0,1609,1724,2301,,5961,,400,,10549,,2488,,,3624,640,30594,1173,118418,496824,2015年12月31日,-25304,0.0,473244,473244,0,26868,295222,430,71576.0,,181821.0,,0.0,496824,,501447.0,28203.0,,,,501447.0,,,0.0,935,4113,1335,206225,,0
2016-05-11,1,2016,,71972,-34110,,,20161,,1705,994,3855,,514,,400,,10308,,2393,,,10322,17,30871,851,117122,496824,2016年03月31日,-34110,,463708,463708,0,34355,295520,363,73114.0,,186072.0,,0.0,496824,,498725.0,35017.0,,,,498725.0,,,0.0,262,3440,662,203205,,0
2016-08-10,2,2016,0.0,70354,-40116,,,19273,0.0,1542,289,1560,1560.0,413,413.0,400,400.0,9318,,2529,0.0,,10385,0,33520,964,113889,496824,2016年06月30日,-40116,,456997,456997,0,31218,291578,297,97478.0,,155132.0,,,496824,0.0,489132.0,32135.0,,,,489132.0,,,0.0,517,3696,917,197554,0.0,0
2016-11-10,3,2016,,69879,-49087,,,13756,,1361,-1767,3296,,668,,400,,8942,,1828,,,5265,37,19442,149,109580,496824,2016年09月30日,-49087,,445970,445970,0,22354,280092,231,95040.0,,161604.0,,,496824,,468724.0,22754.0,,,,468724.0,,,0.0,0,0,400,188632,,0
