date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,836494.0,19799722,5801816,-1351125.0,6136749,1292953,,309242,571849,-1429576,949241,112747.0,125603,,1417369,54663,-78451.0,49909,3574586,3574586.0,,1189837,499831,5360632,31068,1367460.0,670023,6461655,2013年03月31日,-1165420,,32671960,32671960,0,4240724,4874538,19838277,,58399,2726512,,3728548.0,8890.0,0.0,933786,6461655,,,8682432.0,21838065,,,,,41354392.0,1079023,933308,1311502,3807894,21516115,0
2013-08-12,2,2013,,,19688430,5598801,,7182818,1655006,,123511,584971,-334675,1232061,,173699,,1422375,53238,,56830,3712607,3712607.0,,1609603,586275,6627435,10805,1365545.0,670908,6461655,2013年06月30日,-1368435,,33559119,33559119,0,4240724,5903126,21660530,,56725,2726512,,3244684.0,5712.0,0.0,814469,6461655,,,9487952.0,21833338,,,,,43047071.0,1105250,917240,1057201,3584826,21386541,0
2013-11-11,3,2013,,,19291752,5533731,,6849321,1454043,,156880,579106,-165131,677113,,154650,,1424000,52004,,53726,3856997,3856997.0,,1909839,569708,7817398,6838,1370274.0,680350,6461655,2013年09月30日,-1433505,,33733016,33733016,0,4240724,5295966,21456802,,55051,2726512,,2035612.0,52770.0,,632493,6461655,,,8720183.0,21902761,,,,,42453199.0,1086393,917240,913824,3424217,20996397,0
2014-03-25,4,2013,,530108,19332727,5350061,,6826333,1349325,168809,110465,589455,776205,648881,118773,222805,,1445731,53155,,73550,3445384,3445384,,1587860,513149,7569787,15746,1372181,689025,6461655,2013年12月31日,-1617175,,34498102,34498102,0,4240724,5149649,22433667,,53377,2726512,,3653692,22840,,858785,6461655,,,8969363,21910181,,,,,43467465,1181999,905514,1191984,3819714,21033798,0
2014-05-12,1,2014,,540022.0,18883377,5360100,,5331072,1380274,86858.0,118590,694315,883530,669864,129842.0,152684,152684.0,1452220,50855,,69137,3323735,3323735.0,0.0,1536811,421223,7146926,2272,1383083.0,700017,6461655,2014年03月31日,-1607136,,34621867,34621867,0,4240724,4888169,22523439,,51703,2726512,5753845.0,,1630.0,,791509,6461655,,,8493038.0,21916582,,,,,43114905.0,1200733,905514,951916,3604869,20591466,0
2014-08-11,2,2014,,523518.0,18211709,6195495,,7425983,1750109,73273.0,263167,2069576,3563067,698121,174603.0,187004,187004.0,1456483,55016,,68387,3536976,3536976.0,0.0,1985387,418320,8173824,10914,1388096.0,708179,6461655,2014年06月30日,1282261,,38136799,38136799,0,4240724,5844929,27938257,,50029,672510,6270813.0,,143228.0,,776491,6461655,,,9635838.0,21916582,,,,,47772637.0,1161753,809447,1172673,3790909,19834380,0
2014-11-11,3,2014,,523506.0,18085132,6678421,,6307358,1581390,146636.0,172488,2088272,2696180,696577,173071.0,306157,,1461144,61851,,60937,3806730,3806730.0,0.0,1604323,475980,8180463,19974,1400207.0,686833,6461655,2014年09月30日,1765187,,37752838,37752838,0,4240724,5351866,27253250,,48355,672510,6371808.0,,204373.0,,642587,6461655,,,9184139.0,21916582,,,,,46936977.0,1196268,801556,1174861,3832273,19683727,0
2015-03-24,4,2014,,545548.0,18013785,6964832,,9966531,1792213,86628.0,338493,2034340,3288095,698997,153449.0,161360,,1452504,72676,,53752,3590450,3590450.0,0.0,1362445,437613,7174849,6448,1398752.0,670510,6461655,2014年12月31日,2051598,,38631164,38631164,0,4240724,5014788,28224774,,12066,672510,4952303.0,,120599.0,,516293,6461655,,,9222972.0,21916582,,,,,47854136.0,1372794,860325,1382886,4208184,19629362,0
2015-05-11,1,2015,,540101.0,17415719,7425424,,7223108,1354263,95247.0,169932,1408215,2315327,701172,161071.0,261878,,1580362,67183,,50180,3681093,3681093.0,0.0,1403289,425342,6900009,11015,,671921,6461655,2015年03月31日,2512190,162651.0,38118988,38118988,0,4240724,4598842,27948063,1530182.0,11462,672510,,8292813.0,,,456878,6461655,46958414.0,8839426.0,,21916582,,,,46958414.0,,1372774,844066,1287448,4240584,19010351,0
2015-08-10,2,2015,,534400.0,17114857,6553668,,5688536,2576801,155714.0,109754,1714579,1205552,732425,198025.0,303804,,1588735,61838,,52920,3433162,3433162.0,0.0,1128295,389301,6785943,9824,,702913,6461655,2015年06月30日,1478957,128256.0,36137457,36137457,0,4402201,5421479,27367413,1535815.0,10859,672510,,9321811.0,,,310687,6461655,46104930.0,9967473.0,,21916582,,,,46104930.0,,1372757,847050,1584502,4545994,18737517,0
2015-11-09,3,2015,,284902.0,17357819,6986772,,4502833,1655984,154396.0,247892,2457681,1126309,468428,183526.0,292024,,1592634,66762,,49305,3420236,3420236.0,0.0,1297432,386847,6487680,5411,,704001,6461655,2015年09月30日,1912061,157331.0,36491318,36491318,0,4402201,4451709,27114387,1543329.0,10256,672510,,9700630.0,,,331291,6461655,46061932.0,9570614.0,,21916582,,,,46061932.0,,1372878,808707,2153393,5118905,18947545,0
2016-03-18,4,2015,,284366.0,17622414,6859120,,5123705,1605938,93217.0,95980,2025053,1464256,447242,162876.0,328697,,1625306,64771,,48243,3627055,3627055.0,0.0,1819677,347625,5972808,10505,,719723,6461655,2015年12月31日,1784409,85783.0,36701613,36701613,0,4402201,4730144,27498676,1577063.0,9653,672510,,10314873.0,,,330662,6461655,46720427.0,10018814.0,,21916582,123.0,250434.0,21666025.0,46720427.0,,1348727,805190,2314637,5288670,19221751,0
2016-05-09,1,2016,1058840.0,1058840.0,17753321,6537469,,4102896,1210031,73451.0,144629,1807042,1412838,1274570,215730.0,251756,,1635483,66850,,53819,3455652,3455652.0,0.0,1479517,354409,6496850,5376,,732836,6461655,2016年03月31日,1462758,85699.0,36328544,36328544,0,4402201,4637057,26170781,1581664.0,9049,672510,,9906580.0,,,159380,6461655,45538027.0,9209483.0,,21916582,,,,45538027.0,,1348684,805190,1588259,4572426,19367246,0
2016-08-10,2,2016,1123585.0,1123585.0,17217738,5660848,,3853061,2396695,120811.0,106476,1079103,880861,1296888,173303.0,251677,,1627474,65851,,47295,3463773,,0.0,1502098,440664,6519414,17249,,796402,6461655,2016年06月30日,499889,0.0,34919946,34919946,0,4488449,5757156,26445010,1580179.0,8446,672510,,11154257.0,,,0,6461655,45338637.0,10418691.0,,21916582,,,,45338637.0,,1348684,805190,1685377,4661535,18893627,0
2016-11-10,3,2016,1233641.0,1233641.0,16471383,4741857,,3540508,1491395,56857.0,126199,1619554,820196,1405360,171719.0,216958,,1614886,58430,,49238,3409104,,0.0,1424365,350102,6435815,34006,,768911,6461655,2016年09月30日,-419102,0.0,33940290,33940290,0,4488449,4728079,24602224,1565648.0,7843,672510,,9220080.0,,,0,6461655,42713981.0,8773691.0,,21916582,,,,42713981.0,,1197085,805190,1233641,4045612,18111757,0
