date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,68939,4302265,186044,-392760,428699,,57994,,1092,120695,51756,107733,97157,10576,17740,10540,15000,10540.0,1343614,1343614,,,249147,,14184,960125,,5749,2740.0,30313,1465135,2013年03月31日,-617360,,5980580,5980580,0,224600,1852477,3537333,,7112,0.0,,1020463.0,1145.0,1036820,1466273,,,2104206.0,4905975,,4905975.0,,8084786.0,1787.0,0.0,726,11179,233263,,251729,4547453,,41655,1138.0,33000
2013-08-09,2,2013,,85337,4371532,186044,-462550,388060,,2940,,2339,99106,13769,72111,61511,10600,17658,9439,15000,9439.0,1188292,1188292,0.0,,181474,,11571,1155655,,3767,2658.0,30252,1465465,2013年06月30日,-687150,,5912038,5912038,0,224600,1636040,3187244,,7962,0.0,,735841.0,9.0,955033,1465465,,,1891308.0,4906784,,4906784.0,,7803346.0,787.0,0.0,675,10873,236935,0.0,255268,4616102,,28638,0.0,0
2013-11-13,3,2013,,121266,4379537,186044,-455694,396807,,48806,76.0,1581,136021,14755,54118,43518,10600,17611,9174,15000,9174.0,1262378,1262378,49057.0,,501314,,15161,1199111,76007.0,3112,2611.0,30070,1465465,2013年09月30日,-680294,,5869079,5869079,1500000,224600,1873154,3363501,,9376,0.0,,678462.0,0.0,823851,1465465,,,2119647.0,4906784,,4906784.0,,7988726.0,0.0,1417.0,671,11024,228211,0.0,246493,4625225,,40014,0.0,0
2014-03-19,4,2013,,147037,4339010,186044,-453754,392111,,38598,,2948,152320,5283,28979,18355,10624,3467,8603,1000,8603.0,1251592,1251592,0.0,,275151,,875,1181880,59545.0,5731,2467.0,43755,1450465,2013年12月31日,-678354,,5872386,5872386,0,224600,1687357,3150265,,9324,0.0,,552796.0,0.0,866093,1450465,,,1877342.0,4872727,,4872727.0,,7749728.0,807.0,0.0,2654,12727,183864,,189985,4599463,,31144,0.0,0
2014-04-29,1,2014,,161706,4321465,186044,-450142,278446,,36466,,2413,169659,7953,35558,24934,10624,3441,7216,1000,7216.0,1059887,1059887,,,160661,,437,1200306,2125.0,5674,2441.0,42932,1450465,2014年03月31日,-674742,,5879255,5879255,0,224600,1145279,2897883,,11930,,521985.0,,4.0,535774,1450465,,,1599673.0,4876519,3792.0,4872727.0,,7478928.0,298.0,158.0,1768,11458,449185,,454394,4581045,,35724,0.0,0
2014-08-04,2,2014,170241.0,170241,4220625,186044,-448953,292371,571.0,9366,2232.0,1271,177787,7546,58557,47910,10647,3675,2265,1300,2265.0,1054497,1054497,,0.0,203533,,821,1265250,2173.0,3322,2375.0,120509,1450465,2014年06月30日,-673553,,5882056,5882056,0,224600,1272889,3015611,,11987,,571328.0,,8.0,597798,1450465,,,1685778.0,4879273,6546.0,4872727.0,,7567834.0,0.0,,869,10793,408345,0.0,412889,4552223,,48886,,0
2014-11-11,3,2014,,168099,4142523,178365,-547666,414467,1885.0,124050,0.0,3212,189501,21402,44068,33421,10647,4029,2289,1700,2289.0,867321,867321,151208.0,0.0,139649,,3,1389226,975.0,1473,2329.0,120807,1450465,2014年09月30日,-772266,,5637273,5637273,4902000,224600,1569521,3106848,,12238,,628488.0,,,822399,1450465,,,1939698.0,4882470,9743.0,4872727.0,,7576971.0,1617.0,64.0,4375,13901,361773,0.0,370177,4470123,,51183,,0
2015-03-24,4,2014,,133404,4056646,177737,-734322,392821,2910.0,68305,3947.0,7265,141421,8017,37857,27186,10671,3660,2272,1700,2272.0,746573,746573,0.0,0.0,111285,1372.0,42244,989450,1068.0,17279,1960.0,119325,1400465,2014年12月31日,-958922,,5454518,5454518,0,224600,1425985,2860718,,13062,,979976.0,,,731987,1400465,,,1790971.0,4781110,12622.0,4768488.0,,7245489.0,1945.0,,7033,15729,354293,,364986,4384771,,16263,,0
2015-05-08,1,2015,,175213,3981997,177737,-852349,360155,5220.0,78797,12204.0,6399,184373,9160,40335,29664,10671,3619,2273,1700,2273.0,670857,670857,74614.0,0.0,147686,0.0,22,887945,1339.0,28337,,110851,1400465,2015年03月31日,-1076949,4.0,5263809,5263809,2982000,224600,1330566,2568828,1919.0,15056,,,833309.0,,633106,1400465,6868993.0,1605184.0,,4783908,15420.0,4768488.0,6868993.0,,0.0,396.0,3377,12251,267622,,274618,4300165,,15309,,0
2015-08-03,2,2015,143858.0,143858,3882638,177737,-1043278,295979,3122.0,55812,14045.0,5490,156879,13021,59146,48451,10695,3581,15292,1700,,729355,729355,61288.0,0.0,197847,0.0,14,945311,747.0,25127,,101537,1370645,2015年06月30日,-1267878,7.0,5012823,5012823,3444000,224600,1528774,2603199,1881.0,15343,,,747378.0,,874926,1370645,6808478.0,1795655.0,,4741254,17560.0,4723694.0,6808478.0,,0.0,,3672,12732,259628,0.0,266881,4205279,,26278,,0
