date,season,year,不動產及設備－淨額,保留盈餘合計,備供出售金融資產未實現損益,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,其他權益合計,其他權益－其他,其他負債合計,其他資本公積,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,受贈公積,國外營運機構財務報表換算之兌換差額,增資準備,央行及銀行同業存款合計,存放央行及拆借銀行同業合計,存款及匯款合計,庫藏股票合計,待註銷股本股數,應付款項合計,應付金融債券合計,應收款項－淨額,持有至到期日金融資產－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債合計,本期所得稅資產合計,本期損益,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債合計,當期所得稅資產合計,累積盈餘,累積虧損,股本合計,股本溢價,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債合計,透過損益按公允價值衡量之金融資產合計,遞延所得稅資產合計,附買回票券及債券負債合計,附賣回票券及債券投資淨額,非控制權益,非控制權益合計,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-09,1,2013,2752635,1464380,46846.0,,18952049,41867,455,199536,1119.0,78981,149954,1615974,61,-5434,,14164887,23492696,185836832,0.0,,3681461,4000000,1131803,0,7069476,2013年03月31日,186485,,,110709,,10593447.0,10593447,0,1277895,49204,0.0,,3114391.0,12456.0,35139.0,75776.0,0.0,7069476,2016544,,762317,,208878097.0,164242059,2017724,,219471544.0,2911,1024102,127475,67743,2855036,,0,0
2013-08-29,2,2013,2761088,1405368,-129636.0,,17192061,-127038,454,161740,0.0,63669,145615,1622826,61,2144,141016.0,12375599,23610308,191536847,,,3174597,4000000,1060425,0,7069476,2013年06月30日,11612,,,193165,,10505427.0,10505427,0,1393756,49446,0.0,,4491232.0,25617.0,19862.0,0.0,-181553.0,7210492,2016544,,785327,,212274880.0,167705160,2016605,,222780307.0,1700,1271966,138484,67838,2793780,,0,0
2013-11-07,3,2013,2752202,1513296,-86231,,18158921,-87458,454,147116,0,92703,142783,1584714,61,-1681,,11852003,21764298,195648326,,,3584745,6000000,850076,0,7210492,2013年09月30日,119540,,,301093,,10652935,10652935,0,1393756,45294,0,,3541790,26547,19862,,-181553,7210492,2016544,,810211,,218281564,171433496,2016605,,228934499,1946,1839457,141896,67887,6709790,,0,0
2014-03-27,4,2013,2744082,1608002,-88333.0,,19249602,-86057,454,144849,0.0,58981,138703,1566331,61,1822,,15024665,23220274,198689944,,,2747219,6000000,757500,0,7210492,2013年12月31日,214246,,,419105,,10749042.0,10749042,0,1393756,41315,0.0,,3329141.0,9811.0,19862.0,,-204859.0,7210492,2016544,,855490,,223684321.0,178261475,2016605,,234433363.0,5621,1590421,133821,68019,3460558,,0,0
2014-05-08,1,2014,2783493,1742784,-60151.0,,20159459,-58960,455,148415,0.0,90712,131303,1556548,61,736,,12801371,25048428,201654497,0.0,0.0,2269631,7200000,901813,758017,7210492,2014年03月31日,349028,,,134782,,10910921.0,10910921,0,1393756,37989,0.0,,4377069.0,20983.0,19862.0,214246.0,0.0,7210492,2016544,,866303,,225165184.0,169862034,2016605,,236076105.0,4590,2229086,133875,68091,8117720,,0,0
2014-08-27,2,2014,2776938,1761379,-32344.0,,20898188,-34552,455,146973,0.0,99076,195579,1435954,61,-2663,193022.0,11262224,25223954,216499436,,0.0,2703087,6200000,1314569,1642582,7210492,2014年06月30日,217292,,,211483,,11002736.0,11002736,0,1458030,36375,86057.0,,4169126.0,5883.0,2387.0,5809.0,0.0,7403514,1872334,,885224,,237960498.0,179655892,1872395,,248963234.0,1117,3206587,133468,60975,8368138,,0,0
2014-11-06,3,2014,2784535,1904503,-51450.0,,25428667,-47506,456,152776,0.0,95314,195470,1440705,61,3488,,9503852,22173585,227545954,,0.0,3371372,6200000,881464,2248081,7403514,2014年09月30日,360416,,,354607,,11132906.0,11132906,0,1458030,36442,86057.0,,4236785.0,2644.0,16053.0,5809.0,0.0,7403514,1872334,,898088,,247966347.0,181007589,1872395,,259099253.0,35143,5916957,144914,61048,12688162,,0,0
2015-03-26,4,2014,2978502,2038092,-3429.0,,26141249,16721,406,149895,0.0,69152,178408,1448140,61,19744,,9519129,23171136,236927451,,0.0,2872063,7000000,855286,2746339,7403514,2014年12月31日,494005,,,509891,,11330722.0,11330722,0,1458030,64317,86057.0,,4107916.0,4847.0,25981.0,,-15886.0,7403514,1872334,,956097,,257692248.0,182883017,1872395,,269022970.0,23237,10975714,170903,61121,13385318,,0,0
2015-05-07,1,2015,2979033,2194553,,27083,28871933,27308,360,141227,0,122593,178046,1834187,61,-135,,8921485,21444918,235157062,0,0,2928357,7000000,998337,3236411,7403514,2015年03月31日,650466,24010,25924,166144,11497770,,11497770,0,1458030,78871,86057,3157572,,,,484322,0,7403514,1872334,266892391,975192,255394621,,178950161,1872395,266892391,,11060,10356258,190375,58182,14645818,,0,0
2015-08-27,2,2015,2969675,1964989,,21048.0,29786473,21369,359,133028,0.0,98343,176400,1918201,61,-38,385145.0,8959601,19257404,230239394,,0.0,2560225,7000000,992602,7808142,7403514,2015年06月30日,358757,37517.0,23593.0,311032,11647412.0,,11647412,0,1606232,76155,0.0,3111857.0,,,,47725.0,0.0,7788659,1872334,261778316.0,976824,250130904.0,,177410007,1872395,261778316.0,,1288,6514526,201641,46627,11609697,,0,0
