date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,2193937,990449,411506,142977,262523,38648,107664,90.0,5551,5551,230813,35488,845545,0.0,,,,794919,0.0,1034209,0.0,1080000,2013年03月31日,918821,,,4821841,4821841,0,71628,1354516,3899809,90,,,,1729605.0,109443.0,,0,1080000,,,1502808.0,2488869,,6324649.0,,39809.0,142741,,195325,0.0,148292,2424840,0
2013-07-29,2,2013,2162659,612240,636124,8996,326562,4505,97269,84.0,5646,5646,238588,41246,882529,0.0,,0.0,,387536,0.0,191978,,1080000,2013年06月30日,497157,,,4402911,4402911,0,115083,1047085,3166407,84,,,,1953729.0,18920.0,,0,1080000,,,1164827.0,2384109,,5567738.0,0.0,31906.0,112096,,197342,0.0,117742,2401331,0
2013-10-30,3,2013,2130573,513890,280471,6911,273080,19183,215094,74.0,5582,5582,247966,54145,1838068,0.0,,,,786425,0.0,129514,,1080000,2013年09月30日,398807,,,4251079,4251079,0,115083,1086079,3067763,74,,,,751108.0,0.0,43373.0,0,1080000,,,1221962.0,2384109,,5473041.0,0.0,83695.0,130301,26665.0,193821,0.0,135883,2405278,0
2014-03-25,4,2013,2163980,658847,251161,22767,343515,37682,407044,67.0,5681,5681,229322,33376,2091738,0.0,,,,605948,0.0,912226,,1080000,2013年12月31日,543764,,,4466471,4466471,0,115083,2544277,4819438,67,,,,1133761.0,0.0,55907.0,1649486,1080000,,,2769744.0,2384109,,7236215.0,,195995.0,219786,23408.0,195946,,225467,2416777,0
2014-04-28,1,2014,2101798,623725,373699,146088,333323,21119,287432,,5660,5660,203765,9895,1051972,,,,0.0,439525,,1299986,,1080000,2014年03月31日,508642,,,4421157,4421157,0,115083,1959098,4235066,30462,,,1350085.0,,0.0,55691.0,1055085,1080000,,,2171923.0,2384109,,6593080.0,69670.0,43812.0,207165,21989.0,193870,,212825,2358014,0
2014-08-04,2,2014,1997988,340476,414969,38127,255745,7895,135203,,5557,5557,197413,8359,986227,,,,0.0,553858,,224327,,1080000,2014年06月30日,202267,,,4006330,4006330,0,138209,1423879,3344183,29136,,,1883888.0,,0.0,54679.0,355213,1080000,,,1583257.0,2330109,,5589587.0,91944.0,21732.0,153821,20867.0,189054,,159378,2245404,0
2014-11-07,3,2014,1984383,268296,205194,8149,356659,7063,242248,,5699,5699,201189,8630,1980365,81241.0,,,0.0,1051913,,80100,,1080000,2014年09月30日,130087,,,3953823,3953823,1600000,138209,1787743,3627062,29088,,,1278948.0,,,0.0,452311,1080000,,,1908902.0,2330109,,5862725.0,71262.0,37252.0,115460,21003.0,192559,,121159,2235663,0
2015-03-09,4,2014,1990623,455307,260463,61321,485973,13496,351043,29166.0,5881,5881,203656,6301,1838772,0.0,,,0.0,1155792,,1148953,,1062850,2014年12月31日,317098,,,4297238,4297238,0,138209,2425299,4676664,29166,,,1268294.0,,30500.0,0.0,869307,1062850,,,2622287.0,2293108,,6919525.0,95741.0,8281.0,191107,19416.0,197355,,196988,2242861,0
2015-04-27,1,2015,1908421,868049,247280,4394,447883,9876,233228,28106.0,5826,5826,200878,6741,426459,,,,,805320,,835057,,1062850,2015年03月31日,729840,93421.0,0.0,4671890,4671890,0,138209,1946408,4765753,28106,,,,3257661.0,,,709471,1062850,6922126.0,2250236.0,,2293108,6922126.0,,81040.0,8954.0,298002,18968.0,194137,,303828,2156373,0
2015-07-30,2,2015,1815788,698307,330653,18641,377536,71069,89894,26883.0,5744,5744,199997,9931,897815,,,,,583080,,212234,,1062850,2015年06月30日,560098,0.0,30019.0,4378658,4378658,0,138209,1100243,3705458,26883,,98386.0,,2106642.0,,,88169,1062850,5763595.0,1384937.0,,2239965,5763595.0,,27272.0,251827.0,278950,15469.0,190066,,284694,2058137,0
