date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,工程存出保證金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收分期帳款,應收帳款,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應收分期帳款,長期應收票據,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,0.0,0.0,420080,226576,1210845,0,26962,184943,2863,-4248,323272,4274,50812,2172,,,19664,95791,1929,2213,72911,219641,219641.0,48640,,,,374581,6118,33492,1489704,1523196,8915,17451.0,49855.0,1329504,2013年03月31日,635906,,2795149,2795149,0,574795,1002370,2976581,,23087,144,,974564.0,56311.0,57145,1329504,,,1030087.0,259048,,3825236.0,0.0,,8053,6304,19258,1693,20951,,27717,848655,196590,318998,0
2013-08-02,2,2013,0.0,0.0,407503,224976,1021219,10011,24463,465005,651,-2444,279415,3521,51390,1990,,,18370,91386,1500,1726,71575,241436,241436.0,49400,0.0,55197.0,,357041,6698,33855,1442120,1475975,10438,16644.0,0.0,1329504,2013年06月30日,420315,,2607327,2607327,0,600760,1197071,3055742,,21470,144,,1025910.0,45398.0,43514,1329504,,,1223841.0,259048,,3831168.0,0.0,,8400,5628,16731,1580,18311,0.0,26770,775426,184734,275894,0
2013-11-04,3,2013,0.0,0.0,433409,214976,1135118,10028,19511,179920,1784,-4216,333294,3554,52571,826,1106.0,582.0,18260,88603,619,2426,70200,325323,325323.0,50639,0.0,0.0,,450347,9559,33906,1489581,1523487,6205,15834.0,0.0,1329504,2013年09月30日,534214,,2719454,2719454,0,600760,1057865,3022675,,19635,144,,932203.0,35569.0,49176,1329504,,,1084855.0,259048,,3804309.0,0.0,,8730,5500,15735,1467,17202,0.0,26990,781634,171074,329740,0
2014-03-20,4,2013,0.0,0.0,441852,174976,1135476,10043,20162,200482,1234,-168,400708,3576,60158,832,1028.0,267.0,17776,92096,459,2239,69887,266922,266922.0,58298,0.0,0.0,,496374,6724,32205,1492278,1524483,9297,15537.0,0.0,1329504,2013年12月31日,534572,,2723860,2723860,0,600760,1212471,3207565,,19877,144,,1171615.0,47607.0,60576,1329504,,,1238534.0,259048,,3962394.0,0.0,,8287,5866,20128,1355,21483,0.0,26063,754829,163813,397132,0
2014-05-07,1,2014,0.0,0.0,439178,173776,1193519,10057,27641,179038,405,354,343358,2083,60203,1027,666.0,1187.0,16967,86922,1720,2223,67241,323679,323679.0,58510,0.0,,0.0,410994,7471,21420,1345398,1366818,14473,14744.0,0.0,1329504,2014年03月31日,592615,,2782425,2782425,0,600760,1039951,3094910,,18025,144,1143488.0,,59279.0,39811,1329504,,,1063917.0,259048,,3846342.0,0.0,,6999,5890,15532,1242,16774,0.0,23966,751432,175787,341275,0
2014-08-11,2,2014,,,396884,113326,981044,10072,24494,454888,3716,-4582,376883,2068,56520,880,318.0,1920.0,16265,86939,1833,2287,64814,518870,518870.0,55322,0.0,0.0,0.0,655190,1191,23339,1454798,1478137,16069,13978.0,0.0,1329504,2014年06月30日,353425,,2565014,2565014,0,627451,1580868,3525869,,16233,168,1189784.0,,44765.0,47951,1329504,,,1604619.0,259048,,4169633.0,,,7486,5888,17243,1129,18372,0.0,23751,643764,252701,374815,0
2014-11-10,3,2014,0.0,0.0,391090,12086,1063539,10086,176569,169858,828,74460,421930,6056,54551,738,585.0,1789.0,15544,83662,1545,2309,61198,672725,672725.0,53228,0.0,,0.0,503423,16534,21011,1814911,1835922,4364,13235.0,0.0,1329504,2014年09月30日,435920,,2726551,2726551,0,627451,1159006,3225404,,14528,168,441278.0,,35952.0,11309,1329504,,,1182295.0,259048,,3908846.0,0.0,,7745,5507,19130,0,19130,0.0,23289,683442,205650,415874,0
2015-03-16,4,2014,0.0,0.0,394137,12086,1134712,10100,144463,228453,867,44778,554431,6618,66812,577,588.0,2029.0,17901,76132,1262,2308,56932,513227,513227.0,65647,0.0,0.0,0.0,569652,13611,22637,2039081,2061718,11940,15593.0,0.0,1329504,2014年12月31日,507093,,2768042,2768042,0,627451,1438247,3584623,,13062,168,721584.0,,56779.0,15321,1329504,,,1462546.0,259048,,4230588.0,0.0,,6398,6085,15909,0,15909,0.0,24299,645965,198375,547813,0
2015-05-04,1,2015,0.0,0.0,391098,7582,1199408,10115,162921,181773,4290,60715,420197,2493,55171,768,588.0,6029.0,17080,90706,1414,2385,56867,417789,417789.0,53815,0.0,,0.0,440052,3112,14888,1719046,1733934,8894,,,1329504,2015年03月31日,571789,52671.0,2848675,2848675,0,627451,1106511,3308202,14695.0,11599,168,,879913.0,,8706,1329504,3978537.0,1129862.0,,259048,3978537.0,,0.0,,6271,6429,26396,0,26396,0.0,23351,670335,198096,417704,0
2015-08-10,2,2015,,,388038,7582,991058,10130,172664,467482,892,63991,495307,6154,52590,1082,270.0,6034.0,16215,88401,1411,2410,56173,483325,,51238,0.0,,0.0,588337,3552,16834,1914751,1931585,4389,,,1329504,2015年06月30日,336694,43248.0,2643601,2643601,0,654220,1605273,3599353,13805.0,10135,144,,888512.0,,7347,1329504,4271713.0,1628112.0,,259048,4271713.0,,,529.0,6624,5540,24783,0,24783,0.0,22839,672360,227401,489153,0
2015-11-09,3,2015,,,385026,7582,1064514,10143,140586,197888,2283,37820,552858,7766,52866,1117,626.0,6313.0,15330,92862,1195,2410,56476,389460,389460.0,51123,0.0,,0.0,554264,1863,20537,2058512,2079049,10056,,0.0,1329504,2015年09月30日,410150,29632.0,2690886,2690886,0,654220,1344308,3418946,12920.0,8693,144,,657839.0,,7803,1329504,4058772.0,1367886.0,,259048,4058772.0,,0.0,2788.0,8248,5077,28878,0,28878,0.0,23578,639826,214462,545092,0
2016-02-26,4,2015,0.0,0.0,380805,7582,1134282,10155,158451,217824,2172,50642,525532,2822,61108,1148,5130.0,7234.0,17976,111614,1171,2616,63192,408367,408367.0,54830,0.0,,0.0,575834,8566,27068,1584080,1611148,6457,,,1329504,2015年12月31日,479918,49834.0,2773476,2773476,0,654220,1377590,3504590,15360.0,7328,144,,1208877.0,,0,1329504,4177332.0,1403856.0,,259048,4177332.0,,0.0,1613.0,8290,6962,40017,0,40017,0.0,26266,672742,194693,522710,0
2016-05-09,1,2016,0.0,0.0,377185,7582,1200279,10164,151981,166638,999,37995,527191,2267,52931,1353,5130.0,7983.0,17170,110292,1845,2516,63373,401779,401779.0,46448,0.0,,0.0,561608,1515,22422,1475001,1497423,2298,,,1329504,2016年03月31日,545915,47820.0,2826826,2826826,0,654220,1304772,3495778,14654.0,5996,144,,1312643.0,,0,1329504,4157134.0,1330308.0,,259048,4157134.0,,0.0,0.0,8366,8320,37091,0,37091,0.0,25536,661356,217541,524924,0
2016-08-08,2,2016,,,373874,7582,1031665,10172,148512,438913,2268,22174,665121,5379,64342,1357,18430.0,7988.0,16371,108326,1531,2437,62673,656138,,44555,0.0,,0.0,441590,4020,28044,1402381,1430425,4113,,,1329504,2016年06月30日,350482,45258.0,2615800,2615800,0,681039,1596059,3587403,13934.0,4667,144,,1178869.0,,0,1329504,4238282.0,1622482.0,,232457,4238282.0,,1157.0,0.0,10052,7918,36134,0,36134,0.0,26423,650879,241076,659742,0
2016-11-07,3,2016,,,372468,6272,1127772,10179,55064,135024,2598,-7492,1043028,7390,68908,1185,18434.0,7995.0,16993,108526,2479,3777,65746,753234,753234.0,49289,0.0,,0.0,683210,7533,28255,1295748,1324003,3260,,0.0,1329504,2016年09月30日,446589,27597.0,2682241,2682241,0,681039,1937168,4092537,13216.0,3578,144,,1653273.0,,40776,1329504,4646974.0,1964733.0,,232457,4646974.0,,0.0,0.0,10572,8529,32306,0,32306,0.0,27565,554437,277082,1035638,0
