date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,保固之短期負債準備,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-07,1,2013,0.0,0.0,1187216,,,1746257,14608.0,,192165,,19541,-1147,39660,39660.0,19032,,,,30000,,31414,,-1147.0,440135,,,587305.0,538780,,,695949,,10068,30000.0,,1041164,,2013年03月31日,1333282,,3233447,3205401,0,409103,875378,3486391,,2290,3127.0,3872.0,,2298539.0,100898.0,0.0,1041164,,,,1512060.0,419127,,,20390.0,,,120148.0,346729.0,15.0,,51993.0,226581.0,,4745507.0,3875.0,0,185.0,19377,23403,28046,636682,1259116,,,,,,0,
2013-08-06,2,2013,0.0,0.0,1190018,,,1508163,0.0,,599894,,27222,880,34243,34243.0,881608,4675.0,876933.0,,29375,,39714,,880.0,377510,104116.0,,428585.0,536060,,,860416,,20942,29375.0,,1070352,,2013年06月30日,1027473,,3272520,3243340,0,470015,1278508,3772651,,2345,,10675.0,,1604833.0,97691.0,0.0,1174468,,9844.0,,1755846.0,559829,,,76832.0,,,70643.0,445229.0,15.0,,37753.0,374586.0,,5028366.0,776.0,120,224.0,19378,23414,29180,477338,1255715,,,,,,0,
2013-11-13,3,2013,,,1188095,,,1713095,0.0,,243724,,24286,-2171,28861,,802223,14556.0,787667.0,,29550,,42796,,-2171.0,430980,,,342965.0,433296,,,862832,,14215,29550.0,,1192975,,2013年09月30日,1232405,,3581435,3549976,0,470015,818507,3534767,,2756,,10675.0,,1397556.0,102367.0,0.0,1192975,,10259.0,,1210400.0,646077,,,90813.0,,,,525190.0,15.0,,30059.0,,,4791835.0,0.0,2675,36.0,19378,23385,31459,391893,1257068,,,,,,0,
2014-03-19,4,2013,0.0,0.0,1199433,,,1912513,0.0,,209336,,8917,700,25128,25128.0,825894,25491.0,800403.0,,28454,,62950,,700.0,425736,,,310767.0,377504,,,753136,,12141,28454.0,,1199651,,2013年12月31日,1431823,,3821939,3787054,0,470015,750300,3643781,,9654,,10675.0,,1617777.0,125671.0,0.0,1199651,,10506.0,,1119601.0,674190,,,8721.0,,,153461.0,638360.0,15.0,,27094.0,484899.0,,4941540.0,2155.0,180,225.0,30080,25497,34885,369301,1297759,,,,,,0,
2014-05-13,1,2014,,,1186892,,,2106148,0.0,,188921,,2779,3517,20512,20512.0,503776,24973.0,478803.0,31847.0,28629,,32526,0.0,3517.0,550933,,0.0,308654.0,460931,,,857616,,6895,28629.0,,1200802,,2014年03月31日,1625458,,4026361,3989277,0,470015,833047,3970629,,11015,,10675.0,2048599.0,,150606.0,,1200802,,10604.0,,1200410.0,678810,,,4590.0,,,159226.0,647432.0,15.0,,26773.0,488206.0,,5226771.0,1473.0,31,159.0,30080,25550,37084,367363,1256142,,,679.0,,,0,
2014-08-13,2,2014,,,1168992,,,1584595,,0.0,947763,,4122,-537,22070,,501206,27788.0,473418.0,31383.0,28103,,91730,0.0,-537.0,490188,120080.0,0.0,309603.0,475789,,,999285,,9809,28103.0,,1200913,,2014年06月30日,1028611,,3502201,3464254,0,555984,1552467,4124595,,11593,,0.0,2119133.0,,95991.0,,1320993,,10854.0,,1920253.0,559203,0.0,0.0,4590.0,0.0,0.0,39145.0,527875.0,15.0,,26723.0,488730.0,,5422454.0,0.0,852,32.0,30080,25512,37947,367786,1297859,60000.0,,347.0,,,0,
2014-11-13,3,2014,306520.0,306520.0,1159409,,,1884373,0.0,0.0,269215,,2784,3970,337238,30718.0,173494,25999.0,147495.0,31411.0,28265,,52312,0.0,3970.0,525128,,0.0,0.0,575824,0.0,,1154013,,3306,28265.0,,1326126,,2014年09月30日,1328389,,3825047,3790039,0,555984,1294999,3930551,,10573,,0.0,2060189.0,,96247.0,,1326126,,11654.0,,1353344.0,575570,0.0,0.0,4471.0,0.0,0.0,51978.0,544758.0,15.0,,26326.0,492780.0,,5178391.0,4821.0,0,0.0,30080,25546,35008,58345,1247840,15000.0,11637.0,5901.0,,,0,
2015-03-13,4,2014,302789.0,302789.0,1148004,,27332.0,2151133,,,219784,,4539,14471,324749,21960.0,175443,25955.0,149488.0,32684.0,28686,,37701,,14471.0,470493,,0.0,0.0,428529,,,1030707,,10113,28686.0,4349.0,1329472,,2014年12月31日,1595149,,4118199,4081471,0,555984,1131478,4085795,,10399,,0.0,2394500.0,,125155.0,,1329472,,27332.0,,1195595.0,586395,,,2433.0,,,60743.0,558069.0,15.0,,25878.0,497326.0,,5313794.0,5929.0,0,0.0,35431,27546,36728,64117,1227999,,,5017.0,,,0,
2015-05-12,1,2015,,53115.0,1151430,,,2359241,,,230727,,2392,12328,107335,54220.0,191917,39793.0,152124.0,35300.0,28424,,39146,,,755135,,0.0,0.0,599918,,,902637,11815.0,15123,,0.0,1383166,,2015年03月31日,1803257,164700.0,5028897,4538216,0,555984,1120306,4751018,28424.0,243938,,0.0,,2830488.0,,,1383166,6213620.0,17626.0,1184723.0,,783481,,,,,,,,,,,,6213620.0,,0.0,41511,0.0,35993,28088,490681,64417,1462602,,,3846.0,,,0,
2015-08-13,2,2015,,0.0,1143922,,,1774891,,,1089559,259659.0,1007,8240,29374,29374.0,189908,37929.0,151979.0,34911.0,28788,,43608,,,676994,69158.0,0.0,0.0,499337,,829900.0,1063545,10757.0,10699,,0.0,1394525,,2015年06月30日,1122975,96676.0,4452648,4003042,0,651916,1733510,4803787,28788.0,231575,,0.0,,2850815.0,,,1463683,6250938.0,17898.0,1798290.0,,756228,,,,,,,,,,,,6250938.0,,666.0,62,0.0,35992,28046,449606,64780,1447151,0.0,,8697.0,,,0,
