date,season,year,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,倉儲設備淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,出租資產－其他淨額,出租資產－機器設備淨額,售氣及輸氣設備淨額,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,土地成本,土地淨額,土地－重估增（減）值,天然資源淨額,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付利息,應付員工紅利,應付土地房屋款,應付工程保留款,應付帳款合計,應付營業稅,應付票據合計,應付租金,應付股利,應付董監事酬勞,應付薪資,應付設備款,應付退休金費用,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融負債－非流動,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,景觀園藝淨額,暫估應付費用,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,本期損益,模具設備淨額,機具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備成本,水電設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,營業器具淨額（觀光飯店業適用）,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,當期所得稅負債,短期借款合計,租賃改良淨額,租賃資產淨額,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－水電設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,與待出售非流動資產直接相關之負債,裝卸設備淨額,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,追溯適用及追溯重編之影響數,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遊樂設備淨額,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,避險之衍生金融負債－非流動,避險之衍生金融資產－非流動,銷項稅額,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-04-29,1,2013,1397641,0.0,127705,127705,2073970,0.0,0.0,173287,0.0,173287,11824,-11337,1357,0,450,690030,186595,450,253353,17674,0,0.0,0.0,0.0,-9386,-11337,0.0,-1951.0,455906,459587,3681,0.0,3983,17674,820813,820813,0,,,0.0,0.0,0.0,0.0,0.0,383658,0.0,80584,0.0,0.0,0.0,0.0,0.0,0.0,922319,79554,249370.0,776260,258668,154694,0.0,0.0,0.0,807560,807560,1335000,0.0,0.0,2013年03月31日,1504962,312999,,,0.0,0.0,0.0,863468,101243,3498798,3498798,0,204327,44298,536412,753754,1992072,,3498,0.0,0.0,32596,,130319.0,0.0,85116.0,19000,0.0,0.0,1504962,503435,517592,762225,160029,20808,20105,1335000,0,0.0,,10752,0.0,,1051498.0,101165,0,,101165,,4550296.0,28834,8026,0.0,0.0,0.0,0.0,0.0,46330,26225,44391,1118,43273,49452,0.0,0.0,0.0,0.0,297744,2558224,26793,0,1357,0,1357
2013-08-13,2,2013,1422818,,127705,127705,1807180,,,578388,,578388,7983,-6950,1005,0,450,693152,178255,450,253392,15405,0,,,,-6950,-6950,,,455906,459587,3681,,3986,15405,755816,755816,0,,,,,,,,320916,,69651,,,,,,,990102,82662,249406.0,776260,250003,153367,,,,838022,838022,1335000,,,2013年06月30日,1183911,367038,,,,,,859895,93449,3236395,3236395,0,205239,41557,590673,1097220,2025523,,2789,,,32596,,154193.0,,60984.0,53510,,,1183911,514897,526257,766446,163682,21125,21054,1335000,0,,,12766,,,1397934.0,101165,0,,101165,,4634329.0,29690,8565,,,,,,45418,24364,47322,1118,46204,48700,,,,,300714,2608806,34317,0,1005,0,1005
2013-11-13,3,2013,1449239,,127705,127705,1944772,,,204332,,204332,33865,-11482,3228,0,450,784937,259288,450,253401,13982,0,,,,-11482,-11482,,,455906,459587,3681,,3985,13982,818938,818938,0,,,,,,,,430467,,48609,,,,,,,1051406,72854,249416.0,964415,426119,152041,,,,837424,837424,1335000,,,2013年09月30日,1321503,66595,,,,,,908069,132706,3369455,3369455,0,240417,73647,590673,1145033,2184971,,2845,,,32596,,140679.0,,38135.0,401500,,,1321503,525649,538296,775363,166770,21689,22668,1335000,0,,,18762,,,1447033.0,101165,0,,101165,,4816488.0,30236,8547,,,,,,45418,22750,48599,1118,47481,48281,,,,,302000,2631517,66779,0,3228,0,3228
2014-03-19,4,2013,1470623,,118105,118105,2079465,,,247049,,247049,23526,15781,6366,0,7450,814904,276330,7450,250265,13994,0,,,,7166,15781,,8615.0,455906,459587,3681,,4857,13994,1004093,1004093,0,,,,,,,,376180,,44108,,,,,,,1023241,67636,245408.0,965540,414789,150714,,,,873031,873031,1335000,,,2013年12月31日,1456196,92904,,,,,,912287,127058,3531474,3531474,0,240632,70419,590673,1135397,2289756,,2466,,,32596,,128960.0,,62285.0,388177,,,1456196,538574,550751,785229,170213,22101,24218,1335000,0,,,11232,,,1435111.0,101228,0,,101228,,4966585.0,30197,8096,,,,,,45658,21440,49449,1118,48331,47896,,,,,299714,2676829,34850,0,6366,0,6366
2014-04-30,1,2014,1473791,,118105,118105,2202912,,,179413,,179413,21135,12700,8307,0,7450,828559,276082,7450,250141,14028,0,,,,5563,12700,,7137.0,459587,459587,0,,4858,14028,901840,901840,0,,0.0,,,,,,344818,,38573,,,,,,,1014761,64554,245283.0,931411,392128,160769,,,,887617,887617,1335000,,,2014年03月31日,1579643,129730,,,,,,912556,117682,3651840,3651840,0,242484,68829,590673,985470,2230422,,2294,,,32596,112422.0,,,87681.0,316040,,,1579643,552477,539283,794874,173655,22684,24477,1335000,0,,,10638,,,1286554.0,101228,0,63.0,101165,,4938394.0,30832,8148,,,,,,46082,21605,50943,1118,49825,51368,,,,,301084,2707972,108260,0,8307,0,8307
2014-08-13,2,2014,1489728,,118105,118105,1886106,,,463306,,463306,13437,111,9225,0,7450,843008,275636,7450,251120,13999,0,,,,-1515,111,,1626.0,459587,459587,0,,5960,13999,968589,968589,0,165000.0,0.0,,,,,,339465,,48290,,,,,,,1002558,78839,245160.0,916874,380489,158754,,,,875353,875353,1335000,,,2014年06月30日,1208722,156226,,,,,,920166,119105,3487445,3487445,0,235316,66618,644788,1159417,2239734,,2278,,,32596,119502.0,,,52573.0,235000,,,1208722,567372,536385,801061,168698,23030,23464,1500000,0,,,11558,,,1459788.0,101228,0,63.0,101165,,4947233.0,32082,9052,,,,,,46479,23015,49251,1118,48133,49282,,,,,300371,2707499,49359,0,9225,0,9225
2014-11-05,3,2014,1527210,,118105,118105,2037709,,,241142,,241142,33152,20232,8783,0,7450,850292,269054,7450,249871,14017,0,,,,9914,20232,,10318.0,459587,459587,0,,4858,14017,914214,914214,0,0.0,0.0,,,,,,427861,,70396,,,,,,,1064953,83754,245013.0,916874,368799,156739,,,,913923,913923,1500000,,,2014年09月30日,1360325,225195,,,,,,919974,110299,3659169,3659169,0,235633,63521,644788,1149018,2332741,,1824,,,32596,162025.0,,,33831.0,355000,,,1360325,581238,548075,809675,172112,23688,25180,1500000,0,,,12005,,,1452525.0,101228,0,63.0,101165,,5111694.0,32194,8506,,,,,,47429,22249,53636,1118,52518,47135,,,,,303507,2778953,67193,0,8783,0,8783
2015-03-11,4,2014,1559050,,105105,105105,2163975,,,234423,,234423,16029,40441,8280,0,7450,874655,278743,7450,250591,14082,0,,,,21204,40441,,19237.0,565294,565294,0,,4861,14082,918740,918740,0,0.0,0.0,,,,,,349072,,53820,,,,,,,956599,66446,245730.0,964598,407733,156389,,,,929796,929796,1500000,,,2014年12月31日,1486591,95657,,,,,,934052,116523,3805644,3805644,0,237305,62020,644788,883341,2167860,,1844,,,32596,165488.0,,,59794.0,159892,,,1486591,595912,556865,817529,175285,24346,26062,1500000,0,,,18060,,,1184290.0,101228,0,63.0,101165,,4989934.0,33436,9090,,,,,,50052,23990,50358,1118,49240,55808,,,,,300949,2822074,37108,0,8280,0,8280
2015-04-28,1,2015,1548642,,105105,105105,2299609,,,186724,,186724,15525,33182,12664,0,7450,883994,272122,7450,250326,14065,0,,,,17219,33182,,15963.0,565294,565294,0,,4860,14065,801856,801856,0,0.0,0.0,,,,,,459029,,34760,,,,,,,877139,60971,,964778,395564,154298,,,,934200,934200,1500000,,,2015年03月31日,1622225,119446,83013.0,,,,,935470,107056,3934159,3934159,0,236989,58695,644788,789440,2212692,245466.0,1612,,,32596,,430435.0,,,0,,,1622225,611872,569214,828414,178294,24973,27447,1500000,0,,5023664.0,13250,,1089505.0,,101368,0,203.0,101165,5023664.0,,33633,8660,,,,,,49252,21805,49739,1118,48621,53050,,,,,300065,2810972,19316,0,12664,0,12664
2015-08-06,2,2015,1535616,,105105,105105,2062813,,,592223,,592223,15002,22809,7906,0,7450,889058,260817,7450,251469,14042,0,,,,11527,22809,,11282.0,565294,565294,0,,6373,14042,859606,859606,0,0.0,0.0,,,,,,359725,,47918,,,,,,,860628,61288,,965843,384382,152209,,,,925090,925090,1500000,,,2015年06月30日,1333004,132462,57208.0,,,,,946367,108388,3686990,3686990,0,237978,56351,697213,1101686,2306611,245096.0,1398,,,32596,,459804.0,,,23000,,,1333004,628241,581461,837979,181627,25675,29288,1500000,0,,5090672.0,13706,,1403682.0,,101368,0,203.0,101165,5090672.0,,33633,7958,,,,,,49252,19964,50527,1118,49409,50601,,,,,301996,2784061,42833,0,7906,0,7906
