date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付貨款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,80705.0,304000,384705,5057326,57696.0,-498433,,0.0,,617823,,714955,,-26650,422500,37795,163149.0,163149.0,0.0,95119.0,72455,802348,0,,33410,1011491,1011491,0,,0.0,1345052,207420,,,1611994,256772,,39045.0,70312.0,21699.0,4414759,2013年03月31日,-498433,,,7371846,7371846,0,,3986382,5992172,,63364,,,,,2046012.0,71877.0,,1317997,4414759,,,4693071.0,3482170,,12064917.0,3501.0,0.0,0.0,,0.0,212.0,0.0,634234,432374.0,0.0,706689,6072745,187799,274855.0,187799.0,0
2013-08-05,2,2013,81087.0,304000,385087,5088926,,-73481,0.0,0.0,57696.0,601790,24958.0,146563,59.0,4340,421147,36060,,,,,72338,668641,668641,4340.0,33788,1254465,1254465,0,,0.0,1270263,482584,,15559.0,1593014,239464,0.0,38550.0,,21699.0,4414759,2013年06月30日,-73481,,,7199605,7199605,0,,4227001,6081239,,59474,,0.0,17130.0,,2042530.0,72021.0,,1336117,4414759,,,4795200.0,2853987,,11994805.0,2562.0,0.0,0.0,,0.0,0.0,0.0,495861,,0.0,568199,5913566,805144,,,0
2013-10-30,3,2013,81477,304000,385477,4996044,,-210438,0,0,66036,740155,24717,217920,75,-21878,446500,61023,,,,,64134,587082,587082,-21878,26062,1196370,1196370,0,,0,1512311,573324,199283,33252,2189480,450165,10488,38072,,18881,4414759,2013年09月30日,-210438,,,7036430,7036430,0,,4870826,6730014,,55816,,105900,0,,1856162,47490,,1291198,4414759,,,5417443,2853987,,12453873,2596,0,0,,0,0,0,482483,,0,546617,5723859,703454,,,0
2014-03-06,4,2013,81868,304000,385868,4821678,,-233416,0,0,61507,990176,33431,131202,12,25328,436341,50473,68,,,,43505,573904,573904,25328,14689,1124001,1124001,0,,0,1736191,619806,99728,87060,2581082,435172,93863,28816,,16459,4414759,2013年12月31日,-233416,,,7061634,7061634,0,,5231864,7150813,,56729,,89190,0,,2347006,43669,,1182465,4414759,,,5619456,2854963,,12681090,2997,0,0,,0,0,0,344087,,0,387592,5530277,349217,,,0
2014-04-29,1,2014,0.0,410800,410800,4659941,,-165623,0.0,0.0,61507.0,741142,33200.0,142616,3770.0,63478,462878,52078,67.0,,,,43228,648059,648059,63478.0,14996,1120515,1120515,0,0.0,9439.0,1964153,1025346,0.0,93491.0,2939348,416522,273147.0,28232.0,,15159.0,4414759,2014年03月31日,-165623,,,7164333,7164333,0,,6234847,8637964,,53099,,242751.0,0.0,3323215.0,,48811.0,,1865826,4414759,,,6911397.0,2851719,,14075730.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,623883,,0.0,676550,5437766,176013,,,0
2014-08-11,2,2014,9484.0,450800,460284,4438746,,35610,0.0,0.0,61507.0,712722,26007.0,58717,7961.0,5011,499161,38877,74.0,,,,43425,639390,639390,5011.0,15773,909083,909083,0,0.0,0.0,1693385,451297,0.0,60691.0,2500625,141995,28469.0,27652.0,,9974.0,4414759,2014年06月30日,35610,,,7073683,7073683,0,,4858119,7202871,,51501,,58696.0,0.0,3319749.0,,43298.0,,1371558,4414759,,,5330306.0,2618303,,12403989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428762,,0.0,472187,5201118,177502,,,0
2014-11-06,3,2014,0.0,490800,490800,4271838,,108334,0.0,0.0,61507.0,799976,23008.0,81907,8047.0,57856,520442,29642,122.0,,,,43190,729528,729528,57856.0,16123,920368,920368,0,0.0,0.0,1802072,395577,0.0,54676.0,2220074,181902,7300.0,27067.0,,0.0,4415449,2014年09月30日,108334,,,7200621,7200621,0,,4593826,7084035,,49365,,58887.0,0.0,3439269.0,,42372.0,,955703,4415449,,,4995652.0,2618982,,12196273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358636,,0.0,401826,5112238,166159,,,0
2015-03-20,4,2014,0.0,530800,530800,4443689,,79725,,0.0,53507.0,810109,21260.0,66063,4698.0,188906,580529,49729,169.0,,,,39349,470553,470553,188906.0,9714,1030498,1030498,0,0.0,,1547958,158623,0.0,36893.0,1568868,234662,6701.0,29635.0,,0.0,4415449,2014年12月31日,79725,,,7303062,7303062,0,,3612929,6103882,,47200,,65172.0,,2965908.0,,42557.0,5388.0,415000,4415449,,,3815769.0,2618982,,11118831.0,0.0,,0.0,,,,0.0,163491,,0.0,202840,5014949,155755,,,0
2015-04-28,1,2015,,379438,379438,4262832,,34862,,,53507.0,672960,22477.0,78922,831.0,145342,429546,50108,110.0,,,,44015,471127,471127,145342.0,14785,1069800,1069800,0,0.0,0.0,1648491,182690,,60397.0,1522425,427460,5.0,,,0.0,4415449,2015年03月31日,34862,36107.0,3943.0,7214635,7214635,0,,3702668,6423035,29230.0,45579,221626.0,,,,2935475.0,,,650000,4415449,11256080.0,4041445.0,,2618982,11256080.0,,,,,0.0,,,,294762,,0.0,338777,4833045,162438,,,0
2015-08-04,2,2015,0,339498,339498,4070494,,81414,,,53507,704773,21182,51057,4664,118011,393818,54320,4,,,,38805,457138,457138,118011,9978,878582,878582,0,,,1675286,170668,,27057,1894025,310184,0,,,0,4415449,2015年06月30日,81414,36105,2321,7233856,7233856,0,,3703889,6881941,28827,42377,56998,,,,3522210,,,675000,4415449,11505457,4271601,,2618982,11505457,,,,,,,,,528907,,,567712,4623516,161896,,,0
