date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,非流動負債合計,非流動資產合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2014-08-08,2,2014,39010,695824,0,224869,297763,16446,0,1895,123629,84619,28903,28903,44,44,72664,72664,1895,185575,,15071,0,504458,,,0,813945,317370,354,9093,750000,2014年06月30日,212323,,977159,977159,0,12546,1022958,1604177,2938,226513,,7528,89580,750000,,,1446890,395,0,395,,,2424049,0,0,388,39353,423500,0,423932,819872,,0,0
2015-03-11,4,2014,12660,820284,0,412937,436278,32618,0,34050,40827,28167,55263,55263,45,45,63360,63360,34050,188316,,15071,0,659027,,,0,1035558,333451,2224,2442,800000,2014年12月31日,400391,,1323453,1323453,0,12546,1150281,2033937,13070,371436,,7502,0,800000,,,1649016,76466,76071,395,,,2972469,6647,0,11190,39376,487500,,498735,938532,,0,0
2015-06-11,1,2015,100000,811836,,494166,496316,25681,3130,27845,133715,33715,51175,51175,45,45,127816,27821,27845,188479,,15071,0,607404,,0,,1093966,291459,7948,2442,800000,2015年03月31日,481620,17498,1398477,1398477,0,12546,1285065,2092599,17337,,414463,,30000,800000,3089290,1690813,,76466,76071,395,,3089290,,132,1227,5703,37260,400000,,405748,996691,99995,,0
2015-08-10,2,2015,75000,857687,,457695,555975,21094,3085,18729,109713,34713,72402,72402,45,45,212262,27633,18729,189624,,15071,0,610900,,,,1123032,316028,7733,2442,800000,2015年06月30日,410874,29195,1352890,1352890,0,46821,1306032,1860638,17715,,112451,,0,800000,2987803,1634913,,76466,76071,395,,2987803,,249,118,3836,37059,325000,,328881,1127165,184629,,0
2015-11-02,3,2015,170000,993188,18000,491638,508682,23223,3292,45321,196311,26311,62145,62145,45,45,306001,28910,45321,163331,,0,0,614754,,,,989341,301393,42137,2442,800000,2015年09月30日,444817,23635,1413425,1413425,0,46821,1559001,1838830,17940,,253958,,211535,800000,3211754,1798329,,76466,76071,395,0,3211754,,4084,10,9283,35353,230000,,239328,1372924,277091,0,0
2016-08-08,2,2016,0,1321142,18000,216074,529264,14703,3227,14820,3540,3540,70274,70274,45,45,283523,28396,14820,188500,36068,0,0,422299,10177,,0,738027,187667,10662,2442,890000,2016年06月30日,151490,857,1345056,1345056,1361000,64584,1106137,1436100,26939,,223040,,140000,890000,3123353,1778297,,260230,259835,395,0,3123353,,0,0,3115,35207,669000,,672160,1687253,255127,,0
