date,season,year,不動產及設備－淨額,保留盈餘合計,備供出售金融資產未實現損益,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,其他什項金融負債,其他什項金融資產,其他權益合計,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,國外營運機構財務報表換算之兌換差額,增資準備,央行及銀行同業存款合計,存放央行及拆借銀行同業合計,存款及匯款合計,待註銷股本股數,應付款項合計,應付金融債券合計,應收款項－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債合計,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,無活絡市場之債務商品投資,無活絡市場之債務工具投資,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債合計,當期所得稅資產合計,累積盈餘,股本合計,股本溢價,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債合計,透過損益按公允價值衡量之金融資產合計,遞延所得稅資產合計,避險之衍生金融負債－淨額,避險之衍生金融資產淨額,附買回票券及債券負債合計,附賣回票券及債券投資淨額,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-07,1,2013,2850477,5064757,-178994.0,,11083079,1486268.0,2784179,-168238,411749,243166,1486268,12861386,10756,,24883359,74135951,374474563,,7067855,25078247,18992254,2122081,2386971,22422596,2013年03月31日,3316163,,,,27341463.0,27341463,0,1742672,1858762,10077207.0,,5922,,6371556.0,115634.0,,3316163,22422596,22348,,710733,,438863673.0,294344680,22348,,466205136.0,4629395,16572736,825498,5870.0,155165.0,,21401374,0
2013-08-15,2,2013,2844442,4387806,-224762.0,,18201156,1161403.0,3054941,-211343,438742,207910,1161403,13237628,13419,1198586.0,24038777,75136585,392562649,,8033182,25114152,21608747,2699776,2343178,22422596,2013年06月30日,1696400,,,,27832568.0,27832568,0,2511684,1849476,10182687.0,,179722,,6516586.0,53817.0,,1696400,23621182,34923,,719276,,456858122.0,314135911,34923,,484690690.0,4728043,16400551,734573,8081.0,138009.0,,8636162,0
2013-11-01,3,2013,2817135,5260972,-436268.0,,16639829,1486065.0,3196354,-425067,489645,210504,1486065,11833978,11201,,25027428,79374297,392644362,,11477111,25055638,21604064,2647545,2331771,23621182,2013年09月30日,2569566,,,,28492010.0,28492010,0,2511684,1840190,8637624.0,,179722,,4488898.0,60296.0,,2569566,23621182,34923,,714972,,462674675.0,316949779,34923,,491166685.0,5708838,18635068,669368,10320.0,120853.0,,11003406,0
2014-03-04,4,2013,2814164,5595176,-314461.0,,21735693,,2748522,-298197,414966,206250,2060491,11226390,16264,,13782129,88827255,398305940,,13502992,27103885,20672272,3105972,2365826,23621182,2013年12月31日,2903770,,,,28953084.0,28953084,0,2511684,1830904,8477868.0,,179722,,4397645.0,10870.0,,2903770,23621182,34923,,754125,,463236094.0,292517032,34923,,492189178.0,7288065,18795444,576972,12631.0,111034.0,,23006325,0
2014-05-14,1,2014,2795890,6600091,-243710,,23408918,,3880345,-226419,466469,204449,3747590,11779002,17291,,29133988,78755499,384426049,0,7595347,24186999,19187248,3099309,1595320,27271182,2014年03月31日,3908685,,,,34105538,34105538,0,2511684,1821618,7898657,,179722,,5120930,19174,,3908685,27271182,460684,,778142,,458493988,309768694,460684,,492599526,8135197,20388010,463261,5033,86733,,14124645,0
2014-08-21,2,2014,2785291,5662737,-237332.0,,24874389,,4944544,-226384,564080,184965,1783373,9252304,10948,1347081.0,23803386,76242162,400390200,0.0,8684353,24114395,21289391,4023179,1549262,27271182,2014年06月30日,1975799,,,,34517016.0,34517016,0,3382816,1814275,4307760.0,,304122,,5574545.0,38112.0,,1975799,28618263,462400,,782446,,471673856.0,326549020,462400,,506190872.0,8314422,19396624,696113,5205.0,73318.0,3193884.0,11886034,0
2014-11-04,3,2014,2774832,6658147,-382013.0,,19914633,,6734287,-357933,551682,184517,1775502,11147507,24080,,17260122,74796005,406232704,0.0,10743394,24192844,20546118,4056935,1548604,28618263,2014年09月30日,2971209,,,,35380877.0,35380877,0,3382816,1807905,4413220.0,,304122,,7243272.0,30283.0,134841.0,2971209,28618263,462400,,788173,,476339101.0,333506115,462400,,511719978.0,10213716,21881152,610370,5205.0,56318.0,4545476.0,11510854,0
2015-03-20,4,2014,2785884,7384364,-269559.0,,30518170,,7839735,-202295,530549,165375,2874070,14811608,67264,,11496870,78125478,423242417,0.0,5596002,25479749,19664258,3991084,1592014,28618263,2014年12月31日,3697426,,,,36262732.0,36262732,0,3382816,1801534,6971873.0,,304122,,8084621.0,243366.0,26785.0,3697426,28618263,462400,,762276,,485677248.0,319176466,462400,,521939980.0,11055294,25944211,826343,5204.0,40439.0,4391451.0,14385710,0
2015-05-05,1,2015,2804603,8276912,,-237352.0,38967398,,7690076,-172424,498704,206541,2576629,15040496,64928,,14328786,72846259,429298138,,5839576,25445647,18896122,3303232,1618152,28618263,2015年03月31日,4589974,325510.0,27156.0,37185151.0,,37185151,0,3382816,1795163,,7350420.0,304122,6536460.0,,,,4589974,28618263,462400,536399810.0,991498,499214659.0,,333835271,462400,536399810.0,,11402974,23788603,800440,5003.0,26064.0,8502194.0,15907850,0
2015-08-12,2,2015,2839709,6566900,,-276852.0,41106387,,4698701,-211714,521207,155124,2977176,10833001,65138,1714167.0,14667624,77987793,430446223,,7179143,23007531,22916493,3266077,1579459,28618263,2015年06月30日,1867508,221974.0,4919.0,37147534.0,,37147534,0,4491173,1788792,,6134300.0,208219,7006998.0,,,,1867508,30332430,459918,538579416.0,984688,501431882.0,,332036824,459918,538579416.0,,9232991,21402372,734266,4512.0,11516.0,12188813.0,14909686,0
