date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,營建用地,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,203762,203762,4371867,1908065,354507,354507.0,40119,-26662,254244,50482,187020,1250,324975,794722,216203,216203,311281,3051,1767779,68189,1699590,0.0,,,402687,,70868,1243088,141255,202659.0,,25485,2979639,2013年03月31日,1100956,,6782879,5477516,0,560419,2245553,5723147,,312531,,13354.0,68189.0,246690,,2318882.0,109095.0,1044824,2979639,,9328,,4532050.0,616474,616474.0,,11314929.0,514965,87177,1446557,1446557,119265,456569,1305363,2286497,5591782,11650,11650,121950,0
2013-08-06,2,2013,300000,300000,4570440,1833592,748022,748022.0,114908,45120,401264,101264,132041,1093,328408,545752,15986,15986,313771,3113,1776820,68511,1708309,0.0,0.0,,297964,,98805,1404448,184372,204829.0,534904.0,26250,2979639,2013年06月30日,981071,,6794329,5474825,0,605831,2731725,5735836,,314864,,8106.0,,246690,,2103570.0,150646.0,1024198,2979639,,10826,,5016737.0,616474,616474.0,,11811066.0,559817,83020,1396787,1396787,120466,390174,1319504,2285012,6075230,11571,11571,139592,0
2013-11-01,3,2013,400000,400000,4569561,1993335,492141,492141.0,50185,-16820,500530,100530,127302,967,327749,608318,20877,20877,309621,3084,1852623,73590,1779033,0.0,,,400142,0.0,57443,1407809,144114,206335.0,528091.0,25971,2979639,2013年09月30日,1140814,,6896201,5572628,0,605831,2871931,5819865,,310588,,67741.0,,246690,,2158657.0,117935.0,1293812,2979639,,9928,,5043690.0,616474,,,11939891.0,546993,77497,1297017,1297017,118330,385836,1323573,2171759,6120026,11434,11434,201605,0
2014-03-06,4,2013,500000,500000,4588010,2189521,574001,574001,62433,59968,585294,85294,106072,1032,328700,686243,21817,21817,312435,3135,1789176,77523,1711653,0,,,389220,,52562,1470310,152511,205869,1053330,26916,2979639,2013年12月31日,1337000,,7214286,5845602,0,605831,2784386,5676697,,313467,,20198,,246690,,2064386,169500,1002420,2979639,,11389,,5203082,616474,,,12417368,592750,72705,1497246,1497246,119696,401204,1368684,2418696,6740671,11611,11611,263222,0
2014-04-30,1,2014,400000,400000,4551034,2407838,431668,,67704,101511,449047,49047,116472,868,330917,759936,24768,24768,307330,3176,1803430,84876,1718554,,,,485522,,52641,1547824,134844,210264.0,1050031.0,27464,2979639,2014年03月31日,1597265,,8291678,6221237,0,605831,2820616,6758014,,308198,,106.0,,204742,3075964.0,,272693.0,1119009,2979639,,10036,,5236104.0,732249,,,13527782.0,587095,73105,1497476,1497476,117477,400541,2070441,2415488,6769768,11670,11670,334627,0
2014-08-05,2,2014,400000,400000,4234411,2214851,1048998,1048998.0,71988,9190,439156,39156,109044,704,330441,812622,34058,34058,301405,3112,1823702,91113,1732589,,,0.0,298401,,73353,1460685,166158,211713.0,1243156.0,27022,2979639,2014年06月30日,1333729,,7788124,5932068,0,676380,3226250,6168265,,302109,,106.0,,204742,2525575.0,,295770.0,1058269,2979639,,12303,,5070944.0,728388,,,12859068.0,566548,71483,947705,947705,115616,370201,1856056,1844694,6690803,11007,11007,408363,0
2014-11-06,3,2014,400000,400000,4299071,2431252,578342,578342.0,68456,120914,466135,66135,116843,545,332447,905285,28385,28385,306789,0,1811515,91518,1719997,,,0.0,416929,,74641,1510694,114186,214611.0,1277323.0,28484,2979639,2014年09月30日,1550130,,8202412,6260193,0,676380,2963637,6549610,,307334,,106.0,,204742,2916575.0,,298606.0,1116705,2979639,,12279,,5235708.0,728388,,,13438120.0,599169,71013,1340455,1340455,117836,376780,1942219,2272071,6888510,11235,11235,500120,0
2015-03-03,4,2014,406560,406560,4399050,2705068,691866,691866.0,117497,332613,468140,61580,108366,434,363408,953753,27149,27149,308783,1552,1731028,74935,1656093,,,0.0,387260,,72598,1610154,132460,241038.0,1322328.0,29144,2979639,2014年12月31日,1823946,,8791579,6745708,0,676380,3278717,7272347,,309217,,106.0,,204742,3561072.0,,351736.0,1292548,2979639,,14569,,5567487.0,728388,,,14359066.0,683858,73227,1241504,1241504,120818,403637,2045871,2288770,7086719,11664,11664,522967,0
2015-04-30,1,2015,416400,416400,4680778,2952762,530801,,107851,265481,485015,68615,142897,342,365751,665200,19355,19355,305447,3721,1793182,74935,1718247,,,,405128,,60120,1506843,105325,,1321739.0,28394,2979639,2015年03月31日,2071640,395234.0,9014245,6926270,0,676380,3138466,7248066,243108.0,305789,106.0,,,204742,,3579362.0,,1249496,2979639,14326268.0,12672,5312023.0,,728388,,14326268.0,,678012,76302,1129794,1129794,118922,395863,2087975,2173557,7078202,12500,12500,249982,0
2015-08-10,2,2015,426240,426240,4692292,2641956,1384701,1384701.0,131961,194116,464968,38728,160314,263,365827,983396,19792,19792,301266,3685,1909193,73662,1835531,,,0.0,336479,,67364,1618057,120317,,1378430.0,29482,2979639,2015年06月30日,1657981,342407.0,8543570,6544099,0,774352,4096650,7407945,245653.0,301529,106.0,,,209623,,3455692.0,,1487600,2979639,14871114.0,13131,6327544.0,,728388,,14871114.0,,700610,78040,1164457,1164457,116489,479501,1999471,2230894,7463169,12305,12305,484103,0
2015-11-03,3,2015,436080,436080,4846575,2939056,721128,721128.0,87038,459989,471901,35821,189889,236,375306,1450671,20582,20582,320425,3772,1929035,73662,1855373,,,0.0,353283,,86944,1672610,122039,,1437835.0,31518,2979639,2015年09月30日,1955081,363593.0,9236130,7107072,0,774352,4461256,8115262,251081.0,320661,295936.0,,,209623,,3805846.0,,2449113,2979639,16282452.0,15294,7046322.0,,728388,,16282452.0,,763054,79930,1446706,1446706,120453,502089,2129058,2585066,8167190,12869,12869,928000,0
2016-03-07,4,2015,464442,464442,5038669,3227576,843359,,78384,345455,513034,48592,182865,223,398164,1428567,17999,17999,309819,3691,2996552,1256891,1739661,,,0.0,295263,,57007,1584676,129745,,234676.0,32457,2979639,2015年12月31日,2243601,407842.0,9380054,7281058,0,774352,3754665,8741041,279006.0,310042,106.0,,,209623,,3756145.0,,1622207,2979639,15871397.0,15953,6491343.0,,728388,,15871397.0,,774029,85945,1564485,1564485,115467,488380,2098996,2736678,7130356,12568,12568,922188,0
2016-05-06,1,2016,514672,514672,5644083,3607439,694270,,74662,265995,558597,43925,240337,216,361186,1194692,17686,17686,303912,3637,3026139,1262695,1763444,,,,388516,,53243,1846375,100475,,229475.0,30276,2979639,2016年03月31日,2623464,437168.0,9737752,7581461,0,774352,4459995,8910411,243396.0,304128,1000.0,,,209623,,3608987.0,,2309549,2979639,16393141.0,18652,6655389.0,,728388,,16393141.0,,784135,80076,1050073,1050073,114153,479386,2156291,2195394,7482730,12436,12436,697620,0
2016-08-11,2,2016,519401,519401,5703425,3383508,1421104,1421104.0,79073,179389,564606,45205,274352,206,360034,1311039,17471,17471,304597,3553,2977247,1246910,1730337,,,0.0,286181,,79587,1892912,127460,,222199.0,32109,2979639,2016年06月30日,2285522,473163.0,9387659,7270281,0,888363,5228902,8809761,245921.0,304803,1000.0,,,209623,,3445484.0,,2380898,2979639,16464034.0,23363,7076375.0,,727745,,16464034.0,,807801,80698,679638,679638,110560,470098,2117378,1847473,7654273,12233,12233,823470,0
2016-11-07,3,2016,513131,513131,5855569,3731589,884910,884910.0,76419,-7222,584238,71107,246744,194,356184,1416390,16878,16878,296172,3429,2869651,1264538,1605113,,,0.0,344798,,67436,1948647,127185,,212637.0,31338,2979639,2016年09月30日,2633603,451213.0,9526471,7431751,0,888363,5334613,8761612,246369.0,296366,1000.0,,,209623,,3480110.0,,2980465,2979639,16654627.0,21553,7128156.0,,727745,,16654627.0,,751679,80715,685680,685680,106386,597600,2094720,1793543,7893015,11856,11856,801912,0
