date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－關係人,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,商品存貨,商譽,土地成本,土地淨額,在製品,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,專利權,專利權淨額,庫存現金,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,持有至到期日金融資產－流動淨額,按攤銷後成本衡量之金融資產－流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期損益,模具設備淨額,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累計折舊－房屋及建築,累計減損－專利權,累計減損－電腦軟體,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期預付租金,零用金／週轉金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,30000,,,30000,744414,,616178,,65725,65725,5354,5354,,31597,38473,8473,11407,,152867,,,,418,412,22810,3112,3112,0,69221,87697,37500,153740,153740,51111,6,0,282251,194554,87697,432,419,,,,,,,,65055,65055,9096,9096,0,0,,259591,0,0,,,1877,,,420947,348531,,,605890,2013年03月31日,616178,,,616178,0,86435,1321539,1287582,0,281633,794999,,43746,,,234519,,37505,,65779,72416,13,27342,605890,74222,,,,288596,33917,5276,27173,27173,1468,0,,1610135,,,0,2841,6545,6545,4166,65779,234406,0,0,19698,113,33169,5827,33957,6963,815136,,,,0
2013-07-30,2,2013,,,,,250000,750058,,465118,,304165,61809.0,7076,,,36576,268160,18160,16609,,,,,,418,412.0,28406,8508.0,8508,,,,,,,,6,0.0,267307,267307.0,,,,,,,,,,,,90702,,8006,,0.0,242356.0,314939,,0.0,,,3840,,,,,,,605890,2013年06月30日,,,,,,,1174320,1141710,0,764726,1120858,,43606,,,511087.0,,27250.0,,66443,,,,605890,,,,,772709.0,34126,,,,,,,1947029.0,,,,,7565,,4101,,511087.0,,0.0,19898,,,,32610,7983,826171,,,,0
2013-10-31,3,2013,,0.0,,,0,739953,,540957,,76119,,7470,,,32738,21646,21646,21341,,,,,,418,412.0,31199,,11673,0.0,,,,,,,6,0.0,288633,288633.0,,,,,,,,,,240287.0,,102911,,9868,,0.0,,313382,,0.0,,,2352,,,,,,,605890,2013年09月30日,,,,,,,1256047,1223329,0,405209,1116132,,43875,,,482954.0,,23342.0,,170973,,,,605890,,,,,679193.0,43744,,,,,,,1935240.0,,350.0,0.0,,6779,,4081,,482954.0,,26500.0,19526,,,,32718,273984,819108,,,,0
2014-02-21,4,2013,,,,,0,733470,,657798,,74338,,8821,,,38336,14523,14523,21780,,,6887.0,,6887.0,2089,,44200,,17590,,,,,,,,6,0.0,288320,288320.0,,,,,,,,,,210434.0,,121648,,10843,,0.0,,424252,,0.0,,,6052,,2083.0,,,,,612306,2013年12月31日,,,,,,,1418783,1386424,0,359391,1175146,,44986,,,425721.0,,42789.0,,95250,,,,612306,,,,,580518.0,77984,,,,,,,1999301.0,,,200.0,,8604,,1499,,,,0.0,19723,,,,32359,221127,824155,,,0.0,0
2014-04-22,1,2014,,,,,0,752131,,799715,,86581,,10769,,,37960,10265,10265,25953,,,6899.0,,6899.0,1846,,44565,,18169,,,,,,,,12,,311978,311978.0,,,,,,,,0.0,,173337.0,,113783,,10692,,,,479430,,,,,4597,,1834.0,,,,,616166,2014年03月31日,,,,,,,1599727,1566048,0,359600,1298796,,46052,,465559.0,,,65294.0,,72985,,,,616166,,,,,543310.0,112207,,,,,,,2143037.0,,,510.0,,8527,,1493,,,,,19497,,,,33679,183710,844241,,,,0
2014-07-28,2,2014,,,,,0,750906,,497635,,455843,81021.0,10802,,,31010,11164,11164,29303,,,6812.0,,6812.0,937,,69250,,43442,101.0,,,,,,,9,,298122,298122.0,,,,,,,92034.0,0.0,,96280.0,,117660,,8491,,,374822.0,560169,,,,,3480,,928.0,,,,,624011,2014年06月30日,,,,,,,1458313,1426709,0,723075,1419675,,47391,,517698.0,,,57932.0,,71985,,,,716045,,,,,830383.0,182019,,,,,,,2288696.0,,,101.0,,7104,,1474,,,,2987.0,18996,,,,31604,107308,869021,,,,0
2014-11-10,3,2014,,,,,110000,804112,,693451,,97706,,8599,,,41017,124356,14356,33118,,,7026.0,,7026.0,746,,65927,,39571,,,,,,,,6,,332878,332878.0,,,,,,,,0.0,,84366.0,125630.0,125630,9687.0,9687,,,,665745,,,,,6426,,740.0,,,,,717380,2014年09月30日,,,,,,,1675704,1644878,0,434770,1284732,,51693,,237896.0,,,53143.0,,24248,,,,717380,,,,,531748.0,193030,,,,,,,2207452.0,,0.0,70.0,,9153,,988,,,,2713.0,19330,,,,30826,96978,922720,,,,0
2015-02-24,4,2014,29550.0,0.0,0.0,0.0,29550,852418,0.0,937794,0.0,133723,,22740,,0.0,55760,45332,15782,75656,,165519.0,,,7129.0,1242,,34679,,7756,,,,,,153740.0,,9,,327495,327495.0,,,,,0.0,0.0,,0.0,0.0,0.0,,129867,,7594,,,,608506,,0.0,0.0,0.0,5589,0.0,1233.0,,351602.0,0.0,0.0,723953,2014年12月31日,,58483.0,,,,120542.0,1991701,1959691,0,441936,1505683,,58066,0.0,465660.0,,0.0,100134.0,0.0,25286,,,,723953,,,,,461648.0,242184,,,,,,,2453349.0,0.0,,37.0,2532.0,15898,,2503,,,,2572.0,19794,,,,32010,19712,947666,,0.0,,0
2015-04-23,1,2015,27854,20000,,,47854,848093,,1195635,,98311,,6963,,,51140,75712,27858,83892,,,,,13263,1095,,52598,,19882,,,,,,,,18,,370269,370269,,,,,,,,0,,0,,149139,,8278,,,,696705,,,,,6893,,,,,,,724166,2015年03月31日,,,129066,,,,2246612,2214752,0,485729,1790560,1077,57356,,,625832,,,,25223,,,,724166,,2750679,,504067,,243811,,,,,,2750679,,,,6,,14951,,2072,,,,2292,19453,,,,31860,18338,960119,,,,0
2015-07-30,2,2015,25750.0,60000.0,,,85750,864402,,902268,,548993,111927.0,5361,,,44261,113462,27712,34494,,,6002.0,,6002.0,1088,,77366,,52337,,,,,,,,125,,357089,357089.0,,,,,,,108606.0,,,0.0,,166137,,7195,,,437066.0,829068,,,,,6293,,,,,,,724424,2015年06月30日,,,81773.0,,,,2054867,2025356,0,942255,2013529,963.0,56399,,,781224.0,,,,24695,,,,833030,,3013762.0,,958895.0,,245797,,,,,,3013762.0,,0.0,,,,13542,,2066,,,,2010.0,19027,,,,29511,16640,1000233,,,,0
2015-10-28,3,2015,22056.0,0.0,,,22056,876761,,1107011,,694409,114646.0,11456,,,66665,42385,20329,35439,,,6002.0,,6002.0,978,,89069,,63422,0.0,,,,,,,128,,379375,,,,,,,,108606.0,0.0,,0.0,,176627,,7033,,,579763.0,959578,,,,,11427,,,,,,,724861,2015年09月30日,,,79681.0,,,,2274925,2241821,0,1000135,2268779,850.0,59348,,,871504.0,,,,0,,,,833467,,3296040.0,,1021115.0,,234678,,,,,,3296040.0,,,,0.0,,18131,,2083,,,,1871.0,19645,,,,33104,20980,1027261,,,,0
2016-03-10,4,2015,16354.0,,,,16354,862419,,1381975,,121720,,10844,,,48982,36541,20187,79454,,,6807.0,,6807.0,3086,,56007,,30394,0.0,,,,,,,131,,355930,355930.0,,,,,,,,0.0,,,,181695,,7437,,,,920151,,,,,8157,,,,,,,834245,2015年12月31日,,,123913.0,,,,2537060,2504897,0,582138,2363878,2955.0,58361,,,989342.0,,,,110832,,,,834245,,3342093.0,,805033.0,,239695,,,,,,3342093.0,,,,0.0,,13214,,1428,,,,206595.0,18806,,,,32163,222895,978215,,,,0
2016-05-05,1,2016,3168.0,5886.0,,,9054,1129162,,1649348,,137218,,5283,,,54709,33095,24041,134595,102500.0,,6807.0,32095.0,6807.0,12414,,89464,22556.0,22556,,,,,,,,142,41534.0,504840,504840.0,,,,1421514.0,,,,0.0,,,,237617,,6592,,,,1034953,,,,,11678,,,,,,,836010,2016年03月31日,,,166305.0,,,,2975033,2791264,0,1473391,3112863,12272.0,389473,,,1421514.0,,,,857423,,,,836010,,4724144.0,35141.0,1749111.0,,251197,,,,,,4724144.0,,,,0.0,,3181,,3182,,,,260125.0,18567,,,,183769,275720,1611281,,,,0
2016-08-08,2,2016,0.0,2615.0,,,2615,1118102,,1094926,,909297,158476.0,13954,,,38462,36755,34140,142815,101921.0,,15124.0,40894.0,15124.0,12280,,329524,,35021,,,,,,,,125,46434.0,496389,496389.0,,,,1664398.0,,,83424.0,0.0,,668278.0,,229845,,4911,,,750821.0,1112806,,,,,15029,,,,,,,836431,2016年06月30日,,,107454.0,,,,2514972,2331886,0,1842375,3445391,12155.0,388985,,,1664398.0,,,,524628,,,,919855,,5284959.0,27175.0,2769987.0,,278643,,,,,,5284959.0,,,2310.0,,,3181,,2957,,,,243873.0,17945,,,,183086,927612,1839568,215000.0,,,0
2016-11-10,3,2016,0.0,418555.0,,,418555,1098187,,1356026,,176075,176075.0,6736,,,16883,447922,29367,136123,105624.0,,,30499.0,14707.0,12170,,129011,,51732,,,,,,,,128,45334.0,481666,,,,,,,,83424.0,,,670940.0,,196455,,7900,,,0.0,1189337,,,,,14259,,,,,,,836431,2016年09月30日,,,61823.0,,,,2860948,2571407,0,2222495,4166112,12042.0,390618,,,2337991.0,,,,1308082,,,,919855,,5786659.0,21718.0,2925711.0,,278643,,,,,,5786659.0,,,2520.0,,,3181,,2731,,,,16925.0,17238,,,,289541,703216,1620547,,,,0
