date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,65324,-358424,146301.0,,294142,112480,2623,24212,139405,,,15691,0.0,,0.0,29166,1493,12050,,1264,-6896.0,10786,138683,0.0,,195099,1272,,192295,34,27673.0,1636490,2013年03月31日,-358424,,,1417599,1417599,0,,659133,1695016,,1429,,,1267691.0,267.0,2001.0,293647,1636490,,38054,,758143.0,128,,,128.0,128.0,,,2175742.0,,69844,107781,0.0,99010,480726,70100,0
2013-08-06,2,2013,58895,-409175,120001.0,,267409,111443,3156,24377,117206,,,16569,0.0,,0.0,29102,1432,16019,,1415,-2795.0,14604,142560,,,207728,1389,,186655,26,27670.0,1636490,2013年06月30日,-409175,,,1344649,1344649,0,,651628,1644621,,1631,,,1220579.0,770.0,1709.0,262665,1636490,,47908,,748726.0,128,,,128.0,128.0,,,2093375.0,,67996,104800,,97098,448754,68715,0
2013-11-12,3,2013,57358,-470338,173167.0,35223.0,285159,116254,3381,24993,167185,,,17846,,,,28612,1423,18200,,2373,-5982.0,15827,152176,,,169295,1235,543.0,117989,0,27189.0,1636490,2013年09月30日,-470338,,,1333465,1333465,0,,594288,1553584,,2726,,,1150682.0,1057.0,2757.0,232858,1636490,,51819,,687782.0,128,,,128.0,128.0,,,2021247.0,,64882,104220,,93494,467663,69764,0
2014-03-17,4,2013,81805,-511398,139399.0,10853.0,263796,129899,2041,27421,120126,-15622.0,-15622.0,14110,,,,25551,1199,13966,,2374,-3651.0,11592,175929,,,199895,715,,129946,0,24352.0,1716490,2013年12月31日,-511398,,,1262996,1261794,0,,674808,1564844,,1931,0.0,,1144760.0,2147.0,3448.0,275913,1716490,,50088,,761459.0,-63424,,,128.0,128.0,-63552.0,,2024455.0,0.0,61100,98113,1202.0,86651,459611,72487,0
2014-05-13,1,2014,77606,-559809,129446.0,0.0,259741,95489,1167,24718,107857,-13146.0,-13146.0,14119,,,,27062,2531,22584,,11542,-8443.0,11042,150412,,0.0,144711,366,0.0,133540,0,24531.0,1716490,2014年03月31日,-559809,,,1202338,1201114,0,,616998,1446325,,1135,,1059669.0,,2995.0,3042.0,312620,1716490,,45531,,703967.0,-63424,,,128.0,128.0,-63552.0,,1906305.0,,59907,98914,1224.0,86969,459980,74944,0
2014-08-12,2,2014,88876,-650487,,0.0,271655,106959,2144,24151,120415,,,9907,100000.0,,100000.0,27103,2526,13622,,2412,,11210,183268,,0.0,161336,6,0.0,114888,0,24577.0,1716490,2014年06月30日,-650487,,,1124853,1122994,0,0.0,649225,1388889,,1589,,888227.0,,875.0,1825.0,322374,1716490,,45624,,732930.0,-63424,,,,128.0,-63552.0,,1857783.0,,56602,93152,1859.0,83705,468894,76530,0
2014-11-12,3,2014,96529,-224794,,0.0,364075,121959,3364,20455,223466,,,7439,,,,26851,2444,11164,,136,,11028,199115,,0.0,170473,65,0.0,154996,99,24407.0,1205092,2014年09月30日,-224794,,,1142307,1140340,0,0.0,704777,1372293,,2433,,911912.0,,929.0,1989.0,352732,1205092,,47816,,785856.0,-63424,,,,128.0,-63552.0,,1928163.0,,54228,81669,1967.0,81079,555870,83727,0
2015-03-26,4,2014,92456,-318129,277815.0,0.0,408110,107935,2458,23198,271195,-6173.0,-6173.0,20427,,,,26752,2381,11387,,136,-447.0,11251,191365,,0.0,196058,29,,200823,0,24371.0,1205092,2014年12月31日,-318129,,,1091252,1089245,0,0.0,752817,1359327,,1453,0.0,856794.0,,1703.0,2647.0,391719,1205092,,32488,,835598.0,-68913,,-69041.0,128.0,128.0,,,1926850.0,,56029,54117,2007.0,82781,567523,84500,0
2015-05-12,1,2015,81388,-390392,296878.0,,427174,100669,1366,21890,296471,-3552.0,-3552.0,6813,,,,26439,2344,11113,,136,3145.0,10977,191079,,0.0,179127,106,0.0,212990,0,,1186276,2015年03月31日,-390392,2505.0,2710.0,1048561,1046547,0,0.0,688787,1251110,24095.0,613,,,743035.0,,,368603,1186276,1819814.0,29598,771253.0,,-45808,0.0,0.0,128.0,128.0,-45936.0,1819814.0,,,56027,48416,2014.0,82466,568704,79406,0
2015-08-12,2,2015,71152,-459090,251882.0,,382177,103816,1978,20047,248287,-2856.0,-2856.0,15186,0.0,,0.0,26274,2310,10825,,136,-739.0,10689,212986,,0.0,196019,15,0.0,200663,709,,1186276,2015年06月30日,-459090,1480.0,3136.0,931127,929665,0,0.0,729381,1232982,23964.0,996,,,710884.0,,,381401,1186276,1742804.0,29486,811677.0,,-45808,,-45936.0,,128.0,,1742804.0,,,56022,44672,1462.0,82296,509822,84557,0
2015-11-12,3,2015,63778,-472074,266020.0,,396314,110266,2396,21961,260117,-2160.0,-2160.0,26764,,,,26698,2396,11588,588.0,588,-3743.0,11000,204615,,0.0,216412,15678,0.0,228558,7372,,1186276,2015年09月30日,-472074,3770.0,3261.0,931220,928511,0,0.0,832805,1331307,24302.0,2335,,,780568.0,,,426086,1186276,1846757.0,31433,915537.0,,-45808,,0.0,128.0,128.0,-45936.0,1846757.0,,,56034,41435,2709.0,82732,515450,84972,0
2016-03-22,4,2015,64267,-514586,264091.0,,394386,138132,2152,21995,253684,-670.0,-670.0,22836,,,,28936,2153,11480,,525,-9737.0,10955,244257,,0.0,184055,94557,,234132,2401,,1186276,2015年12月31日,-514586,7236.0,2427.0,895304,890376,0,,844590,1318856,26783.0,1710,,,733526.0,,,363200,1186276,1824824.0,32422,929520.0,,-34998,,-34998.0,,0.0,,1824824.0,,,55994,34125,4928.0,84930,505968,80118,0
2016-05-09,1,2016,55683,-580940,337008.0,,469574,103240,1091,20579,325544,-487.0,-487.0,19550,2515.0,2515.0,,29205,2203,11151,,136,-10977.0,11015,219176,,,130066,13853,,152113,10,,1186276,2016年03月31日,-580940,7235.0,2433.0,900878,895882,0,,711106,1134096,27002.0,1107,,,655166.0,,,408545,1186276,1701513.0,27526,800635.0,,-34998,,,,,-34998.0,1701513.0,,,60324,29902,4996.0,89529,567417,82104,0
2016-08-08,2,2016,40448,-676084,297441.0,,430007,110563,1550,18792,280677,-304.0,-304.0,47143,3222.0,3222.0,,29833,2317,13075,,136,-16460.0,12939,250630,,0.0,141712,10521,0.0,164426,0,,1186276,2016年06月30日,-676084,8159.0,1881.0,761418,755871,0,0.0,791186,1139767,27516.0,887,,,617658.0,,,443859,1186276,1642771.0,27679,881353.0,,-34998,,,,,-34998.0,1642771.0,,,60334,18587,5547.0,90167,503004,83158,0
2016-11-07,3,2016,34029,-743807,297441.0,,430007,119211,1772,32361,277357,-121.0,-121.0,27051,1104.0,1104.0,,29766,2296,13402,,148,-19963.0,13254,262456,,0.0,150150,3943,0.0,189523,0,,1185153,2016年09月30日,-743807,10586.0,1873.0,692287,685305,0,0.0,777856,1080938,27470.0,1865,,,528427.0,,,436941,1185153,1560241.0,28202,867954.0,,-33398,,,,,-33398.0,1560241.0,,,60332,0,6982.0,90098,479303,65194,0
