date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付租賃款－流動,應付租賃款－非流動,應付股利,應付設備款,應收帳款淨額,應收帳款－關係人淨額,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,972918,,972918,9884929,1323542,1228139,777718,136385,1017648,44730,677586,74150,603436,6439,1593977,857,15295,8856.0,8856.0,1790986,0.0,,,,1579521,59479,,1059669,,450421,2924857,453952,2655255,2013年03月31日,,,10530528,10389190,0,5306358,9609835,381695,,3762454.0,222562.0,,1188186,2655255,,1384,27547,,9378642.0,6274008,,19909170.0,9439.0,0,19647,17416,2431113,531370.0,1591039,141338,4072284,10299335,0.0,,0
2013-05-09,1,2014,,1216385,334650.0,1551035,10940683,-709699,949062,556351,169050,1616507,20243,540558,444373,96185,6479,2276216,2380,8435,1956.0,1956.0,624915,0.0,,0.0,,627772,57984,45229.0,1880093,,392711,1366034,112021,2688389,2014年03月31日,,,8634236,8513346,0,4350591,5880651,326745,3154449.0,,0.0,82674.0,1030238,2688389,,66442,27830,,8535905.0,6365606,,17170141.0,2586.0,0,13455,13627,1867813,393743.0,2273836,120890,4185314,11289490,0.0,,0
2013-08-13,2,2013,,1510276,,1510276,10458334,635613,1160052,570908,197845,1561699,51423,159952,17184,142768,6810,1670923,2541,15643,8833.0,8833.0,1246040,0.0,,,,804660,47645,,1097961,,589144,2103631,478552,2655255,2013年06月30日,,,9897801,9762721,0,5035380,7615244,390497,,3627069.0,112924.0,,1333399,2655255,,548,27547,,8599333.0,6274008,,18497134.0,14453.0,0,28296,17416,1837187,570421.0,1668382,135080,3563953,10881890,0.0,,0
2013-11-12,3,2013,,1383011,,1383011,11132272,262687,1107708,324368,157230,1427140,44129,191770,71927,119843,6631,2417609,2408,14985,8354.0,8354.0,1007643,0.0,,,,546516,53973,,1815964,,783340,1617976,387979,2685255,2013年09月30日,,,9518844,9388270,0,4197789,6519903,359833,,3274335.0,11452.0,35264.0,1029182,2685255,,21818,27547,,8525565.0,6283098,,18044409.0,,4936,22914,17416,1859706,599237.0,2415201,130574,4327776,11524506,0.0,,0
2014-03-27,4,2013,,1410542,328925.0,1739467,11080775,-288846,1326449,696097,163915,1754992,15525,594814,496101,98713,6881,2166819,2465,15293,8412.0,8412.0,513683,0.0,,,,472475,63985,,1878696,,630352,1801946,169919,2688389,2013年12月31日,,,9052745,8927547,0,4770788,6419504,332191,,3258070.0,6611.0,81072.0,1054001,2688389,,84994,27830,,8806149.0,6364089,,17858894.0,7281.0,0,13455,11131,1827257,285658.0,2164354,125198,4035361,11439390,0.0,,0
2014-08-12,2,2014,,1201285,395231.0,1596516,10873520,-857943,1148527,770528,99395,1821708,27162,691399,571010,120389,6496,1895083,10718,6496,0.0,0.0,665717,0.0,,50000.0,,718572,38241,198030.0,1740999,0.0,377999,1422781,97718,2688389,2014年06月30日,,,8141494,8032881,0,5446519,5956244,309299,2991356.0,,0.0,82790.0,1670851,2688389,,48620,27830,,9017692.0,6103040,,17159186.0,0.0,4483,13455,13627,1634805,143366.0,1884365,108613,3571173,11202942,0.0,,0
2014-11-11,3,2014,,1251263,416297.0,1667560,11276672,-1137088,1454464,890222,197016,1999228,30503,592185,513782,78403,252674,1895635,9143,252674,0.0,0.0,579808,0.0,,0.0,932563.0,719505,66991,301165.0,1742799,,564242,1614355,111176,2687889,2014年09月30日,,,8012387,7910771,0,5542234,6522707,293929,3534811.0,,0.0,89256.0,1250152,2687889,,47690,27830,,10347222.0,6162954,,18359609.0,4204.0,1116,13455,13627,1935505,143693.0,1886492,101616,4804988,11836902,,,0
2015-03-26,4,2014,,1235118,327051.0,1562169,11007451,-2132341,1585766,919254,286903,2265106,506633,345066,269403,75663,253938,2084956,8987,347838,0.0,0.0,519427,0.0,,0.0,935722.0,652271,67989,196304.0,1961751,,666512,1505029,248248,2687829,2014年12月31日,,,7104090,7008780,0,6456088,7226924,283832,4518508.0,,9756.0,89820.0,1814077,2687829,,51993,28117,,11770589.0,6166389,,18874679.0,9130.0,826,15645,8634,2250061,114218.0,2075969,95310,5314501,11647755,,93900.0,0
2015-03-29,4,2015,,695402,139265.0,834667,8422495,-5154205,1334461,929879,179991,1402847,20584,157312,94427,62885,252477,1850685,107782,252477,0.0,0.0,307598,0.0,,0.0,948471.0,557373,28824,547596.0,1742903,,404582,1006848,271311,2684419,2015年12月31日,0.0,90195.0,1730146,1696428,0,6304217,3818923,113315,,1985563.0,,,2933915,2684419,12614081.0,43771,28407,10883935.0,,3986223,12614081.0,,3026.0,96,9713,6871,1742442,0.0,1742903,33718,4579718,8795158,,0.0,0
2015-05-12,1,2015,,1078839,327478.0,1406317,10995703,-2513846,1275650,851304,257111,1766798,30659,713304,453906,259398,252208,1973830,6276,252208,0.0,0.0,631368,0.0,,95200.0,938893.0,736142,25187,329822.0,1853072,,424346,824185,160056,2687829,2015年03月31日,0.0,89820.0,6689645,6604751,0,5522525,5925820,262985,,3503809.0,,,1655800,2687829,17445350.0,62948,28117,10755705.0,,6173657,17445350.0,,0.0,3278,15645,8634,2276695,114482.0,1967554,84894,5233180,11519530,,0.0,0
2015-08-10,2,2015,,890643,170934.0,1061577,8962179,-3370932,1466792,920915,85478,1506579,30992,607765,384387,223378,252015,1901302,119353,252015,0.0,0.0,649051,0.0,,67150.0,942074.0,534993,39074,414010.0,1781949,,545877,462247,290362,2686877,2015年06月30日,0.0,89820.0,3476867,3423701,0,5488240,4635365,237128,,2536024.0,,,1898638,2686877,14095321.0,39605,28117,10618454.0,,4022278,14095321.0,,2559.0,96,15645,8634,2243076,0.0,1781949,53166,5130214,9459956,,0.0,0
2015-11-12,3,2015,,798097,179748.0,977845,9072839,-3935154,1362273,881330,142271,1512825,23348,195719,156686,39033,252767,1925746,107048,252767,,,537493,0.0,,23100.0,945267.0,615372,42061,511632.0,1818698,,480943,1031493,331043,2684650,2015年09月30日,0.0,89820.0,2955407,2905562,0,6647362,5011992,231344,,2826328.0,,,3043333,2684650,14577576.0,62691,28117,11622169.0,,4013795,14577576.0,,8807.0,96,15645,8634,2060032,0.0,1818698,49845,4974807,9565584,,0.0,0
2016-05-12,1,2016,,644213,139960.0,784173,6311027,-5137565,973344,631684,183737,2237846,855869,307655,75107,232548,252073,1828564,106101,252073,0.0,0.0,162960,0.0,1426778.0,72100.0,951687.0,274398,8421,597804.0,1722463,,341660,300228,159174,2681878,2016年03月31日,0.0,90224.0,1735227,1708211,0,5192409,4661635,98898,,2211787.0,,,1670344,2681878,11330504.0,28056,28407,9595277.0,,3980161,11330504.0,,0.0,2829,9713,6871,1584497,0.0,1722463,27016,4402868,6668869,,0.0,0
