date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券,應付短期票券合計,應付短期票券折價,應付票據合計,應付票據－關係人合計,應付股利,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,現金流量避險中屬有效避險部分之避險工具利益（損失）－母公司,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃改良成本,租賃改良淨額,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－運輸設備,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,138419,1341688,,,18720,140068,,231049,231049,4266,78.0,104638,88926,88926,1167324,282336,31582,11118,884988,23207.0,181488,3060.0,26680,3473.0,3473,,,19652,19652,,124276,124276,0,,253742.0,196936,42020,2169452,,,,6958.0,,,0.0,528767,850592,889409,,0.0,,,178428.0,86416,55101,,,695992,1190535,2013年03月31日,,410,,,93623,29712,3056451,3056451,0,,2826776,5398460,,8746,,,1813985.0,,,81877.0,,0.0,22893,20274,20464,31315,63911,2619,4865,1190535,,9558,56057,,3379462.0,419590,,6435913.0,0.0,1043.0,7017,2152,61399,27548,0,552686,1037453,0,,0
2013-08-07,2,2013,134519,1011152,,,23507,132299,,787771,313466,37228,0.0,86812,99106,99106,1082089,249905,32102,10477,832184,50092.0,178406,0.0,57398,7306.0,7306,,,19652,19652,,117337,117337,0,,99360.0,185136,196173,2732501,,,,0.0,,474305.0,0.0,77422,1002443,865949,,0.0,,,178406.0,86416,54693,,,940843,1218659,2013年06月30日,,408,,,93623,27645,2863755,2863755,0,,4061374,6033959,,12199,,,2827676.0,,,49254.0,,0.0,22893,19669,21625,31723,65978,3224,5042,1218659,,11433,55167,,4477839.0,547132,,7341594.0,0.0,308.0,7017,1975,83532,30377,0,416465,1307635,0,,0
2013-10-30,3,2013,131612,1153204,,,64463,117471,,333654,333654,22011,105.0,104054,112707,112707,1128712,308871,33465,10609,819841,58997.0,179849,0.0,65934,5947.0,5947,,,19652,19652,,90414,90414,0,,0.0,266226,5563,2966328,,,,1212.0,,,0.0,94578,804813,932049,,,,,179849.0,86416,54284,,,990546,1237426,2013年09月30日,,550,,,93623,25593,3123058,3123058,0,,3786537,5857954,,12089,,,2720809.0,,,56244.0,,0.0,22893,19065,22856,32132,68030,3828,4334,1237426,,44603,41683,,4102211.0,628374,,7225269.0,0.0,,6193,1859,94142,49663,0,315674,1367315,990,,0
2014-03-20,4,2013,149526,1291741,,,58653,126977,,429832,429832,9308,158.0,117292,81070,81070,1759874,644958,37656,13884,1114916,58750.0,186370,0.0,67302,5577.0,5577,,,19652,19652,,94904,94904,0,,0.0,239169,14190,3269782,,,,0.0,,,0.0,33583,740889,689617,,25.0,,,186370.0,87666,55085,,,1001482,1237426,2013年12月31日,,17779,,,89338,22732,3274833,3274833,0,,4159113,6350625,,10361,,,2963614.0,,,80785.0,,806.0,22893,18461,23772,32581,66606,4432,4454,1237426,,43479,40705,,4484314.0,628374,,7759147.0,0.0,,6387,1933,98126,52874,0,325201,1408522,2975,,0
2014-05-07,1,2014,156333,1431218,,,28600,174196,,211288,211288,13175,803.0,150462,416976,102009,2000215,623174,37808,12639,1377041,23193.0,188167,0.0,38100,3693.0,3693,,,19652,19652,,78003,78003,0,,0.0,298691,151781,2962627,,,,168.0,,,,37153,901459,480733,,0.0,,,188167.0,87666,54645,,,1041936,1237426,2014年03月31日,,0,,,89338,20882,3447480,3447480,0,,4161505,6473861,,11077,,2919292.0,,,,77841.0,14428.0,0.0,52478,46702,25169,33021,68456,5776,4574,1237426,,42133,42794,,4496691.0,628374,,7944171.0,,0.0,6387,1813,104225,48668,0,335186,1470310,11214,314967.0,0
2014-08-06,2,2014,151945,1127112,,,73550,179029,,771588,338489,146589,512.0,128703,84712,84712,1890988,535242,38720,12255,1355746,14181.0,189979,20.0,28779,3383.0,3383,,,19652,19652,,59718,59718,0,0.0,0.0,191359,21676,3214698,,,,,,433099.0,,153003,602472,225058,,0.0,,,189959.0,87666,54205,,,947963,1237426,2014年06月30日,,0,,,88348,18757,3121615,3121615,0,,4387320,6479806,,13853,,3289726.0,,,,57380.0,16570.0,1555.0,52478,45358,26465,33461,69591,7120,4696,1237426,,44352,44214,,4729119.0,628374,,7850734.0,,21620.0,6414,1718,107606,49359,0,341799,1370928,11215,,0
2014-11-11,3,2014,149311,1322765,,,75180,180342,,368453,368453,25111,300.0,160097,97660,97660,1970944,580178,39458,12348,1390766,4890.0,191741,,34139,5188.0,5188,,,19652,19652,,57530,57530,0,0.0,,197780,76058,2858139,,,,2.0,553.0,,,248713,449622,269930,,25.0,,,191741.0,87666,53766,,,1001380,1237426,2014年09月30日,,0,,,88348,17003,3348662,3348662,0,,3667476,5957837,,13009,,2823062.0,,,,27634.0,15900.0,0.0,52478,44014,27110,33900,71345,8464,4100,1237426,,41197,46405,,4031861.0,628374,,7380523.0,,21520.0,6628,2528,126239,44505,0,364385,1422686,24061,,0
2015-03-24,4,2014,175696,1541957,,,75139,202617,,439703,439703,21161,1360.0,231427,88616,88616,2566321,544868,36194,12044,2021453,,183157,,20327,5656.0,5656,,,37454,37454,1922.0,60316,60316,0,0.0,,220270,54769,2485246,,,,,,,,319579,514613,753396,,0.0,,,183157.0,93223,58857,,,1040840,1237426,2014年12月31日,1113243.0,1011,,,93143,20153,3639184,3639184,0,428714.0,3396138,5911460,,11715,0.0,1560457.0,,,,72374.0,18018.0,0.0,53662,43812,24150,34366,72990,9850,3768,1237426,,35160,48346,,3760319.0,628374,,7399503.0,,21100.0,6133,2365,132678,36848,0,364181,1488043,12749,,0
2015-05-05,1,2015,170488,1676095,,,68380,228235,,244986,244986,20964,61.0,220419,104428,104428,2437906,572263,36784,11398,1865643,,184656,,21479,6473.0,6473,,,37454,37454,2257.0,8789,8789,0,0.0,,170381,72271,1801579,,299976.0,,8739.0,,,,130364,500046,881470,,,,,,93223,58379,,,1070088,1237426,2015年03月31日,1247381.0,0,89022.0,5614.0,93143,18619,3762314,3762314,0,428714.0,2830334,5408171,184656.0,11632,0.0,,1354577.0,,,,,,53662,42435,25386,34844,74524,11227,3930,1237426,6967282.0,38952,43917,3204968.0,,628374,6967282.0,,,0.0,6133,2203,146061,57189,0,374634,1559111,12749,0.0,0
2015-08-11,2,2015,171326,1240979,,,164494,212123,,880210,323369,8174,119612.0,166920,85210,85210,1981526,502322,37652,11284,1479204,,186164,0.0,24055,6178.0,6178,,,37454,37454,2608.0,10079,10079,0,0.0,,261244,30776,1597504,,499812.0,,2.0,,556841.0,,417252,573469,1008971,,,,,,93223,57901,14715.0,,970746,1237426,2015年06月30日,744200.0,0,60058.0,5699.0,97787,21589,3273699,3273699,0,496779.0,3460009,5665990,186164.0,11404,0.0,,1376714.0,,,,,0.0,53662,41058,26368,35322,76198,12604,3555,1237426,7121398.0,45193,39895,3847699.0,,628374,7121398.0,,,0.0,5595,2040,161631,51039,0,387690,1455408,15269,0.0,0
