date,season,year,不動產及設備－淨額,以成本衡量之金融資產－淨額,保留盈餘合計,保險業負債,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,其他什項金融負債,其他什項金融資產－淨額,其他借款合計,其他應付款,其他權益合計,其他準備合計,其他負債合計,其他負債－其他,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,其他預收款,分離帳戶保險商品,分離帳戶保險商品負債,員工福利負債準備,國外營運機構財務報表換算之兌換差額,央行及金融同業存款,存放央行及拆借金融同業,存款及匯款,庫藏股,待出售資產－淨額,待分配股票股利,待註銷股本股數,應付債券,應付商業本票－淨額,應付款項合計,應付費用,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,無活絡市場之債務商品投資－淨額,無活絡市場之債務工具投資－淨額,特別盈餘公積,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股本,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-04-26,1,2013,24978642,4406053,32113731,1522771117,-34519066.0,,373751965,7245405,2129683,3027718,26792157,-34529984,14232,8531359,5702039,19463774,104335278,661085332,2829320,97089873,97089873,1898735,-10918,1930829,108982179,519973312,0.0,77428,,,43496390,4149138,30219578,3427421,53751631,125188783,262468735,138541,84363876,2013年03月31日,16430081,,,,104570333.0,91108107,0,736756,3090045,557459723.0,,14946894,1654000.0,52112941,551406.0,4810492.0,84363876,,1524684084,,2278051754.0,618406274,9160484,,2382622087.0,10096576,47958420,4594491,16085680,20807595,10271225,13462226,,0
2013-08-27,2,2013,25040559,4315650,29047626,1548054981,-34041506.0,,373768898,6912054,1695967,7906048,40826427,-34029502,14232,9893037,6132806,22184037,94655040,664191298,3760231,87742986,87742986,1809809,12004,3484849,117741686,543947478,,77428,2384333.0,,32902615,6347990,44512626,3686199,62461035,124841695,271344059,95786,84363876,2013年06月30日,12362371,,,,106260483.0,92885613,0,1717963,3105146,570436695.0,,14967292,1654000.0,52770340,336978.0,3809002.0,88685282,,1549879022,,2332745276.0,630133808,9182207,,2439005759.0,12856470,61945166,4646770,16467179,19722353,9028637,13374870,1937073.0,193707309
2013-11-26,3,2013,24652425,4304627,33003816,1573340641,-37216690.0,,368723688,5420706,1588910,7912110,29531667,-37231143,14232,13113100,10190995,23237127,93720163,672611295,2922105,88299457,88299457,1714447,-14453,4602753,114414516,547335959,0.0,3594919,,,32921726,7497705,33754237,4222570,62545420,121502090,283431832,99516,93248209,2013年09月30日,16333387,,,,111825423.0,98203089,0,1717963,3125030,578418301.0,,14952466,1654000.0,45301821,139786.0,3853124.0,93248209,,1575069320,,2348592585.0,642003088,9182207,,2460418008.0,6347172,70160424,4491222,16342772,20033332,4818921,13622334,,0
2014-03-14,4,2013,24687516,4409620,31034630,1611173214,-32567544.0,,357586019,7055690,1706303,8279012,28489093,-32555630,14232,14595395,8976897,22550037,95602452,693767677,5618498,88546762,88546762,2215285,11914,4152993,120850612,573445108,,3594919,,,32902418,7597049,32967106,4478013,65175198,122990613,306547795,95083,93288169,2013年12月31日,14364201,,,,114801868.0,100947850,0,1717963,3166948,599104992.0,,14952466,1654000.0,43625253,160365.0,3920628.0,93288169,,1613402731,,2420431533.0,656347501,9180681,,2535233401.0,9932689,91899916,3890087,15097729,21850128,3329957,13854018,,0
2014-05-27,1,2014,24743118,4385169,32217276,1648691716,-34150922.0,,349441616,7516469,1560720,5611362,34597786,-34128143,14232,11417863,7111646,29521226,99394607,707434508,4306217,91878138,91878138,2140536,22779,7290949,120376735,593301196,,3594919,,0.0,32921112,9546480,37834369,3236583,81385200,122867370,327434497,353574,93288169,2014年03月31日,15546847,,,,114655866.0,100557983,0,1717963,3177183,609610481.0,,14952466,0.0,43130365,266546.0,4373122.0,93288169,,1650846484,,2496927001.0,678387961,9180681,,2611582867.0,16583042,94184195,3894049,15133589,28018942,6043689,14097883,,0
2014-08-26,2,2014,24750943,4443208,28136608,1683970324,-29719963.0,,376741440,9312844,1435246,4181630,36351191,-29719119,14232,11194826,7461869,30761006,96927872,685578408,3732957,87615028,87615028,2075097,844,9088380,134633668,603313600,,4985059,5059369.0,0.0,35440089,8996369,40027051,3675860,76313458,121296478,343425376,221126,93288169,2014年06月30日,5271608,,,,120079268.0,105945708,0,2716597,3112655,592084926.0,,20148403,0.0,51691229,177923.0,3453144.0,98347538,,1686059653,,2535171887.0,675525924,9180681,,2655251155.0,8463552,100357878,3574737,14009051,27726205,8394312,14133560,0.0,0
2014-11-25,3,2014,24605677,4289429,32361866,1733238256,-38210092.0,,360237580,11165480,1761881,5682713,32567044,-38178924,14232,13367248,10631486,33004060,91902292,718983457,2735762,80736812,80736812,1992104,31168,7447948,120967773,603853493,,4985059,,0.0,35400300,3998655,37843236,5276192,72098614,121125447,356589748,168411,98347538,2014年09月30日,9496866,,,,116342303.0,102045781,0,2716597,3085101,632195335.0,,20148403,0.0,70705813,176763.0,3673704.0,98347538,,1735244592,,2580760574.0,680370873,9515301,,2697102877.0,19693345,103429457,3959002,14850748,22190987,8221355,14296522,,0
2015-02-26,4,2014,24698737,3692017,31199870,1769961034,-28356045.0,,397047075,12715122,1583986,4835274,39593788,-28210810,15342,13227068,9060533,33893131,93265266,782394275,4166535,80550144,80550144,2538884,145235,14332356,115815558,622643523,,5182190,,0.0,37937460,2199293,44879989,5286201,73161192,120581900,367484781,104587,98347538,2014年12月31日,8335837,,,,125473516.0,110851899,0,2716597,3086638,696568128.0,,20147436,0.0,60836043,120027.0,3801860.0,98347538,,1772515260,,2672363003.0,687204966,9515301,,2797836519.0,36045846,101669448,4062779,13012937,26298862,7861201,14621617,,0
2015-05-26,1,2015,26739097,3746831,34557594,1806991881,,-24290509.0,383613880,14150263,1825214,5650727,35878764,-24153167,15959,14313649,9973904,35757646,85850218,807239485,4339745,71699955,71699955,2502986,137342,2123247,125964830,631425723,,0,,,37973955,2998969,39749076,3870312,71396101,123288348,364681992,207835,98347538,2015年03月31日,11693561,196555.0,4248981.0,132989126.0,,118267052,0,2716597,2974543,,729967485.0,20147436,0.0,56550922,,,98347538,2809233818.0,1809510826,2676244692.0,,686748602,9515087,2809233818.0,,16328738,101811247,3873778,11820536,26249231,6189773,14722074,,0
2015-08-25,2,2015,27163394,3594456,32536134,1849532959,,-29700234.0,380956776,17027992,1451547,2531183,39336077,-29579778,15444,11788140,8719331,30276727,82093399,849117295,3068809,65065407,65065407,2485960,120456,900922,126104798,638343844,840150.0,0,3933903.0,,37172297,1799213,43533240,4197163,76920965,123006951,363931204,58769,98347538,2015年06月30日,6434958,148050.0,3413602.0,128152042.0,,113912666,86490000,3405633,2951674,,779005885.0,22695543,0.0,58307185,,,102281441,2839185859.0,1852034363,2711033817.0,,685191014,9515019,2839185859.0,,13969054,94401882,4101106,12599073,22619006,4784550,14239376,,0
