date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應付設備款,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,345165.0,253081.0,598246,4244864,21689,1310566,693748,547890.0,,312986,138806,713386,115140,188125,,,,66030,,81136,,798384,0.0,,0.0,944360,179912,137522,,145858,2322246,31039,1598993,2013年03月31日,,,,3467294,3467294,0,,5175530,5376205,143754,,1715268.0,59788.0,2431092,1598993,,,6422475.0,418929,,9889769.0,15722,0.0,8157,377475,22121,803440,,,0.0,1246945,4513564,0
2013-08-09,2,2013,345532.0,152581.0,498113,4480563,21689,1095495,1153147,611757.0,,229786,193986,604926,106813,180610,,,,65520,,50748,,742663,0.0,,0.0,919584,269844,175526,223859.0,317531,2638764,44568,1598993,2013年06月30日,,,,3307403,3307403,0,,6071308,6260158,143435,,2390448.0,37925.0,2893723,1598993,,,7671111.0,418929,,10978514.0,16633,0.0,33319,376976,21921,1157307,,,0.0,1599803,4718356,0
2013-11-08,3,2013,303768.0,262581.0,566349,4525542,21689,1159127,870347,570304.0,,137470,145244,696650,130301,679957,,,,65065,,41545,,759441,0.0,,0.0,935193,219882,159042,,300043,2560149,48928,1598993,2013年09月30日,,,,3322293,3322293,0,,5789500,6112651,140234,,1883681.0,44352.0,2848009,1598993,,,7541187.0,418929,,10863480.0,16025,0.0,43025,376720,21819,1309902,,,0.0,1751687,4750829,0
2014-03-17,4,2013,66793.0,381917.0,448710,4501876,21689,1150675,839535,597963.0,,164334,184231,550472,101762,798149,100373.0,697776.0,98569.0,83110,,127501,28932.0,828376,0.0,,0.0,1009509,279892,131730,,241572,2588823,27029,1598993,2013年12月31日,779853.0,,,3352828,3352828,0,370822.0,5976937,6122051,141622,,1675638.0,71661.0,3090470,1598993,,,7587047.0,418929,,10939875.0,3668,0.0,39702,390869,25136,1136131,,,,1610110,4817824,0
2014-05-09,1,2014,66863.0,396629.0,463492,4447547,21689,1256698,820091,613295.0,,181751,190002,568419,104927,1119183,99680.0,1019503.0,123659.0,83611,,166314,42655.0,914889,,0.0,,1045660,229830,137215,,206796,2659110,18456,1598993,2014年03月31日,885876.0,,,3464622,3464622,0,370822.0,5998410,6266386,143618,1357511.0,,74626.0,3092118,1598993,,,7606068.0,418929,,11070690.0,30451,,15486,391176,25136,1132871,,,,1607658,4804304,0
2014-08-08,2,2014,66934.0,432527.0,499461,4273867,21689,1184182,924861,634287.0,,143283,108138,597317,97856,1156565,63237.0,1093328.0,124579.0,83355,,172672,48093.0,779303,,0.0,,868507,279750,155629,143909.0,146665,2789544,30673,1598993,2014年06月30日,797552.0,,,3310242,3310242,0,386630.0,6111366,6371460,139609,1446228.0,,34319.0,3230972,1598993,,,7694191.0,418929,,11004433.0,20011,,25864,390990,25136,1108480,,,,1582825,4632973,0
2014-11-11,3,2014,49881.0,380729.0,430610,4271739,17351,1328160,797330,656467.0,,133696,214255,562586,131976,1205559,85337.0,1120222.0,122843.0,81896,,169778,46935.0,849225,,0.0,,928642,299888,167038,,140863,3061866,25210,1598993,2014年09月30日,941530.0,,,3560337,3560337,0,386630.0,5964268,6626050,141028,1339174.0,,18985.0,3179012,1598993,,,7690745.0,418929,,11251082.0,10787,,11320,391183,25136,1253398,,,,1726477,4625032,0
2015-03-20,4,2014,2492.0,479620.0,482112,4428825,17351,1356101,822684,612451.0,,124487,337094,555756,73644,855061,80949.0,774112.0,64351.0,68510,58885.0,106845,42494.0,799303,0.0,0.0,,1008766,299778,173859,,210233,2956875,34461,1598993,2014年12月31日,969471.0,,,3711117,3711117,0,386630.0,5011561,6179830,89701,1398869.0,,11728.0,2129091,1598993,,,7148081.0,418929,,10859198.0,9899,,10774,461024,36646,1606986,9625.0,,,2136520,4679368,0
2015-05-11,1,2015,0.0,478339.0,478339,4195260,17351,1308930,1007851,703641.0,,415435,289037,557492,79153,1359573,147938.0,1211635.0,270787.0,67309,58305.0,345989,75202.0,811798,0.0,0.0,,880293,299884,170948,,304210,2509023,26796,1598993,2015年03月31日,922300.0,5042.0,,3615889,3615889,0,386630.0,5631611,6928006,88138,,1796499.0,,2709240,1598993,11611244.0,7995355.0,,418929,11611244.0,,861,,8882,461018,36500,1835417,9004.0,,,2363744,4683238,0
2015-08-10,2,2015,0.0,421427.0,421427,4247175,17351,1072837,1152027,673037.0,,389046,237346,503229,81802,1568566,124919.0,1443647.0,253422.0,63120,57684.0,351140,97718.0,791555,0.0,0.0,,785853,299853,201226,175889.0,303101,2353271,29966,1598993,2015年06月30日,653149.0,2051.0,,3328105,3328105,0,419688.0,6442554,7156421,85431,,2015703.0,,3498143,1598993,11893801.0,8565696.0,,418929,11893801.0,,172,,8314,460541,36283,1599481,5436.0,,,2123142,4737380,0
2015-11-06,3,2015,0.0,464949.0,464949,4311857,17351,941331,952228,667641.0,,418724,470374,552507,87558,2131918,116608.0,2015310.0,152636.0,59055,57186.0,233793,81157.0,830984,0.0,0.0,,948748,349829,187838,,284587,2595236,26154,1598993,2015年09月30日,521643.0,14767.0,13664.0,3429627,3429627,0,419688.0,6654843,7712907,89432,,1683232.0,,3648926,1598993,12402242.0,8972615.0,,418929,12402242.0,,0,,12995,460450,36902,1798267,1869.0,,,2317772,4689335,0
2016-03-25,4,2015,0.0,309120.0,309120,4075438,17351,1196180,819294,,530721.0,536835,327561,406564,97444,583985,73228.0,510757.0,120535.0,80926,60934.0,175974,55439.0,688255,0.0,0.0,,890850,199876,193430,,288573,2593555,21188,1598993,2015年12月31日,776492.0,38726.0,2959.0,3541663,3541663,0,419688.0,4450840,5584070,92837,,1142487.0,,1902100,1598993,9967881.0,6426218.0,,418929,9967881.0,,0,,14806,378835,22211,1515617,0.0,19992.0,,1975378,4383811,0
2016-05-10,1,2016,,294222.0,294222,3981142,17351,1266332,804598,567066.0,,134241,282856,387917,93695,108438,78098.0,30340.0,116763.0,79439,60534.0,175615,58852.0,757882,0.0,0.0,,910527,249864,156221,,237532,2530889,15697,1598993,2016年03月31日,846644.0,48554.0,2959.0,3567110,3567110,0,419688.0,4592894,5822627,88866,,2259491.0,,2035213,1598993,10107798.0,6540688.0,,418929,10107798.0,,0,,13030,378874,22197,1489481,0.0,18905.0,,1947794,4285171,0
2016-08-05,2,2016,,,328036,3822377,17351,1373678,740848,551685.0,,59212,193209,388809,60773,567019,76397.0,490622.0,120913.0,77594,60141.0,172560,51647.0,700785,0.0,0.0,,874599,249850,188368,0.0,189163,2543840,11493,1598993,2016年06月30日,952044.0,23685.0,0.0,3584809,3584809,0,421634.0,4755670,6238378,86790,,2343459.0,,2289473,1598993,10359577.0,6774768.0,,418929,10359577.0,,38,,12570,378915,22121,1562589,0.0,17453.0,,2019098,4121199,0
2016-11-08,3,2016,,,306459,3615127,17351,1528736,728010,594216.0,,106872,53074,381230,74771,686904,116863.0,570041.0,122328.0,75709,59743.0,202251,79923.0,824236,0.0,0.0,,1029194,249853,187302,,133794,2656758,41936,1598993,2016年09月30日,1107102.0,26738.0,0.0,3599732,3599732,0,421634.0,4892136,6586827,82160,,2260059.0,,2286637,1598993,10525746.0,6926014.0,,418929,10525746.0,,3172,,10062,378775,22030,1579394,0.0,15966.0,,2033878,3938919,0
