date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收建造合約款,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,223355,21974,-135990,,,58282,34025,-427,3502555,1005245,3470,37576,-427,4760968,255837,,,540314,0.0,385531,594900,40153,341301,993966,38717,25253,100553,1939765,2013年03月31日,-266313,,,1881402,1708912,23413922,73642,6248370,7739744,,56681.0,,127701.0,2755.0,16.0,1123880,1939765,,,6331421.0,161401,,161401,,,8212823.0,21961,183,64368,79398.0,172490,83051,473079,415844,0
2013-08-13,2,2013,219062,21974,-303679,,,147552,36811,1704,3906565,986886,5041,37776,1704,4886761,255837,96988.0,,603249,0.0,299758,654900,53224,280114,1291178,23288,23769,103619,1939765,2013年06月30日,-422807,,,1808146,1640342,23413922,91620,6683836,8044645,,27508.0,,164116.0,864.0,2517.0,1017724,2036753,,,6726812.0,161401,,161401,,,8534958.0,20340,7935,84113,30000.0,167804,42976,490313,352634,0
2013-11-13,3,2013,223687,20829,-115683,,,144808,56472,440,2939570,841670,4744,36866,440,4034465,255837,,,576665,0.0,210997,635000,60695,332658,1231192,33323,22284,103106,2036753,2013年09月30日,-234811,,,2007476,1835066,24584618,91620,5654037,7183422,,27508.0,,321163.0,1742.0,2563.0,1084560,2036753,,,5666704.0,169393,,169393,,,7674180.0,19752,7923,83986,0.0,172410,12667,490758,310164,0
2014-03-26,4,2013,245528,18983,938144,,,264224,211672,2504,963174,837374,4446,35625,2504,1594021,255837,,,738002,0.0,57515,685000,149168,2058503,1227123,27152,20800,106469,2036753,2013年12月31日,819016,,,3066446,2890957,24584618,91620,3945928,6516545,,27508.0,,166011.0,4539.0,2577.0,1084306,2036753,,,3958435.0,169393,,169393,,,7024881.0,16574,8061,80931,0.0,175489,12507,508336,375538,0
2014-05-14,1,2014,245230,18983,1094070,,,161347,556815,2007,349495,373905,4146,32151,2007,1429318,255837,,0.0,724113,,49242,635000,113677,287010,1235422,26784,19316,106920,2036753,2014年03月31日,974942,,,3221079,3046386,24584618,91620,2851324,5581458,,27508.0,1174712.0,,4955.0,2636.0,813495,2036753,,,2863778.0,169393,,169393,,,6084857.0,16134,8308,80799,0.0,174693,12454,503399,478722,0
2014-08-08,2,2014,205889,18983,656723,,,344276,790137,98,332039,376478,7325,29743,98,1472657,255837,203675.0,0.0,693462,,294937,250000,57564,384425,1551711,5805,17832,106468,2036753,2014年06月30日,483201,,,2945119,2810805,24584618,173522,3223620,5722727,,0.0,772168.0,,36137.0,2535.0,1215205,2240428,,,3236638.0,169393,,169393,,,6181757.0,16148,5693,80115,0.0,134314,13018,459030,350663,0
2014-11-13,3,2014,205773,18656,618516,,,245892,925925,3269,336351,411197,6892,32014,3269,1487056,255837,,0.0,705496,,31216,250000,49690,206603,1372349,9227,16348,110482,2240428,2014年09月30日,444994,,,2932545,2796750,27043079,173522,2659475,5140547,,0.0,353074.0,,35885.0,5291.0,1004945,2240428,,,2672181.0,190374,,190374,,,5604726.0,16013,5814,80906,0.0,135795,12706,464179,353812,0
2015-03-30,4,2014,204663,18656,716191,,,62018,1765159,6622,835159,886977,6455,30385,6622,1303499,255837,,0.0,937057,,373614,550000,85214,710512,1339947,7770,14867,114485,2240428,2014年12月31日,542669,,,3027671,2897778,27043079,173522,4090284,6663401,,0.0,383178.0,,35212.0,2400.0,1212010,2240428,,,4102857.0,190374,,190374,,,7130528.0,16646,6118,84071,,129893,12573,467127,247313,0
2015-05-14,1,2015,203442,18656,727723,,,56876,1978250,5406,948998,1221517,6014,30107,5406,1530574,255837,,0.0,660984,,341034,650000,190212,464578,1056995,11644,13396,114128,2240428,2015年03月31日,554201,36825.0,2400.0,3034801,2908094,27043079,173522,4403406,6985624,,0.0,,428531.0,,,1518477,2240428,7449804.0,4415003.0,,190374,,190374,,7449804.0,,16419,5583,84451,,126707,11597,464180,274716,0
2015-08-14,2,2015,202141,18656,598549,,,161846,2204027,3779,1108699,1236124,5570,16139,3779,1683652,255837,89617.0,0.0,585061,,407965,900000,23161,185800,918016,1572,11925,113271,2240428,2015年06月30日,406456,5461.0,0.0,2988792,2866910,27043079,192093,4460459,7014024,,,,297003.0,,,1268266,2330045,7460404.0,4471612.0,,190374,,190374,,7460404.0,,15839,5583,84248,,121882,11153,446380,471991,0
2015-11-12,3,2015,200841,17672,631301,,,140884,2438686,8277,1393020,1199835,5121,16537,8277,2148148,255837,,0.0,1101955,,280283,990000,71803,264308,1068558,2910,10454,118067,2330045,2015年09月30日,439208,3837.0,0.0,3034936,2913391,28124802,192093,5236705,7834822,,,,178227.0,,,1254923,2330045,8282345.0,5247409.0,,199605,,199605,,8282345.0,,15783,5583,83952,,121545,10704,447523,518367,0
2016-03-28,4,2015,199482,14269,679710,3200.0,6603.0,57965,2650179,8791,1334586,1298759,108513,17394,5591,2002354,292682,,0.0,864879,,247880,861000,33201,296856,897399,11009,8983,118117,2330045,2015年12月31日,487617,1299.0,0.0,3045963,2925492,31682802,192093,5029409,7724993,7842.0,,,94201.0,,,1628599,2330045,8189468.0,5143505.0,,199628,,199605,23.0,8189468.0,,16092,5583,91785,,120471,114096,464475,458144,0
2016-05-12,1,2016,197790,14269,685043,2411.0,5814.0,39184,2802874,5509,1462602,1225259,64848,16956,3098,2011137,299932,,0.0,671290,,173971,1071000,36926,209228,984557,2120,7513,115925,2330045,2016年03月31日,492950,2106.0,0.0,3039988,2920293,32415802,192093,5098936,7751519,7842.0,,,165660.0,,,1641857,2330045,8209355.0,5169367.0,,199628,,199605,23.0,8209355.0,,16857,5583,91727,,119695,70431,457836,333827,0
2016-08-12,2,2016,196365,14269,576464,1718.0,5121.0,173631,3113392,2696,1859168,1307818,4475,17207,978,1992020,299932,0.0,0.0,640941,,107507,1131000,22314,166954,1061051,4016,6057,112438,2330045,2016年06月30日,370096,2661.0,,2925712,2808901,32415802,206368,5657080,8133823,7842.0,,,122891.0,,,1719858,2330045,8592850.0,5667138.0,,199628,,199605,23.0,8592850.0,,16931,5583,99728,,116811,10058,459027,348750,0
2016-11-11,3,2016,194964,14269,577541,871.0,4274.0,158726,2980177,-1372,1676190,1237262,4488,14649,-2243,2003682,299932,,0.0,701081,,59144,1131000,13927,191639,993356,1518,4577,110299,2330045,2016年09月30日,371173,1455.0,,2940518,2817914,32415802,206368,5499137,7999057,7842.0,,,92434.0,,,1757614,2330045,8449726.0,5509208.0,,211632,0.0,211609,23.0,8449726.0,,17703,5583,99795,,122604,10071,450669,481286,0
