date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備抵呆帳－應收票據,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,員工福利負債準備－流動,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行存款,長期借款合計,長期預付租金,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,98800.0,1862218,,662337,303.0,,411795,25497,-20615,145501,235037,235037,0.0,66745,58487,10833.0,10833,20871.0,3252,23919,946931,,934416.0,0.0,,1209864,26574.0,1490952,71481.0,71178,63493.0,103882,50859.0,50859.0,2509297,2013年03月31日,211430,,,3626557,3595633,0,371752,2118941,3755789,,21940,79155,,934416.0,23217.0,0.0,281119,2509297,,20871,,2252062.0,444614,,5878619.0,,13376,25444,0.0,53000.0,23735,0.0,30924,133121,2122830,51778,46701,0
2013-08-09,2,2013,98800.0,1860857,62000.0,585164,,,853437,96289,21919,147132,206214,206214,0.0,66716,56757,6375.0,6375,,3195,26326,1031366,,,0.0,,1471123,8437.0,1787094,,70462,63521.0,103747,,0.0,2509297,2013年06月30日,112819,,,3493020,3460622,0,393190,2769068,4251130,,21778,79155,,1003665.0,20181.0,307.0,243882,2509297,,24876,,2878046.0,344242,,6371066.0,0.0,13962,14797,,28300.0,24056,,32398,108978,2119936,55733,48332,0
2013-11-08,3,2013,102400.0,1818658,62000.0,696612,,0.0,508037,46417,5162,156639,166016,166016,0.0,67126,56339,,5321,,3577,27353,1038535,,,0.0,,1522891,0.0,1858192,,59969,63549.0,103611,,0.0,2509297,2013年09月30日,224267,,,3584738,3555313,0,393190,2639398,4241353,,20930,79155,,992365.0,45675.0,5196.0,380638,2509297,,25518,,2725941.0,344242,,6310679.0,,19417,7788,,0.0,23665,,29425,86543,2069326,74663,54239,0
2014-03-14,4,2013,0.0,1814264,62000.0,784498,,,547410,55957,41607,76290,218712,218712,0.0,71051,57411,,4060,,3507,29465,1153881,,,0.0,,1652557,0.0,1957290,,43492,67544.0,94405,,0.0,2509297,2013年12月31日,312153,,,3710762,3679644,0,393190,2915482,4674125,,22334,79155,,1183273.0,34990.0,8730.0,576151,2509297,,28084,,3067469.0,344242,,6778231.0,,80936,53692,,0.0,23886,,31118,151987,2104106,52790,76290,0
2014-05-09,1,2014,0.0,1792371,62000.0,846982,,,466585,58821,73111,64468,185677,185677,,71207,55791,,2747,,3516,29013,1122697,,,,0.0,1542684,0.0,1959076,,47620,67691.0,94270,,0.0,2509297,2014年03月31日,374637,,,3806151,3773632,0,393190,2540172,4423365,,21000,79155,974984.0,,47009.0,11525.0,387082,2509297,,32344,,2704879.0,344242,,6511030.0,,93500,62233,,0.0,24031,,32519,164707,2087665,62965,64468,0
2014-08-08,2,2014,0.0,1756755,62000.0,720205,,,762403,44340,25702,48996,166912,166912,,70983,56008,,1652,,3527,30971,1131241,,,,0.0,1618053,0.0,2129990,,66651,67456.0,94134,,0.0,2509297,2014年06月30日,217218,,,3633390,3599446,0,423832,2830562,4574123,,20888,79155,963479.0,,36365.0,11256.0,332447,2509297,,32298,,2993429.0,344242,,6626819.0,,91884,62911,,0.0,23385,,33944,162867,2052696,60254,48996,0
2014-11-07,3,2014,0.0,1770904,62000.0,837944,,,547124,48304,60639,35583,289256,289256,,70514,64621,,9471,,3293,31499,1213118,,,,0.0,1912837,0.0,2363964,,56783,67221.0,93999,,,2509297,2014年09月30日,334957,,,3783549,3752122,0,423832,3123201,4989617,,20513,79155,945575.0,,27431.0,12221.0,568624,2509297,,31602,,3272919.0,344242,,7056468.0,,79204,54814,,0.0,23651,,31427,149718,2066851,60396,35583,0
2015-03-17,4,2014,,1809757,62000.0,910377,,,636010,80196,161078,56260,344212,344212,,73601,67943,,10298,,3249,33079,1337970,,,,0.0,1933555,,2410532,,29184,70352.0,93863,,,2509297,2014年12月31日,407390,,,3959629,3924994,0,423832,3188221,5212604,,24438,79155,961129.0,,33033.0,6504.0,496664,2509297,,32699,,3363981.0,344242,,7323610.0,,102159,53005,,,24566,,34635,175760,2111006,42877,56260,0
2015-04-29,1,2015,,1769921,62000.0,938373,,,517816,62532,116374,53639,333808,333808,,73298,63842,,9235,,3242,30579,1402513,1402513.0,,,0.0,1821699,,2098724,,19964,,93728,,,2509297,2015年03月31日,435386,40958.0,5813.0,3944117,3908286,0,423832,2909090,4949162,70056.0,24397,79155,,984907.0,,,440963,2509297,7022538.0,34015,3078421.0,,344242,7022538.0,,,96033,59488,,,24028,,35831,169331,2073376,40901,53639,0
2015-08-07,2,2015,,1775680,62000.0,710153,,,837139,64095,96741,35236,129216,129216,,73046,67620,,8246,,3288,35746,1367462,1367462.0,,,0.0,1710654,,2101326,,15182,,93593,,,2509297,2015年06月30日,169227,37318.0,4515.0,3692026,3660433,0,461771,3000786,4778900,69758.0,22096,79155,,1060116.0,,,342953,2509297,6862572.0,37486,3170546.0,,344242,6862572.0,,,96714,62683,,,23628,,31593,169760,2083672,36988,35236,0
2015-11-06,3,2015,,1794029,62000.0,885753,,,570100,56177,159884,57146,116771,116771,,72758,68315,,9145,,3300,35160,1306938,1306938.0,,24731.0,0.0,1959468,,2495315,,24007,,93473,,,2509297,2015年09月30日,344827,32904.0,9050.0,3908817,3874445,1664000,461771,3165638,5159412,69458.0,20957,79155,,1109971.0,,,507794,2509297,7263547.0,38226,3354730.0,,344242,7263547.0,,,116334,65361,,,24010,,34372,189092,2104135,41183,57146,0
2016-03-15,4,2015,,1775121,62000.0,1047805,,,639563,59530,108618,64441,58506,58506,,76346,61631,,9582,,3289,28733,1479831,1479831.0,,38437.0,,2084435,,2416996,,21664,,91736,,,2509297,2015年12月31日,506879,49155.0,13449.0,4007234,3971525,2500000,461771,3338803,5447897,73057.0,21961,79155,,1269410.0,,,463998,2509297,7523184.0,37211,3515950.0,,344242,7523184.0,,81194.0,100801,62838,,,23316,,35709,177147,2075287,47317,64441,0
2016-05-06,1,2016,,1745654,62000.0,1098147,,,478036,40238,76370,47151,58200,58200,,76018,58850,,8037,,3276,28007,1336432,1336432.0,,0.0,,1578838,,1990284,,21682,,91620,,,2509297,2016年03月31日,557221,52182.0,4136.0,4086180,4049520,0,461771,2634695,4850795,72742.0,21567,79155,,1194523.0,,,436907,2509297,6895980.0,41581,2809800.0,,365706,6895980.0,,155874.0,99087,65494,,,22806,,36660,175105,2045185,49426,47151,0
2016-08-05,2,2016,,1808442,62000.0,861840,,,912275,39426,23492,49853,51896,51896,,75068,52850,,7057,,3252,23676,1211790,1211790.0,,0.0,0.0,1675113,,2139311,,17828,,91507,,,2509297,2016年06月30日,276735,47108.0,5163.0,3791664,3760335,0,505950,3058868,4911727,71816.0,23070,79155,,1238660.0,,,334953,2509297,7023284.0,39566,3231620.0,,365706,7023284.0,,153585.0,97684,73688,,,22117,,31329,172752,2111557,54068,49853,0
2016-10-31,3,2016,,1797949,62000.0,1038510,,,584851,40113,-59256,66647,32028,32028,,74125,60821,,5696,,3236,33946,1306801,1306801.0,,0.0,0.0,2076406,,2414383,,34853,,91395,,,2509297,2016年09月30日,453405,39672.0,12040.0,3886849,3854257,0,505950,3353401,5288345,70889.0,20112,79155,,1224203.0,,,550096,2509297,7392772.0,35729,3505923.0,,365706,7392772.0,,163760.0,78397,72150,,,21179,,32592,152522,2104427,60164,66647,0
