date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,確定福利計畫再衡量數總額,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,524694,10770545,151837,117754335,4487064,346149,10620818,29361789,,1489050,4583118,,3573096,2253326,628254,205198,1609568,-416425,75485454,,,48462542,1871775.0,,,56589149,8762475,,24752355,7527603,2013年03月31日,93590214,,136229121,134424621,0,23464771,122901446,210113707,1999094,699350,,50129937.0,512479,5136900.0,4136782,,7527603,,30331132,,129106136.0,4559565,274677.0,4284888.0,,265335257.0,13548,10702719,4645636,5317333,13882,526361,1353856,1804500,6204690,55221550,5454159,795076,0
2013-08-13,2,2013,303259,10670845,152359,108217482,6852547,291230,34498898,44662015,30232891.0,2485418,7415526,,3959833,2899931,638081,216855,1351632,-77111,85236213,,,56988999,1919.0,46032.0,14429124.0,52666327,5869281,,424182,7527603,2013年06月30日,81811128,,129383220,127675260,0,25707004,143307998,224297158,2233054,699350,,64557000.0,640090,3915058.0,4587243,,7527603,,29055152,,149660462.0,4514649,229761.0,4284888.0,,279043682.0,47928,6816934,4925800,5415554,43819,683909,1209809,1707960,6352464,54746524,5052765,756643,0
2013-11-12,3,2013,299020,10577559,160934,113157429,5743728,249595,33270280,32958898,,1346258,4685249,,3090021,2223954,709585,145418,2269502,-600115,82382397,2525987.0,,57264021,12927.0,39514.0,,62250362,9246723,,356940,7527603,2013年09月30日,86751075,,129115504,127357531,10000000,25707004,133432673,214377757,2206186,699350,,47718188.0,-458364,3882869.0,5129928,,7527603,,30192185,,139481341.0,4513237,228349.0,4284888.0,,268596845.0,299111,4706392,4711614,5377687,563199,104835,1191636,1757973,6048668,54219088,5663422,567047,0
2014-03-27,4,2013,301354,10746683,161641,116472478,7353574,253181,34924464,40532513,,841437,6847184,0.0,3212577,2393199,919185,236885,2167055,-271393,77329012,0.0,,65226673,107561.0,,,68074332,7024036,,360189,7427603,2013年12月31日,90066124,,136971484,135199502,0,25707004,151095249,238864019,2159156,699350,,66524194.0,-234997,4039294.0,4876624,,7427603,,32449433,,159101271.0,4452237,224271.0,4227966.0,,296072755.0,372190,10346708,6568843,6689548,278384,43387,1200294,1771982,8006022,57208736,7508547,518024,0
2014-05-07,1,2014,612753,10539031,163641,120834095,9843537,221613,37687458,35589606,,1633904,10480380,,3770690,2187300,702180,199546,2602925,532827,75920540,,,54744724,86342.0,,,59387088,8679745,,374631,7427603,2014年03月31日,94427741,,145029766,143193124,0,25707004,137590311,230389423,2113109,699350,67059395.0,,104016,4134471.0,5679715,,7427603,,33314187,,145684750.0,4451046,223080.0,4227966.0,,290714516.0,184798,10016542,6973345,6844298,85778,189794,921548,1836642,8094439,60325093,6578622,970637,0
2014-08-12,2,2014,599600,9892346,168732,111138992,18886942,183682,47849662,50643928,36036849.0,1758028,18790088,,3736039,2610258,725941,179444,2637728,-234110,92803078,,0.0,66816616,,,14607079.0,60013761,3331251,,317567,7427603,2014年06月30日,82587648,,143588370,141806081,0,27851994,162879165,245662284,2116781,699350,70151873.0,,137256,4126042.0,4699545,,7427603,,32661602,,171868163.0,4449398,,,,315456533.0,138481,9924079,7906720,6811433,56912,194168,902834,1782289,8988998,69794249,6576423,526181,0
2014-11-12,3,2014,610040,9776421,154021,116950258,17036313,115027,45797242,38487235,,545340,18294548,,5089891,3666167,289619,228267,2565768,410534,101692768,0.0,0.0,71824311,,,,62908031,9372617,,317163,7427603,2014年09月30日,88398914,,148956811,147121983,0,27851994,158734879,248166510,2102053,699350,59552591.0,,847701,4590110.0,4256247,,7427603,,34476392,,167303239.0,4449574,,,,316260050.0,10693,4695658,7724681,7380872,0,847701,615412,1834828,8568360,68093540,8147158,813684,0
2015-03-19,4,2014,1189799,9581880,142745,121443953,28011777,113400,54870662,41741477,,1195881,30317897,,6124090,4183250,146583,270572,2660002,1940298,100619550,0.0,0.0,85147155,,,,74773673,5664021,,326443,7427603,2014年12月31日,92892609,,165523063,163642210,0,27851994,178987351,274913727,2148541,699350,79113855.0,,365822,5517953.0,3881979,,7427603,,36430428,,186898450.0,4452757,,,,352421513.0,142333,5362712,7239556,7777513,1936,367758,400971,1880853,7911099,77507786,7556294,751041,0
2015-05-12,1,2015,862919,9332735,143470,125144423,33616519,147383,60446116,37307435,,460498,36338705,,7041480,5512698,73631,298244,2791145,1267228,92804977,,0,60762963,,,,61783605,8298771,,328977,7427603,2015年03月31日,96593079,6482437,175278865,173358529,0,27851994,150481108,251076094,2101143,699350,,73629900,1474797,,3924677,-19839,7427603,333873224,34780130,158594359,,4447798,,,333873224,,95422,5485187,7105471,7653544,86564,1561361,709536,1920336,8113251,82797130,6830781,665863,0
2015-08-11,2,2015,580051,9142838,146131,117175584,33785205,401643,60485416,49449117,36653547.0,795506,34711598,,5709739,4578847,130898,269359,2827294,552026,97627136,,0.0,75749725,,,12795570.0,67804665,6777593,,325204,7427603,2015年06月30日,86677199,5846278.0,165491428,163762687,0,29799035,174230325,265100236,2041024,699350,,76014063.0,394206,,4090124,-19839.0,7427603,347625256.0,32845553,182133828.0,,4447902,,,347625256.0,,229466,7939964,6934582,7557113,310323,704530,699562,1728741,7903503,82525020,6904238,550841,0
