date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之長期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付款,長期應付款－關係人,長期應付票據及款項合計,長期應付票據及款項－關係人合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,1277537,131022,,5390884,41795,178500,,225875,15479,36734,507,26070,22984,55325,1610,53715,21859,235852,,120128,8621.0,-15725,3639,12093,1719706,1719706,0.0,,518403,877,417,161590,53.0,1279031,114264,253917,601316,232213.0,222132,,,94599,1620000,2013年03月31日,4167734,,7139720,7145959,0,1027067,1084798,6716640,,11186,196083,,2335378.0,129340.0,9780,1620000,,,,1495826.0,109005,8,106385.0,106385,2612,,8635546.0,106555,175176,62302,0,0.0,0,0.0,76949,-6239,411028,1918906,35407,606,0
2013-08-08,2,2013,1273226,123299,,5005191,63295,200000,,857015,15626,37822,530,67031,27070,544753,6130,538623,21285,241503,,118055,0.0,3736,4210,12192,1772794,1772794,0.0,,503394,741,417,131456,4193.0,1297285,103334,286157,448149,231450.0,221695,,350000.0,83208,1620000,2013年06月30日,3694648,,6796523,6801227,0,1114460,1678027,7015812,,10913,196083,,1825818.0,122225.0,15890,1620000,,,,2114593.0,109005,8,106385.0,106385,2612,,8911116.0,109918,195063,64908,5843,0.0,5843,0.0,77268,-4704,436566,1895304,39252,7310,0
2013-11-11,3,2013,1261526,120157,,5261636,41045,177750,,345672,15639,42414,489,24190,14750,518749,9073,509676,22044,240770,,149362,0.0,-16855,4317,16025,1884742,1884742,0.0,,504146,607,417,57001,4133.0,1331398,91736,308321,428584,229612.0,221257,,201184.0,81081,1620000,2013年09月30日,3951093,,7007819,7014831,0,1114460,1037694,6556719,,10642,196083,,1441170.0,79845.0,15484,1620000,,,,1453214.0,109005,8,106385.0,106385,2612,,8461033.0,80340,174750,60289,6841,0.0,6841,0.0,75914,-7012,415520,1904314,49842,35379,0
2013-11-11,3,2014,1270860,92787,,5636777,6513,113854,,284837,14229,45750,498,49170,8796,898268,459,897809,27670,225506,,215856,,42657,5258,13867,1943894,1943894,0.0,0.0,549364,976,1376,65178,0.0,1383189,119443,295220,373002,216557.0,219508,,199389.0,74446,1620000,2014年09月30日,4223720,,7414952,7414952,0,1216974,1032645,6866623,,11444,196083,1370359.0,,92450.0,15439,1620000,,,,1400524.0,109005,8,106385.0,106385,2612,,8815476.0,80156,142373,63952,3691,,3691,,100201,0,367879,1948853,43601,74118,0
2014-03-26,4,2013,1257705,120392,,5531422,39295,176000,0.0,361837,15696,34717,492,48433,13346,533965,57,533908,22187,227698,,147824,,9138,5367,14518,1904286,1904286,,,557400,875,3926,76609,4166.0,1422627,128299,299150,380591,218283.0,220820,,250884.0,82982,1620000,2013年12月31日,4220879,,7300039,7308860,0,1114460,1174298,6948721,,11052,196083,,1682956.0,125905.0,14538,1620000,,,,1552430.0,109005,8,,106385,2612,,8852469.0,82357,150434,62973,4048,0.0,4048,0.0,76356,-8821,378132,1903748,52397,34763,0
2014-05-08,1,2014,1246657,121057,,5788133,26786,137599,,254035,15696,41566,502,72109,14180,599561,1485,598076,22445,228374,,156762,0.0,45323,4510,16887,1852547,1852547,0.0,0.0,477441,417,906,53147,0.0,1245107,120120,304256,470389,217625.0,220383,0.0,0.0,81533,1620000,2014年03月31日,4477590,,7589247,7589247,0,1114460,1018304,7089110,,10843,196083,2183099.0,,183764.0,18718,1620000,,,,1396777.0,109005,8,106385.0,106385,2612,,8986024.0,84375,150099,59679,6239,,6239,,77029,0,378473,1896914,49989,40401,0
2014-08-12,2,2014,1237903,120452,,5394842,15543,122884,,949370,15787,46185,491,15006,10009,794326,1092,793234,23272,225531,,212425,,-537,4713,14696,1836183,1836183,0.0,0.0,506466,1285,1108,83413,0.0,1420380,116256,268608,367818,217046.0,219945,,0.0,72586,1620000,2014年06月30日,3981785,,7138853,7138853,0,1216974,1712601,7290911,,10789,196083,2182228.0,,131113.0,14050,1620000,,,,2088231.0,109005,8,106385.0,106385,2612,,9227084.0,88777,150099,62073,3772,,3772,,99361,0,375630,1936173,46775,75096,0
2015-03-24,4,2014,1347699,94017,,5853432,1017,108358,0.0,407915,9869,41957,227,135211,8907,410131,87,410044,28947,264182,,206704,,134194,5233,14265,1953364,1953364,,0.0,540097,2076,4419,97119,0.0,1493623,118094,211820,453208,255269.0,219070,,0.0,74245,1620000,2014年12月31日,4440375,,7717648,7717648,0,1216974,1193459,7283800,,10926,196083,2365226.0,,121136.0,1921,1620000,,,,1598329.0,109005,8,,106385,2612,,9315977.0,74470,140688,79516,3680,,3680,,102034,0,404870,2032177,53322,61458,0
2015-05-05,1,2015,1422084,93667,,6070275,-1617,116504,,330797,9869,39199,221,82518,9754,50895,18,50877,23056,265728,,197846,0.0,84135,7445,14348,1850991,1850991,0.0,0.0,542000,1944,3590,157254,0.0,1502980,135835,228771,431882,,218633,,,73992,1620000,2015年03月31日,4657218,160211.0,7881798,7881798,0,1216974,1223149,7408204,254806.0,10406,196083,,2916339.0,,7730,1620000,9510961.0,,1629163.0,,109005,8,106385.0,106385,2612,9510961.0,,78322,140286,86129,3477,,3477,,98504,0,406014,2102757,56265,61938,0
2015-08-11,2,2015,1416751,93227,,5689282,-22457,133967,,1008517,10122,39091,216,21908,6448,51521,1125,50396,17580,269600,6487.0,195922,10800.0,44365,7482,14516,1897487,1897487,0.0,0.0,527095,1878,3272,75365,,1526216,118318,190339,383097,,218196,,,69538,1620000,2015年06月30日,4172721,121540.0,7440195,7440195,0,1320478,1758170,7522768,254373.0,9967,196083,,3053804.0,,3933,1620000,9607779.0,,2167584.0,,109005,8,106385.0,106385,2612,9607779.0,,74103,139814,81410,1258,,1258,,96043,0,409414,2085011,54609,56983,0
2015-11-06,3,2015,1487414,106037,,5955825,-47140,113400,,375626,9772,36195,222,66521,7535,54098,2505,51593,19966,270047,6487.0,164885,,113661,8411,14264,1907476,1907476,0.0,0.0,475202,4405,7795,39857,,1317800,91195,129047,443782,,217758,,0.0,74033,1620000,2015年09月30日,4439264,69483.0,7751351,7751351,0,1320478,989675,7011496,253987.0,9620,196083,,2803191.0,,0,1620000,9152634.0,,1401283.0,,109005,8,106385.0,106385,2612,9152634.0,,64198,141561,81391,1162,,1162,,95191,0,411608,2141138,50892,35464,0
2016-03-24,4,2015,1522614,68395,,6160830,-44440,116100,0.0,426790,9930,36669,222,47868,29285,12,12,0,19784,288691,6487.0,160593,,92308,7604,22069,1780400,1780400,,0.0,449056,220,7474,61375,,1428780,77137,49277,402329,,217321,,,78778,1620000,2015年12月31日,4644269,118426.0,7937703,7937703,0,1320478,1104059,7333449,273624.0,9262,196083,,3330602.0,,1503,1620000,9487700.0,16825.0,1549997.0,,109005,8,,106385,2612,9487700.0,,60346,140422,97288,976,,976,,94262,0,445938,2154251,51575,24478,0
2016-05-06,1,2016,1549279,67755,,6403814,-26740,133800,,325066,9974,37229,0,36622,27436,9,9,0,17290,272929,6487.0,144008,,63362,7537,16680,1732214,1732214,0.0,0.0,444728,1356,6227,43571,,1329167,96697,47591,330461,,216884,,,79185,1620000,2016年03月31日,4887253,147088.0,8169441,8169441,0,1320478,1013855,7424803,258132.0,8906,196083,,3581799.0,,8409,1620000,9584807.0,16825.0,1415366.0,,109005,8,106385.0,106385,2612,9584807.0,,69517,111757,93987,773,,773,,94003,0,401511,2160004,66319,16035,0
2016-08-03,2,2016,1560796,64325,16825.0,6062458,-33521,176750,,956970,8187,41991,220,-2867,25745,5,5,0,17094,273685,6487.0,132559,0.0,30654,7658,13095,1704957,1704957,0.0,0.0,510711,1357,414,17892,,1318988,92112,42887,439946,,216446,,,75948,1620000,2016年06月30日,4451912,129063.0,7788596,7788596,0,1414463,1656363,7692946,257711.0,8566,196083,,3746786.0,,6024,1620000,9847226.0,16825.0,2058630.0,,109005,8,106385.0,106385,2612,9847226.0,,77772,111757,95640,1829,,1829,,91955,0,402267,2154280,50532,10415,0
2016-11-09,3,2016,1563316,63410,,6330386,-26322,183950,,356547,7979,39737,214,-92089,25777,494,494,0,17146,273317,6487.0,134650,,-65767,7847,13126,1745115,1745115,0.0,0.0,559547,1351,6927,13731,,1300600,96707,53183,342030,,216009,,,90549,1620000,2016年09月30日,4719840,88331.0,7967302,7967302,0,1414463,1070166,7266692,257363.0,9331,196083,,3350348.0,,9976,1620000,9439367.0,16825.0,1472065.0,,109005,8,106385.0,106385,2612,9439367.0,,95380,111757,95410,1620,,1620,,87823,0,401899,2172675,58934,16555,0
