date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,專利權淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,1458809,52935,913418,-9060.0,425076,36138,,262831,47171,-10417,172934,113162,89800,760641,139187,2156,54425,-1357.0,192.0,3324.0,642782,,,,518407,53409,964008,191744,135879.0,0.0,2278250,2013年03月31日,676428,,3583371,3219261,0,155699,1050093,3677720,,54425,,713871.0,1566.0,,81291,,603268.0,36351.0,2278250,,6161,,1880861.0,38010,412.0,37598.0,37598.0,,5464232.0,,,70127,43452,624570.0,113603.0,364110,830768,1786512,20104.0,59772.0,59772,0
2013-08-07,2,2013,1484854,52935,822498,-11559.0,393952,36366,,436593,61753,3149,215849,155095,93403,755146,146826,2038,54699,14708.0,195.0,5007.0,651539,,,,580117,56936,947593,250858,135307.0,0.0,2278250,2013年06月30日,558858,,3520168,3141907,0,182349,1332512,3862964,,54699,,616493.0,1566.0,,81291,,719656.0,36856.0,2278250,,6161,,2164040.0,38010,412.0,37598.0,37598.0,,5684208.0,,127717.0,76382,43998,619644.0,114656.0,378261,831528,1821244,25125.0,60754.0,60754,0
2013-11-06,3,2013,1489055,67895,915790,3598.0,348799,21094,,254559,42211,6902,224406,164187,91989,733817,131570,1409,54042,3304.0,194.0,3426.0,639971,,,,468191,44624,910524,209862,134493.0,0.0,2278250,2013年09月30日,652150,,3628482,3238952,0,182349,1025611,3657731,,54042,,752933.0,1566.0,,81291,,593813.0,27670.0,2278250,,6161,,1840335.0,38010,412.0,37598.0,37598.0,,5468817.0,,67629.0,80907,45864,599130.0,112840.0,389530,814724,1811086,13895.0,60219.0,60219,0
2014-03-26,4,2013,1525943,65152,1035031,20355.0,475788,8658,,280270,48397,46756,108053,46665,93361,734128,107401,4373,54462,26401.0,197.0,3380.0,637542,,,,511243,38476,912263,217689,138524.0,0.0,2278250,2013年12月31日,771391,,3830319,3398047,0,182349,1006758,3855877,,54462,,856466.0,1566.0,,81291,,602309.0,63265.0,2278250,,5451,,1836509.0,38010,412.0,37598.0,37598.0,,5666828.0,,12062.0,95623,47769,595407.0,92985.0,432272,829751,1810951,6663.0,61388.0,61388,0
2014-05-07,1,2014,1501565,54128,1093231,14976.0,404050,26135,,245244,68233,40828,104222,43294,87741,713647,109918,3809,55580,25852.0,147.0,3360.0,610836,,,0.0,461300,35637,862433,173272,137785.0,,2278250,2014年03月31日,829591,,3891856,3450319,0,182349,897832,3802477,,55580,,802907.0,1579.0,,81291,747744.0,,45978.0,2278250,,5451,,1710749.0,38010,412.0,37598.0,37598.0,,5602605.0,,45261.0,99270,51223,575715.0,91625.0,441537,812917,1800128,11124.0,60928.0,60928,0
2014-08-06,2,2014,1471293,61001,1013713,16900.0,412810,25847,,354396,46591,16846,97574,37777,77758,687381,133163,3204,54480,-54.0,192.0,3602.0,642716,,,0.0,492292,45952,830237,239626,137110.0,,2278250,2014年06月30日,715549,,3795401,3346819,0,216873,1046177,3827689,,54480,,769845.0,1579.0,,81291,791565.0,,50512.0,2278250,,5451,,1838646.0,38010,412.0,37598.0,37598.0,,5634047.0,,16541.0,105088,58995,550079.0,89272.0,448582,792469,1806358,37085.0,59797.0,59797,0
2014-11-12,3,2014,1523410,78361,1089698,11439.0,352124,7998,,249844,49412,44460,97666,36315,80501,685598,109728,2869,55483,33021.0,227.0,3681.0,658700,,,0.0,480132,39423,858237,206275,136334.0,,2278250,2014年09月30日,791534,,3910520,3450418,0,216873,908978,3776894,,55483,,949434.0,1579.0,,81291,622211.0,,35900.0,2278250,,5451,,1703652.0,38010,412.0,37598.0,37598.0,,5614172.0,562.0,0.0,109076,60719,549037.0,90924.0,460102,794674,1837278,12254.0,61351.0,61351,0
2015-03-25,4,2014,1550489,61001,1147090,20233.0,356150,17360,,264592,22565,103535,95700,32286,84888,693575,138164,2627,57691,83302.0,204.0,7313.0,698539,,,0.0,584133,40594,962243,191706,141721.0,,2278250,2014年12月31日,848926,,4044154,3566885,0,216873,1032462,3992832,,57691,,1005172.0,1579.0,,81291,632517.0,,40218.0,2278250,,6835,,1840255.0,38010,412.0,37598.0,37598.0,,5884409.0,390.0,39052.0,114218,65293,551650.0,93291.0,477269,807793,1891577,34933.0,63414.0,63414,0
2015-05-05,1,2015,1554464,78361,1150726,27534.0,394754,0,0.0,233280,18901,94961,75920,13202,107013,671051,119178,2267,57107,67427.0,202.0,7239.0,709944,,0.0,0.0,502029,27253,841508,169831,,,2278250,2015年03月31日,852562,43723.0,4042588,3561947,0,216873,894750,3842835,140934.0,57107,431852.0,,,1592.0,81291,,1144998.0,,2278250,5726260.0,6532,1683672.0,,38010,412.0,,37598.0,5726260.0,,6013.0,24034.0,117871,72723,529915.0,91583.0,480641,788922,1883425,18089.0,,62718,0
2015-08-12,2,2015,1534148,58951,1087246,22578.0,386222,17360,,343211,19734,69295,73797,11924,115562,647624,113393,1906,56286,46717.0,199.0,7155.0,744953,,,,522525,27164,780372,208343,,,2278250,2015年06月30日,765977,23701.0,3968397,3472801,0,239978,1000259,3883869,140120.0,56286,346300.0,,,1592.0,81291,,1240123.0,,2278250,5738093.0,7184,1769696.0,,38010,412.0,37598.0,37598.0,5738093.0,,2677.0,42260.0,121813,72494,507305.0,89675.0,495596,769437,1854224,14657.0,61873.0,61873,0
2015-11-11,3,2015,1547192,62918,1150812,-20454.0,335949,17360,,336856,17475,104305,88977,24655,116780,650814,119384,1705,60062,124759.0,259.0,7972.0,726610,,,,431383,25703,736190,239191,,,2278250,2015年09月30日,829543,11189.0,3710714,3593872,0,239978,901487,3500914,139250.0,60062,338897.0,,,1592.0,81291,,981789.0,,2278250,5388662.0,7379,1677948.0,,60505,,,,5388662.0,,0.0,8033.0,125647,79240,511305.0,92523.0,116842,776461,1887748,17184.0,64322.0,64322,0
2016-03-23,4,2015,1492639,86006,1161094,-16761.0,317128,17360,,227808,10529,57049,99814,37680,94306,625119,117859,117859,59862,73810.0,250.0,,667333,,,,419694,22325,745031,119941,,,2278250,2015年12月31日,839825,13674.0,3673721,3556898,0,239978,790707,3355771,146489.0,59862,592265.0,,,1592.0,81291,,805086.0,,2278250,5215526.0,7392,1541805.0,,60505,,,,5215526.0,,0.0,4152.0,125979,84437,478380.0,,116823,751098,1859755,,62134.0,62134,0
