date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項－關係人合計,長期應收票據及款項－關係人淨額,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,27102289,,8134809,-43478,89243,4496028,1352767,,1078800,,7155869,,2561155,1133753,2621157,,1122278,,3392630,0.0,,,5627268,6927123,161983,5079473,9104495,,481544.0,7034255,2013年03月31日,7899203,,21968546,21968546,0,235606,29094619,28568143,89064,,6423097.0,684186.0,9669430,7034255,0.0,0.0,,,37048840.0,5720682,,,,5690348,30334,,,59017386.0,,,,65946,1193200,,,7954221,30449243,654526,0
2013-08-12,2,2013,4773863.0,27692391,,7192734,-43465,89216,5879699,434129,,1484745,,4918026,144163.0,0,1147757,2610511,1242151.0,1528210,53160.0,4051044,0.0,351713.0,,5686977,8123076,176363,4746943,7899522,,479853.0,7034255,2013年06月30日,6543359,,21784129,21784129,0,649375,25303032,27217236,89571,,9277799.0,363201.0,5842667,7385968,0.0,0.0,,,36435599.0,5720682,,,,5690348,30334,,,58219728.0,,,,40950,4297833,1094597.0,1368360.0,11132567,31002492,807799,0
2013-11-13,3,2013,4716268.0,27748178,,8628833,-36249,96493,5260619,436984,,1264183,,4807254,90986.0,819578,1102534,2542295,1189408.0,1300432,33743.0,4958360,0.0,,,5632706,10885669,228728,7648891,9284708,,425975.0,7385968,2013年09月30日,7979458,,22999666,22999666,0,649375,30465610,32751440,88287,,8580561.0,536278.0,8747062,7385968,0.0,0.0,,,40751057.0,5720682,,,,5690348,30334,,,63750723.0,,3945.0,,98055,3550207,1068791.0,1352887.0,10285447,30999283,1018413,0
2014-03-25,4,2013,956676.0,27843109,,10799622,0,96916,6214777,973029,,1807822,,1039841,83165.0,795,1123522,2576316,1197425.0,1807822,46767.0,4867381,0.0,,,5705887,13576735,299088,9199823,14621745,,417220.0,7385968,2013年12月31日,10150247,,25714094,25714094,0,649375,31238435,40394635,89004,,10015731.0,889925.0,9218069,7385968,0.0,0.0,,,45837313.0,5720682,,,,5690348,30334,,,71551407.0,,14712.0,155.0,134207,7769314,1076755.0,1378891.0,14598878,31156772,701419,0
2014-05-12,1,2014,1120830.0,28047216,,11711115,17048,114041,5504033,680381,1371881.0,1563143,,1191469,70639.0,3243,35495,1156444,1156444.0,1546095,35495.0,4023079,,,0.0,5860289,9249490,176476,5726129,9907234,,0.0,7385968,2014年03月31日,11061740,,26380908,26380908,0,649375,23867283,36306449,90974,13766598.0,,734867.0,6972197,7385968,,,,,39496694.0,5720682,,,,5690348,30334,,,65877602.0,38751.0,4002.0,155.0,162478,9733472,0.0,0.0,15629411,29571153,823902,0
2014-08-13,2,2014,8158359.0,28234297,,10479137,33678,130789,8709422,797975,,1165875,,8233266,74907.0,2434,34324,1320373,1320373.0,1132197,34324.0,4754539,,0.0,0.0,8037445,9855363,169839,8931042,7671695,,0.0,7385968,2014年06月30日,9282681,,25630395,25630395,0,1196456,30943153,41827424,89183,18843300.0,,247188.0,3728075,7385968,,,,,46172925.0,6599415,,,,5690348,909067,,,71803320.0,,7022.0,155.0,201254,7157848,0.0,0.0,15229772,29975896,819417,0
2014-11-10,3,2014,8333972.0,29400316,,12072987,62060,159188,7211065,800167,,1988081,,8416288,82316.0,2987,45155,1364382,1364382.0,1926021,45155.0,6573848,,,0.0,8235343,12980013,283266,12007713,7432689,,0.0,7386311,2014年09月30日,10876531,,28049529,28049529,0,1196456,32581019,44958575,90825,16805842.0,,525343.0,3165044,7386311,,,,,48152839.0,6602150,2751.0,,,5690348,909051,,,76202368.0,,25838.0,155.0,229082,7291167,0.0,0.0,15571820,31243793,1309491,0
2015-03-20,4,2014,11229804.0,30072970,,15318180,34352,131414,6920126,1160190,,2716104,,11316867,87063.0,5581483,153856,1699226,1699226.0,2681752,153856.0,6036268,,,0.0,8620251,15473849,491042,15021942,6441147,,0.0,7386311,2014年12月31日,14121724,,32022745,32022745,0,1196456,39629322,53189719,94497,17903172.0,,1173257.0,4216762,7386311,,,,,53461802.0,6602150,2751.0,,,5690348,909051,,,85484547.0,37419.0,0.0,0.0,296721,5058373,0.0,0.0,13832480,32294828,1045517,0
2015-05-12,1,2015,8456200.0,29964988,,16693094,50407,147307,6142482,785782,0.0,2422376,,8551422,95222.0,6031158,142815,1675153,1675153.0,2371969,142815.0,5023925,,,0.0,8576270,10398777,295074,9308500,3923737,,0.0,7677681,2015年03月31日,15496638,860233.0,35779017,35779017,0,1196456,30724017,48080901,93453,,21841097.0,,4476029,7677681,,,80225598.0,44446581.0,,8985866,2399714.0,,,5690348,895804,,80225598.0,,0.0,10101.0,0.0,263796,5003479,0.0,0.0,13722564,32144697,1156601,0
2015-08-10,2,2015,7399542.0,30539741,,15271476,21896,118932,9545885,477233,,1929059,,7518295,118753.0,5788829,134264,1648616,1648616.0,1907163,134264.0,5822537,,,0.0,8506334,11618572,284476,12371080,2985555,,0.0,8047484,2015年06月30日,13401552,447951.0,37190709,37190709,0,1869924,37320786,50451713,92138,,21801442.0,,7905607,8047484,,,83152093.0,45961384.0,,11942690,258.0,,,11063699,878733,,83152093.0,,0.0,5703.0,0.0,300953,0,0.0,0.0,8640598,32700380,1199334,0
