date,會計項目,現金及約當現金總額,備供出售金融資產－流動淨額,持有至到期日金融資產－流動淨額,應收票據淨額,應收帳款淨額,其他應收款淨額,當期所得稅資產合計,存貨－製造業淨額,存貨合計,其他金融資產－流動,其他流動資產－其他,其他流動資產合計,流動資產合計,以成本衡量之金融資產－非流動淨額,不動產、廠房及設備合計,無形資產合計,遞延所得稅資產,其他金融資產－非流動合計,其他非流動資產－其他合計,其他非流動資產合計,非流動資產合計,資產總額,短期借款合計,應付票據合計,應付帳款合計,其他應付款合計,當期所得稅負債,負債準備－流動合計,預收款項合計,一年或一營業週期內到期長期負債合計,其他流動負債－其他,其他流動負債合計,流動負債合計,長期借款合計,遞延所得稅負債合計,應計退休金負債（應付退休金費用）,其他非流動負債合計,非流動負債合計,負債總額,普通股股本,特別股股本,債券換股權利證書,預收股本,待分配股票股利,股本合計,資本公積合計,保留盈餘合計,其他權益合計,庫藏股票,歸屬於母公司業主之權益合計,非控制權益,權益總額,預收股款（權益項下）之約當發行股數,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,year,season
2013-04-29,2013年03月31日,1012541,2335624,0,12732,396444,43458,13128,626862,626862,5659257,25326,5684583,10125372,10,1123818,3584,12241,303917,5066,308983,1448636,11574008,8156000,56082,120799,177246,7587,3513,85021,100000,245,185266,8706493,280000,456,31238,31238,311694,9018187,1532896,0,0,0,0,1532896,305,1020393,2227,0,2555821,0,2555821,0,0,2013,1
2013-07-23,2013年06月30日,1109473,2228405,0,23806,539749,55879,13128,632320,632320,5963238,20715,5983953,10586713,10,1098661,4146,17771,305700,7078,312778,1433366,12020079,8486000,85154,169642,291232,14020,3456,104501,0,257,104758,9154262,280000,9941,30418,30418,320359,9474621,1532896,0,0,0,0,1532896,305,1099021,-86764,0,2545458,0,2545458,0,0,2013,2
2013-11-05,2013年09月30日,213477,2207010,0,16746,614859,66065,13128,638236,638236,7455916,29546,7485462,11254983,10,1075126,3608,21034,0,6247,6247,1106025,12361008,8858000,111635,177355,240774,14972,3793,77983,280000,92,358075,9764604,0,13343,29720,29720,43063,9807667,1532896,0,0,0,0,1532896,305,1122836,-102696,0,2553341,0,2553341,0,0,2013,3
2014-03-19,2013年12月31日,126625,2331391,0,25937,494096,65418,0,663220,663220,7414086,21127,7435213,11141900,10,1055025,5800,74554,0,3834,3834,1139223,12281123,8783000,79958,163839,222496,102284,3943,53303,160000,269,213572,9569092,0,0,23273,23273,23273,9592365,1532896,0,0,0,0,1532896,305,1277094,-121537,0,2688758,0,2688758,0,0,2013,4
