date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動,備供出售金融資產－流動淨額,其他應付款合計,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,專門技術,專門技術淨額,庫存現金,庫藏股票,待註銷股本股數,應付員工紅利,應付帳款,應付帳款合計,應付股利,應付董監事酬勞,應收帳款,應收帳款淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅負債－所得稅,遞延所得稅資產,銀行存款,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,62673,398024,,,,,30914,-483,,,32587,32587,12810,12810,2094,2094,7342,3144,-483,,2377,112062,112062,,,911716.0,0.0,,27740,114923,114923,,3174,212222,212222,7342.0,449148,2013年03月31日,299334,,1169698,1169698,0,98690,184826,1278083,,8801,,,29273.0,29273.0,,,911716.0,6402.0,449148,,,192168.0,323009,6426,316583,316583,,,1361866.0,,,,9165,,6707,6707,,7342,83783,767,0
2013-08-08,2,2013,58086,331367,,,,,136867,-337,,,33103,33103,13188,13188,1939,1939,7497,2387,-337,,2387,107021,107021,,,1049181.0,0.0,,33940,152421,152421,99081.0,3846,165404,165404,7497.0,450368,2013年06月30日,219414,,1105297,1105297,0,111052,325856,1364539,,8158,,,29745.0,29745.0,901.0,,1049181.0,3465.0,450368,,,333353.0,323899,7316,316583,316583,,,1438650.0,,,,5480,,6219,6219,,7497,74111,0,0
2013-11-12,3,2013,55068,356915,,,,,19324,-442,,,37139,37139,19393,19393,1783,1783,7652,4768,-442,,2387,173744,173744,,,874373.0,0.0,,17521,212259,212259,0.0,1803,251515,251515,7652.0,450368,2013年09月30日,244962,,1131763,1131763,0,111052,281872,1348420,,6953,,,29395.0,29395.0,901.0,,874373.0,13150.0,450368,,,289524.0,324922,8339,316583,316583,,,1421287.0,,,,6078,,5170,5170,,7652,72867,2381,0
2014-03-25,4,2013,58301,381849,224.0,,10236.0,10236.0,24884,-90,,,37777,37777,10174,10174,1628,1628,8797,5632,-314,,2387,141395,141395,,,,0.0,,22529,124805,124805,0.0,2355,129511,129511,8797.0,450368,2013年12月31日,269896,,1157075,1157075,0,111052,205211,1300694,,6102,,,29892.0,29892.0,901.0,,979486.0,17745.0,450368,,,214008.0,324948,8365,316583,316583,,,1371083.0,,,,354,,4474,4474,,8797,70389,3245,0
2014-05-12,1,2014,54169,408858,-261.0,,,19763.0,29515,-36079,-35549.0,-35549.0,35617,35617,13594,13594,1472,1472,8684,6874,-269,,2387,143090,143090,,,996979.0,0.0,,26601,151677,151677,,2914,169865,169865,8684.0,451873,2014年03月31日,296905,,1193099,1193099,0,111052,238819,1373048,,6157,,,29757.0,29757.0,901.0,996979.0,,22010.0,451873,,,247503.0,368447,8661,322076,322076,37710.0,,1440602.0,,,,354,,4685,4685,0.0,8684,67554,4487,0
2014-08-12,2,2014,55064,341069,147.0,,20171.0,20171.0,126984,-30403,-30050.0,-30050.0,36654,36654,11664,11664,1317,1317,8821,2414,-500,,2414,130272,130272,,,1045509.0,0.0,0.0,31187,144176,144176,92388.0,3409,152208,152208,8821.0,461058,2014年06月30日,218616,,1132145,1132145,0,122363,316723,1389028,,10829,,,29204.0,29204.0,90.0,1045509.0,,8909.0,461058,,,325544.0,360421,7315,324396,324396,28710.0,,1457689.0,,,,354,,9512,9512,,8821,68661,0,0
2014-11-11,3,2014,52880,373331,446.0,,23950.0,23950.0,17582,-39318,-39463.0,-39463.0,40118,40118,12083,12083,1161,1161,8959,2695,-301,,2425,174953,174953,,,917337.0,0.0,0.0,15854,204388,204388,0.0,1728,221764,221764,8959.0,461693,2014年09月30日,250878,,1173865,1173865,0,122363,262461,1380009,,9347,,,29922.0,29922.0,90.0,917337.0,,373.0,461693,,,271420.0,378159,6463,327776,327776,43920.0,,1445285.0,,,,354,,8186,8186,,8959,65276,270,0
2015-03-26,4,2014,51426,394316,680.0,,20705.0,20705.0,20851,-31272,-31837.0,-31837.0,45576,45576,11196,11196,1014,1014,8382,3048,-115,,2439,171945,171945,,,,0.0,0.0,18701,132491,132491,0.0,2150,126827,126827,8382.0,464693,2014年12月31日,271863,,1203196,1203196,0,122363,211223,1357140,,10833,,,30535.0,30535.0,90.0,995932.0,,12305.0,464693,,,219605.0,375459,6763,327776,327776,40920.0,,1422801.0,,,,354,,9819,9819,,8382,65661,609,0
2015-05-05,1,2015,48082,415308,576.0,,24413.0,24413.0,25025,-25258,-25657.0,-25657.0,37853,37853,16599,16599,0,0,8269,3159,-177,,2435,170296,170296,,,,0.0,0.0,22445,116507,116507,0.0,2580,180718,180718,,464693,2015年03月31日,292855,18411.0,1230323,1230323,0,122363,197796,1374459,8269.0,10954,86626.0,86626.0,,,90.0,,895807.0,,464693,1436654.0,206331.0,,375580,6884,336245,336245,32451.0,1436654.0,,266.0,,266.0,0,895807.0,10954,10954,0.0,8535,62195,724,0
2015-08-11,2,2015,47761,343890,0.0,,6296.0,6296.0,122584,-20728,-20477.0,-20477.0,47010,47010,14864,14864,749,749,11499,2698,-251,3088.0,2428,180127,180127,,,,0.0,0.0,26393,144054,144054,93157.0,3034,134279,134279,,464288,2015年06月30日,211113,11292.0,1161072,1161072,0,132777,324940,1435105,8411.0,12213,95490.0,95490.0,,,0.0,,1004049.0,,464288,1497777.0,336705.0,,373622,6350,336245,336245,31027.0,1497777.0,,266.0,266.0,0.0,0,1004049.0,11464,11464,0.0,11765,62672,270,0
