date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,,934432,10261,949029,247890,125028,,12009,-4413,11567,,20095,34366,1713,12,1713,478160,0.0,,385612,93777,2618,43887,,,623873,0,34354.0,,985314,2013年03月31日,629189,,2116164,2115090,0,313641,353703,1922635,,14190,,,6000.0,,6199,,540608.0,67256.0,,985314,,9543,,773681.0,185160,,2889845.0,27.0,,,614,1074,419978,967210,0
2013-08-07,2,2013,,,992408,10261,668767,202259,153490,,11293,-5219,8062,,49787,33547,1326,11,1326,457209,0.0,,387120,127866,3030,58695,77.0,,684522,0,33536.0,,985314,2013年06月30日,298003,,1834986,1834022,0,365912,416522,1644885,,17816,,,6000.0,,4852,,239815.0,56790.0,,985314,,8512,,837710.0,185160,,2672696.0,0.0,,521.0,0,964,421188,1027811,0
2013-11-12,3,2013,,,1015200,10261,720408,95524,156012,,16050,-6574,10851,,29895,32700,1747,9,1747,470330,,,388634,104484,4873,61816,,,365636,126576,32691.0,289973.0,985314,2013年09月30日,349644,,1885215,1884308,0,365912,382837,1347766,,17236,,,6000.0,,4852,,243755.0,37673.0,,985314,,7128,,804171.0,185160,,2689386.0,,,0.0,1203,907,421334,1341620,0
2014-03-25,4,2013,,,1044578,197025,752723,190232,159905,,7432,-3494,9885,,16041,29965,993,9,993,504162,,,390153,95868,2304,57789,,,253584,155999,29956.0,,985314,2013年12月31日,381959,,1920516,1919703,0,365912,383354,1447851,,26174,,900.0,6000.0,,4852,,319501.0,52409.0,,985314,,5194,,803472.0,185160,,2723988.0,,,,1367,813,420118,1276137,0
2014-05-09,1,2014,,,1035773,197025,814988,112780,107299,,16404,-2975,12061,,15658,29113,992,9,992,490407,,0.0,391679,122538,2217,38894,,,272406,173058,29104.0,,985314,2014年03月31日,444224,,1983162,1982487,0,365912,347770,1484403,,25088,,0.0,6000.0,,4852,403690.0,,54087.0,,985314,,10674,,768562.0,185160,,2751724.0,0.0,,,2443,675,420792,1267321,0
2014-08-08,2,2014,,,1021539,197025,554220,12376,449197,124043.0,7864,-2886,10489,,19034,28238,1047,9,1047,524790,,0.0,393210,136046,2341,47308,0.0,325154.0,361241,154576,28229.0,,985314,2014年06月30日,147692,,1720615,1721808,0,403034,829041,1716112,,26283,,149325.0,6000.0,,3494,486906.0,,24004.0,149325.0,985314,,10331,,1250489.0,185160,,2971104.0,,,0.0,3098,-1193,421448,1254992,0
2014-11-07,3,2014,,394748.0,1000500,197025,616709,54996,113915,,41281,-2384,405606,10858.0,22233,27365,1053,9,1053,536238,,0.0,0,127941,2019,46008,,,358644,137389,27356.0,0.0,985314,2014年09月30日,210181,,1781971,1784799,0,403034,873784,1443777,,30974,,152100.0,6000.0,,3494,140896.0,,7645.0,152100.0,985314,,18550,,901149.0,185160,,2683120.0,,,,3791,-2828,27365,1239343,0
2015-03-27,4,2014,,396291.0,978198,197025,698819,163506,136858,,59884,-1589,407869,11578.0,21457,26228,895,9,895,498313,,0.0,0,133759,1477,45685,,,319543,151537,26219.0,,985314,2014年12月31日,292291,,1866372,1867704,0,403034,752294,1432012,,30521,,0.0,6000.0,,3494,217772.0,,19096.0,,985314,,7550,,778522.0,185160,,2644894.0,,,,243,-1332,26228,1212882,0
2015-05-11,1,2015,,397841.0,957185,197025,733437,1500,107877,,46033,-1868,409812,11971.0,20441,25322,944,9,944,486823,,,0,160656,2288,58993,,,264815,203155,,,985314,2015年03月31日,326909,27566.0,1902668,1902043,0,403034,779492,1513288,25313.0,30804,,,,6000.0,3494,,490521.0,,,985314,2707482.0,12300,804814.0,,185160,2707482.0,,,,,2236,625,25322,1194194,0
2015-08-11,2,2015,,399396.0,937413,197025,527989,1566,362977,116648.0,56339,-2012,413979,14583.0,23089,24418,907,27,907,476672,,,0,127664,2491,57644,,246329.0,271480,181202,,,985314,2015年06月30日,96028,22788.0,1697010,1696451,0,430372,997962,1546525,24391.0,28756,0.0,,,6000.0,1589,,536177.0,,0.0,985314,2719390.0,10419,1022380.0,,185160,2719390.0,,,,,2764,559,24418,1172865,0
