date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,長期借款合計,長期應付票據及款項合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,5460000,16983123,22443123,158026011,466280,-2948331,61627.0,33185,11132368,11132368,557049,9133,37907451,2534726,4535510,,25623149,956300,12083442,12083442,6861905,43372,,,25585000,340896,434870,199956.0,4974246,12185957,7509078,9336,10508791.0,1497934,2668618,52000000,2013年03月31日,-7137710,,,52256519,50422824,2888780,316010.0,50393998,34445234,,417158,3873369.0,,12603125.0,59808.0,12348.0,310000,52000000,,,3593649,,167432314.0,1405394,,219688833.0,,,2224911,0.0,1166154,10049170,8649,6124,70345,1801,61064240,12185957,1972101,1833695,117038316,185243599,7955356,7955356,0
2013-08-09,2,2013,4780000,16732471,21512471,155704856,467548,-3064563,58105,30240,12827957,12827957,690995,-13285,37475245,2769486,2726089,,25093359,973141,15049100,15049100,6472789,43372,,,21885000,412684,432543,849720,4835532,11608019,7721285,12768,10504126,1497864,2636253,52000000,2013年06月30日,-7312747,,,52075516,50284174,2888780,321891,57778118,34065145,,434330,3926293,,15840849,64615,12341,5625000,52000000,,,3668616,,167818748,1405394,,219894264,22,,417820,0,1106728,10004582,90332,5200,112104,4346,58281727,11608019,2008073,1791342,110040630,185829119,8357756,8357756,0
2013-11-12,3,2013,4780000,19879191,24659191,152373066,466729,-1635415,75290.0,28428,12083854,12083854,592484,1872,38155448,3026454,2045532,,24092195,683772,17740488,17740488,6825355,43372,,,21885000,452230,447523,1099158.0,2561333,11033553,7213138,9778,10433523.0,2076810,2597983,52000000,2013年09月30日,-5883599,,,53552128,51728479,2888780,321891.0,55416919,32801475,,463303,3926293.0,,15707840.0,76522.0,10762.0,3022692,52000000,,,3822590,,164729432.0,1405394,,218281560.0,10921.0,,216722,0.0,1039669,9722242,68571,532,104574,11036,58472527,11033553,1941347,1823649,109312513,185480085,7908470,7908470,0
2014-03-27,4,2013,4780000,25265961,30045961,149662068,468476,-3161115,75504.0,28768,14339082,14339082,587665,86936,46036620,2741236,2465919,,21638576,676086,19344977,19344977,6791453,43372,,,27368023,779176,432535,,4399039,8641834,7774730,14517,10410907.0,2076740,2687755,52000000,2013年12月31日,-7409299,,,52890360,50806464,2888780,321891.0,61906028,37085072,,489412,3926293.0,,19007649.0,88927.0,16959.0,204036,52000000,,,3302484,,168085539.0,1924015,,220975899.0,2799.0,,215673,0.0,628820,9127014,22853,2026,135003,5617,53239582,8641834,1909749,2083896,106179511,183890827,8850384,8850384,0
2014-05-06,1,2014,10925000,23695491,34620491,146837584,467916,-5888043,91439.0,27635,11860967,11860967,560310,51752,51170789,4188384,2460874,,22869557,2505090,21068576,21068576,6964902,43372,,0.0,20167727,170453,422869,59956.0,4013605,8193813,7847468,7656,10351771.0,2076670,2813691,52000000,2014年03月31日,-10136227,,,50150956,48044352,2889000,321891.0,63979377,37497054,,542370,3926293.0,19212676.0,,87785.0,11011.0,190451,52000000,,,3615861,,169921997.0,1924015,,220072953.0,0.0,,304269,,437308,8736583,16107,1676,36449,4874,58850491,8193813,1818883,2106604,105942620,182575899,8348309,8348309,0
2014-08-12,2,2014,8585000,18327239,26912239,144530626,464215,-6921599,95939.0,26276,14295705,14295705,564888,53053,44622449,4300369,3190065,,21405109,1531020,26023470,26023470,6745445,43372,,0.0,18832818,772083,451437,1823184.0,3882755,7745791,7934950,7693,10334997.0,2076600,2778096,52000000,2014年06月30日,-6921599,,,49286604,47012097,2888780,0.0,66052705,37782428,,615954,0.0,19039082.0,,73536.0,13140.0,3969209,52000000,,,3376623,,173220987.0,1924015,,222507591.0,22109.0,,103901,,417577,8207940,22993,2685,87325,1986,63133470,7745791,1793301,2274507,107168282,184725163,9527086,9527086,0
2014-11-11,3,2014,8585000,15004136,23589136,142697863,467022,-5744374,93744.0,24804,11752888,11752888,452570,-196013,40086568,4010859,2591714,,20943344,1554278,28907319,28907319,7281492,43372,,0.0,18858301,982018,463079,2023631.0,3751905,7295847,8040736,7537,10299963.0,2076531,2769805,52000000,2014年09月30日,-5744374,,,50279347,47940256,2888780,0.0,57945478,35645865,,651796,0.0,16909618.0,,101601.0,24363.0,2164451,52000000,,,3870174,,170972185.0,1924015,,221251532.0,0.0,,160132,,377930,8006034,371242,1038,83959,4493,68975920,7295847,1793256,2339091,113026707,185605667,8734668,8734668,0
2015-03-27,4,2014,8585000,14218482,22803482,142655066,469317,-3864876,0.0,28881,11096311,11096311,817841,-1905698,40422071,3696400,2643974,,20474086,1388943,30931222,30931222,7226063,43372,,0.0,18323836,411804,435384,2088113.0,2758433,7100289,9460468,6615,10179539.0,2076461,2806823,52491666,2014年12月31日,-3864876,,,50997108,48670135,2888780,0.0,61357995,40910490,,670997,0.0,20468151.0,,75940.0,8714.0,4361628,52491666,,6744.0,4297036,,178074646.0,1992415,,229071754.0,0.0,,235814,,423589,8521770,2460000,5150,42850,727,73192954,7100289,1805315,2326973,116716651,188161264,11163756,11163756,0
2015-05-07,1,2015,1800000,18616394,20416394,139220801,468710,-2020357,0.0,26163,10587049,10587049,644702,-1360616,37630742,4161519,2255687,,20059137,1374075,35026146,35026146,7191651,43372,,,16963744,956802,465577,1198973.0,2633433,6690034,9343879,10472,,2076391,2914431,53700079,2015年03月31日,-2020357,113949.0,7631.0,54789521,52438727,2888780,0.0,55727452,40620269,10144581.0,832935,0.0,,20752727.0,,,2960938,53700079,229196625.0,10794.0,4703541,174407104.0,,2162993,229196625.0,,18381.0,67.0,350547,1177.0,395002,8009602,1784247,7791,62973,0,76550370,6690034,1850447,2350794,118679652,188576356,10419396,10419396,0
2015-08-13,2,2015,2400000,20497599,22897599,135990333,467450,608173,0.0,19481,11788702,11788702,1151386,-504175,41929127,4448865,2902779,,18581689,419553,33194996,33194996,7591261,43372,,,13430223,671347,478627,899876.0,2508433,6279780,8311427,4762,,2076321,2612667,54700732,2015年06月30日,608173,78470.0,9068.0,57799099,55558458,2888780,,58532821,44990270,10056136.0,858315,,,24783309.0,,,1900185,54700732,227826227.0,13877.0,5128983,170027128.0,,797100,227826227.0,,33329.0,1828.0,154710,,381162,7616394,739281,6995,81568,0,73963427,6279780,1826220,2240641,111494307,182835957,12074230,12074230,0
