date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,債券換股權利證書,其他應付款合計,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,按攤銷後成本衡量之金融負債－非流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,1421808.0,1421808,114870,0.0,750,711366,,,55632,0,,1546578,124770,14016,44198,21463,1078.0,21463.0,2953850,2953850,0.0,,,0.0,547193,4857,4798,,0,55025,5902,235517,31,414004,42327,43120.0,23087,0.0,8632,1200000,2013年03月31日,529296,,,,1911366,1911366,0,182070,2626216,4400375,1118,,90887.0,,,211797.0,0.0,3386.0,396100,,1200000,,10131,0.0,,2670414.0,0,,4581780.0,,0.0,0.0,11485,,0.0,,0.0,44198,181405,434560,,0
2013-08-13,2,2013,,,1570034,113747,,750,316013,0.0,,192352,0,,1863717,293683,39767,43886,22535,378.0,22535.0,3562800,3562800,0.0,300000.0,,,664751,14871,4656,,29965,47740,3291,353827,3,425669,43422,43508.0,23087,,7785,1200000,2013年06月30日,80284,,,,1816013,1816013,0,231229,3256160,4935425,1083,,89990.0,4500.0,,240282.0,786.0,3368.0,423900,,1500000,,10131,,,3300046.0,0,,5116059.0,,,,11647,,,1083.0,0.0,43886,180634,176297,0.0,0
2013-11-12,3,2013,,,1051931,111019,,750,711138,0.0,,64828,0,,1316586,264655,36228,45951,11996,2028.0,11996.0,3071219,3071219,0.0,0.0,,,628873,24295,51502,0.0,0,73831,4989,318670,0,363055,18053,43923.0,23087,,6799,1500000,2013年09月30日,475409,,,474989.0,2211138,2211138,0,231229,2568632,4658395,1405,,80597.0,4500.0,,542399.0,697.0,3368.0,392900,420.0,1500000,,10131,,,2614583.0,0,,4825721.0,,,,12270,,,1405.0,,45951,167326,224806,0.0,0
2014-03-18,4,2013,,1021621.0,1021621,109924,,750,844040,,,84624,0,,1280849,259228,5915,43398,13174,300.0,13174.0,3485950,3485950,0.0,,,,619760,32875,61667,,29957,42870,8237,351671,0,317760,9161,43098.0,23087,,6074,1500000,2013年12月31日,608311,,,,2344040,2344040,0,231229,2630817,4850666,1569,,73417.0,4500.0,,442580.0,656.0,3368.0,454300,,1500000,,15022,,,2674215.0,0,,5018255.0,,,,13011,,,1569.0,,43398,167589,160844,,0
2014-04-29,1,2014,,1209961.0,1209961,108777,,750,917561,,,56729,0,,1530837,320876,59703,44109,12211,558.0,12211.0,3479385,3479385,,0.0,0.0,,605263,17761,52990,,0,43013,6559,300735,151,367444,13911,43551.0,23087,,5156,1500000,2014年03月31日,681832,,,,2417561,2417561,0,231229,2603830,4900664,1682,,48929.0,4500.0,408471.0,,656.0,3388.0,275000,,1500000,,15022,,,2647939.0,0,,5065500.0,,,,13173,,,1682.0,,44109,164836,218547,,0
2014-08-13,2,2014,,109133.0,109133,118798,,750,693436,,,222668,0,,383141,274008,127998,44661,5309,658.0,5309.0,3408675,3408675,,225000.0,0.0,,694581,17393,123995,,0,36902,5669,322723,6002,424292,61911,44003.0,174365,,5390,1500000,2014年06月30日,401520,,,,2418436,2418436,0,291916,2056383,5290789,3393,,48655.0,0.0,287794.0,,17512.0,1.0,539500,,1725000,,15022,,,3193724.0,0,,5612160.0,,,,13366,,1092680.0,,0.0,1137341,321371,602738,,0
2014-11-10,3,2014,,262158.0,262158,117253,,750,846194,,,52722,0,0.0,683892,421734,198575,44919,4810,458.0,4810.0,4507861,4507861,,,0.0,,669844,15555,80279,,59962,40000,1879,434012,6694,412348,42768,44461.0,174150,,1263,1725000,2014年09月30日,554278,,,,2571194,2571194,0,291916,2238660,6246957,4606,,42177.0,0.0,234354.0,,17505.0,1.0,602000,,1725000,,15022,,,3990874.0,0,,6562068.0,,,,12279,1707295.0,1707295.0,4606.0,,1752214,315111,368167,,0
2015-03-27,4,2014,,37900.0,37900,115503,,750,1020678,,,60618,0,,199656,161756,18026,36413,5000,1473.0,5000.0,4265669,4265669,0.0,,0.0,,677936,3481,75489,,59996,69921,0,355935,183,324170,23308,34940.0,232377,,1220,1725000,2014年12月31日,728762,,,,2745678,2745678,0,291916,1798093,5771053,4280,,38868.0,0.0,364449.0,,17574.0,8.0,620000,,1725000,,13422,,,3397297.0,0,,6142975.0,,,,12792,1562791.0,1562791.0,4280.0,,1599204,371922,380437,,0
2015-04-30,1,2015,,129600.0,129600,113966,,750,1071909,,,57817,0,,312321,182721,32412,35846,5327,,,4817745,4817745,,0.0,0.0,,541587,1923,88247,,59876,43539,0,229214,235,316937,1940,,266265,,6604,1725000,2015年03月31日,779993,17656.0,7197.0,,2796909,2796909,0,291916,1756388,5845728,4546,71532.0,,0.0,,180933.0,,,620000,,1725000,6256009.0,13422,39.0,3459100.0,,0,6256009.0,,,,,12823,1666827.0,1666827.0,4546.0,,1702712,410281,187583,,0
2015-08-13,2,2015,,107900.0,107900,112404,,750,957290,,,172972,-1796,,362095,254195,40501,36204,6118,,,5234512,5234512,,105000.0,0.0,,685931,1923,83095,,59996,76906,0,311632,213,318057,34241,,296824,,8329,1725000,2015年06月30日,611039,34304.0,5.0,,2785494,2785494,0,346251,2239044,6354263,4354,63568.0,,0.0,,216444.0,,,748400,,1830000,6824898.0,13422,,4039404.0,,0,6824898.0,,,,39.0,41856,,1764117.0,,0.0,1800360,470635,135090,,0
2015-11-05,3,2015,,356140.0,356140,111486,,750,1037394,,,140946,1688,,568028,211888,175040,36539,5275,,,5290221,5290221,,,0.0,580472.0,709235,624,11465,,0,54587,0,243725,8858,237488,2299,,361388,,8827,1830000,2015年09月30日,691143,31076.0,0.0,,2881453,2881453,0,346251,1902283,6529879,4262,194015.0,,,,196050.0,,,372900,,1830000,7063656.0,13422,,4182203.0,,12371,7063656.0,,,3424.0,738.0,41789,1658747.0,1658747.0,4262.0,,2279920,533777,182183,,0
