date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－長期應收款項,催收款項,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原料,商譽,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地淨額,在製品,在途原物料,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,污染防治設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,發展中無形資產淨額,短期借款合計,租賃資產淨額,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之權益－採用權益法之子公司,與待出售非流動資產直接相關之負債,製成品,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,辦公設備淨額,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期應收款,長期應收票據及款項淨額,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,236000,236000,1199641,0,235,235,-49463,0,1304.0,,,,39949,,39949.0,886,886,0,4810,,248079,12079,112203,4773,0,168059,55328,107430,45132,122205,4981,206309.0,116.0,4810.0,4810.0,672106,672106,22158.0,5421.0,419064,419064,133.0,,,,90748,90748,0,99931,99931,16682,16682,,,234962.0,233658,15889,15889,108263,108263,20255,20255,45132.0,470297,233576,0,0,0,1095500,2013年03月31日,-76715,0,,9132,389674,238631,1136827,1056768,0,0,2487.0,742905,1029969,,116,0.0,,2270.0,24765.0,,110860.0,0,247516,0,10000.0,-85847,112731,236721,151043,1095500,,,,182906.0,,0,0,,1227140.0,5921,5921.0,0.0,,2363967.0,0,0,0,,0,0,82,82,11801,247516,100727.0,439021,439021,11730.0,11730,42719.0,0,80059,484235,1333998,8891,62775,0,0
2013-08-06,2,2013,245250,245250,1258413,0,235,235,-18340,0,1415.0,3000.0,1050.0,0.0,44554,,44554.0,690,690,0,7995,0.0,259280,14030,100647,9353,0,172827,57698,91294,44154,59856,4923,258500.0,116.0,7995.0,7995.0,672106,672106,23185.0,5054.0,483823,483823,396.0,0.0,,,76488,76488,0,59956,59956,26186,26186,0.0,,260283.0,258868,21999,21999,111432,111432,18079,18079,44154.0,471984,229767,0,0,0,1095500,2013年06月30日,-43105,0,,34334,457615,298842,1166094,1085155,0,0,0.0,859594,1129711,,116,0.0,,2304.0,24765.0,,125849.0,0,393130,0,8500.0,-77439,115129,242217,158773,1095500,,,,194780.0,,0,0,,1294038.0,0,0.0,,,2460132.0,0,0,0,,0,0,82,82,11801,393130,116953.0,390208,390208,13423.0,11473,43027.0,0,80939,434444,1330421,8324,433,0,0
2013-11-06,3,2013,115250,115250,1242984,0,235,235,-7678,0,1315.0,3000.0,1050.0,0.0,44433,,44433.0,725,725,0,6192,0.0,131388,16138,136381,4707,0,172821,55827,131674,43176,74739,4748,217335.0,116.0,6192.0,6192.0,672106,672106,23387.0,3858.0,425446,425446,295.0,0.0,,,115399,115399,0,29901,29901,18814,18814,0.0,,250025.0,248710,19010,19010,88434,88434,18969,18969,43176.0,471040,224500,0,0,0,1095500,2013年09月30日,-32443,0,,44996,455255,290551,1172357,1094014,0,0,0.0,635621,1092757,,116,0.0,,2246.0,24765.0,,146447.0,0,295686,0,0.0,-77439,116994,246540,164704,1095500,,,,178620.0,,0,0,,1250275.0,0,0.0,,,2422632.0,0,0,0,,0,0,82,82,11801,295686,146152.0,571396,571396,13321.0,11371,42264.0,0,78343,614654,1329875,8635,16356,0,0
2014-03-20,4,2013,75250,75250,1184430,0,235,235,7995,0,721.0,,,0.0,45129,,45129.0,557,557,0,5979,0.0,265263,190013,106738,4598,0,111383,47663,102140,33499,9489,4319,212336.0,116.0,0.0,0.0,672106,672106,20026.0,64354.0,449618,449618,50.0,0.0,322142.0,,120582,120582,0,29937,29937,19366,19366,0.0,,177782.0,177061,16605,16605,80409,80409,16938,16938,33499.0,366506,160442,0,0,0,1095500,2013年12月31日,-16770,30931,,60669,350820,273288,1186604,1109474,0,0,0.0,736168,1356590,,116,0.0,,0.0,24765.0,,177938.0,0,184353,0,0.0,-77439,63720,206064,77532,1095500,5979.0,5979.0,71538.0,152902.0,,0,0,,1372756.0,0,0.0,,,2559360.0,0,0,0,1992.0,0,0,506,506,8500,184353,177888.0,602583,602583,5170.0,5170,0.0,0,77130,636588,1202770,6592,0,0,0
2014-05-08,1,2014,78583,78583,1174322,0,235,235,28187,0,,,,0.0,36632,,36632.0,1136,1136,0,4476,0.0,270361,191778,137594,3758,0,112222,46143,133836,32870,11823,4264,,116.0,0.0,0.0,672106,672106,,,414823,414823,,0.0,284868.0,0.0,95285,95285,0,29974,29974,19420,19420,0.0,,,197614,12129,12129,79226,79226,22834,22834,32870.0,367165,157360,0,0,0,1095500,2014年03月31日,3422,2076,,20192,381566,296637,1204218,1128163,0,0,0.0,680170,1270546,,116,0.0,,,24765.0,110367.0,,0,190029,0,,-16770,66079,209805,84929,1095500,4476.0,4476.0,38469.0,,,0,0,,1261324.0,0,0.0,,,2465542.0,0,0,0,1911.0,0,0,506,506,8500,190029,,547778,547778,3813.0,3813,0.0,0,76055,581154,1194996,8044,3746,0,0
2014-08-06,2,2014,67170,67170,1177709,0,235,235,95913,0,,10390.0,0.0,0.0,55822,,55822.0,4080,4080,0,0,0.0,70616,3446,138791,4497,0,114872,46771,134294,32241,7071,2633,,0.0,0.0,,672106,672106,,,436563,436563,,0.0,0.0,0.0,107940,107940,0,29940,29940,21746,21746,0.0,,,209541,16210,16210,92030,92030,19731,19731,32241.0,366205,153299,0,0,0,1095500,2014年06月30日,95913,1350,,87918,400964,304183,1191413,1191413,0,0,,491404,1047094,,0,0.0,,,0.0,121004.0,,0,205340,0,,7995,68101,212906,96781,1095500,0.0,0.0,0.0,,,0,0,,1049196.0,0,0.0,,,2240609.0,0,0,0,1945.0,0,0,506,506,8500,205340,,525045,525045,12905.0,2515,0.0,0,0,557792,1193515,7199,1923,0,0
2014-11-06,3,2014,69810,69810,1171332,0,235,235,127693,0,,11590.0,0.0,0.0,49925,,49925.0,1732,1732,0,0,0.0,73541,3731,131753,4209,0,112228,44364,127544,31613,5699,2545,,0.0,0.0,,672106,672106,,,474700,474700,,0.0,0.0,0.0,93454,93454,0,29980,29980,23633,23633,0.0,,,229732,521,521,117062,117062,2169,2169,31613.0,368259,152058,0,0,0,1020000,2014年09月30日,127693,0,,121260,407742,302804,1147693,1147693,0,0,,541159,1082798,,0,0.0,,,0.0,113487.0,,0,270626,0,,6433,67864,216201,104938,1020000,0.0,0.0,0.0,,,0,0,,1120871.0,0,0.0,,,2268564.0,0,0,0,2118.0,0,0,506,506,8500,270626,,547593,547593,12829.0,1239,0.0,0,0,579712,1185766,9524,1915,0,0
2015-03-16,4,2014,149810,149810,1163569,0,235,235,137375,0,136.0,,,0.0,52527,,52527.0,1965,1965,0,0,0.0,153838,4028,122922,2724,0,111254,43845,120198,34785,19777,3958,263461.0,0.0,0.0,,672106,672106,17336.0,11816.0,420261,420261,55.0,0.0,0.0,0.0,96562,96562,0,29952,29952,20594,20594,0.0,,213385.0,213249,561,561,105167,105167,3596,3596,34785.0,368544,148318,0,0,0,1020000,2014年12月31日,137375,5503,,130942,408480,293797,1157375,1157375,0,0,,573796,1014891,,0,0.0,,0.0,0.0,140110.0,,0,220323,0,,6433,67409,220226,114683,1020000,0.0,0.0,0.0,127648.0,,0,0,,1049597.0,0,0.0,,,2206972.0,0,0,0,2470.0,0,0,876,876,8500,220323,140055.0,440140,440140,0.0,0,,0,0,475801,1192081,4590,15819,0,0
2015-05-06,1,2015,149810,149810,1168570,0,235,235,150114,0,,,,0.0,39248,,39248.0,1421,1421,0,0,0.0,153366,3556,115739,5395,0,114020,44227,110344,33613,22129,8503,,0.0,,,672106,672106,,,449034,449034,,0.0,0.0,0.0,132590,132590,0,29989,29989,19133,19133,0.0,,,194977,1064,1064,89965,89965,2612,2612,,368319,145022,0,0,0,1020000,2015年03月31日,150114,17167,,12739,414944,290048,1170114,1170114,0,0,,580922,988779,33613.0,0,,0.0,,0.0,,127068.0,0,206596,0,,137375,69793,223297,124896,1020000,0.0,0.0,0.0,,2188213.0,0,0,1018099.0,,0,,,2188213.0,,0,0,0,1101.0,0,0,876,876,8500,206596,,402688,402688,0.0,0,,0,0,437177,1199434,5798,13626,0,0
2015-08-06,2,2015,149810,149810,1160818,0,235,235,76538,0,,,,0,126200,44600,,1951,1951,0,0,0,153562,3752,116771,4875,0,110174,42136,111896,32442,52598,4002,,,,,672106,672106,,,397257,397257,,0,,0,146408,146408,0,29951,29951,17403,17403,0,81600,,192250,681,681,106280,106280,3603,3603,,368759,141376,0,0,0,1020000,2015年06月30日,63027,10663,,20763,418127,294537,1096538,1096538,0,0,13511,703465,976405,32442,0,,0,,,,151803,0,229941,0,,42264,68038,227383,123590,1020000,0,,,,2198556,0,0,1102018,,0,,,2198556,,0,0,0,1052,0,0,876,876,8500,229941,,365235,365235,0,0,,0,0,398553,1222151,4757,48596,0,0
