date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他短期借款,其他短期負債準備,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原料,員工福利負債準備－流動,在製品,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應收帳款,應收帳款淨額,房屋及建築成本,房屋及建築淨額,按攤銷後成本衡量之金融負債－非流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,模具設備成本,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃資產成本,租賃資產淨額,累積盈虧,股本合計,製成品,試驗設備成本,試驗設備淨額,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－非流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,避險之衍生金融負債－非流動,銀行借款,銀行長期借款,銷貨退回及折讓之短期負債準備,長期借款合計,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,,335043,0.0,5733.0,5733.0,,-532966,0.0,0.0,65904,65904,20190,20190.0,-2629,,-2629,9223,9223,15270,15270.0,,,,6250.0,,,3841,24804,16950,16950,,,,3841,7854,60918,60918.0,36527.0,0.0,,0.0,27881,27881,31579.0,31579,335043,335043,0.0,,,724634,2013年03月31日,-532966,,,,,,189039,189039,0,391983,217517,1766,,,53033.0,53033.0,,36527.0,0.0,282725,,,-532966,724634,60918.0,,,,6250,0.0,,395824.0,0.0,,584863.0,,,0.0,,,0.0,0.0,282725,,,0.0,1766.0,1766.0,0.0,3841,367346,0
2013-08-12,2,2013,,,332280,,0.0,0.0,485.0,-544914,0.0,0.0,60059,60059,16206,16206.0,-16845,-16845.0,-16845,6226,6226,12473,12473.0,0.0,0.0,,,139.0,139.0,4782,24924,16950,16950,29047.0,2384.0,5779.0,4782,7974,60764,60764.0,21891.0,,,,46754,46754,28251.0,28251,327685,327685,,0.0,0.0,724634,2013年06月30日,-544914,,0.0,0.0,1963.0,1963.0,162875,162875,0,383769,192635,1587,,,53050.0,53050.0,,21891.0,1391.0,264173,1385.0,1385.0,-544914,724634,25938.0,39.0,39.0,,5166,,,388551.0,0.0,,551426.0,823.0,823.0,,246.0,246.0,,,264173,,2297.0,,1587.0,1587.0,0.0,4782,358791,0
2013-11-12,3,2013,,,329354,,0.0,0.0,480.0,-583839,0.0,0.0,57027,57027,10537,10537.0,-2795,-2795.0,-2795,11177,11177,11507,11507.0,0.0,0.0,,,119.0,119.0,5572,24813,16950,16950,27628.0,2368.0,20404.0,5572,7863,75393,75393.0,35116.0,,,,51900,51900,17410.0,17410,325597,325597,,0.0,0.0,724634,2013年09月30日,-583839,,0.0,0.0,1593.0,1593.0,138000,138000,0,414994,202970,1429,,,53007.0,53007.0,,35116.0,0.0,290013,1061.0,1061.0,-583839,724634,27361.0,4.0,4.0,,4877,,,420566.0,,,558566.0,798.0,798.0,,182.0,182.0,,,290013,,2029.0,,1429.0,1429.0,0.0,5572,355596,0
2014-03-20,4,2013,,,326588,,0.0,0.0,484.0,-577381,,0.0,49194,49194,3339,,-21798,-21798.0,-21798,9598,9598,10653,,0.0,0.0,170000.0,,99.0,99.0,5258,19564,16950,16950,,0.0,,5258,2614,53279,,,,,,38763,38763,,23828,323508,323508,,,,724634,2013年12月31日,-577381,,0.0,0.0,1336.0,1336.0,125455,125455,0,402032,185279,1314,,,,53031.0,,41149.0,274.0,302459,769.0,769.0,-577381,724634,,0.0,0.0,,1744,,,407290.0,,,532745.0,752.0,752.0,,124.0,124.0,,,132459,,1260.0,,1314.0,1314.0,0.0,5258,347466,0
2014-05-12,1,2014,,,324112,,0.0,0.0,,-605737,,0.0,48188,48188,4277,,-17915,-17915.0,-17915,9338,9338,11798,,,1236.0,,0.0,,,5613,19644,16950,16950,,,,5613,2694,49203,,,,0.0,,28418,28418,,21335,324112,324112,,,,724634,2014年03月31日,-605737,,,,,,100982,100982,0,395434,157037,1236,,,,53097.0,17327.0,,500.0,307235,,,-605737,724634,,,,,1755,,,401047.0,,,502029.0,,,,,,,,307235,,1755.0,,,,,5613,344992,0
2014-08-11,2,2014,6666.0,6666.0,321857,,,,485.0,-644070,,,49223,49223,5469,5469.0,-2647,-2647.0,-2647,15533,8867,12971,12971.0,,,,,73.0,73.0,4509,19600,16950,16950,24741.0,0.0,3825.0,4509,2650,53039,53039.0,14905.0,,0.0,,35715,35715,13153.0,13153,319477,319477,,,,724634,2014年06月30日,-644070,,,,1059.0,1059.0,77917,77917,0,399396,152573,1126,,,53036.0,53036.0,14905.0,,82.0,297098,395.0,395.0,-644070,724634,24473.0,0.0,0.0,,1745,,,417239.0,,,495156.0,821.0,821.0,,32.0,32.0,,,297098,13334.0,1260.0,13334.0,1126.0,1126.0,,17843,342583,0
2014-11-11,3,2014,6105.0,6105.0,319418,,,,494.0,-635276,,,50582,50582,3831,3831.0,-29361,-29361.0,-29361,15994,9889,20682,20682.0,,,200000.0,,253.0,253.0,4510,19660,16950,16950,19288.0,0.0,8880.0,4510,2710,55597,55597.0,31021.0,,0.0,,35367,35367,19513.0,19513,317376,317376,,,,724634,2014年09月30日,-635276,,0.0,0.0,767.0,767.0,59997,59997,0,397109,133736,1012,,,3092.0,3092.0,31021.0,,0.0,293412,312.0,312.0,-635276,724634,27429.0,0.0,0.0,,1754,,,413829.0,,,473826.0,710.0,710.0,,0.0,0.0,,,93412,12210.0,1260.0,12210.0,1012.0,1012.0,,16720,340090,0
2015-03-16,4,2014,6660.0,6660.0,317045,,,,514.0,-616730,,,42909,42909,3632,3632.0,-63579,-63579.0,-63579,15126,8466,23727,23727.0,,,200000.0,,230.0,230.0,4876,19814,16950,16950,26329.0,,9279.0,4876,2864,53876,53876.0,10987.0,,0.0,,31104,31104,15884.0,15884,315275,315275,,,,724634,2014年12月31日,-616730,,,,680.0,680.0,44325,44325,0,389889,111321,900,,,3215.0,3215.0,10987.0,,98.0,298878,239.0,239.0,-616730,724634,18268.0,,,,1774,,,404755.0,0.0,,449080.0,621.0,621.0,,0.0,0.0,,,98878,9990.0,1260.0,9990.0,900.0,900.0,0.0,14866,337759,0
2015-05-13,1,2015,6660.0,6660.0,315178,,,,508.0,-642093,,,35335,35335,3805,,-54534,-54534.0,-54534,14766,8106,26622,26622.0,,,230000.0,,201.0,201.0,3759,19785,16950,16950,19372.0,,12557.0,3759,2835,44308,44308.0,12053.0,,0.0,,28909,28909,21063.0,21063,313174,313174,,,,724634,2015年03月31日,-642093,51.0,,,603.0,603.0,28007,28007,0,406971,118654,788,10803.0,10803.0,,,,12053.0,,326142,198.0,198.0,-642093,724634,12379.0,,,454405.0,1768,,426398.0,,0.0,454405.0,,1002.0,1002.0,,0.0,0.0,,,96142,15668.0,1260.0,15668.0,788.0,788.0,0.0,19427,335751,0
2015-08-10,2,2015,6660.0,6660.0,312923,,,,501.0,-679198,,,30321,30321,3359,,-38927,-38927.0,-38927,15900,9240,23141,23141.0,,,250000.0,,189.0,189.0,4487,19744,16950,16950,23371.0,,8260.0,4487,2794,46277,46277.0,16177.0,,0.0,,35449,35449,22013.0,22013,311073,311073,,,,724634,2015年06月30日,-679198,55.0,,,530.0,530.0,6509,6509,0,427364,118640,676,7673.0,7673.0,,,,16177.0,,345138,159.0,159.0,-679198,724634,14646.0,,,451983.0,501,,445474.0,,,451983.0,,972.0,972.0,,0.0,0.0,,,95138,13623.0,0.0,13623.0,676.0,676.0,0.0,18110,333343,0
2015-11-10,3,2015,6660.0,6660.0,310302,,,,534.0,-660279,,,34089,34089,4516,,-85072,-85072.0,-85072,14015,7355,21046,,,,260000.0,,178.0,178.0,4466,19900,16950,16950,18088.0,,9865.0,4466,2950,47818,47818.0,,,,,31950,31950,,11607,308971,308971,,,,724634,2015年09月30日,-660279,61.0,,,579.0,579.0,-20717,-20717,0,442142,106703,564,,7673.0,,,,14043.0,,361493,132.0,132.0,-660279,724634,19865.0,,,437469.0,534,,458186.0,,0.0,437469.0,,442.0,442.0,,,,,,101493,11578.0,0.0,11578.0,564.0,564.0,0.0,16044,330766,0
