date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,4496502,261852,4746305,-500309,348194,747696,905931,-414157,,381971,303044,140683,195242,86152,2713942,0.0,,0.0,4366991,6068.0,3268893,0.0,661966,60906,4488304,2013年03月31日,3061704,,10272940,10249529,0,1327006,6734258,10825330,21791,357595.0,,3321302.0,311618.0,758489,4489874,,,7067441.0,1427507,96807,219206,,1111438,56,0.0,,,17340381.0,3190.0,869955,69096,192500.0,23411,333183,6515051,1570,157000
2013-08-08,2,2013,4452617,253522,3863722,-422665,405983,772362,1889830,-276503,,423758,216338,142878,168239,146162,2205786,,,0.0,4158274,644.0,3036548,,659371,40508,4489874,2013年06月30日,1921243,,9510216,9505444,0,1461896,7365673,10745571,14237,480583.0,,4661853.0,178823.0,709736,4489874,,,7662551.0,1428351,97651,219206,,1111438,56,0.0,,,17172767.0,4608.0,219063,66340,154000.0,4772,296878,6427196,0,0
2013-11-08,3,2013,4278803,253522,4026751,-456948,378378,753862,745129,-368767,,498102,418523,141736,176050,88181,2358461,,,0.0,4047375,470.0,3368851,,656777,34904,4489874,2013年09月30日,2084272,,9573550,9577255,0,1461896,6093808,9685137,13741,480583.0,,2524785.0,75965.0,725136,4490514,,,6351044.0,1428757,97738,219206,0.0,1111757,56,0.0,,,15924594.0,1631.0,636139,71798,115500.0,-3705,257236,6239457,640,64000
2014-03-17,4,2013,4018603,253522,4152408,-434847,420043,740759,913711,-290579,,410415,465869,110059,160694,144268,1828457,,,0.0,3938384,296.0,3075851,,654182,50526,4490514,2013年12月31日,2209929,,9780557,9802355,0,1461896,6340142,10547309,10188,480583.0,,4126766.0,92038.0,977855,4504684,,,6730201.0,1435842,97738,219206,,1118842,56,0.0,,,16510758.0,7443.0,630323,74975,280000.0,-21798,390059,5963449,14170,1417000
2014-05-05,1,2014,3971717,210522,3951154,-362539,474406,771342,758228,-127443,,396859,332495,109813,188876,235096,2303343,,0.0,,3983542,122.0,2591881,,651587,47337,4504684,2014年03月31日,2008675,,9747478,9773132,0,1461896,6061938,10291589,13092,480583.0,3968740.0,,95284.0,620235,4510614,,,6496751.0,1438807,97738,219206,0.0,1121807,56,0.0,,,16244229.0,207668.0,620724,98167,325000.0,-25654,434813,5952640,5930,593000
2014-08-08,2,2014,3848124,203025,2977331,-339386,493173,759099,1917440,-354167,-125581.0,390100,359325,110742,245871,110800,1856667,,0.0,,4448623,6.0,3533704,,648992,19526,4730614,2014年06月30日,1176408,,8878324,8909741,0,1510344,7643977,11118656,15681,290579.0,4461184.0,,88189.0,633960,4731174,,,8074719.0,1555403,97738,219206,0.0,1122087,56,0.0,116316.0,,16953043.0,165659.0,414603,94069,320000.0,-31417,430742,5834387,560,56000
2014-11-03,3,2014,3816862,202895,3173195,403871,495858,1506869,823604,502124,-100870.0,398371,401537,109994,238301,199123,2498904,1216.0,0.0,,4822973,6.0,3434640,,646398,18251,4731174,2014年09月30日,1372272,,9941449,9962511,121600,1510344,6795357,10642035,13939,290579.0,3797667.0,,102109.0,624126,4731584,,,7220351.0,1556824,97738,219206,,1122292,56,,117532.0,,17161800.0,24168.0,13429,76250,315000.0,-21062,424994,6519765,410,41000
2015-03-16,4,2014,3785922,202895,3335072,-96932,510493,957055,944996,236037,-76159.0,574561,440066,93420,172679,409128,2220639,2883.0,0.0,,4534066,6.0,2983401,,643803,17684,4730368,2014年12月31日,1534149,,9860323,9859389,288300,1510344,6752002,10987220,12589,290579.0,4815979.0,,124941.0,564495,4731168,,,7005422.0,1559995,97738,219206,0.0,1122580,56,0.0,120415.0,,16865745.0,8937.0,16642,85898,160000.0,934,253420,5878525,800,80000
2015-05-08,1,2015,3758405,202895,3456055,47947,568836,1006271,696075,341756,-51448.0,430049,552382,90100,155986,345257,2003057,9521.0,0.0,,3520427,6.0,2651369,,641208,18927,4728285,2015年03月31日,1655132,155044.0,10121945,10086091,952100,1510344,5331601,9816514,13374,290579.0,,4023095.0,,530000,4728285,15703646.0,5581701.0,,1569516,97738,219206,,1122724,56,,129792.0,15703646.0,,0.0,17775,90066,160000.0,35854,250100,5887132,0,0
2015-08-07,2,2015,3548775,188895,3649341,-147278,595287,744047,778526,106277,-31417.0,457294,530286,97177,156964,284972,1774639,5201.0,,,3510135,6.0,2619213,,638613,19367,4718764,2015年06月30日,2123516,208506.0,10190169,10022838,520100,1525825,5364467,10254103,11098,0.0,,4723836.0,,410000,4719674,15651813.0,5461644.0,,1552747,97738,219206,,1189140,56,,46607.0,15651813.0,,0.0,10842,89951,0.0,167331,97177,5397710,910,91000
2015-11-06,3,2015,3558259,107000,3939671,-279017,561134,700202,2770638,216557,-24937.0,454190,445660,97460,167701,520511,2107713,611.0,0.0,,4009021,,2910005,,636019,18834,2828260,2015年09月30日,2413846,217040.0,8713237,8540463,61100,1525825,7860889,11376559,8720,0.0,,5342590.0,,410000,2828310,16671586.0,7958349.0,,1556536,97738,219206,,1191452,56,,48084.0,16671586.0,,0.0,9457,98292,0.0,172774,97460,5295027,50,5000
2016-03-14,4,2015,3512182,95753,4041792,-275818,560340,702958,1021151,139123,-18458.0,428103,629871,102557,168717,433399,1484509,1533.0,0.0,,3106223,,2304963,,633424,5882,2828260,2015年12月31日,2515967,214646.0,8734723,8566141,153300,1525825,5180123,8795084,13678,0.0,,3806808.0,,410000,2828310,14017403.0,5282680.0,,1558449,97738,219206,0.0,1192021,56,0.0,49428.0,14017403.0,,0.0,8593,89725,0.0,168582,102557,5222319,50,5000
2016-05-09,1,2016,3449520,95753,4012993,-229084,608777,683662,864268,102150,-11978.0,435320,360251,100082,172285,343212,1723233,748.0,,,2406457,,1499939,,630829,4917,2826777,2016年03月31日,2487168,210087.0,8678352,8500369,74800,1525825,4326630,7969731,9469,0.0,,3769062.0,,410498,2826777,13105064.0,4426712.0,,1559197,97738,219206,,1192046,56,,50151.0,13105064.0,,,8469,88898,0.0,177983,100082,5135333,0,0
