date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,4365239,3538786,-17750,0.0,12742.0,1000651,,73500,,-55574,0,129111,399683,81434,199047,-37824,2046598,289455,,0.0,1882665,,13248,3690419,,11005,24153.0,3697803,2013年03月31日,2404965,,7803891,6951202,16794000,851786,3882469,8061783,55671,282035,,1374465.0,81342.0,775452,3697803,,,4933004.0,59642,59642.0,,,12736895.0,0.0,169088,33476,18260,935625.0,852689,1050535,4675112,297025,0.0,0
2013-08-12,2,2013,4681321,3447625,-15697,0.0,14795.0,1214838,,71769,,64167,0,28149,140415,82614,154196,79864,1862000,289455,,0.0,1826176,,17043,3844661,,11879,23668.0,3697803,2013年06月30日,2313804,,7841823,6979782,16794000,851786,3947181,8073444,53383,282035,,1692366.0,48734.0,812241,3697803,,,5182972.0,59642,59642.0,,,13024795.0,0.0,154223,38177,23988,1115000.0,862041,1235791,4951351,296131,0.0,0
2013-11-13,3,2013,4554597,3441492,-15297,0.0,15195.0,1088676,,56054,,-28339,0,34270,204782,82446,148164,-13042,1900983,289455,,0.0,2923470,,16122,4984697,,2721,22854.0,3697803,2013年09月30日,2307671,,7732949,6881143,16794000,851786,4917048,9059631,46132,282035,,1540267.0,53536.0,800974,3697803,,,6137971.0,59642,59642.0,0.0,,13870920.0,0.0,145639,34227,24347,1104250.0,851806,1220923,4811289,224488,0.0,0
2014-03-28,4,2013,4527761,3440882,-13814,0.0,16678.0,1185820,,87001,,110410,0,33077,27975,79053,141010,124224,1970543,128312,,0.0,3364226,,15537,5524270,271.0,4877,22762.0,3637803,2013年12月31日,2307061,,7919173,7060783,9225000,851786,5345194,9591835,51141,282035,,1550128.0,44258.0,702276,3637803,,,6456163.0,0,0.0,0.0,,14375336.0,0.0,117702,33453,24149,998463.0,858390,1110969,4783501,309068,0.0,0
2014-05-14,1,2014,4417060,3496429,-11321,,19171.0,1112375,,61436,,108673,0,362047,132520,79048,137759,119994,1983155,128312,0.0,,2896380,,9465,5460209,494.0,6168,22442.0,3637803,2014年03月31日,2362608,,7978456,7114593,9225000,851786,5341461,9317899,62979,282035,1294777.0,,21780.0,939414,3637803,,,6023677.0,0,0.0,0.0,,14002133.0,,97755,32805,24823,570363.0,863863,682216,4684234,281385,0.0,0
2014-08-13,2,2014,4272450,3629636,-11321,,19171.0,1081547,,62538,,-40461,0,273955,39407,79424,149770,-29140,1899968,128312,0.0,,2836337,,16714,5488861,756.0,3892,21500.0,3637803,2014年06月30日,2510301,,7950830,7098666,9225000,862265,5003826,8993834,93716,257070,1174947.0,,33851.0,761422,3637803,,,5634500.0,0,0.0,0.0,,13585330.0,,82570,34725,34889,516525.0,852164,630674,4591496,240895,0.0,0
2014-11-12,3,2014,4287739,3863419,0,,0.0,1264169,,57089,,167864,0,524322,188016,79442,145561,167864,2070731,133591,0.0,,3266796,,14167,6032687,0.0,2085,19794.0,3637803,2014年09月30日,2744084,,8341247,7535495,9547000,862265,6134826,10249674,94665,257070,1612875.0,,119645.0,945727,3637803,,,6491471.0,0,0.0,0.0,,14832718.0,,57622,30828,35285,246375.0,805752,356645,4583044,228569,0.0,0
2015-03-27,4,2014,4507070,4073602,0,,0.0,1093982,76387.0,66213,214.0,455461,0,496174,295522,73967,173302,455461,1938637,100209,0.0,,3344295,21811.0,15533,5682260,3788.0,2410,16651.0,3637803,2014年12月31日,2954267,,8909595,8066657,7905000,862265,6409349,10592315,102159,257070,2343111.0,,78305.0,1282862,3637803,,,6512930.0,0,0.0,0.0,,15422525.0,,47900,29614,31028,0.0,842938,103581,4830210,212260,,0
2015-05-13,1,2015,4474619,4189525,0,,0.0,993052,70638.0,47789,,370477,0,267077,153146,74288,157759,370477,1791945,161065,0.0,,2797827,,13253,5103041,,0,15920.0,3637803,2015年03月31日,3070190,71994.0,8880029,8039322,10625000,862265,5423091,9629373,98225,257070,,2224723.0,,1209250,3637803,14407023.0,5526994.0,,2582,2582.0,0.0,14407023.0,,,112019,29615,31127,0.0,840707,103903,4777650,196710,,0
2015-08-13,2,2015,4341789,4168689,0,,0.0,1075954,,50741,,242528,0,260561,356493,74451,188258,242528,1820404,158057,0.0,,2946371,,8532,5136455,,513,0.0,3637803,2015年06月30日,2980143,131050.0,8718477,7895436,10375000,931476,5649219,9809033,106486,257070,,2188066.0,,1226751,3637803,14473408.0,5754931.0,,4473,4473.0,0.0,14473408.0,,,45921,31261,27842,0.0,823041,105712,4664375,210440,,0
