date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,工程存出保證金,庫存現金,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付租賃款－流動,應付租賃款－非流動,應付股利,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,3188511,1677112,220185,70035,,,508868,503921,3677,17314,45874,95944,2103,189931,167877,5933,8823,,96612,2055.0,348689,3897,3897,2698,227949,148535,148535,13231,,,,71142,89784,18523.0,149920,89754,4336.0,,,,4947,194413,318370,19365,188060,0,91859.0,1316,223163,2259458,2013年03月31日,940716,,,4250730,4144470,0,699863,1133560,1663614,,41.0,36533.0,,85461.0,92512.0,302.0,12777,2259458,,,1277851.0,162026,,5528581.0,,278001,47679,33212,,106260,144291,3864967,,116843,87908,0
2013-08-02,2,2013,3163886,1275364,207506,67675,,,1207820,513054,8548,19188,26400,100645,7383,167247,142527,15146,8889,,95313,2055.0,455203,4741,4741,2750,233662,160387,160387,15831,,,,140391,93385,19549.0,149966,83775,0.0,,,641482.0,53284,335269,436424,7325,157201,0,90508.0,1316,239525,2259458,2013年06月30日,454458,,,3822380,3723248,0,766811,1879165,1883892,,19.0,54095.0,,116258.0,73282.0,245.0,10352,2259458,,,2022324.0,162026,,5844704.0,,268294,47846,33188,,99132,143159,3960812,,216800,78116,0
2013-11-01,3,2013,3133022,1508718,221533,90265,,,550273,478179,891,20109,71040,81272,1950,41056,16273,11939,8765,,91905,0.0,607997,4394,4394,2750,281978,176081,176081,16018,,,,43122,84918,8988.0,349793,63942,0.0,,,,72094,178691,311180,13932,143934,0,89155.0,1316,250479,2259458,2013年09月30日,687812,,,4103879,4001242,0,766811,1412812,1541034,,0.0,54095.0,,106259.0,55721.0,245.0,174783,2259458,,,1552708.0,162026,,5656587.0,,216513,47991,32474,,102637,139896,4115553,110610.0,321625,67383,0
2014-03-18,4,2013,3456849,1761661,230497,83568,,,573724,546437,21581,17070,76855,237040,1784,53606,16469,21181,14648,,111580,0.0,318312,3580,3580,16636,302541,151136,151136,22489,,,,44794,82500,11336.0,299916,23737,2000.0,,,,27287,140454,450965,14946,221650,6199,94944.0,1316,258233,2259458,2013年12月31日,940755,,,4373645,4260000,0,766811,1576624,1961004,,0.0,54095.0,,141479.0,102472.0,245.0,199105,2259458,,,1736042.0,162026,,6109687.0,,221805,47838,30405,,113645,159418,4148683,289371.0,12191,214075,0
2014-05-02,1,2014,3493419,1975652,224102,79663,,,553072,518418,28742,24695,57595,282469,1737,75827,43756,8433,14849,,110588,0.0,389277,3615,3615,16823,373767,134343,134343,17222,,,0.0,45968,83126,0.0,49991,35939,0.0,,,,34654,134176,365897,22833,292590,60,93765.0,1316,241939,2259458,2014年03月31日,1154746,,,4571779,4454731,0,766811,1369800,1864360,,0.0,54095.0,152628.0,,143793.0,246.0,175442,2259458,,,1528315.0,162026,,6100094.0,,168016,47927,30120,,117048,158515,4235734,240205.0,11895,272299,0
2014-08-05,2,2014,3439328,1487643,236867,92084,,,1285700,507229,12335,18351,65955,210435,8402,34199,3959,5374,14683,,109447,0,388525,2876,2876,16823,373754,186826,186826,15557,113832,,0,49281,93859,0,0,11215,0,,,746781,31690,154827,437229,20505,137238,2650,92624,1316,239924,2259458,2014年06月30日,632321,,,4080195,3975082,0,855322,1782681,1829106,,0,0,113832,,103198,245,28993,2259458,,,1940136,162026,,6020331,,260202,48008,30048,,105113,157455,4191225,213800,11895,196659,0
2014-11-05,3,2014,3440205,1753069,312217,29702,,,557070,525475,1373,22263,80982,157611,7489,58443,18143,6221,20568,,99048,,432369,2197,2197,8711,373752,236356,236356,19732,,,0.0,42667,82754,381.0,299867,21686,0.0,,,,31595,152484,393624,23243,197161,4190,90337.0,1316,251135,2259458,2014年09月30日,897747,,,4366624,4255535,0,855322,1471962,1801248,,,0.0,113916.0,,74578.0,246.0,234929,2259458,,,1617810.0,162026,,5984434.0,419.0,90240,46800,28459,,111089,145848,4183186,195492.0,56420,143901,0
2015-03-19,4,2014,3812605,2048242,314230,30646,,,610997,578720,9770,23529,86636,113494,5741,49618,10099,4712,14036,,411305,,383568,5305,5305,9427,335236,191137,191137,25483,,0.0,0.0,44754,68369,0.0,99986,15656,0.0,10513.0,312667.0,,32277,164932,567332,5829,208023,2793,89211.0,1316,253895,2259458,2014年12月31日,1192920,,,4683718,4556362,0,855322,1291894,1928291,,,0.0,146754.0,,124430.0,0.0,213816,2259458,,,1750003.0,162026,,6433721.0,392.0,111296,46804,23400,312667.0,127356,458109,4505430,133048.0,43027,92528,0
2015-05-07,1,2015,3859809,2290197,300317,30712,,0.0,545687,524220,11623,28178,71059,162018,2058,58203,13985,3512,17662,,411221,,390269,4357,4357,11427,334160,200231,200231,26556,,0.0,0.0,78132,78135,10559.0,59973,28243,1997.0,6148.0,312390.0,,21467,181013,542786,77235,250057,0,,1316,255693,2259458,2015年03月31日,1434875,170237.0,2.0,4912731,4782740,0,855322,1361483,2171300,87404.0,,0.0,,266920.0,,,226502,2259458,6732195.0,1819464.0,,162026,6732195.0,,0.0,123597,46760,23096,312390.0,129991,457981,4560895,131138.0,51752,150300,0
2015-08-11,2,2015,3939114,1548243,280672,30397,0.0,0.0,1497573,501406,30517,34260,45060,102056,3167,52031,11757,1797,11103,,406534,,396345,3204,3204,11427,331860,207642,207642,29171,,0.0,,53936,94544,4276.0,0,9958,,8209.0,309540.0,976519.0,19648,184341,363645,47898,186520,0,,12638,240928,2259458,2015年06月30日,589663,91033.0,4.0,4127492,4014787,0,958580,1937269,1876324,85567.0,,,,306016.0,,,83893,2259458,6518060.0,2390568.0,,162026,6518060.0,,0.0,122750,46765,22314,309540.0,112705,453299,4641736,60028.0,61281,88883,0
