date,season,year,不動產、廠房及設備淨額,交通及運輸設備,什項設備,以成本衡量之金融資產－流動,以成本衡量之金融資產－非流動,保留盈餘合計,備供出售金融資產未實利益（損失）,備供出售金融資產－流動,備供出售金融資產－非流動,共同控制下前手權益,其他應付款,其他應收款,其他權益合計,其他權益－其他合計,其他流動負債,其他流動資產,其他準備合計,其他無形資產,其他設備,其他負債,其他資產合計,其他資產－其他,其他金融資產－流動,員工福利負債準備,商譽,國外營運機構財務報表換算之兌換差額,土地,央行及銀行同業存款,存入保證金,存出保證金,存放央行及拆借銀行同業,存款及匯款,存貨,客戶保證金專戶,庫藏股票,待註銷股本股數,應付債券,應付到期長期負債（一年或一營業週期內到期長期負債）,應付帳款,應付款項合計,應付短期票券,應付票據,應付融券擔保價款,應收帳款,應收款項淨額,應收款項－關係人,應收票據,應收證券融資款,房屋及建築,承受擔保品－淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,投資性不動產－租賃權益,持有至到期日金融資產－非流動,採用權益法之投資,普通股股本,會計項目,期貨交易人權益,未分配盈餘（待彌補虧損）合計,未完工程及預付房地設備款,本期所得稅負債,本期損益,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債總額,流動資產合計,無形資產淨額,營業保證金及交割結算基金,特別盈餘公積,現金及約當現金,當期所得稅負債,短期借款,租賃資產改良,累積盈虧,股本合計,融券保證金,融券存入保證價款,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款淨額,資本公積合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列之關聯企業及合資淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動,透過損益按公允價值衡量之金融資產－流動,遞延所得稅負債合計,遞延所得稅資產淨額,長期借款,附買回票券及債券負債,附賣回票券及債券投資,電腦及機器設備,非控制權益,非流動負債合計,非流動資產合計,預付款項,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-10,1,2013,20578578,36906,125382,,206886,5296666,501825,3516975,5955549,,1309216,613032,456994,,595862,115618,0.0,35747,41202,133552,706046,404486,561686,1491958,593554,-44831,6145296,4828625,62477,,12701947,46175594,5895575,247103,355009,,930512.0,1432051,3645992,4995549,2766462,40341,438163,5859858,6811975,,339085,3247513,4029430,,4040262,3551051,489211,,2678340,98904,17604840,2013年03月31日,246743,2084498,502260,,195508,,31041846.0,24142681,37163487,488568,70275485,76517077,629301,301560,2723600,5567056,365080.0,5885868,28605,1888990,17604840,395126.0,,,1491958,,80781014.0,34338242,1139190,,288789,398268.0,288910,452133,,163223,,111822860.0,20696,992592,945473,411917,6941557,2129666,1871946,9669497,6899165,10505529,35305783,648849,0
2013-08-13,2,2013,20524495,43492,180813,,217843,5166206,784327,3525621,6111252,0.0,2380727,692358,767872,0.0,740467,1053907,0.0,36698,41866,129920,810694,509134,517667,1459445,574375,-16455,6145601,4630720,61292,,12606177,50005732,5580803,229475,355009,,933972.0,1598718,4686935,7219569,2828998,151907,381032,7369614,8445682,124483.0,383710,3410155,4080840,,4035557,3528221,507336,,2605215,146276,17604840,2013年06月30日,227979,1857672,494616,,1383010,,31111508.0,24323099,37163487,584934,75939772,82886534,611073,301560,2723600,5834238,269484.0,5522737,24624,474662,17604840,346550.0,,,1459445,,87196957.0,35706540,1139190,,288789,398268.0,288910,452133,,163223,,118308465.0,36705,1162095,944979,359526,7727577,2131081,4314451,9512643,6788409,11257185,35421931,375240,0
2013-11-12,3,2013,20343343,46416,116362,,201158,5550540,1083011,3324108,6270702,,2153429,658409,1017791,0.0,991969,1470940,0.0,30294,43721,108348,832535,530975,523815,1456425,575122,-65220,6148386,5406040,62246,,12495226,49521554,5627597,227499,355009,,937482.0,1765385,3370234,5615017,3018706,91354,655937,5893501,6859232,128815.0,307322,3505552,3972125,,4030922,3527470,503452,,2751683,283285,17604840,2013年09月30日,227351,2242006,539105,,2017263,,32684679.0,25101962,37163487,584934,75684635,83503856,605416,301560,2723600,6398891,221153.0,5076120,26348,224743,17604840,596299.0,,,1456425,,86498830.0,36562001,1283800,,288789,542878.0,288910,452133,,163223,,119183509.0,12182,1456550,940130,360609,7309564,2576922,4462755,9450880,7582717,10814195,35679653,460875,0
2014-03-28,4,2013,20457846,49657,172647,,304167,5709253,1461701,3101948,6541510,,1458391,528539,1446756,0.0,1004243,154894,0.0,29414,31890,93060,987023,685463,1502688,1435451,620033,-14945,6145505,5069800,60670,,13157740,54317582,4885892,278477,355009,,941006.0,1691551,4420543,6202653,1948661,323719,811833,6745273,7567510,146396.0,293698,3750938,4028525,,4025107,3551881,473226,,2929695,344695,17604840,2013年12月31日,278214,2400719,735475,,1152261,,34238759.0,25959221,37163487,584934,79476302,87235194,649447,301560,2723600,6757282,174237.0,4449673,20111,1248458,17604840,735392.0,,,1435451,,89690688.0,37718974,1553381,,288790,812458.0,288910,452133,,163223,,123929447.0,35126,961352,1052148,454763,6632051,2757337,6900135,9274036,8279538,10214386,36694253,350968,0
2014-05-14,1,2014,20377694,54123,172627,,304167,6306241,1217098,3131483,6380395,,1230109,637106,1281247,0.0,748304,111946,0.0,28247,34727,107943,1904026,1602122,1442810,1408120,627213,64149,6145116,5152550,48257,,12580760,55348385,5124004,309235,688547,0.0,944466.0,1357051,4891135,6372165,2623885,250921,524167,7319449,8278558,167119.0,322003,3868506,4159182,,2241407,1940982,300425,,3204559,269997,17604840,2014年03月31日,309008,2997707,523869,,596988,,34723974.0,26060495,70269487,584934,81314094,89819434,655460,301904,2723600,6871801,201819.0,5435579,27331,2400719,17604840,478141.0,,,1408120,,90779703.0,39031007,1556714,,288790,815791.0,288910,452133,,163223,,125503677.0,22446,890376,935284,346538,6021539,2740594,7471170,9260719,8663479,9465609,35684243,540659,0
2014-08-12,2,2014,20161346,53768,170468,,304167,6030768,1456607,3207411,6540791,,2283200,513522,1428171,0.0,704818,26140,0.0,25811,38757,98882,2702295,2400391,1757225,1394946,617504,-28436,6144673,4999150,48182,,13624678,57856229,5394298,327736,737831,0.0,947978.0,1419551,4914329,7449272,2533326,251743,421754,7615326,8434426,130766.0,305578,4309044,4062323,,2237972,1916434,321538,,3603198,394562,17604840,2014年06月30日,327533,2607008,491193,,914729,,34313889.0,25847591,74932487,700160,84206452,92193859,643315,301904,2723600,6054830,191613.0,4887598,24325,1692279,17604840,385164.0,,,1394946,,94959301.0,39762274,1521643,,288790,387823.0,288910,452133,392897.0,163223,,129273190.0,12962,986226,1121835,491685,7141026,3017482,7806342,9175839,8466298,10752849,37079331,372463,0
2014-11-13,3,2014,19965129,60893,159448,,274772,6360157,1463971,3068898,6542293,,1527378,541799,1513112,0.0,1100467,485870,0.0,23025,36459,86423,2625369,2323465,1615580,1391202,599555,49141,6144163,4101755,49152,,12870055,57944908,5872128,360167,620601,0.0,951541.0,1282051,3391842,5239208,3243434,319988,598367,6033933,6964515,169726.0,388783,4261458,4007458,,2234536,1940152,294384,,3804601,450567,17157970,2014年09月30日,359565,2936397,447359,,1244118,,34468517.0,25916297,61194487,700160,82989060,90350037,622580,301904,2723600,5542606,121636.0,5014667,21462,1692279,17157970,545274.0,,,1391202,,92863706.0,40967251,1505659,,280139,387823.0,281577,444800,392897.0,163223,,127332223.0,49102,1114785,1125815,462339,6270513,3388626,6491333,9087887,8552220,9874646,36982186,565665,0
2015-03-26,4,2014,19897763,62792,44042,,274772,6425862,1202168,3185310,6419923,,1781008,417470,1406520,0.0,538460,67170,0.0,21147,152968,75420,2934441,2402401,1567989,1337886,598931,204352,6143798,5680616,50822,67850.0,13505878,60483017,5600036,349164,63086,0.0,955118.0,1624667,3031429,5034029,1880804,221592,815577,6012654,6797682,152033.0,367558,4042507,3944730,162286.0,2231106,1915414,315692,,5823917,329696,16634613,2014年12月31日,348962,3002102,803389,,1365358,,34469370.0,25879598,8859487,700160,84477565,91258194,620078,301904,2723600,5417476,144972.0,3814892,19318,1636744,16634613,742791.0,,,1337886,,95747592.0,42245853,1475689,381836.0,254569,,272988,436211,403073.0,163223,,130216962.0,67889,1131150,1118781,427072,7732000,3300889,6873869,8726726,8589772,11270027,38958768,322077,0
2015-05-12,1,2015,19980762,64057,142550,,278272,6612100,1255450,3277959,6447280,,1648534,893519,1418138,0.0,622263,118023,0.0,17173,43102,94498,3178617,2622129,1841003,1296702,558929,162688,6169484,6326812,50151,65726.0,13296357,59490526,5287623,380025,29834,0.0,0.0,2569297,4033916,5791866,3419753,109416,324961,6275729,7465400,192811.0,296152,4564090,3872896,162286.0,2237799,1915792,312483,9524.0,7564652,343612,16592823,2015年03月31日,379740,3188340,907321,196183.0,186238,34642590.0,,26107302,4680487,700160,88919974,90456609,576102,328476,2723600,4781646,,5645263,23582,3002102,16592823,,295358.0,131490368.0,1296702,96847778.0,,42375450,1514075,411684.0,263176,,272919,436142,403073.0,163223,131490368.0,,23158,1049457,1108620,426663,5377833,3834794,5393717,8757770,8535288,7927804,41033759,433048,0
2015-08-11,2,2015,20118557,74353,141944,,278272,6010627,1161436,4164876,6411458,,2582519,716046,1207252,0.0,483966,50169,0.0,16500,42453,84224,3376513,2846686,2046053,1299677,565493,45816,6195453,5864610,47716,64065.0,12933461,60257728,4952362,406308,111662,0.0,0.0,2700361,3517108,6311729,2508831,212102,413456,6075473,7114462,225274.0,322943,3973607,3801686,162286.0,2224846,1915700,309146,,7064705,290231,16592823,2015年06月30日,405755,2450331,1678052,163473.0,281664,33423649.0,,25215936,12584487,836696,88373645,90556994,581993,303476,2723600,4300743,,4275784,21602,2168667,16592823,,377420.0,131336153.0,1299677,97912504.0,,41702318,1516896,414505.0,263176,,272919,436142,403073.0,163223,131336153.0,,40989,932932,1111575,432584,6995667,4569543,7249172,8163014,8207713,9538859,40779159,505257,0
2015-11-10,3,2015,20351584,74744,139714,,278272,6521631,556322,4741245,5351557,,2517177,1047206,730835,0.0,723167,145283,0.0,21331,43014,74703,3429134,2901902,1738522,1299448,586490,174513,6195801,6495072,43168,61470.0,12946377,61121438,5006941,355123,377640,0.0,0.0,4144978,3214194,5924772,2677871,193401,638117,5958866,7374236,222199.0,368164,2630469,3788491,162286.0,2224354,1915611,305810,2933.0,8151634,165178,16592823,2015年09月30日,354630,2961335,1672981,176367.0,792668,33266740.0,,24988274,40070487,836696,93371155,91414488,607821,303476,2723600,5423782,,5487990,19773,2168667,16592823,,756970.0,132399733.0,1299448,99132993.0,,42424824,1520625,414549.0,263176,,272919,436142,406758.0,163223,132399733.0,,55953,1484726,1083519,425711,3261000,4813830,6602586,8417066,8278466,5761838,40985245,318175,0
2016-03-24,4,2015,21321494,80646,75201,972.0,281422,6447181,330307,5003031,5127081,,1874377,458034,418067,0.0,1039668,507482,0.0,19217,39626,56308,2434395,1914360,1457342,1320296,280918,87760,6195468,5556508,53951,59273.0,12489885,61843845,4747983,329161,29834,0.0,0.0,2469442,2683712,4736894,2192554,178805,697802,5539357,6287916,350839.0,290525,3381123,3717991,162286.0,2218027,1915541,302486,,8365375,278016,16184093,2015年12月31日,328976,2886885,2848204,238827.0,748989,32717021.0,,24552494,4680487,836696,87001126,88735735,300135,298476,2723600,5116002,,3603708,19557,2137896,16184093,,680529.0,129514173.0,1320296,96797152.0,,43742321,1532987,414549.0,275547,,272247,435470,407421.0,163223,129514173.0,,29150,1408705,1072563,452493,7292908,3583223,3578386,8344801,8164527,9796026,40778438,334587,0
