date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,3156730.0,3156730,53794138,12371048,,5831957,10668867,748329,724606,3508339,351609,933600,,1076545,691377,,3454543,964188.0,,,6078852,,11260884,30147,667702,31163611,2013年03月31日,4725232,,59765231,59765231,38042000,7645816,23336992,33840143,466479,,,17412640.0,545809.0,2535125,31163611,,,36726045.0,16470154,,96491276.0,,44388,1199480,12268120,0.0,13389053,62651133,0
2013-08-06,2,2013,,3164171,56634673,9893954,,6524426,17334211,775522,1494605,3521054,356883,982606,982606.0,1076888,994908,994908.0,3932874,0.0,,,7291344,,14030794,11486,638395,31163611,2013年06月30日,1441573,,58328384,58328384,0,8207777,31003886,36686736,422994,244604.0,,16953454.0,307277.0,2550000,31163611,,,44663749.0,15776214,,102992133.0,,94791,1090001,12488184,0.0,13659863,66305397,0
2013-11-07,3,2013,,3143211,56564196,12078359,,6407160,10368232,628807,1314469,3575718,432507,1178772,1178772.0,1477323,962705,962705.0,3950889,0.0,,,6932289,,15674391,19516,605442,31163611,2013年09月30日,3625978,,60327604,60327604,0,8207777,23944866,35268977,377313,244604.0,,13816602.0,555017.0,2513610,31163611,,,40868469.0,15771165,,101196073.0,,90771,1010280,15355509,0.0,16923603,65927096,0
2014-03-20,4,2013,,3154196,55196751,14417605,,6087053,9214227,611227,1116867,3461689,307493,1199572,1199572.0,1350497,901082,901082.0,3667592,0.0,,,6542050,,15354384,17109,615998,31163611,2013年12月31日,5965224,,62469936,62469936,0,8207777,22530164,37825131,355313,244604.0,,16975247.0,778348.0,2533850,31163611,,,39339635.0,15771853,,101809571.0,,103417,828243,15355557,0.0,16809471,63984440,0
2014-05-08,1,2014,,4999234,55414638,16508635,,7240470,8718043,612452,2356085,5239347,240113,1275950,1275950.0,1329572,900787,900787.0,4114854,0.0,0.0,,6889708,,15302893,9331,622968,31163611,2014年03月31日,8056254,,65799772,65799772,0,8207777,24473970,40260881,316908,244604.0,18945401.0,,1036922.0,2589950,31163611,,,39619966.0,15771441,,105419738.0,,70596,663086,13745828,,15145996,65158857,0
2014-08-07,2,2014,,4943790,57166569,14270517,,9929333,16974037,636009,4839136,5347912,404122,1271462,1271462,1297719,941185,941185,4355506,0,0,,7857210,,18588724,9310,599271,31163611,2014年06月30日,5473512,,66044705,66044705,0,8797005,33459194,43512369,286009,0,18651358,,741510,2538525,31163611,,,46862813,15771441,,112907518,,94999,472782,12010901,,13403619,69395149,0
2014-11-04,3,2014,,6805331,57652745,17527390,,8477221,10968973,583325,3719982,7330585,525254,1236003,1236003.0,1276301,985918,985918.0,4440428,0.0,0.0,,7624719,,18914270,12473,135709,31163611,2014年09月30日,8730385,,68182424,68182424,0,8797005,29633287,45325095,274240,0.0,20138596.0,,1123310.0,2585700,31163611,,,45176523.0,15771441,,113358947.0,,84584,508019,14182351,,15543236,68033852,0
2015-03-19,4,2014,,6970152,63520671,20504705,,8999903,10171755,813545,4672459,7689017,718865,1280461,1280461.0,1310817,1002316,1002316.0,4381135,0.0,0.0,11875483.0,7285963,735000.0,18567857,10197,76032,31163611,2014年12月31日,11707700,,72112231,72112231,0,8797005,31576043,55207908,249170,0.0,30154713.0,,1908506.0,2690250,31163611,,,57639394.0,15771456,,129751625.0,1095552.0,82989,695625,12794062,,26063351,74543717,0
2015-05-07,1,2015,,5257443,63392501,23090254,,9471354,10063777,569725,5009713,6121370,863927,1463653,1463653.0,1289454,1215955,1215955.0,4508733,,0.0,11818664.0,7222899,0.0,17357822,8915,54433,31163611,2015年03月31日,14293249,2289861.0,75035155,75035155,0,8797005,29769157,52173112,213841,0.0,,28264264.0,,2660500,31163611,127321613.0,52286458.0,,15771577,127321613.0,,1410750.0,84371,800417,9324812,,22517301,75148501,0
2015-08-06,2,2015,,3905237,65202599,17418661,,8106868,22365640,886743,3568636,4758069,852832,1376610,1376610.0,1258070,1072729,1072729.0,4475835,,0.0,11726043.0,7034054,0.0,18450827,11895,45222,31163611,2015年06月30日,7450886,914703.0,67922485,67922485,0,9967775,38547446,53305323,190908,0.0,,28103413.0,,2623100,31163611,128581255.0,60658770.0,,15771577,128581255.0,,851880.0,84801,657606,9042410,,22111324,75275932,0
2015-11-05,3,2015,,4073723,65594191,20100965,,6451861,12467115,496397,2202962,5063190,989467,1334467,1334467,1251055,954702,954702,4293936,,,12566577,6448043,0,17057548,8138,41318,31163611,2015年09月30日,10133190,552085,69238748,69238748,0,9967775,27698354,45627115,203097,0,,22436629,,2793950,31163611,119701902,50463154,,15771210,119701902,,373971,167985,829618,8779183,,22764800,74074787,0
2016-02-04,4,2015,,5991128,64305608,19888928,1067204.0,5526412,11512740,473431,3789745,6721603,730475,1713753,1713753.0,1394253,964534,964534.0,4502319,,,12627311.0,6942527,0.0,15825728,11403,2522658,31163611,2015年12月31日,9921153,911324.0,70600642,70600642,0,9967775,30677239,48785212,192774,0.0,,25191374.0,,2790125,31163611,123245230.0,52644588.0,,15758358,123245230.0,,1798920.0,87749,948032,7858036,,21967349,74460018,0
2016-05-05,1,2016,,5913739,65356521,21492956,0.0,5789763,11804415,424878,3993579,6208557,294818,884965,884965.0,1428067,1092290,1092290.0,5678642,,,12457882.0,7077693,,14519406,16653,2588192,31163611,2016年03月31日,11525181,1019961.0,72408504,72408504,0,9967775,30483889,46930177,188564,,,25405633.0,,2735725,31163611,122855285.0,50446781.0,,15758358,122855285.0,,1637538.0,107318,909778,5969625,,19962892,75925108,0
2016-08-05,2,2016,,6098571,66052358,15575848,183660.0,5430874,25054032,791275,3497815,6400387,301816,903971,903971.0,1399977,1233878,1233878.0,6043975,,,12569273.0,7967903,,17692203,26226,2557402,31163611,2016年06月30日,4731847,420089.0,62879271,62879271,0,10844001,43881372,50148956,171797,,,24507646.0,,2743375,31163611,126409581.0,63530310.0,,12641997,126409581.0,,1295586.0,129986,814316,5549702,,19648938,76260625,0
2016-11-03,3,2016,,4972652,66331530,18267378,167503.0,4541857,12558458,749840,2211703,5566845,594193,858745,858745.0,1368332,1051777,1051777.0,6327980,,,12287925.0,8280808,,17612113,21635,2487013,31163611,2016年09月30日,7423377,405428.0,64284689,64284689,0,10844001,30432003,44914756,180962,,,19176940.0,,2665600,31163611,120244517.0,55959828.0,,12641997,120244517.0,,954864.0,114647,736622,11756921,,25527825,75329761,0
