date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動資產合計,其他非流動資產－其他合計,其他預付費用,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,存貨合計,專利權淨額,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,約當現金,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,電腦軟體淨額,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2015-03-27,4,2014,,50640,732231,423819,282982,565,34084,0,194235,57525,6885,18801,,,340574,270861,48589,,,0,241799,71,0,336082,0,1143881,20375,5307,11,587190,2014年12月31日,,1742758,1742758,0,1169830,2087173,5231,574326,,82756,258347,,587190,,45290,,1430664,537514,,3173422,106283,44038,0,0,188311,8213,28485,69713,5160,260834,1086249,48589,0
2016-03-28,4,2015,,0,787581,511268,266707,485,17588,,172508,11378,11378,39257,,,150042,83481,50742,,,6268,222733,684,0,335504,,999697,12385,2206,6883,587190,2015年12月31日,52802,1808480,1808480,0,847515,1890736,3520,,532977,,116712,,587190,2844118,55005,1035638,,537514,2844118,,8922,0,6268,,188123,12239,0,66561,2836,188123,953382,50742,0
2016-07-26,2,2016,0,0,751169,441980,246879,0,20475,,111900,17659,17659,27232,0,27232,133702,69949,75963,0,0,0,217153,608,0,347611,,986976,19395,2056,261,587190,2016年06月30日,63365,1678584,1678584,0,855854,1824960,2625,,475449,,147877,475449,587190,2722221,32463,1043637,,537514,2722221,,0,0,0,,187783,9765,,63753,2017,187783,897261,75963,0
2016-11-11,3,2016,0,0,774495,578330,229906,0,26691,,39661,17426,17426,23561,0,23561,97053,36310,78953,0,0,0,224238,630,0,325344,,872296,19341,3084,298,587190,2016年09月30日,40079,1742695,1742695,0,692966,1739870,2297,,491408,,50991,491408,587190,2620703,29220,878008,,537514,2620703,,0,0,0,,185042,6988,,60743,1667,185042,880833,78953,0
