date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,0.0,710603,113383,343218,22314,37098,85396,593.0,,5094,17.0,15522,13236,13236.0,8526,17231,36325,-6792,230,364812,364812,23888,,190713,15990,,3269.0,,295440,3235,29796,23.0,17001.0,35423,78712,1133338,2013年03月31日,124928,,,2188533,2175877,2153000,172047,327876,1463154,,29075,,,46243,,600199.0,13752.0,5784.0,4927,1133338,,,361089.0,707687,225655,,723,481309,481309,,2549622.0,137155,15982,45849,12656,33213,1086468,13073.0,0
2013-08-09,2,2013,0.0,715288,108119,331679,21126,35910,128428,1021.0,,149,3236.0,21616,24694,24694.0,29760,17283,30912,490,230,380778,380778,23888,,223632,23247,,5334.0,,347435,3847,35413,57.0,17053.0,35279,84374,1133338,2013年06月30日,115957,,,2183063,2170432,2153000,172047,423837,1561836,,28725,,,43675,,607487.0,13550.0,5797.0,3931,1133338,,,457748.0,707687,225655,,723,481309,481309,,2640811.0,134378,16628,40368,12631,33911,1078975,13499.0,0
2013-11-11,3,2013,0.0,707506,108119,360483,24827,39611,95160,1339.0,,733,2.0,23724,22076,22076.0,28323,17335,32401,-1103,230,356391,356391,23888,,185024,22173,,1343.0,,340857,3532,31342,23.0,17105.0,35135,80953,1133338,2013年09月30日,144761,,,2213958,2201164,2153000,172047,345133,1513929,,32740,,,43675,,551461.0,18018.0,6426.0,0,1133338,,,379906.0,707507,225655,,543,481309,481309,,2593864.0,185685,17438,43470,12794,34773,1079935,9154.0,0
2014-03-20,4,2013,0.0,673198,109620,408330,33867,47357,131629,578.0,,32533,65.0,37152,12511,12511.0,15633,14468,29080,3285,631,349282,349282,23888,,187660,23886,,2282.0,,305896,3367,23595,0.0,13837.0,34991,86657,1133338,2013年12月31日,190266,,,2276472,2262439,2153000,172047,383831,1632687,,38350,,,46017,,688730.0,25285.0,5778.0,0,1133338,,,415758.0,707507,225655,,543,481309,481309,,2692230.0,194474,17459,40290,14033,31927,1059543,13334.0,0
2014-05-09,1,2014,0.0,659968,109620,445965,35442,47637,92701,,,6514,,48373,17213,17213.0,29922,14361,36581,12931,637,325840,325840,23888,0.0,162257,15173,,1798.0,,303734,2206,25885,,13724.0,34847,90752,1133338,2014年03月31日,227901,,,2326217,2311295,2153000,172047,316611,1620145,,38045,,,46017,721578.0,,27469.0,5778.0,0,1133338,,,336452.0,707507,225655,,543,481309,481309,,2662669.0,198688,5480,25074,14922,19841,1042524,,0
2014-08-08,2,2014,0.0,644567,109620,330113,36346,48541,269206,,102435.0,6811,,34596,22026,22026.0,31688,13763,34543,-1750,627,321714,321714,23888,0.0,184876,20405,,1626.0,166771.0,341990,2058,22522,,13136.0,19385,94307,1133338,2014年06月30日,112288,,,2196845,2181666,2153000,184275,517109,1716041,,38535,,,33550,781558.0,,18970.0,5778.0,0,1133338,,,533743.0,707507,225655,,543,481309,481309,,2730588.0,201922,2871,25049,15179,16634,1014547,0.0,0
2014-11-07,3,2014,,727129,109124,385914,31624,43658,102253,,,9458,0.0,39558,19248,19248.0,33048,13176,35824,7934,636,322980,322980,23888,0.0,192375,21152,70000.0,2213.0,,353679,2667,40731,0.0,12540.0,19265,91235,1133338,2014年09月30日,168089,,,2255824,2242429,2153000,184275,423358,1606918,,39922,,,33550,642403.0,,16117.0,5778.0,0,1133338,,,440287.0,707507,225655,,543,481309,481309,,2696111.0,196174,3753,23036,13395,16929,1089193,0.0,0
2015-03-18,4,2014,,720347,106864,419219,37500,49533,113021,,,7313,,69957,22839,,23302,16607,28723,32457,660,329324,329324,23888,0.0,146437,17379,,987.0,,288799,1261,32894,0.0,15947.0,19144,93772,1133338,2014年12月31日,201394,,,2320057,2306144,2153000,184275,304410,1562163,,40514,,41927.0,33550,631208.0,,3747.0,0.0,0,1133338,,,325751.0,707518,225655,,554,481309,481309,,2645808.0,206135,4734,24748,13913,21341,1083645,,0
2015-05-08,1,2015,0.0,700428,92089,441956,107326,132920,91300,,,10735,,132293,21475,21475.0,18484,16514,28159,24967,652,311728,311728,23888,0.0,140646,18404,20000.0,1358.0,,273139,1127,39885,,,19024,95898,1133338,2015年03月31日,224131,5760.0,5778.0,2405420,2391217,2153000,184275,298943,1591433,15862.0,40086,10175.0,,33550,,713669.0,,,0,1133338,2723435.0,318015.0,,707518,225655,,554,481309,481309,2723435.0,,206713,2558,23398,14203,19072,1132002,,0
2015-08-07,2,2015,0.0,705964,80849,443195,98118,122903,248558,,104023.0,60913,,116081,22791,22791.0,22047,15891,29820,17963,647,292248,292248,23888,0.0,159275,21380,,1253.0,144535.0,289384,1578,35124,,,18579,98511,1133338,2015年06月30日,207238,14713.0,5778.0,2323027,2309535,2153000,202407,467970,1688851,15244.0,40561,20162.0,,33550,,760908.0,,,0,1133338,2809344.0,486317.0,,640809,225655,,554,414600,414600,2809344.0,,200709,2456,23306,13492,18347,1120493,,0
