date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,0.0,19453846,1287929,11893264,-839274,,1404801,453812,28197,-990875,196739,196739,638324,,107077,107077,38202,-151601,3490946,0.0,0.0,,,,3211594,29279,3026559,109644,6403175,2710856.0,2710856,23199897,2013年03月31日,1781983,,34129505,34102286,0,1681232,4948347,14153669,48696,8430049,,,5809025.0,62279.0,,23199897,,,994644,2442197,,11371694.0,0,,45501199.0,,,614555,3874073,25,,0,27219,6423347,31347530,436419,0
2013-08-13,2,2013,0.0,19188972,1287929,10119573,-946475,,1465554,1679714,25320,-1088362,293025,293025,382932,,440880,278562,40713,-141887,3633175,,0.0,0.0,,,2667000,22285,2271584,87203,6403094,2368586.0,2368586,23199897,2013年06月30日,-133516,,32458817,32231108,0,1823040,5247962,13764606,47606,8430049,162318.0,,5827639.0,45514.0,,23199897,0.0,,540424,2545353,,12108268.0,0,,44567085.0,,,953456,3874073,25,,0,227709,6860306,30802479,583297,0
2013-11-13,3,2013,0.0,18976254,1287929,9811993,-864152,,1548286,326794,58336,-1036478,90540,90540,281946,,270615,106682,40173,-172326,2712014,,0.0,0.0,,,1745242,15845,2570281,84385,6403012,2459640.0,2459640,23199897,2013年09月30日,-441096,,32199480,31975412,0,1823040,4779572,12617943,46516,8430049,163933.0,,5172549.0,60399.0,1711591.0,23199897,0.0,,829161,2036038,,11180298.0,0,,43379778.0,,,968126,3874073,25,,220000,224068,6400726,30761835,770306,0
2014-03-26,4,2013,0.0,18797074,1285419,9492776,-885919,,1592009,351728,53315,-1028891,242411,242411,333877,599900.0,278327,112779,39316,-142972,2708127,,0.0,,,,2032514,21295,2223097,129608,6402931,2503943.0,2503943,23199897,2013年12月31日,-760313,,31874885,31663782,0,1823040,6785919,14914519,21972,8430049,165548.0,,8186545.0,53818.0,3386798.0,23199897,,,697355,1749270,,13686502.0,0,,45561387.0,,,1088420,3873086,4204,400000.0,999900,211103,6900583,30646868,191530,0
2014-05-13,1,2014,,18448537,1285419,9256585,-950951,,1526754,289904,62097,-1074391,143868,143868,362321,599418.0,353851,186688,280235,-123440,3052811,,,,0.0,,1351330,16466,2671607,114056,6402850,2500314.0,2500314,23199897,2014年03月31日,-996504,,31618345,31382091,0,1823040,5618527,14187724,20882,8430049,167163.0,6075536.0,,44566.0,3211040.0,23199897,,,561353,1693710,,13038574.0,0,,44656919.0,,,1138101,3873068,4204,900000.0,1499418,236254,7420047,30469195,711195,0
2014-08-13,2,2014,,18338544,1285419,8755849,-953332,,1525060,485108,47000,-1119152,218065,218065,458242,898865.0,276128,107350,273447,-165820,3020306,,,,0.0,,1484234,21780,2937211,104131,6402769,2375975.0,2375975,23199897,2014年06月30日,-736927,,31072327,30836594,0,1062727,4767179,13812776,19791,8430049,168778.0,5577585.0,,24741.0,2210374.0,23199897,,,322877,1750418,,12965658.0,0,,44037985.0,,,1186211,3873068,4204,1400000.0,2298865,235733,8198479,30225209,482090,0
2014-11-13,3,2014,105000.0,18203705,1143907,8487606,-1015289,181348.0,1282236,386522,157544,-1130266,192083,87083,706377,898605.0,371351,200958,281102,-114977,2629619,,,,0.0,,2409052,22877,2872187,104092,6402687,,2537959,23199897,2014年09月30日,-1005170,,30792295,30557237,0,1062727,5935940,15769623,18701,8430049,170393.0,6563547.0,,27844.0,2615596.0,23199897,,,281966,1677865,,14851829.0,0,,45644124.0,,,1501439,3873068,4204,2095000.0,2993605,235058,8915889,29874501,1053470,0
2015-03-27,4,2014,105000.0,16980407,1173907,31005657,-982649,185589.0,1347769,574667,103753,-1014593,324062,219062,722946,998793.0,489140,316870,34291,-31944,2169636,,,,0.0,3843671.0,1537757,9349,2305182,102484,37009324,,2685059,23199897,2014年12月31日,288648,,53419291,53190961,0,1062727,5668509,18168124,20169,29654282,172270.0,10412190.0,,31279.0,2564933.0,23199897,,,626462,2625100,,24009124.0,0,,77428415.0,,706549.0,942771,8082362,9365,1595000.0,2593793,228330,18340615,59260291,1223573,0
2015-05-13,1,2015,210000.0,16705747,1173907,31189345,-985216,191849.0,1339561,351815,165710,-1050947,548182,338182,856656,998793.0,488411,314392,286168,-65731,2075278,,,,0.0,3836464.0,1510935,22564,2683872,60580,37009324,,2594449,23199897,2015年03月31日,472336,41279.0,53566459,53338295,0,1062727,4508233,17028835,19719,29654282,174019.0,,9353976.0,,1482354.0,23199897,,76167075.0,551104,2618250,22600616.0,,0,76167075.0,,,578103.0,1116893,8082362,9365,1490000.0,2488793,228164,18092383,59138240,524021,0
2015-08-13,2,2015,552500.0,16451886,1459907,31543165,-881900,191576.0,1453093,418898,112352,-1003677,744490,191990,884395,998917.0,302643,302643,337985,-121777,1974735,,,,0.0,3812975.0,1922082,18664,2114403,84422,37009324,2507314.0,2507314,23199897,2015年06月30日,537508,26193.0,53981814,53757526,0,1091591,4505355,16213039,19608,29914066,0.0,,9485966.0,,800000.0,23199897,,75461521.0,575028,2537476,21479707.0,,18141,75461521.0,,,292479.0,726962,8082362,9365,947500.0,1946417,224288,16974352,59248482,638228,0
