date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,特別股股本,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,確定福利計畫再衡量數總額,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－處分資產增益,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,3267386,33302,264299,-19782,15702,195571,57248,-13590,653428,,188409,201967,130741,6192,1093096,,,247266,50000,786771,757153,20329,,202614,1583003,2013年03月31日,264299,,2309018,2259598,0,,2409365,2665043,13407,,420100.0,,518106.0,29746.0,446583,,2003103,,,4078998.0,5786,,0.0,5477,,309,,6388016.0,0.0,15000.0,112414,75523,1355252,49420,1669633,3722973,0
2013-08-13,2,2013,,3253489,33302,336810,-12896,17017,222339,54104,-9500,601056,,118722,196772,186598,3396,1118728,,,201886,50000,732869,761110,15832,,214774,1583003,2013年06月30日,336810,,2336556,2284914,0,,2355648,2480705,11327,,341200.0,,380192.0,29139.0,518359,,1924203,,,3912309.0,33401,27615.0,0.0,5477,,309,,6248865.0,0.0,15000.0,117937,68670,1241952,51642,1556661,3768160,0
2013-11-12,3,2013,,3394730,33302,261595,24474,33853,198612,73738,32942,253911,,140220,184232,179085,8468,1056113,110810.0,,235839,50000,490789,749587,8319,,242536,2099813,2013年09月30日,195874,,2661193,2608467,0,22841.0,1561130,2350186,9355,42880.0,0.0,,273566.0,40043.0,291936,,2210623,,,3614430.0,103307,27615.0,0.0,5477,69906.0,309,,6275623.0,0.0,14790.0,114430,66429,1754638,52726,2053300,3925437,0
2014-03-28,4,2013,200305.0,3471395,33302,408011,44210,29929,133196,58860,57023,217109,16804.0,106064,174616,235464,12813,1072223,,,264323,30000,581382,847503,13737,62881.0,246065,2242330,2013年12月31日,342290,,2863353,2810671,0,22841.0,1658772,2480339,9048,42880.0,0.0,,352023.0,57472.0,375014,,2242330,,,3727798.0,103307,27615.0,0.0,5477,69906.0,309,,6591151.0,276.0,,115712,52657,1778698,52682,2069026,4110812,0
2014-05-14,1,2014,190196.0,3589987,33302,559645,65779,44968,132029,90007,76463,221398,31202.0,80068,174760,159505,10684,1090018,,0.0,479387,50000,289420,775343,15825,62881.0,262606,2252971,2014年03月31日,493924,,3045543,2992386,0,22841.0,1534561,2509472,7286,42880.0,0.0,413243.0,,86266.0,276058,,2252971,,,3629430.0,103307,27615.0,0.0,5477,69906.0,309,,6674973.0,3.0,0.0,112718,49934,1807391,53157,2094869,4165501,0
2014-08-13,2,2014,,3582626,33302,443826,52389,27666,454514,53729,60810,186481,,85699,174126,171652,8421,1136661,67270.0,0.0,511039,50000,295807,841506,18994,62881.0,258717,2252971,2014年06月30日,386756,,2888771,2838491,0,57070.0,1889608,2686331,5442,0.0,0.0,522076.0,,59028.0,332739,,2320241,,,3943255.0,13614,0.0,0.0,5477,7828.0,309,,6832026.0,0.0,0.0,95479,31075,1784042,50280,2053647,4145695,0
2014-11-10,3,2014,,3577096,33302,624930,54778,103134,481141,55695,69533,222736,,92207,152698,259201,14755,1172311,0.0,0.0,553629,30000,367260,929526,17032,62881.0,267204,2322403,2014年09月30日,567860,,3082202,3030480,0,57070.0,2124777,3009806,2803,0.0,0.0,639901.0,,57481.0,412530,,2322403,,,4158839.0,13614,0.0,0.0,5477,7828.0,309,,7241041.0,0.0,0.0,95400,28748,1785964,51722,2034062,4231235,0
2015-03-26,4,2014,,3667248,33302,832094,20180,96832,202250,129035,46918,191848,,79142,178623,280944,26738,1193925,,0.0,581271,30000,368668,915480,13343,62881.0,275490,2349565,2014年12月31日,775024,,3293698,3242381,0,57070.0,1878262,2980639,2068,0.0,,552882.0,,103433.0,400792,,2349565,,,4053890.0,13804,0.0,0.0,5667,7828.0,309,,7347588.0,0.0,,109496,45016,1887509,51317,2175628,4366949,0
2015-05-08,1,2015,,4028902,33302,1036276,25635,96846,456536,66814,48545,190713,,115381,210723,340819,22910,1206658,,0.0,480371,30000,344207,1139419,13164,0.0,293021,2349565,2015年03月31日,979206,158924.0,3499601,3448190,0,57070.0,2029151,3484734,1675,0.0,,,747903.0,,368226,,2349565,8225543.0,4725942.0,,13804,0.0,0.0,5667,7828.0,309,8225543.0,,174.0,98549.0,86281,43090,2399787,51411,2696791,4740809,0
2015-08-10,2,2015,,4214900,33044,781027,33209,72506,926961,95060,50783,233855,,119190,208604,328004,17574,1275435,0.0,0.0,491648,30000,354766,1152642,13910,0.0,310370,2349565,2015年06月30日,652790,95549.0,3247912,3195179,0,128237.0,2592160,3764284,1156,0.0,,,867216.0,,458955,,2349565,8692694.0,5444782.0,,13804,0.0,0.0,5667,7828.0,309,8692694.0,,426.0,168325.0,108370,40936,2535648,52733,2852622,4928410,0
2015-11-06,3,2015,,4344497,33044,1129440,27627,62202,388499,87571,62178,246613,,156628,211451,382660,34551,1312808,,0.0,474255,30000,371167,1288636,8684,0.0,324198,2349565,2015年09月30日,1001203,114640.0,3607829,3554987,0,128237.0,2273235,3553376,1113,0.0,,,463935.0,,648061,,2349565,8681672.0,5073843.0,,13804,0.0,0.0,5667,7828.0,309,8681672.0,,0.0,172912.0,99368,42784,2489789,52842,2800608,5128296,0
2016-03-25,4,2015,,4465967,26035,1408970,21644,51258,442657,116023,45940,267227,,98533,229710,499001,24296,1273139,,0.0,448398,0,333480,1164458,11915,0.0,335743,2349565,2015年12月31日,1280733,193673.0,3868494,3818279,0,128237.0,2230540,3568095,4314,,,,684584.0,,545105,0.0,2349565,8948762.0,5080268.0,,13804,0.0,0.0,5667,7828.0,309,8948762.0,,,168185.0,95869,49607,2524149,50215,2849728,5380667,0
2016-05-13,1,2016,,4742372,25812,1668376,47626,59923,386577,114837,71521,304784,,164420,174397,525574,23895,1238848,,0.0,425415,30000,304814,1181235,7936,,354802,2349565,2016年03月31日,1540139,257372.0,4153222,4103266,0,128237.0,2435697,4070214,5631,,,,1136832.0,,726735,,2349565,9776679.0,5623457.0,,13804,,,5667,7828.0,309,9776679.0,,0.0,166183.0,87021,52274,2926342,49956,3187760,5706465,0
2016-08-11,2,2016,,4876033,55812,1221135,51539,54803,1201802,115605,68065,388675,,131580,174469,531954,16526,1192830,,,444884,30000,301172,1041026,11451,,353393,2349565,2016年06月30日,984254,120291.0,3701532,3652569,0,236881.0,2975670,4079156,6139,,,,1360880.0,,488846,,2349565,9943251.0,6241719.0,,13804,0.0,0.0,5667,7828.0,309,9943251.0,,0.0,170981.0,104931,40764,2986649,48963,3266049,5864095,0
2016-11-07,3,2016,,5034038,56124,1447256,54998,54106,398156,129605,58489,234422,,163894,169173,689360,3491,1212079,,0.0,455112,50000,320589,930236,12439,0.0,360547,2349565,2016年09月30日,1210375,73838.0,3918032,3869114,0,236881.0,2147153,3572109,5472,,,,899059.0,,615036,0.0,2349565,9757748.0,5839716.0,,13804,0.0,0.0,5667,7828.0,309,9757748.0,,,170691.0,82731,40098,3440659,48918,3692563,6185639,0
