date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,449130,3429642,-2407047,,162905.0,16238,,-1686,458619,9118,106730,134468,45624,5690.0,5690,-1686.0,67800,2206,1082747,0.0,,329758,277,1322932,,841,4686997,3253324,2013年03月31日,-2407047,,844639,844591,0,2751380,2972905,,,,103279.0,,302409.0,90.0,1788128,3253324,,,11693,,10779030.0,,,11623669.0,0.0,0.0,3438,488501,7889744,66668,24371,48,8027650,8650764,37639,10085,3272.0,371,0
2013-08-09,2,2013,,960965,3379577,-2195772,153698.0,,11090,,1384,969058,7335,1345,134102,45590,4276.0,4276,1384.0,67800,2889,1099860,0.0,,392221,0,1342895,1214.0,1214,4646830,3253324,2013年06月30日,-2195772,,1058984,1058936,0,2942996,2896707,,,,227936.0,,163055.0,109.0,1415813,3253324,,,12206,,10456070.0,0.0,,11515054.0,0.0,0.0,3956,546350,7375016,66302,24642,48,7513074,8618347,49203,10511,3272.0,758,0
2013-11-08,3,2013,,1117329,3327358,-2136368,139549.0,,8950,0.0,-733,1126632,7268,1062,132604,44149,2932.0,2932,-733.0,68340,2805,996816,0.0,,224313,389,1064186,37.0,37,4596441,3253324,2013年09月30日,-2136368,,1116271,1116223,0,2724897,2508008,,,,69247.0,,343159.0,114.0,1222707,3253324,0.0,,11307,,9906185.0,0.0,,11022456.0,0.0,0.0,0,546500,7048684,64264,24223,48,7181288,8514448,24437,10917,3272.0,2035,0
2014-03-20,4,2013,348243.0,348243,3264417,-2076038,179106.0,,8124,,2269,368710,10803,1957,128207,43439,2386.0,2386,,64290,3296,920822,0.0,,314180,389,1011532,887.0,887,4555912,3253324,2013年12月31日,-2076038,,1179603,1179555,0,1946971,2658928,,,,114496.0,,564180.0,131.0,1073571,3253324,,,11015,,9899903.0,0.0,,11079506.0,0.0,0.0,6956,556810,7817769,63917,24509,48,7952932,8420578,36799,9981,3267.0,9664,0
2014-05-08,1,2014,440368.0,440368,3213711,-2079585,137506.0,,11547,,1536,452614,7187,3149,132309,42542,1718.0,1718,,69996,3306,982897,0.0,0.0,227623,389,804854,,956,4508420,3253324,2014年03月31日,-2079585,,1175323,1175275,0,2177958,2675253,,,,105772.0,727679.0,,107.0,1348721,3253324,,,11105,,9809949.0,0.0,,10985272.0,,0.0,5536,545346,7494146,62313,24270,48,7631991,8310019,38292,9981,3267.0,5059,0
2014-08-07,2,2014,943821.0,943821,3163431,-2070114,143241.0,,10830,,-627,953254,7186,3860,135672,41380,1282.0,1282,,75767,3162,980566,,0.0,288650,0,1063214,5649.0,5649,4457111,3253324,2014年06月30日,-2070114,,1182631,1182583,0,2677708,2734579,,,,150921.0,432891.0,,76.0,1280968,3253324,,,11595,,9746587.0,0.0,,10929218.0,,,581,532717,6932626,59905,23688,48,7068879,8194639,86572,9981,3267.0,2247,0
2014-11-11,3,2014,1103824.0,1103824,3119839,-1855327,152861.0,,12887,,1558,1133030,7392,2884,130842,41716,741.0,741,1558.0,70897,2421,1114616,,0.0,350343,290,1430110,4775.0,4775,4420317,3253324,2014年09月30日,-1855327,,1399570,1399555,0,2954850,3057617,,,,128462.0,267526.0,,124.0,1306464,3253324,,,11862,,9802389.0,0.0,,11201959.0,,,12839,562470,6703858,59945,24149,15,6847539,8144342,96233,11138,3267.0,21814,0
2015-03-26,4,2014,337818.0,337818,3045846,-1539927,175119.0,,15112,,4029,349474,7533,3884,131350,34783,1387.0,1387,,71008,2199,1122234,35485.0,0.0,282249,297,1587597,5656.0,5656,4387551,3253324,2014年12月31日,-1539927,,1717426,1717426,0,2191734,3496637,,,,192734.0,369533.0,,142.0,1370744,3253324,2546.0,,11305,,9814691.0,0.0,,11532117.0,,,21743,567300,7469864,60342,24772,0,7622957,8035480,164260,4080,2345.0,4123,0
2015-05-06,1,2015,436136.0,436136,3004261,-1387692,144480.0,,17008,,3755,453559,7475,4034,129915,35640,1108.0,1108,,71514,2199,1285705,35150.0,0.0,230943,304,1573348,,2867,4338913,3253324,2015年03月31日,-1387692,146.0,1869387,1869387,0,2144458,3493342,,2345.0,165478.0,,,329239.0,,1301546,3253324,2522.0,11451068.0,11104,9581681.0,,0.0,11451068.0,,,,7846,578912,7299462,58401,24390,0,7437223,7957726,80367,5598,,9948,0
2015-08-11,2,2015,938745.0,938745,2965446,-1363273,121705.0,,26740,,2877,953871,7779,3268,127687,35327,3782.0,3782,,71465,2204,1033654,34656.0,0.0,124839,0,1293798,1953.0,1953,4288796,3253324,2015年06月30日,-1363273,121.0,1892928,1892928,0,2457493,3418585,,2345.0,214621.0,,,732432.0,,1242623,3253324,2487.0,11277683.0,11968,9384755.0,,0.0,11277683.0,,,,2722,569529,6796853,56222,23900,0,6927262,7859098,77342,3096,,7347,0
