date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產評價調整－非流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵銷售退回及折讓,其他存貨,其他應付款合計,其他應付款－其他,其他應付票據,其他應收款淨額,其他應收票據,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預收款,分期償付之借款,副產品,半成品,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,商品存貨,商譽,土地成本,土地改良物成本,土地改良物淨額,土地淨額,在建人工,在建工料,在建工程（營造業適用）合計,在建工程－利息資本化,在建工程－工程損益,在建房地,在建材料,在建費用,在製品,在途原物料,在途商品,在途材料,在途現金,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－其他行業淨額,存貨－製造業淨額,存貨－買賣業淨額,寄銷品,庫存現金,庫藏股票,待分攤在建費用,待售房地,待售車位,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付短期票券折價,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應付股利,應付薪資,應付設備款,應收分期帳款,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應收票據貼現,應收租賃款,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,持有供交易之金融資產－流動,持有供交易金融負債－流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,未實現利息收入－應收分期帳款,本期所得稅負債,材料－庫存材料,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,油料,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,營建用地,物料,特別盈餘公積,特許權,特許權淨額,現金及約當現金合計,現金及約當現金總額,留抵稅額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,租賃資產成本,租賃資產淨額,約當現金,累計折舊－其他設備,累計折舊－土地改良物,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－租賃資產,累計折舊－運輸設備,累計減損－以成本衡量之金融資產－非流動,累計減損－備供出售金融資產－非流動,累計減損－其他無形資產,累計減損－土地改良物,累計減損－無活絡市場之債務工具投資－非流動,累計減損－特許權,累計減損－電腦軟體,股本合計,融資租賃之未賺得融資收益,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－特別股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,農產品,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,進項稅額,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,零用金／週轉金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付土地款,預付投資款,預付款項合計,預付設備款,預付貨款,預收房地款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款,餐飲用品（餐飲業）
2013-05-15,1,2013,0.0,100000,100000,3455265,,,921980,11538494,,,2559354,,1710871,15218,460,,36657,402674,235517,0.0,25094,,-4931571,309704,209704.0,18385,50486.0,50486,1365394.0,231994,,831985,50130,353023,,151506,,,,,,,282446,235062,453395,806906,37756.0,3289,806906,,,,,,,,,57966,,,,,558496,47514,1519743,520747,36657,727277,235062,,16394,655691,,275960,6286,,3994000,3667852,-326148,,823920,9261,9261,1760000,1758865,1135,60827,60827,7957,7957,33310,95628,38219,,329586,314368,28904,28444,,,223359.0,1629758.0,965406,1123316,,,,31914210,8414343,,2013年03月31日,8615512,,,,,3561298.0,1398687,31733339,20155589,46914600,,693376,4584250,6846326,,859432,,,,,,171514.0,,,237962,11706.0,2229606,,277698,,2051789.0,,,1211042,250284.0,20395,49726.0,21436,1082934,1133400.0,34467.0,664352.0,2162611.0,229889.0,28290.0,29575.0,,,,,,,,8414343,,375159,,,15801922.0,5790014,,,,,,,,,,47535261.0,,0.0,14216,,36727.0,7152,391768,179324,1211042,952461,6326067,6326067,,,77853,11577750,11217672,40688935,539,,314933,154003,314933,,,,0,,
2013-08-14,2,2013,0.0,100000,100000,3535413,13235.0,,921880,10512635,,,2544669,,1832012,15232,460,,29746,3305337,210392,0.0,797226,,-11168080,353413,113285.0,19664,70070.0,70070,232110.0,232110,,848838,51269,308063,,149172,,,,,,,234107,219709,455829,806906,3289.0,3289,806906,,,,,,,,,44430,,,,,576864,72089,1415762,521214,29746,645093,219709,,18750,655691,,275631,7154,,3994000,3695926,-298074,789427.0,789427,4064,4064,1450000,1449513,487,102388,102388,9566,9566,2953512,108439,32994,,335895,320663,28032,27572,,,220705.0,953478.0,953478,1117443,,,,26022890,8414343,126893.0,2013年06月30日,6783040,,,,,1495235.0,1495235,24440338,12895043,46914600,,1035650,7274938,8380267,,876031,,,,,,173678.0,,,237962,11844.0,2693945,,277708,,2888702.0,,,1261230,15854.0,15854,21755.0,21755,935485,,,,,,,,,,,,,,,8414343,,354712,,,18890293.0,5791836,,,,,,,,,,43330631.0,,0.0,44534,,6786.0,6786,415224,162954,1261230,1934467,6655367,6655367,,,72424,11545295,11615355,34950364,467,,321475,86802,321475,,,,0,,
2014-01-23,3,2013,0.0,1135167,1135167,3592685,12833.0,,900265,12061406,,,2630890,,1795017,15533,460,,31249,410396,240872,12403.0,38186,35.0,-15783461,1348894,59874.0,16911,69975.0,69975,232046.0,232046,,851177,52143,234205,,142830,,,,,,,255989,241644,449866,806906,3289.0,3289,806906,,,,,,,,,43387,,,,,580938,74075,1488468,459306,31249,756269,241644,,10847,655691,,111221,868,,3994000,3724337,-269663,941947.0,941947,6589,6589,2170000,2168787,1213,83165,95568,11764,11764,37473,116197,15854,,323228,307695,37107,36682,,,218096.0,942345.0,942345,1083594,,,,26985811,8414343,141020.0,2013年09月30日,8331811,,,,,1563369.0,1563369,21737329,10106433,46914600,,1035650,10118561,7027351,,850757,,,,,,134016.0,,,346820,13071.0,2693945,,264790,,2143728.0,,,5134616,17212.0,17212,21168.0,21168,902059,,,,,,,,,,,,,,,8414343,,443822,,,21028100.0,6069836,,,,,,,,,,42765429.0,,0.0,71682,,6350.0,6350,440725,161728,5134616,1230822,5893300,5893300,,,66126,11630896,10909539,35738078,397,,293109,17300,293109,,,,0,,
2014-03-18,4,2013,0.0,165387,165387,3544400,13003.0,922145.0,922145,51824935,,2871409.0,2871409,1951809.0,1951809,15453,460,,27354,697581,256083,19534.0,29971,27.0,-15492876,380984,,7094,51697.0,50143,,234670,,864734,53511,232611,148958.0,148958,,,,,,7904.0,266032,341716,453133,806906,,3289,806906,,,,,,,,,45321,,,,,582779,73909,1551816,459307,27354,723439,341716,,12543,655691,,111221,868,,3994000,3753091,-240909,740824.0,740824,6374,6374,1990000,1988985,1015,50665,70199,6614,6614,37236,389734,14528,,362576,347123,35178,34745,,,228444.0,,930143,1080766,,0.0,101474354.0,101474354,9414343,142440.0,2013年12月31日,48095340,,,,,,1529546,102671284,57497001,46914600,,1035650,6051900,6806952,,821155,,,,,134271.0,134271.0,,,346821,18048.0,2693945,310000.0,258332,,1793223.0,,,2160339,,15787,,18057,823735,,,,,,,,,,1554.0,,,51668.0,95135.0,9414343,,394038,,,14456985.0,12406290,,350598.0,941370.0,10604583.0,,10604583.0,509739.0,,,117128269.0,,0.0,7904,,,6002,462780,159806,2160339,956945,3324480,3324480,,154682.0,59547,45174283,8405085,110321317,397,,163667,9744,163667,0.0,22209.0,60154.0,0,37945.0,
2014-05-15,1,2014,0.0,194247,194247,3484837,,,1009203,52846017,,,2838500,,2301126,15538,460,,23385,611307,232370,10226.0,24198,,-12634107,507723,313476.0,16712,50135.0,50135,,238501,,901116,77679,222483,,138211,,,,,,,272353,247175,462414,806906,,3289,806906,,,,,,,,,58924,,,,,597277,73439,1502972,459307,23385,773105,247175,,11221,655691,,111221,868,0.0,3994000,3782027,-211973,710990.0,710990,6486,6486,2060000,2059443,557,70524,80750,9234,9234,36910,336129,5898,,299486,283948,18076,17616,,,226160.0,,907192,1074966,,,,106812255,9414343,,2014年03月31日,49116422,,,,,,1494132,108026725,61355422,46914600,,1035650,6472261,7987454,,817424,,,,894132.0,,134299.0,,,346821,21195.0,2693945,,251860,2065226.0,,,,2486328,,14467,,14827,1733643,,,,,,,,,,,,,,,9414343,,420633,,,15974592.0,12384860,,,,,,,,,,124001317.0,,0.0,8594,,,5523,515818,157270,2486328,320362,4303370,4303370,,,53015,46671303,9502331,116013863,397,,335556,10833,335556,,,,0,,
2014-08-14,2,2014,0.0,233607,233607,3410271,,,942978,47254595,,,2129475,,3469997,16089,460,,19900,5312274,221974,0.0,84565,,-10281089,520468,286861.0,13382,50128.0,50128,237735.0,237735,,890358,72005,220995,,133201,,,,,,,278386,233699,454003,806906,3289.0,3289,806906,,,,,,,,,49895,,,,,594376,77401,1483740,459307,19900,770834,233699,,11374,655691,,111221,868,0.0,3994000,3810975,-183025,758672.0,758672,8915,8915,1240000,1239707,293,76667,76667,11953,11953,4743485,338798,8017,,386500,370411,22702,22242,,,223977.0,884425.0,884425,1069166,,,,106710962,9414343,,2014年06月30日,26367341,,,,,1449233.0,1449233,104140072,58138319,46914600,,5394378,11575903,9411640,,797104,,,,1113349.0,,134634.0,,,346821,23692.0,15492876,,245386,3922127.0,,,2172247.0,1475000,11957.0,11957,11875.0,11875,1370335,,,,,,,,,,,,,,,9414343,,418861,,,22165978.0,12406161,,,,,,,,,,126306050.0,,0.0,9025,,4851.0,4851,539182,138303,1475000,2540418,5349560,5349560,,,47587,46001753,10590075,116894410,397,,263324,10393,263324,,,,0,,
2014-11-14,3,2014,0.0,221440,221440,3330374,,,846142,50384256,,,1406050,,3419064,16180,460,,18640,899934,468971,,76605,,-16266816,536321,314881.0,11659,50121.0,50121,,235528,,887138,64513,214312,,128118,,,,,,,274131,261174,461719,806906,,3289,806906,,,,,,,,,37747,,,,,600646,75685,1552951,459377,18640,813760,261174,,9933,655691,,111221,868,0.0,3994000,3840270,-153730,853049.0,853049,13019,13019,490000,489722,278,62741,62741,17008,17008,49701,374204,7058,,375624,359444,38284,37824,,,221979.0,,861571,1063438,,,,103366325,9414343,,2014年09月30日,29497002,,,,,,1400883,101507891,55238231,46914600,,5394378,5828269,7186759,,792783,,,,348254.0,,122539.0,,,346821,21965.0,15492876,,238912,3109250.0,,,2269244.0,687231,,10310,,7481,2796095,,,,,,,,,,,,,,,9414343,,479917,,,18934279.0,12362139,,,,,,,,,,120442170.0,,0.0,14299,,,4406,409152,100434,687231,303222,7969450,7969450,,,42031,46269660,13106010,113255411,467,,270423,10509,270423,,,,0,,
2015-03-25,4,2014,0.0,221440,221440,3260115,11895.0,767709.0,767709,54169823,,1475135.0,1475135,3407674.0,3407674,16833,460,,16851,1171276,691897,18991.0,42588,56.0,-10504636,349575,,13439,,50113,,242112,,961972,50671,251117,123299.0,123299,,,,,,16152.0,249424,318851,478818,806906,,3289,806906,,,,,,,,,52378,,,,,675087,126103,1635619,459406,16851,840511,318851,,11249,655691,,111221,868,0.0,3994000,3869918,-124082,683248.0,683248,7049,7049,200000,199865,135,93267,112258,6604,6604,49572,422747,7060,,389424,372591,18266,17862,,,236214.0,,799243,1060762,,0.0,113457450.0,113457450,9414343,81634.0,2014年12月31日,33282569,48222.0,,,,,1331844,113420890,65048615,46914600,,5394378,3006738,6500905,,803247,,,60165.0,60165.0,122690.0,122690.0,,,346821,19630.0,15492876,,232438,2719868.0,,,84457.0,392406,,20409,,4270,1533333,,,,,,,,,,,,,,,9414343,,519079,,,16337186.0,12624776,,479613.0,1030841.0,10604583.0,,10604583.0,509739.0,,,129758076.0,,0.0,16152,,,3820,435218,126407,392406,1175286,8063340,8063340,,,41878,48372275,13330448,123257171,496,,147486,1715,147486,0.0,26854.0,34606.0,0,7752.0,
2015-05-13,1,2015,0.0,4112197,4112197,3055621,14125.0,677857.0,677857,17220594,,1077471.0,1077471,3988383.0,3988383,6986,460,,16149,957464,759936,,58016,36.0,-11025278,4292149,,8294,106.0,106,293973.0,293973,,962358,51535,242259,117116.0,117116,,,,,,,228319,290855,435254,806906,3289.0,3289,806906,,,,,,,,,57252,,,,,678705,124576,1598299,459307,16149,831988,290855,,10624,655691,,111221,868,0.0,0,0,0,794679.0,794679,9883,9883,0,0,0,73181,73181,13852,13852,49253,140013,8262,,347531,340545,14540,14116,,,,777234.0,777234,1055009,14608.0,0.0,41398259.0,41398259,9414343,76334.0,2015年03月31日,8156901,0.0,,84457.0,,1153687.0,1153687,40895163,27601345,46914600,,1556976,6659459,5213805,232118.0,470672,0.0,0.0,,,,,147190.0,147190.0,346821,19707.0,7506717,0.0,0,,1831667.0,,,433794,14973.0,14973,2042.0,2042,704610,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,9414343,,526710,56375899.0,15480736.0,,12647377,765.0,479613.0,1053442.0,10604583.0,,10604583.0,508974.0,,56375899.0,,,0.0,14608,,3517.0,3517,481189,126844,433794,1116433,7377730,7377730,,35312.0,35312,13293818,8821277,51162094,397,,270789,567,270789,0.0,16620.0,89493.0,0,72873.0,
2015-08-13,2,2015,3929605.0,202349,4131954,2995452,,,677857,13257393,,,278099,,5548966,7306,460,,15774,6823968,950599,0.0,65795,33.0,-15214652,4285038,153084.0,6221,98.0,98,291007.0,291007,,949764,52260,233721,,110642,,,,,,,245199,270195,429135,806906,3289.0,3289,806906,,,,,,,,,55578,,,,,669414,121845,3303097,2156195,15774,860933,270195,,10530,655691,,111221,868,,0,0,0,719055.0,719055,8083,8083,0,0,0,70174,70174,10426,10426,5697331,166262,9776,,339857,332551,21913,21486,,,,755242.0,755242,1049227,,,,38089326,9414343,,2015年06月30日,3514388,0.0,,33611.0,,1112940.0,1112940,32761245,19402359,46914600,,2236288,12412958,6865872,228090.0,460667,,0.0,,,,,,122697.0,2043709,19462.0,7506717,,0,,2575112.0,,,462603,22122.0,22122,715.0,715,722762,,,,,,,,,,,,,,,9414343,,540694,56146699.0,23385454.0,,12600966,,,,,,,,,56146699.0,,,0.0,27043,,3231.0,3231,500612,102914,462603,1841820,9522120,9522120,,,31434,13358886,10972496,49280827,397,,256468,1234,256468,,,,0,,
