date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付股利,應付薪資,應收帳款淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-08-14,2,2013,39000,39000,360414,105589,,,340244,0,247244,,25433,51862,12862,55378,55378,,3779,3779,76268,30250,25433,258834,258834,,,,601765,93000,,745518,,,620000,2013年06月30日,85812,,774477,774477,0,19777,1110736,1582205,,10388,,449402,10801,106064,620000,,,1270515,23455,,23455,23455,,2044992,,15717,156000,46018,0,159779,462787,73073,0
2013-11-12,3,2013,38441,38441,371605,127314,,,226362,0,226362,,18627,53800,15359,56427,56427,,2822,2822,56243,24136,18627,263874,263874,,,,555067,,,732099,,,620000,2013年09月30日,107537,,789396,789396,0,19777,888116,1375639,,10405,,245232,8531,44356,620000,,,1035092,23455,,23455,23455,,1824488,,10596,144154,32107,0,146976,448849,78007,0
2014-03-25,4,2013,38746,38746,379772,182998,,,219225,0,219225,,28614,53645,14899,59035,59035,,2869,2869,37321,15898,28614,264620,264620,,,,620027,,,936803,,,697500,2013年12月31日,163221,,1013089,1013089,0,19777,990551,1700091,,9564,,359129,23141,74513,697500,,,1129285,103977,,103977,103977,,2142374,252,15626,135613,21423,0,138734,442283,80504,0
2014-05-08,1,2014,39611,39611,369098,213727,,,181301,0,181301,9014,28081,47578,7967,69647,69647,,2883,2883,27411,17520,28081,278038,278038,,0,,523177,,,629351,,,697500,2014年03月31日,193950,,1043285,1043285,0,19777,855888,1607806,,9115,542289,,27657,76175,697500,,,987507,103977,,103977,103977,,2030792,0,17362,128736,9891,0,131619,422986,79467,0
2014-08-11,2,2014,38824,38824,360127,155613,,0,303094,0,198469,23234,16120,42064,3240,14832,,,2897,,25030,18065,16120,298231,,,0,,528027,104625,,712443,,,697500,2014年06月30日,121471,,973210,973210,0,34142,892002,1576990,,10222,456508,,18817,0,697500,,,1011373,103977,,,,,1984583,0,12214,116474,6965,,119371,407593,71742,0
2014-11-10,3,2014,39546,39546,361967,197896,,0,206247,0,206247,25671,32733,49823,10277,35997,,,0,0,31198,22448,,278862,,,0,,533439,,,745577,,34985,697500,2014年09月30日,163754,,1032106,1032106,0,34142,870168,1559903,,8649,412210,,22352,58307,697500,,,978920,103977,,,,,2011026,0,14324,108752,8750,,108752,451123,61586,0
2015-02-25,4,2014,41145,41145,369131,244687,,0,222875,0,222875,84,56784,44855,3710,48065,,,0,,24392,22964,,292467,,,0,,560209,,,732570,0,31525,697500,2014年12月31日,210545,,1102948,1102948,0,34142,915021,1625400,,8230,494127,,27226,59856,697500,,,974365,103977,,,,,2077313,0,18635,59344,1428,,59344,451913,58087,0
2015-05-06,1,2015,40690,40690,365053,261619,402,0,197060,0,197060,59,49624,45511,4821,35657,,,0,,22655,22655,,284043,,,0,283944,476912,,,580314,,29689,697500,2015年03月31日,227477,34626,1124519,1124519,0,34142,764109,1771380,0,8465,,822610,,10000,697902,2221087,1096568,,115374,,,,2221087,,0,23845,48515,0,,332459,449707,48697,0
2015-08-01,2,2015,40118,40118,358763,131632,,0,327316,0,187816,0,39679,44817,4699,34188,,,0,,38778,28831,,257259,,,0,285219,440479,139500,,562144,,24698,697902,2015年06月30日,80891,11349,984587,984587,0,50741,823961,1678727,0,7902,,776595,,0,697902,2131571,1146984,,115374,,,,2131571,,0,22703,37804,9947,,323023,452844,48541,0
2015-11-10,3,2015,42731,42731,368982,180794,,0,219531,0,219531,34267,68507,47854,5123,51411,,,,,37557,28683,,264198,,3891,0,286496,531363,,,626458,,18844,697902,2015年09月30日,130053,25901,1058962,1058962,186000,50741,824649,1737667,,9322,,709400,,0,697902,2199690,1140728,,115650,,,,2199690,,0,27318,29583,8874,,316079,462023,51933,0
2016-03-15,4,2015,42672,42672,384582,235444,,0,244660,0,0,47169,44384,47822,0,42632,42632,5150,0,0,91837,26597,,324672,324672,9405,0,287776,661873,,244660,733870,,12130,696122,2015年12月31日,,29841,1082364,1082364,430000,,984196,1845620,,8458,,620655,,0,696122,2373210,1290846,,115819,0,,115819,2373210,,,30583,18874,65240,,306650,527590,76622,0
2016-05-11,1,2016,41840,41840,388205,252375,0,0,204758,0,204758,46947,40718,47322,5482,19826,,,,,87520,32916,,269964,,9405,0,289058,479330,,,689400,,12676,696122,2016年03月31日,201634,31026,1096044,1096044,430000,50741,762436,1630022,,9047,,525829,,0,696122,2155585,1059541,,116234,,,,2155585,,0,28115,8047,54604,,297105,525563,78056,0
2016-08-10,2,2016,0,0,391862,180540,,0,339151,0,234733,47779,22615,6594,6594,31004,,,,,70867,27730,,240091,,9405,0,290343,492111,104418,,744969,,8788,696122,2016年06月30日,116562,15315,1006521,1006521,430000,63978,853171,1645056,,7988,,504902,,0,696122,2150035,1143514,,116649,,,,2150035,,0,25474,0,43137,,290343,504979,76311,0
2016-11-11,3,2016,0,0,387410,242440,,0,256488,0,256488,40085,-2336,23007,23007,52108,,,,,59141,27113,,290302,,9405,0,291631,696732,,,954359,,8805,696122,2016年09月30日,178462,15977,1043886,1043886,430000,63978,1012204,1862482,,6954,,445875,,20000,696122,2347721,1303835,,117065,,,,2347721,,0,22929,0,32028,,291631,485239,79753,0
