date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,工程存出保證金,庫藏股票,待出售非流動資產（淨額）,待註銷股本,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,942662.0,2097.0,944759.0,211029,24737,965372,,94845,56738,,36784,-76857,,1094786,26998.0,969313,117754.0,698916.0,44896.0,37051,54362,9466.0,,8535.0,,2202513,2202513.0,152643.0,0.0,,,,113128,19975,69504,1842,2353,28516.0,706873,1517520,2013年03月31日,,,3589988,3325937,0,,1890738,4468850,,2028,,,934638.0,2607.0,534000,1517520,,,,1977181.0,919902,,,,,,,5567169.0,30438,23781,4445,25611,264051,86443,1098319,290969,123029.0,0
2013-07-30,2,2013,0.0,0.0,0.0,209972,24773,758463,-61535.0,88465,238405,238405.0,35182,-80515,,373557,41051.0,286159,124375.0,0.0,45199.0,37048,54666,9467.0,-18980.0,8335.0,,2264281,2264281.0,161784.0,,520113.0,,,128835,54705,97178,2443,8,28713.0,184801,1517520,2013年06月30日,445193.0,,3374743,3115370,0,265070.0,1777783,4621147,,1862,48200.0,,1047358.0,4140.0,525000,1517520,355963.0,,,1814831.0,919902,,60315.0,733576.0,733576.0,126011.0,,5189574.0,32308,0,3888,0,259373,37048,568427,433295,332506.0,0
2013-10-29,3,2013,,,,208894,24726,1254901,,90927,99361,,35034,-81622,,483448,,292617,,,,31845,82486,,,,,2351692,,,,,,,151866,34809,65993,2563,274,,183961,1517520,2013年09月30日,,,3898144,3610701,0,,1474617,4807114,,1880,,,1620423,4140,635000,1517520,,,,1506462,919902,,60315,733576,733576,126011,,5404606,20445,0,4618,0,287443,31845,597492,484066,,0
2014-03-10,4,2013,0.0,0.0,0.0,207983,24747,1224969,,95298,108322,108322.0,42711,-75581,,507036,23257.0,386765,,,,32348,81564,,,,,2644193,2644193.0,,,,,,196283,34889,81563,2176,0,,183122,1517520,2013年12月31日,,,3873296,3586810,0,,1626180,4933128,,1705,,,1235743.0,4087.0,694000,1517520,,,,1658528.0,919902,,,,,,,5531824.0,122685,0,4277,0,286486,32348,598696,498855,483779.0,0
2014-05-12,1,2014,,,0.0,207291,21167,1200488,-54794.0,95206,101158,101158.0,42620,-66696,,595971,23816.0,465901,175001.0,98000.0,,32538,83324,,-11902.0,2935.0,,2892183,2892183.0,192900.0,,,,0.0,131089,34968,133402,1380,626,29603.0,182321,1517520,2014年03月31日,887218.0,,3860820,3571214,0,265070.0,1903675,5203746,,1540,48200.0,1103000.0,,4087.0,903000,1517520,,,,1936213.0,919902,126011.0,60315.0,,733576.0,0.0,,5797033.0,160820,0,2438,0,289606,32538,593287,537216,572155.0,0
2014-08-13,2,2014,,,,207009,21057,940191,,96104,429569,,76773,-74045,,838351,24315.0,458359,,,,65326,80706,,,,,3450363,3450363.0,,,0.0,0.0,0.0,136914,34718,253768,1886,3366,,181520,1517520,2014年06月30日,,,3529610,3303568,0,,2767018,5770056,,1375,,1282723.0,,698.0,1073000,1517520,0.0,,,2832344.0,919902,,,,,,,6361954.0,158656,0,4127,0,226042,65326,591898,337930,814036.0,0
2014-11-12,3,2014,,,,206072,21157,860761,-61395.0,88605,110784,110784.0,52936,-73077,0.0,1041479,52952.0,691970,226521.0,257950.0,73288.0,65500,82143,7372.0,-11682.0,35540.0,1483.0,3984690,3984690.0,207499.0,,,0.0,0.0,189420,44796,191783,2118,9450,29960.0,180718,1517520,2014年09月30日,480506.0,,3452876,3225106,0,304674.0,3121070,6057148,,1210,75581.0,850136.0,,1308.0,1541500,1517520,,,,3186570.0,919902,126011.0,60315.0,733576.0,733576.0,0.0,,6639446.0,121608,0,2393,0,227770,65500,582298,344240,988527.0,0
2015-03-23,4,2014,0,0,0,205082,11746,793656,,90446,100260,100260,55871,-48710,,1156080,29482,761657,254087,289988,76240,72417,85297,7372,,41475,1685,4345328,4345328,217582,,,0,0,227056,64813,118873,3778,0,30942,179917,1517520,2014年12月31日,413401,,3415964,3182368,0,304674,4105409,7022475,,1048,75581,1392771,,327,2438000,1517520,,,,4180047,919902,,,,,,,7596011,115815,2221,0,0,233596,74638,573536,347255,1126598,0
2015-05-11,1,2015,0.0,0.0,0.0,204572,11683,737718,,95220,168759,168759.0,40608,-53190,,1398754,31028.0,994930,266851.0,512821.0,75400.0,70768,84397,7372.0,,39275.0,1625.0,5415477,5415477.0,215258.0,,,0.0,0.0,261182,54954,89547,3383,1094,,179152,1517520,2015年03月31日,,651.0,3388895,3121950,0,,5083025,7967101,31493.0,890,,,1056212.0,,3109178,1517520,,8543015.0,5154120.0,,919902,,,,,,8543015.0,,112592,327,0,0,266945,71095,575914,342805,1367726.0,0
2015-08-12,2,2015,0.0,0.0,0.0,203791,11604,499392,,94794,325468,325468.0,50571,-65198,,1473469,24948.0,881699,264623.0,410388.0,74344.0,70919,84683,7372.0,,39275.0,2967.0,5809042,5809042.0,206688.0,,,0.0,0.0,284409,54675,219524,9698,50786,,178387,1517520,2015年06月30日,,548.0,3135018,2871616,0,,5548672,8178571,31644.0,733,,,909464.0,,3190579,1517520,,8754609.0,5619591.0,,919902,,,,,,8754609.0,,135246,0,2046,0,263402,70919,576038,332065,1448521.0,0
2015-11-11,3,2015,0.0,0.0,0.0,204031,11965,555046,,84928,139783,139783.0,22066,-20515,,1734995,42311.0,879692,279053.0,398927.0,79168.0,73506,97536,7372.0,,41707.0,10996.0,6403023,6403023.0,201712.0,,,0.0,0.0,246383,54795,138083,10850,35567,,177621,1517520,2015年09月30日,,399.0,3244733,2971953,0,,6037307,8787993,31799.0,598,,,945119.0,,3722869,1517520,,9364672.0,6119939.0,,919902,,,,,,9364672.0,,146209,9126,0,0,272780,82632,576679,345467,1692684.0,0
2016-03-21,4,2015,0.0,0.0,0.0,203195,11318,1216122,,90604,113834,113834.0,20696,-15885,,775116,39190.0,535468,159609.0,194726.0,280.0,77934,96769,7372.0,,43604.0,89117.0,4928036,4928036.0,181133.0,,,0.0,0.0,760085,54842,99785,37963,47699,,176856,1517520,2015年12月31日,,338.0,4021585,3637659,0,,4475512,8004732,34330.0,469,,,2071453.0,,2671512,1517520,,8583943.0,4562358.0,,919902,,,,,,8583943.0,,166027,8912,0,0,383926,86846,579211,197390,735926.0,0
2016-05-09,1,2016,0.0,0.0,0.0,202483,11204,1228919,,86911,171607,171607.0,20099,-40249,,826499,54288.0,553264,156697.0,228102.0,280.0,77750,94986,7372.0,,43356.0,87334.0,4930520,4930520.0,168465.0,,,0.0,0.0,637170,54962,85912,19948,36514,,176125,1517520,2016年03月31日,,1075.0,4010267,3626092,0,,4224615,7745240,34394.0,361,,,1818303.0,,2447390,1517520,,8317310.0,4307043.0,,919902,,,,,,8317310.0,,164529,4678,0,0,384175,82428,572070,202063,772211.0,0
2016-08-08,2,2016,0.0,0.0,0.0,201800,11220,932881,,84772,339582,339582.0,19847,-40061,,837651,26571.0,415470,142002.0,107456.0,280.0,76102,89487,7372.0,,41644.0,81835.0,4949673,4949673.0,166012.0,,,0.0,0.0,545527,54722,105990,19285,30115,,175396,1517520,2016年06月30日,,36842.0,3631849,3330242,0,,4218400,7368568,34458.0,263,,,1612160.0,,2298086,1517520,,7931506.0,4299657.0,,919902,,,,,,7931506.0,,103003,5155,0,0,301607,81257,562938,219015,811080.0,0
2016-11-09,3,2016,0.0,0.0,0.0,201098,11055,930096,,89569,75322,75322.0,25191,-67156,,902062,26285.0,439166,134855.0,139686.0,280.0,76156,88939,7372.0,,41631.0,81287.0,5074804,5074804.0,164625.0,,,0.0,0.0,492782,54825,136671,16574,45408,,174664,1517520,2016年09月30日,,36077.0,3596371,3300362,0,,4131789,7237430,34525.0,184,,,1369461.0,,2434050,1517520,,7804316.0,4207945.0,,919902,,,,,,7804316.0,,105630,0,1377,0,296009,76156,566886,161196,875777.0,0
