date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－其他－非流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付租賃款－非流動,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,0.0,188200,188200,1157893,99909,-328718,258484.0,343523,154782,,136257,35382,0,269582,207005,18805,10406,,,44839,58529,46621,12951,11908,479768,479768,41725,,,29732,668220,50465,1000,0.0,18525,1019069,16207,32701,31888.0,68529,2051615,2013年03月31日,-575258,,,2818638,2763288,1990584,246540,1082023,2701135,,120336,,787338.0,0.0,40870.0,,-575258,2051615,,0.0,,1883301.0,812534,,4701939.0,551.0,5757.0,0,10850,152085,,710100,0.0,55350,801278,2000804,20910,0
2013-08-14,2,2013,0.0,237600,237600,1124379,97097,-153504,360784.0,303639,198715,,165613,55360,0,230643,279136,41536,21207,,,44839,100019,77889,12951,22130,550715,550715,49985,0.0,,29807,888551,88353,11977,0.0,33102,1177741,13635,31148,31888.0,11695,2051615,2013年06月30日,-153504,,,2689795,2631401,2669912,0,1466953,3011432,,114933,,745339.0,0.0,41036.0,0.0,-153504,2051615,,0.0,,2193707.0,552632,,4883502.0,221.0,2425.0,389,9783,120308,,639900,0.0,58394,726754,1872070,14078,0
2013-11-12,3,2013,0.0,258500,258500,1117807,97097,-102023,25026.0,311788,187634,,168234,67170,572,237185,306040,47540,16833,16048.0,16048.0,56815,66414,44449,24927,5917,505447,505447,52785,,,29883,783216,76418,11977,0.0,19400,1305386,11443,41092,31888.0,4457,2051615,2013年09月30日,-102023,,,2749219,2690103,2915352,0,1365285,2953150,,107479,,898485.0,0.0,41087.0,,-102023,2051615,,0.0,,2027221.0,556111,,4776440.0,0.0,7411.0,359,7727,118248,,560100,0.0,59116,661936,1823290,40250,0
2014-03-25,4,2013,0.0,355525,355525,1125149,97097,24230,0.0,219986,223881,22.0,200170,66322,74,170086,379907,24382,15826,16072.0,16072.0,45343,89208,66960,15966,6176,490592,490592,71925,,,29959,919434,68759,11977,0.0,23711,1299200,6982,24282,29377.0,3228,2051615,2013年12月31日,24230,,,2807330,2733865,4324824,0,1685412,3250562,,103262,,1292444.0,767.0,41630.0,80000.0,24230,2051615,,0.0,,2196401.0,559859,,5003731.0,665.0,4772.0,0,10840,115239,80000.0,420075,0.0,73465,510989,1753169,13210,0
2014-05-08,1,2014,,454915,454915,1115163,97097,76665,210274.0,246128,212184,0.0,202021,71078,175,199584,500136,45221,14552,16097.0,16097.0,45343,98465,76120,15966,6248,589160,589160,71925,,0.0,30033,933182,51679,11977,,10163,1233359,6395,15151,29377.0,2890,2051615,2014年03月31日,76665,,,2891097,2818742,4324824,0,1709910,3187168,,98090,995752.0,,752.0,41626.0,0.0,76665,2051615,,,,2068409.0,562803,,4959506.0,0.0,0.0,1077,11608,114505,0.0,271515,,72355,358499,1772338,8569,0
2014-08-13,2,2014,30109.0,531450,561559,1097946,97097,206364,22026.0,208705,308749,0.0,275218,59141,175,158204,614888,53329,19245,16122.0,16122.0,45343,94022,70822,15966,7078,604973,604973,71925,0.0,0.0,0,1048694,84454,11977,0.0,33531,1610297,7810,21227,29377.0,3500,2051615,2014年06月30日,203941,,,2981137,2908399,4324824,2423,2068762,3485538,,95000,1128288.0,,0.0,1944.0,0.0,203941,2051615,,0.0,,2242036.0,564141,,5223173.0,0.0,2706.0,0,7975,141365,,117250,0.0,72738,173274,1737635,10412,0
2014-11-06,3,2014,30185.0,304100,334285,1056072,97097,319601,319954.0,170418,208922,,190979,85546,859,125566,410374,76089,18995,154576.0,154576.0,44526,237746,75981,15149,7189,667114,667114,71925,,0.0,575605,901941,89232,11977,,17943,1212783,12194,89422,29377.0,4704,2051615,2014年09月30日,317178,,,3086499,3011737,4324824,2423,1623640,3548534,,88629,1107893.0,,260.0,840.0,0.0,317178,2051615,,,,2257373.0,586880,,5343872.0,934.0,0.0,3606,13602,140672,0.0,0,,74762,633733,1795338,29328,0
2015-03-20,4,2014,30262.0,237150,267412,1040551,74050,370621,0.0,166265,231559,526.0,220704,15771,903,114279,316844,49432,7348,159000.0,159000.0,40756,226364,63338,14172,4026,624728,624728,71925,,0.0,577755,676519,75496,1024,0.0,10855,1049161,6430,20912,26584.0,4127,2051615,2014年12月31日,368198,,,3140538,3052808,4324824,2423,1309488,3358710,,84086,1559606.0,,7520.0,283.0,0.0,368198,2051615,,0.0,,1952528.0,588218,,5093066.0,0.0,0.0,12934,24529,138913,0.0,0,0.0,87730,643040,1734356,60634,0
2015-05-13,1,2015,30338.0,156500,186838,979406,74050,326405,17993.0,186280,225028,8464.0,204567,41024,0,121501,195417,8579,13061,157457.0,157457.0,40756,210561,52120,14172,984,603445,603445,71925,,0.0,579864,715047,54890,665,,20461,1047807,8651,14637,,42025,2051615,2015年03月31日,323982,0.0,529.0,3012985,3016706,4324824,2423,1199511,3144088,26584.0,78862,,1329506.0,,,,323982,2051615,4850267.0,,1837282.0,,589110,4850267.0,,,,7026,17151,134995,,0,,-3721,637771,1706179,60409,0
2015-08-12,2,2015,0.0,77125,77125,913717,104050,-104070,40000.0,177431,502822,556.0,492671,28836,0,86285,107959,30834,15433,155578.0,155578.0,40755,212553,55991,14172,984,541616,541616,71925,20403.0,0.0,582006,731811,45111,3,,10151,1090004,9421,13396,,38640,2051615,2015年06月30日,-143081,0.0,1140.0,2554716,2571418,4324824,39011,1388262,2949672,26583.0,74258,,1128175.0,,,,-143081,2072018,4578444.0,,2023728.0,,589110,4578444.0,,,0.0,2951,12705,108123,,0,,-16702,635466,1628772,78700,0
2015-11-11,3,2015,0.0,33500,33500,853999,104050,75271,320000.0,136623,478791,583.0,474576,50246,1960,60601,35941,2441,5477,161119.0,161119.0,37871,216543,54240,11287,1184,533768,533768,71925,0.0,0.0,584179,784703,64427,666,,4215,1169551,11732,25159,,36155,2072018,2015年09月30日,36260,0.0,3211.0,2704051,2729886,4324824,39011,1367302,3446180,26584.0,70042,,1264977.0,,,,36260,2072018,4988673.0,,2284622.0,,593921,4988673.0,,2191.0,,0,28770,125081,,266500,,-25835,917320,1542493,60099,0
2016-03-25,4,2015,0.0,67000,67000,803230,113050,52066,,129548,211870,896.0,208471,18569,1828,49576,75333,8333,4558,136271.0,136271.0,35325,185511,48190,11254,1050,432100,432100,71925,,0.0,586360,610439,48804,286,,3399,1054920,12906,3720,,34030,2072018,2015年12月31日,13055,0.0,2871.0,2666713,2695656,4356752,39011,949420,3033748,24071.0,68661,,1448856.0,,,1262.0,13055,2072018,4481858.0,,1815145.0,,593921,4481858.0,,530.0,,60,11040,114080,1262.0,233000,,-28943,865725,1448110,53360,0
2016-05-09,1,2016,0.0,0,0,739532,113050,-19324,160000.0,119521,181875,846.0,180135,17882,1368,41444,13976,13976,5308,136294.0,136294.0,32438,179306,41882,8367,1130,411436,411436,71925,,0.0,588521,582169,36836,86,,1740,857328,7004,742,,31360,2072018,2016年03月31日,-58335,,2992.0,2576587,2616134,4356752,39011,820253,2668148,24071.0,63842,,1126019.0,,,4465.0,-58335,2072018,4019160.0,,1442573.0,,593921,4019160.0,,0.0,,0,1361,104401,4465.0,0,,-39547,622320,1351012,78069,0
2016-08-11,2,2016,,0,0,679697,113050,-162897,220000.0,114733,198741,1627.0,198427,16132,1691,32995,55515,55515,4896,136314.0,136314.0,32489,174713,37326,8418,1073,460324,460324,71925,0.0,0.0,590688,654096,34005,1,,314,892607,12215,3449,,31237,2072018,2016年06月30日,-201908,0.0,2932.0,2417424,2464112,4356752,39011,948702,2712854,24071.0,59983,,1019099.0,,,4717.0,-201908,2072018,3990042.0,,1572618.0,,593921,3990042.0,,0.0,0.0,0,739,103775,4717.0,0,,-46688,623916,1277188,79509,0
2016-11-04,3,2016,592888.0,0,592888,611433,113050,-139271,130262.0,111631,167023,691.0,167012,49063,2145,25357,658205,65317,1944,136332.0,136332.0,32485,183312,45930,8414,1050,492473,492473,71925,0.0,0.0,0,647695,29656,1,,11,809921,12058,1525,,28121,2072018,2016年09月30日,-178282,0.0,2977.0,2439111,2480100,4356752,39011,1523016,2787710,24071.0,56271,,1246073.0,,,19745.0,-178282,2072018,3995346.0,,1556235.0,,593921,3995346.0,,0.0,,0,734,103818,19745.0,0,,-40989,33219,1207636,39269,0
