date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,312635,106835,14777,4060,-354,1023,3909,6524,121902,-354,25271,,,47452,4810,29413,166146,,514751,2013年03月31日,57436,,643170,643170,0,11787,109422,350936,37612,,151550.0,1947.0,10000.0,514751,,,146785.0,21938,21938,,789955.0,30839,4482,37363,439019,0
2013-08-07,2,2013,312896,101621,36561,7293,-313,2394,3312,6218,119119,-313,25293,,,66023,7445,28833,152780,,514751,2013年06月30日,50675,,637997,637997,0,12931,142086,381029,38015,,192351.0,830.0,0.0,514751,,,179143.0,21938,21938,,817140.0,30839,4096,37057,436111,0
2013-11-07,3,2013,311238,122640,24789,1262,-331,327,3611,6268,120643,-331,25336,,,89686,9365,43739,251992,,514751,2013年09月30日,71694,,658998,658998,0,12931,182292,442542,38015,,160341.0,4386.0,10000.0,514751,,,219399.0,21938,21938,,878397.0,30839,3974,37107,435855,0
2014-03-21,4,2013,312988,114367,29580,1786,-307,1090,5937,6602,136026,-307,41143,,,52649,6308,25620,120354,1080.0,514751,2013年12月31日,63421,,650749,650749,0,12931,118460,353774,38015,,183474.0,3213.0,0.0,514751,,,156094.0,21938,21938,,806843.0,31032,4055,37634,453069,0
2014-05-07,1,2014,311925,118147,15440,5078,-304,481,4307,6505,117676,-304,29749,,0.0,44951,6533,32613,161580,0.0,514751,2014年03月31日,67201,,654532,654532,0,12931,115623,374432,38015,173718.0,,5605.0,10000.0,514751,,,153128.0,21938,21938,,807660.0,31000,3627,37505,433228,0
2014-08-06,2,2014,309596,117884,18718,2775,-310,649,5072,6639,115695,-310,27608,,0.0,64238,7772,19633,150739,0.0,514751,2014年06月30日,66941,,654263,654263,0,14574,113060,376391,36369,190197.0,,2050.0,,514751,,,150571.0,21938,21938,,804834.0,30872,3152,37511,428443,0
2014-11-05,3,2014,307461,132684,20578,989,709,757,5182,6715,117598,709,30802,,0.0,83534,9493,44632,241928,0.0,514751,2014年09月30日,81741,,670082,670082,0,14574,172102,452104,36369,173203.0,,3108.0,10000.0,514751,,,209864.0,21938,21938,,879946.0,31047,2783,37762,427842,0
2015-03-20,4,2014,309353,125876,27799,1326,-296,981,3283,6591,113825,-296,33522,,0.0,40812,5306,28669,128319,0.0,514751,2014年12月31日,74933,,662269,662269,0,14574,105356,379143,36369,212693.0,,1789.0,,514751,,,143200.0,21938,21938,,805469.0,31253,3148,37844,426326,0
2015-05-08,1,2015,310254,136945,24320,172,-299,1683,2566,6724,108753,-299,34387,,0.0,57011,6187,39421,181274,,514751,2015年03月31日,86002,4057.0,673335,673335,0,14574,132679,421838,36369,,203439.0,,0.0,514751,843915.0,170580.0,,21938,21938,843915.0,,31177,3070,37901,422077,0
2015-08-04,2,2015,308623,137192,27907,173,-302,336,3965,6792,94737,-302,28791,,0.0,61014,6704,25462,157440,,514751,2015年06月30日,85109,3405.0,673579,673579,0,15725,124828,430007,36358,,239638.0,,,514751,836277.0,162698.0,,21938,21938,836277.0,,31078,2910,37870,406270,0
2015-11-04,3,2015,308112,155451,27290,138,-306,608,4893,6283,94511,-306,24555,,0.0,92594,8067,35243,258867,335.0,514751,2015年09月30日,103368,5559.0,691834,691834,0,15725,169361,493550,36358,,204762.0,,0.0,514751,898846.0,207012.0,,21938,21938,898846.0,,31368,2673,37651,405296,0
2016-03-25,4,2015,306829,142387,31781,119,-296,475,3509,6113,90160,-296,44422,,0.0,57952,6476,27273,133585,,514751,2015年12月31日,90304,3440.0,678780,678780,0,15725,127397,443339,36358,,261704.0,,,514751,843408.0,164628.0,,21938,21938,843408.0,,31118,3080,37231,400069,0
2016-05-10,1,2016,305829,147371,26083,106,-287,638,5631,6054,103992,-287,33661,,0.0,40008,5522,34857,150772,,514751,2016年03月31日,95288,4130.0,683773,683773,0,15725,126238,434641,36358,,244471.0,,15000.0,514751,847140.0,163367.0,,21938,21938,847140.0,,31075,2678,37129,412499,0
2016-08-03,2,2016,304697,103047,20940,104,-266,799,5023,6051,112520,-266,32244,51475.0,0.0,64792,6638,25953,159981,,514751,2016年06月30日,49313,1914.0,690945,690945,0,17376,126036,434419,36358,,237067.0,,5000.0,566226,853939.0,162994.0,,21938,21938,853939.0,,30907,2303,36958,419520,0
2016-11-04,3,2016,304874,110054,22633,64,-233,750,4930,6022,134386,-233,26297,,0.0,72696,7819,42571,226467,254.0,566226,2016年09月30日,56320,1112.0,697985,697985,0,17376,177581,470956,36358,,212944.0,,30000.0,566226,912427.0,214442.0,,21938,21938,912427.0,,30839,2211,36861,441471,0
