date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－流動,以成本衡量之金融負債－非流動,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,在建工程（營造業適用）合計,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－其他行業淨額,存貨－製造業淨額,存貨－買賣業淨額,工程進度請款金額,庫藏股票,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付建造合約款－關係人,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融負債－流動,按攤銷後成本衡量之金融負債－非流動,按攤銷後成本衡量之金融資產－流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,礦產資源淨額,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,農產品,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,286631,4550,291181,1134811,,,,,347759,,,,148833,,23502,,0,345168,53987,70209,8314,61895,67735,584,38377,,7881,848417,,,848417,,,653,,,,266717,427481,,,,0,46660,,452120,,,,98438,,59270.0,80498,,,,,,,,952617,2013年03月31日,156811,,,1585657,1585657,91475,29822,1017466,1808140,,1068,,,,161126,,273738.0,,,10052.0,,26582,,952617,,,5700,,,1500371.0,285934,,3086028.0,,,,6990,,4958,,18115,23134,,,,,130338,0,482905,1277888,36758,0
2013-08-12,2,2013,21673,7550,29223,1118594,,,,,270734,,,,274024,,20297,,0,71450,42227,58304,19428,38876,67856,584,49117,,7881,898540,,,898540,,,653,,,,268404,481819,,,,0,34312,,417924,,,,159491,,59391.0,80498,,,,,,,,952617,2013年06月30日,70172,,,1508632,1508632,91475,39436,895933,1614481,,683,,,,161126,,13493.0,,,8406.0,,13782,,952617,,,5480,,,1376535.0,285934,,2885167.0,,,,6660,,4941,,18115,21794,,,,,126227,0,480602,1270686,41491,0
2013-11-11,3,2013,21926,10550,32476,1095761,,,,,305737,,,,162777,,21055,,0,76711,44235,63783,13118,50665,68336,584,99505,,7881,936744,,,936744,,,653,,,,263041,466166,,,,99883,14691,,355781,,,,133189,,59871.0,80498,,,,,,,,956726,2013年09月30日,105174,,,1550765,1550765,91475,39437,887929,1611861,,438,,,,161126,,44956.0,,,12434.0,,46105,,956726,,,5480,,,1359536.0,288955,,2910301.0,,,,3682,,0,,18115,22238,,,,,122115,0,471607,1298440,56353,0
2014-03-12,4,2013,22179,14278,36457,1084754,,,,,330518,,,,171635,,20874,,0,70406,33949,56243,6843,49400,59503,616,109392,,7881,923643,,,923643,,,653,,,,193363,514948,,,,99536,3451,,374229,,,,197847,,51006.0,80498,,,,,,,,997875,2013年12月31日,129955,,,1647322,1647322,91475,39437,915717,1664274,,323,,,,161126,,43996.0,,,3963.0,,45086,,997875,,,4080,,,1313674.0,319582,,2960996.0,,,,2612,,0,,18115,21755,,,,,126976,0,397957,1296722,47442,0
2014-05-14,1,2014,217079,24627,241706,1092799,,,,,351571,,,,133335,,21439,,0,268963,27257,51383,5452,45931,59529,616,137388,,7791,942364,,,942364,,,492,,,0.0,0,508373,,,,99704,29754,,398975,,,,112999,,51122.0,80498,,,,,,,,997875,2014年03月31日,151008,,,1668879,1668879,68884,39437,1061912,1635792,,207,,,,161126,51411.0,,,,4042.0,,10921,,997875,,,4080,,,1299572.0,319925,,2968451.0,,,,2740,,0,,18115,21767,,,,,160016,0,237660,1332659,57221,0
2014-08-13,2,2014,153608,17931,171539,1132555,,,,,311720,,,,240323,,23004,,0,190908,19369,48256,3501,44755,56813,616,100397,,7791,1012677,,,1012677,,,0,,,0.0,0,499882,,,,189750,12285,,378362,,,,129748,,48406.0,80498,,,,,,,,1022216,2014年06月30日,101329,,,1673928,1673928,0,49265,1256700,1846154,,163,,,,161126,202169.0,,,,5364.0,,113571,,1022216,,,4080,,,1507228.0,339992,,3181156.0,,,,537,,0,,18115,21389,,,,,175600,0,250528,1335002,51938,0
2014-11-11,3,2014,86207,28651,114858,1123985,,,0.0,,310746,0.0,,,161632,,22156,0.0,0,148409,33551,53243,8643,44600,56323,616,210353,,7791,968805,,,968805,,,0,0.0,0.0,0.0,358740,562961,,,,0,40700,,435098,0.0,0.0,0.0,164870,,47916.0,80498,0.0,,,,0.0,,,1061519,2014年09月30日,100355,,,1773395,1773395,0,49265,958819,1904630,,119,,0.0,,161126,191920.0,,0.0,,0.0,0.0,33326,,1061519,,,4080,,,1565766.0,401130,,3339161.0,,0.0,,7711,,0,,18115,19576,,,0.0,,173769,0,606947,1434531,68538,0
2015-03-09,4,2014,86763,44537,131300,1238034,,,0.0,,337876,0.0,,,181274,,18808,0.0,0,144986,13686,89105,4317,84788,52561,616,116224,,7791,904444,,,904444,,,0,0.0,0.0,0.0,360738,484228,,,,0,33558,,423034,0.0,0.0,0.0,177057,,44154.0,80498,0.0,,,,0.0,,,1111519,2014年12月31日,127485,,,1901237,1901237,0,49265,901790,1987689,,74,,0.0,,161126,209623.0,,0.0,,6074.0,0.0,34780,,1111519,,,6400,,,1542176.0,451842,,3443413.0,,0.0,,10490,,95521,,18115,20894,,,0.0,,208972,0,640386,1455724,70097,0
2015-05-13,1,2015,87249,66003,153252,1240111,,0.0,0.0,,338128,0.0,,,161273,,16291,0.0,0,168654,15402,60105,5692,54413,48071,616,181641,,3150,902167,,,902167,,,0,0.0,0.0,0.0,362735,414513,,,,29958,9299,,371786,0.0,0.0,0.0,167949,0.0,,80498,0.0,,,0.0,0.0,,,1111573,2015年03月31日,127737,7136.0,0.0,1901584,1901584,0,49265,925258,1986675,44305.0,30,0.0,,,161126,,316431.0,0.0,,,,118423,,1111573,,3511341.0,6400,0.0,1609757.0,,451883,3511341.0,,,0.0,,9602,0.0,94009,,18115,22386,,0.0,0.0,,255578,0,684499,1524666,57937,0
2015-08-11,2,2015,87812,114164,201976,1261673,,0.0,0.0,,272495,0.0,,,225508,,16165,0.0,0,220864,18888,75286,5963,69323,47634,32,488579,,3150,852907,,,852907,,,0,0.0,0.0,0.0,364732,334541,,,,109795,3654,,374462,0.0,0.0,0.0,145181,0.0,,80498,0.0,,,0.0,0.0,,,1111573,2015年06月30日,56704,4043.0,0.0,1835951,1835951,0,54665,919728,1818371,44452.0,1411,0.0,,,161126,,176221.0,0.0,,,,0,,1111573,,3673975.0,6400,0.0,1838024.0,,451883,3673975.0,,,0.0,,14923,0.0,93044,,18115,23443,,0.0,0.0,,487815,0,918296,1855604,85105,0
2015-11-05,3,2015,88375,123336,211711,1763068,,0.0,0.0,,294390,0.0,,,160589,,12332,0.0,0,230123,18412,186632,3549,183083,47816,32,87978,,3150,1045298,,,1045298,,,0,0.0,0.0,0.0,366742,520458,,,,239566,6431,,359850,0.0,0.0,0.0,184630,0.0,,80498,0.0,,,0.0,0.0,,,1111573,2015年09月30日,78599,3256.0,0.0,1857846,1857846,0,54665,1268312,2062408,44634.0,1283,0.0,,,161126,,76977.0,0.0,,,,94630,,1111573,,4017845.0,6400,0.0,2159999.0,,451883,4017845.0,,,0.0,,6859,0.0,99252,,18115,22610,,0.0,0.0,,459014,0,891687,1955437,97437,0
2016-03-09,4,2015,88937,129741,218678,1885755,,0.0,0.0,,290522,0.0,,,209598,,12304,0.0,0,238546,19868,37337,2389,34948,47711,0,23264,0.0,3150,766637,0.0,0.0,766637,0.0,,0,0.0,0.0,0.0,368775,238042,,,,109735,12973,,325322,0.0,0.0,0.0,143158,0.0,,80498,0.0,,,0.0,0.0,,,1111573,2015年12月31日,74731,4510.0,0.0,1853978,1853978,0,54665,827324,1574880,44561.0,1155,0.0,,,161126,,75462.0,0.0,,,,0,,1111573,,3588691.0,8000,0.0,1734713.0,,451883,3588691.0,,0.0,0.0,,5920,0.0,99370,,18115,23139,,0.0,0.0,,472788,0,907389,2013811,115290,0
