date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商標權淨額,商譽,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,8176,2743230,169564,3179972,680585,365136,437486,,248265,248265,369540,46462,106791,4078,92110,556668,78617,0,190662,1206,27935,1538259,35900,,,1290983,4679,262939,0,142661,5370,,2451570,5358,116418,28044,90904,424867,3767599,2013年03月31日,1838808,,8196064,8098672,1925579,1254276,3022562,6953067,,194740,,310106,86888,,1408127,171227,337575,3767599,,,3318492,938736,,11514556,102,43954,82215,107284,121605,97392,295930,4561489,81600,263855,368516,314902,,0
2013-08-07,2,2013,4146,2792199,169611,2854889,479504,410618,1453873,700353.0,326135,326135.0,91392,48705,139313,12905,85328,459197,73781,0.0,190968,1207,28151,1563270,35900,,,1585165,10429,284805,10000.0,140843,6914,753520.0,2797149,6701,328777,10737,84121.0,429704,3767599,2013年06月30日,1419214,,8010969,7851459,1925579,1348787,3908696,7631860,,203873,,527395.0,86888,,1602925.0,197275.0,128000,3767599,,,4210548.0,938736,,12221517.0,0,44510,90225,124455,126299,159510,301852,4589657,0.0,131579,357265,38541,,0
2013-10-28,3,2013,4372,2723546,169487,3130743,279563,455771,575185,575185.0,362141,,137773,78054,116728,11684,91596,1541474,68895,0.0,190194,1204,29709,1617841,35900,,,1515302,6255,56530,80000.0,64428,4026,,3110066,4291,96631,21335,90392.0,447644,3767599,2013年09月30日,1695068,,8332086,8175835,1925579,1348787,3463996,7116048,,201878,,567731.0,86888,,1168116.0,167572.0,856925,3767599,,,4457417.0,951252,,12789503.0,0,45428,83908,133655,817917,156251,993421,5673455,0.0,88318,1442870,55347,,0
2014-02-25,4,2013,4217,2695664,167555,3406913,250700,534668,695157,695157,478800,,81183,29328,76220,10461,88247,1588204,52911,0,190618,1206,29199,1530689,35900,,,1194722,2591,13154,80000,68461,5644,,2901386,4580,43890,18556,87041,454677,3767599,2013年12月31日,1971238,,8716561,8577610,1925579,1348787,3052669,7005438,,201079,,448600,86888,,1619532,201524,710233,3767599,,,4051684,960198,,12768245,0,45635,91608,120960,819160,138951,999015,5762807,2767,65650,1503327,47638,,0
2014-04-30,1,2014,4358,2667880,168102,3583331,301079,545512,607906,,527609,527609.0,217474,107838,82775,9238,87533,1618402,55671,,191815,1210,34139,1501876,35900,0.0,,1141695,2418,1483,100000.0,36410,2196,,2751526,6075,61524,14916,86323.0,469163,3767599,2014年03月31日,2147656,,8944491,8811156,1925579,1348787,3043917,7189718,,201053,,373150.0,86888,1976727.0,,213980.0,720355,3767599,,,4037855.0,968517,,12982346.0,0,46463,81442,122516,824963,133335,993938,5792628,30000.0,73607,1498592,105278,,0
2014-08-05,2,2014,4315,2645936,197930,2974238,2190225,502383,1639405,697505,445125,445125,249558,90481,150529,8017,86110,1596543,54755,,190726,768,33535,1753761,35714,0,1852173,1722431,4192,31457,16000,87938,5762,941900,2977271,6776,135910,19393,85342,470259,3767599,2014年06月30日,1418074,,8397517,8270127,1915579,1469276,4114012,9624038,,198743,,373411,86888,1875675,,189006,165263,3767599,,,6969136,1118879,,15366653,3000,48528,95446,130821,821395,127390,2855124,5742615,0,92559,1508253,154762,,0
2014-10-31,3,2014,74439,2628302,198088,3460951,1927651,406078,655535,655535.0,379502,,336371,84722,113876,7035,85250,1620648,56385,,191726,772,54653,1742163,35714,0.0,1770756.0,1576431,2868,18255,216000.0,115706,8072,,3461154,8770,138664,36676,84478.0,494076,3767599,2014年09月30日,1904787,,8918924,8794135,1915579,1469276,3714400,9658423,,198761,,255195.0,86888,1811896.0,,217396.0,565290,3780863,,,6416887.0,1208533,,15335811.0,2476,48532,96723,131435,749758,124789,2702487,5677388,0.0,113846,1509610,177210,13264.0,1326358
2015-02-12,4,2014,75138,2712962,185349,3754760,1873734,468575,745593,745593.0,507104,,203404,44035,103523,6533,108841,1554365,46483,,193939,780,43348,1604773,35714,0.0,1731006.0,1277344,2377,3796,16000.0,44029,15279,,3152006,9950,95945,33316,108061.0,508702,3787821,2014年12月31日,2198596,,9390765,9270625,1915579,1469276,2870775,9184704,,200472,,398993.0,86888,1847648.0,,229301.0,332725,3787821,,,5577247.0,1256654,,14968012.0,927,8638,109425,152883,757200,120140,2706472,5783308,33000.0,56178,1431534,84231,,0
2015-04-30,1,2015,145151,2675827,185250,3861153,1970414,439504,644066,,455167,,277962,43211,95793,6030,127185,1671731,50166,,193309,778,46298,1587276,35714,,1737434.0,1076369,1918,289458,16000.0,132759,7973,,2601794,14410,71843,32184,,525597,3787821,2015年03月31日,2304989,237680.0,9443870,9333681,1915579,1469276,2846933,9093965,126407.0,199339,441492.0,,86888,,2180014.0,,161450,3787863,14944606.0,5500736.0,,1265212,14944606.0,,1298,9233,104729,153393,684455,110189,2653803,5850641,33000.0,89512,1542267,89600,42.0,4166
2015-07-31,2,2015,165408,2744175,218124,3247446,2172260,345317,1679298,691865.0,332948,,776009,46076,122503,5528,125663,1547473,55980,,192516,775,46310,1581200,35714,0.0,1744243.0,1202484,1312,19382,16000.0,234113,19726,987433.0,2708436,14212,198723,57539,,551199,3787863,2015年06月30日,1559638,150844.0,8748336,8606075,1915579,1600920,4324098,9947961,124888.0,198044,400739.0,,86888,,2573727.0,,220851,3787863,15715868.0,6967532.0,,1273532,15715868.0,,4079,10151,112382,163575,661146,142261,2643434,5767907,0.0,108471,1445183,564525,,0
