date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,在建工程（營造業適用）合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,889495,,4347581,1449693,323991,130998,,11603,-126033,928730,46633,13166,,,,47576,40063,0.0,4642206.0,38334,2527,5012258,,370052,0.0,,213765,49988.0,117206,,228536,84181,9242.0,3185647,73651,4971894,2013年03月31日,3092288,,9728472,9729437,0,720356,1571166,7024714,,30000.0,20000.0,534937,,147596.0,126694.0,0,4971894,,3785.0,,1836272.0,535995,,11564744.0,5949.0,217530,7183,-965,265106,4540030,41732,37536,882097,882097,0
2013-08-13,2,2013,882158,,4321892,1584253,292702,1043273,148332.0,826,-116613,931143,43871,585063,13744.0,571319.0,20000.0,47874,61596,0.0,4375235.0,38696,2528,4759762,,384527,0.0,,197668,99949.0,124215,894941.0,353197,73937,9178.0,3172140,79792,4971894,2013年06月30日,2954475,,9712203,9713168,0,855066,2605194,8089922,,,,512351,,700774.0,105189.0,100000,4971894,,3757.0,,2871693.0,535995,,12583896.0,0.0,218625,5586,-965,266499,4493974,32110,39068,887272,887272,0
2013-11-08,3,2013,872172,,4772175,1620135,288477,177439,177439.0,4976,-56559,949626,43363,692123,14192.0,677931.0,20000.0,49446,64042,0.0,4243479.0,40331,2527,4620014,,376535,0.0,,200076,0.0,107721,,226375,55059,9115.0,3158634,86400,4971894,2013年09月30日,3415433,,10222540,10223505,0,855066,1731593,7744835,,,,501676,,481294.0,93258.0,200000,4971894,,3473.0,,1999357.0,535995,,12221897.0,0.0,218318,7337,-965,267764,4477062,44859,41515,906263,906263,0
2014-03-18,4,2013,871280,,5126830,1652706,293897,170717,170717.0,2070,61380,1012221,29573,769259,12000.0,757259.0,20000.0,66753,64004,0.0,4133333.0,44356,2527,4483865,,350532,0.0,,183765,0.0,135446,,160954,46988,22397.0,3098333,98547,4971894,2013年12月31日,3779586,,10695126,10696099,0,855066,1840506,8388467,,,,492178,,1226597.0,133801.0,200000,4971894,,4556.0,,2126856.0,535995,,12821982.0,0.0,219597,7454,-973,286350,4433515,46028,41477,982648,982648,0
2014-05-13,1,2014,891167,,5471588,1826126,292794,163209,,1636,-9934,1108806,47094,575808,12000.0,563808.0,20000.0,66641,44060,,,44253,2527,4378258,4042052.0,336206,,0.0,208019,0.0,103432,,168910,49602,22388.0,3085131,104017,4971894,2014年03月31日,4131738,,10968570,10969543,0,855066,1883733,8714344,,,,484784,1605373.0,,146153.0,150000,4971894,,4114.0,,2170321.0,535995,,13138891.0,0.0,219947,7378,-973,286588,4424547,108631,21533,1061712,1061712,0
2014-08-12,2,2014,883341,20100.0,6125114,1804777,272513,1181917,187538.0,10487,-34102,509101,45022,1137657,12000.0,1125657.0,20155.0,45003,56254,,,45003,2527,4076890,3741375.0,335515,,0.0,211387,0.0,124497,994379.0,300837,117323,0.0,3071649,104491,4971894,2014年06月30日,4707179,,11597928,11598901,0,1047712,2421819,9829881,,,,370223,2273540.0,,241058.0,150000,4971894,,3859.0,,2648543.0,535995,,14246471.0,,181721,8242,-973,226724,4416590,108370,33572,464079,464079,0
2014-11-11,3,2014,876245,20100.0,6982939,1892885,303764,203758,203758.0,28639,-16777,247782,54426,1168610,12000.0,1156610.0,20129.0,45306,58347,,,45306,4136,3950820,3611773.0,339047,,0.0,182616,,122885,,181060,45065,0.0,3058166,118347,4971894,2014年09月30日,5585988,,12473078,12474051,0,1047712,986516,9238390,,,,349239,1866910.0,,175788.0,50000,4971894,,3687.0,,1205989.0,535995,,13679067.0,,174167,5708,-973,219473,4440677,104401,34082,193356,193356,0
2015-03-20,4,2014,886358,20100.0,7398970,1961349,319894,196334,196334.0,9836,27866,315396,26161,1847635,12000.0,1835635.0,20000.0,47847,48922,,3583461.0,47776,7382,3884017,,300556,0.0,0.0,145234,,127958,,165917,82074,71.0,3044683,117022,4971894,2014年12月31日,6011440,,12933745,12934725,0,1047712,966002,9689304,,,,339818,1654772.0,,161080.0,20000,4971894,,0.0,,1198348.0,535995,,14132093.0,,184499,5810,-980,232346,4442789,83704,21540,289235,289235,0
2015-05-12,1,2015,878374,20100.0,7745597,2209570,310905,165439,,3299,47003,181053,31421,1930307,12000.0,1918307.0,20000.0,47824,49292,,,47796,10224,5658446,5345765.0,312681,0.0,0.0,147897,,97180,,165533,59425,,3031201,121729,4971894,2015年03月31日,6366246,181105.0,13299509,13300489,0,1047712,1602674,10698333,28.0,,,331639,,561633.0,,830000,4971894,15118865.0,0.0,1819356.0,,535995,15118865.0,,0.0,168858,8931,-980,216682,4420532,110120,19068,149632,149632,0
2015-08-13,2,2015,871107,20100.0,6344473,2268798,307327,1548782,156652.0,27809,60157,219572,33132,2160311,12000.0,2148311.0,20000.0,47946,46577,,,47946,10224,5664721,5313945.0,350776,0.0,0.0,138822,,127566,1392130.0,172935,105222,,3017718,111724,4971894,2015年06月30日,4642287,210456.0,11911539,11912519,0,1374590,3067198,10808552,0.0,,,327596,,291739.0,,822000,4971894,15196432.0,0.0,3284893.0,,535995,15196432.0,,,169749,13327,-980,217695,4387880,117017,16353,186440,186440,0
2015-11-12,3,2015,863176,20100.0,6599316,1987303,310527,122715,122715.0,55972,-252622,245823,37017,2371436,12000.0,2359436.0,20000.0,48403,51956,,,48403,10224,5674979,5314607.0,360372,102108.0,0.0,119494,229894.0,123972,,134915,103256,,3004236,84651,4971894,2015年09月30日,4897154,165971.0,11751495,11752475,5441000,1374590,2979869,10624535,0.0,,,327572,,170478.0,,1972000,4971894,14964889.0,0.0,3213394.0,,535995,14964889.0,,,185122,5708,-980,233525,4340354,126196,21732,208806,208806,0
