date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,165380,561369,652680,1485999,,47349,3427,1354366,34139,67989,20756,114,74471,0,,34371,2465,150151,1053,4242,1155364,2013年03月31日,259098,,,3307544,3283579,0,302271,126167,1784120,11842,,668933.0,7843.0,335.0,1155364,,,148848.0,212480,,3456392.0,,142541,1925,4695,23965,22681,1672272,22540,0
2013-08-13,2,2013,164292,352682,675514,1535511,0.0,333700,1656,1427673,49727,59993,20607,115,75457,0,,15597,537,126733,653,4298,1155364,2013年06月30日,24804,,,3097690,3073100,0,327878,405806,1805071,11228,,677669.0,6245.0,389.0,1155364,,,428338.0,137381,,3526028.0,,141482,1925,5513,24590,22532,1720957,45525,0
2013-11-13,3,2013,162537,500011,662194,1506386,0.0,41603,4452,1384749,46921,46643,20454,121,71628,0,,25432,204,124090,580,3632,1155364,2013年09月30日,172133,,,3200134,3177505,0,327878,118474,1653641,9261,,553469.0,4314.0,485.0,1155364,,,140853.0,137381,,3340987.0,,142789,1925,5409,22629,22379,1687346,47311,0
2014-03-26,4,2013,161331,563825,566930,1485582,0.0,47204,3946,1298813,40101,57239,17057,115,105302,0,,20532,160,115174,1150,3602,1155364,2013年12月31日,235947,,,3178128,3155383,0,327878,114105,1650150,7215,,619698.0,6108.0,62.0,1155364,,,135509.0,137381,,3313637.0,,142897,4347,5642,22745,21404,1663487,37752,0
2014-05-14,1,2014,160019,580078,607425,1589075,0.0,43194,5912,1441710,38835,57575,16951,115,66229,0,0.0,13409,399,91642,855,3433,1155364,2014年03月31日,252200,,,3337699,3314533,0,327878,104992,1699462,6342,690556.0,,9155.0,51.0,1155364,,,126290.0,137381,,3463989.0,,148466,4347,5543,23166,21298,1764527,30751,0
2014-08-13,2,2014,159258,435393,593014,1770068,0.0,313281,9348,1632152,39476,48576,17593,5115,65044,0,0.0,11463,545,104408,985,3156,1155364,2014年06月30日,84328,,,3325792,3302522,0,351065,370540,1768805,6673,721658.0,,5775.0,92.0,1155364,,,391927.0,79613,,3717719.0,,193012,3794,4644,23270,21387,1948914,32668,0
2014-11-12,3,2014,158573,569992,521863,1607799,0.0,47040,6080,1404596,45699,48953,20156,588,75466,0,0.0,16213,245,98061,721,7520,1155364,2014年09月30日,218927,,,3232595,3209565,0,351065,112504,1583570,6571,604433.0,,3307.0,223.0,1155364,,,136455.0,79613,,3369050.0,,191338,3795,4429,23030,23951,1785480,36432,0
2015-03-25,4,2014,173955,587233,516953,1593236,0.0,50980,5704,1387149,20099,46654,19807,712,98477,0,0.0,18706,31,94452,619,6983,1155364,2014年12月31日,236168,,,3232949,3209359,0,351065,93931,1566944,6514,576682.0,,4115.0,0.0,1155364,,,118706.0,79613,,3351655.0,,216203,4968,3311,23590,24775,1784711,11200,0
2015-05-06,1,2015,172453,603624,565351,1736782,0.0,43665,6557,1578449,30358,53705,19421,1211,87040,0,0.0,9966,27,95938,1154,6268,1155364,2015年03月31日,252559,7343.0,0.0,3440622,3417050,0,351065,91359,1630108,6336,,584936.0,,,1155364,3556370.0,115748.0,,79613,3556370.0,,,216509,4968,3212,23572,24389,1926262,18918,0
2015-08-12,2,2015,170819,463889,445579,1668129,0.0,300243,22638,1419005,29852,46478,19437,11405,79384,0,0.0,14860,47,108966,663,5764,1155364,2015年06月30日,89605,6439.0,147.0,3083590,3060103,0,374284,351441,1593326,6882,,667913.0,,,1155364,3459435.0,375845.0,,21845,3459435.0,,,218529,4967,3110,23487,24404,1866109,3029,0
2015-11-11,3,2015,171742,593626,365456,1378958,0.0,51255,8220,1052766,21339,45071,19440,16696,129985,0,0.0,17057,1026,108567,695,5217,1155364,2015年09月30日,219342,4116.0,586.0,2847030,2823601,0,374284,94793,1383784,6882,,530000.0,,,1155364,2966230.0,119200.0,,21845,2966230.0,,,187757,4967,2951,23429,24407,1582446,7447,0
2016-03-23,4,2015,171089,605533,362574,1368556,0.0,62444,9399,1038449,17604,72876,18762,16644,155332,0,0.0,12035,359,112187,601,4876,1155364,2015年12月31日,231249,4822.0,,2845723,2821191,0,374284,97264,1394015,8417,,482516.0,,,1155364,2967782.0,122059.0,,21845,2967782.0,,,187502,6033,4185,24532,24795,1573767,11028,0
2016-05-11,1,2016,170452,638737,358695,1483345,0.0,56482,10602,1164784,18618,73286,15160,44957,131587,0,0.0,11608,507,118406,1076,4256,1155364,2016年03月31日,264453,7437.0,119.0,3005413,2980730,0,374284,94652,1405094,9036,,514269.0,,,1155364,3121258.0,115845.0,,21845,3121258.0,,0.0,188650,6033,4118,24683,21193,1716164,8404,0
2016-08-10,2,2016,168273,426667,338120,1614408,0.0,291286,8504,1291679,58976,61882,14636,76531,131934,0,0.0,8185,553,95935,627,3951,1155364,2016年06月30日,66463,3885.0,215.0,2920586,2895555,0,360204,362885,1428499,8416,,566409.0,,,1155364,3304140.0,383554.0,,21845,3304140.0,,,190245,6033,4062,25031,20669,1875641,34628,0
2016-11-09,3,2016,166388,600984,242210,1599845,0.0,56664,8001,1209063,41964,91134,13835,64849,146632,0,0.0,6669,338,93776,603,3508,1155364,2016年09月30日,240780,3619.0,624.0,3011072,2987256,0,360204,109254,1290942,8264,,503794.0,,,1155364,3140194.0,129122.0,,21845,3140194.0,,,175542,6033,6398,23816,19868,1849252,28626,0
