date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融資產－流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,,313445,,2309,398251,-28842,575028,,,30802,32449,-28703,,294048,65017,397,,42140,,42140,13564,59105,,0.0,21966,,,139,10588,16965,0,,,173961,73376,191508,76813,2461.0,,,,,120949,515.0,610605,2013年03月31日,293385,,1327500,1270670,0,84961,608559,1430694,,21966,,,19905,,270677.0,,36372.0,610605,,,623578.0,290517,290517.0,,1951078.0,,,,,0,,1455,2610,,,,,56830,15019,520384,0.0,283822,,229031,0
2013-05-09,1,2014,1805.0,1805.0,341561,,2309,348367,-35152,471940,,,31611,12902,-34463,,218741,94072,0,,40142,,40142,12062,55924,,,21966,,,689,8078,15401,0,,0.0,196225,51897,190457,84912,3744.0,,,,,118893,240.0,610605,2014年03月31日,216700,,1269451,1215026,0,107905,519182,1275241,,21966,,,23762,287278.0,,,20708.0,610605,,,548981.0,290517,290517.0,,1818432.0,,,,,0,,1592,2538,,,,16145.0,54425,29799,543191,0.0,227752,381.0,122864,0
2013-08-09,2,2013,,,309626,,2309,246795,-23748,751503,,,222869,1431,-23275,,405487,101112,3,,42584,,42584,12931,50721,0.0,0.0,21966,,,473,10516,8137,0,,,283193,78173,264778,111209,2415.0,,,,,123732,0.0,610605,2013年06月30日,115128,,1182402,1124642,0,107905,1009536,1695281,,21966,,,23762,,257424.0,,19814.0,610605,,,1023925.0,290517,290517.0,,2206327.0,,,,,0,,1458,2692,,,,,57760,14389,511046,0.0,308933,,304375,0
2013-11-05,3,2013,,,298525,,2309,325640,-31622,558714,,0.0,36734,17222,-31343,0.0,158796,63090,970,,42342,,42342,11859,60468,0.0,0.0,21966,0.0,,279,9478,18126,0,,,249062,52511,184227,57792,2381.0,,,,,133199,0.0,610605,2013年09月30日,193973,,1251740,1195419,0,107905,510101,1255803,,21966,,,23762,,277237.0,0.0,12766.0,610605,,,523417.0,290517,290517.0,,1775157.0,0.0,,,232.0,0,,1457,2887,,,,,56321,13316,519354,0.0,159641,,95706,0
2014-03-20,4,2013,1776.0,1776.0,348419,,2309,332247,-31671,594123,,0.0,42512,3323,-30986,0.0,180243,79349,0,,39900,,39900,13862,55845,0.0,0.0,21966,0.0,,685,10099,15564,0,,,187477,54058,155865,102182,3763.0,,,,,116887,0.0,610605,2013年12月31日,200580,,1257670,1202383,0,107905,482219,1224009,,21966,,,23762,,221398.0,0.0,17929.0,610605,,,514326.0,290517,290517.0,,1771996.0,0.0,,,0.0,0,,1503,2561,,,16742.0,16742.0,55287,32107,547987,0.0,147118,381.0,99118,0
2014-08-08,2,2014,1804.0,1804.0,334264,,2309,213332,-27369,650037,,,219048,1317,-27212,,364757,121528,2,,39631,,39631,11078,55338,,,21966,,,157,7345,15707,306,,0.0,318431,68058,240575,96146,3733.0,,,,,117113,0.0,610605,2014年06月30日,55968,,1130327,1077777,6000,126378,981058,1605802,,21966,,,30986,313294.0,,,10764.0,610605,,,1009024.0,281358,281358.0,,2139351.0,,,,,0,,1505,2559,,,,15383.0,52550,27966,533549,0.0,304431,0.0,241425,0
2014-11-10,3,2014,1884.0,1884.0,325647,,2309,276026,-37001,517908,,0.0,34766,1205,-36218,,208614,80271,340,,40382,,40382,11262,56141,,,21966,,,783,7530,15759,28862,,0.0,227858,67546,172635,93278,3732.0,,,,,122673,,610605,2014年09月30日,118662,,1155484,1102909,612000,126378,543807,1195304,,21966,,,30986,230357.0,,,5023.0,610605,,,571878.0,281358,281358.0,,1727362.0,,,,0.0,0,,1509,3322,,,15300.0,15300.0,52575,28071,532058,,179581,0.0,126459,0
2015-03-20,4,2014,1974.0,1974.0,318306,,15,281298,6769,481567,,0.0,37873,23002,8709,0.0,188070,72865,0,,41263,,41263,7366,56622,0.0,0.0,21966,0.0,,1940,5327,15359,69194,,0.0,182610,64919,141251,92676,2039.0,,,,,116679,0.0,610605,2014年12月31日,123934,,1168532,1112776,1479000,126378,483266,1158727,,21966,,,30986,223756.0,,0.0,9794.0,610605,,,507619.0,281358,,,1676151.0,0.0,,,0.0,0,,1670,3836,,,15317.0,15317.0,55756,24353,517424,0.0,196475,0.0,113231,0
2015-05-08,1,2015,0.0,0.0,313611,,15,311843,22703,552927,,,25257,2761,24257,,207170,57296,0,,14735,,14735,8700,29323,,,21966,,,1554,6348,14588,69194,,0.0,205367,60655,88321,99192,,,,,,109980,305.0,610605,2015年03月31日,154479,16722.0,1214331,1158869,1479000,126378,515171,1261006,2047.0,21966,,,30986,,274751.0,,,610605,1739948.0,525617.0,,281358,281358.0,1739948.0,,,,,,0,,1746,4047,,,,0.0,55462,10446,478942,0.0,243054,0.0,149874,0
2015-08-11,2,2015,0.0,0.0,305740,,0,269458,-21292,655420,,,124720,2716,-20193,,308621,123090,1158,5.0,14711,1153.0,14711,8646,29045,,,21966,,1099.0,1099,6289,14334,69194,29791.0,0.0,274364,53358,145133,86266,,,,,,114122,300.0,610605,2015年06月30日,130530,14859.0,1159300,1101825,1479000,138928,775922,1471259,2057.0,21966,,,0,,359318.0,,,640396,1945553.0,786253.0,,281358,,1945553.0,,,,,,0,,1685,3421,,,,0.0,57475,10331,474294,0.0,221248,0.0,185531,0
