date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,其他預付費用,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,工程存出保證金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收房地款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,271150,42649,-303388,27807,,,0,1168043,845,202813,13460,258299,106737,46210,6930,,117337,105556,6930,2369793,2337132,32661,82616,0,,,55176,36338,,11943,12941,802654,2013年03月31日,-303388,,550880,550880,0,,2695515,3069152,,224236.0,151.0,1408000,802654,,,,2839001.0,51614,,3389881.0,24533,97276,0,143486,320729,222893,908899.0,908899,0.0,0
2013-08-13,2,2013,270649,42649,-310441,17606,,,0,1185656,19434,177705,13331,233299,81758,46210,6930,,120397,105556,6930,2417774,2394595,23179,82616,0,,,42847,26595,,23734,17412,802654,2013年06月30日,-310441,,543827,543827,0,,2681674,3048759,,181441.0,970.0,1408000,802654,,,,2825160.0,51614,,3368987.0,4740,97276,0,143486,320228,225953,932923.0,932923,0.0,0
2013-11-12,3,2013,270202,42649,-322087,16986,,,0,1269757,72583,187573,19780,206299,77367,46210,6930,,135771,103543,6930,2549936,2520322,29614,90426,0,,,26561,46523,,19362,4412,802654,2013年09月30日,-322087,,532181,532181,0,,2818894,3174780,,169678.0,1067.0,1458000,802654,,,,2962380.0,51614,,3494561.0,4505,97276,0,143486,319781,239314,990875.0,990875,0.0,0
2014-03-20,4,2013,269755,42649,-79857,43631,,21719.0,0,487258,70059,395110,23423,158499,141261,46210,6926,,66735,23545,6926,775512,745872,29640,230426,0,,,143648,35440,,12558,12572,802654,2013年12月31日,-79857,,774411,774411,0,,867977,1466544,,158793.0,0.0,158000,802654,,,,1011463.0,51614,,1785874.0,0,97276,0,143486,319330,90280,258700.0,258700,0.0,0
2014-05-13,1,2014,269683,42649,-30979,16849,,22771.0,0,124596,31945,388082,3689,66999,152747,46210,6472,,65985,1697,6472,218836,187149,31687,231646,0,,,92023,27284,,21440,8146,802654,2014年03月31日,-30979,,823289,823289,0,,418752,1066723,339766.0,,0.0,158000,802654,,,,562238.0,51614,,1385527.0,0,97276,0,143486,318804,67682,25652.0,25652,,0
2014-08-12,2,2014,269186,42649,-29780,24690,,12786.0,0,249903,152615,424590,2616,53371,220562,46210,6472,,58129,0,6472,52485,23862,28623,201412,0,,0.0,62102,25026,,11126,5309,802654,2014年06月30日,-29780,,824488,824488,0,,519721,1169388,589918.0,,0.0,158000,802654,,,,663207.0,51614,,1487695.0,15045,97276,0,143486,318307,58129,43917.0,43917,,0
2014-11-11,3,2014,268689,42649,-50930,16360,,0.0,0,86576,19685,280489,3119,11292,75958,46210,5585,,57725,4039,5585,64096,33360,30736,201412,0,,0.0,42896,24259,,17588,5562,802654,2014年09月30日,-50930,,803338,803338,0,,328091,957992,513448.0,,0.0,158000,802654,,,,471577.0,51614,,1274915.0,15045,97276,0,143486,316923,61764,55599.0,55599,,0
2015-03-27,4,2014,268744,39419,-70897,38978,,0.0,0,95932,14075,292551,3098,4021,87591,46210,5536,,79775,9237,5536,75451,54101,21350,201862,0,,0.0,36445,36361,,25115,6444,802654,2014年12月31日,-70897,,783371,783371,0,,355716,968874,465256.0,,0.0,148000,802654,,,,499202.0,51614,,1282573.0,15045,97276,0,143486,313699,89012,77836.0,77836,0.0,0
2015-05-12,1,2015,268419,39419,-101747,30172,,70.0,0,95045,13151,245686,3100,3117,34848,46210,8236,,83579,10513,8236,119412,99212,20200,207738,0,,,29530,41050,,11590,609,802654,2015年03月31日,-101747,0.0,752521,752521,0,,335797,915730,,439248.0,,140000,802654,,1231804.0,479283.0,,51614,1231804.0,,5023,97276,0,143486,316074,94092,78777.0,78777,,0
2015-08-07,2,2015,268113,39419,-123477,29657,,0.0,0,110935,11890,235996,2955,3117,25297,46210,5391,,88661,10430,5391,214297,198105,16192,207744,0,,0.0,32672,44973,,18769,5427,802654,2015年06月30日,-123477,0.0,730791,730791,0,,407516,968870,,365281.0,,189279,802654,,1281793.0,551002.0,,51614,1281793.0,,30009,97276,0,143486,312923,99091,95928.0,95928,,0
2015-11-10,3,2015,66417,37010,-143256,15921,,3728.0,0,125930,11630,239504,3049,3022,28711,46210,5636,,118550,10430,5636,267097,245104,21993,207744,0,201409.0,,25398,52292,,15421,2533,802654,2015年09月30日,-143256,0.0,711012,711012,0,,543237,1191396,,327701.0,,226420,802654,97276.0,1300459.0,589447.0,,51614,1300459.0,,5023,0,0,46210,109063,128980,111278.0,111278,,0
2016-03-29,4,2015,66364,35514,43196,52484,,7684.0,0,141594,12792,389754,2857,3025,179161,53710,19404,13768.0,143716,11322,5636,376801,345775,31026,207736,0,,0.0,48741,46664,,13793,3265,802654,2015年12月31日,43196,,897464,897464,0,,550761,1380653,,434318.0,,261278,802654,,1501935.0,604471.0,,51614,1501935.0,,0,0,0,53710,121282,155038,125777.0,125777,,0
2016-05-10,1,2016,66337,35514,4187,40534,,2666.0,0,155054,11299,236234,146,3025,28352,53710,16469,10833.0,155510,11322,5636,455349,411866,43483,207736,0,,,33073,35890,,4979,1166,802654,2016年03月31日,4187,,858455,858455,0,,566339,1360184,,492958.0,,301788,802654,,1478504.0,620049.0,,51614,1478504.0,,0,0,0,53710,118320,166832,140730.0,140730,,0
2016-08-09,2,2016,66323,35514,-22054,72809,32676.0,4032.0,0,167424,9921,230981,309,3025,22936,46210,16469,10833.0,156205,11322,5636,522711,491091,31620,207736,0,,0.0,31945,26897,40133.0,9454,4345,802654,2016年06月30日,-26374,,792081,792081,0,4320.0,639138,1359123,,415043.0,,340063,802654,,1477429.0,685348.0,,11481,1477429.0,,5030,0,0,46210,118306,167527,154478.0,154478,,0
2016-11-08,3,2016,66310,35514,-39456,20041,,2615.0,0,185502,8450,229034,438,3025,20860,46210,13969,5833.0,157214,12206,8136,615982,590639,25343,207736,0,0.0,,37111,41487,,5729,3401,802654,2016年09月30日,-43776,0.0,774679,774679,0,4320.0,665244,1370340,,344159.0,,381103,802654,0.0,1486133.0,711454.0,,11481,1486133.0,,0,0,0,46210,115793,169420,,174027,,0
