date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,1867313,36260,2591,69989,,211676,20238,2727,,103551,3770,9001,449096,136,726397,,463884,83757,0.0,159939.0,0.0,262891,3288,71.0,672645,2013年03月31日,-98614,,,1507513,1507513,0,134854,1547574,1576628,,20,,508523.0,12413.0,,975900,672845,,,2483532.0,795681,771955,23726,,3991045.0,338.0,0.0,16573,27948,0.0,446500,935958,2414417,51521,200.0,4149
2013-08-13,2,2013,1976925,38380,2591,158489,,272008,22375,2764,,93347,5628,9020,441434,173,691946,,466218,109824,0.0,139954.0,0.0,745249,9852,0.0,672686,2013年06月30日,-96994,,,1509668,1509668,0,135354,1701573,1798981,8655.0,20,,235422.0,20237.0,9808.0,1065892,672686,,,2905536.0,795838,772112,23726,,4415204.0,311.0,0.0,16225,30720,,712500,1203963,2616223,78701,,0
2013-11-13,3,2013,2131510,82823,-249,155649,17904.0,310468,21288,-100,,71947,6601,9234,423009,149,672522,,230933,142944,0.0,0.0,0.0,697189,29537,0.0,806316,2013年09月30日,-52551,,,2293895,2293895,0,135354,1594119,2131060,8773.0,20,,621872.0,4481.0,15733.0,1064279,824220,,,2588417.0,1386952,1375259,11693,,4882312.0,,0.0,14931,32311,,739200,994298,2751252,66318,,0
2014-03-27,4,2013,2306532,129656,99040,270216,,354177,24757,99224,0.0,252251,5420,10655,399733,184,679371,,156237,173777,0.0,0.0,0.0,768293,10879,0.0,840589,2013年12月31日,-5718,,,2515677,2515677,0,135354,1771535,1973996,9036.0,20,,413247.0,14878.0,14223.0,975946,840589,,,2475306.0,1446208,1438336,7872,,4990983.0,506.0,0.0,16848,31470,,520031,703771,3016987,57806,,0
2014-05-13,1,2014,2330698,185465,98747,269923,0.0,294762,16631,98921,0.0,234066,4853,10579,399736,174,741387,0.0,144171,178601,0.0,0.0,0.0,802342,6570,0.0,843349,2014年03月31日,50091,,,2583993,2583993,0,135354,1573809,1852002,8484.0,20,201792.0,,13706.0,14223.0,852567,843349,,,2307182.0,1456258,1449031,7227,,4891175.0,107.0,3690.0,17261,30332,,561362,733373,3039173,60514,,0
2014-08-14,2,2014,2399111,244222,110219,281395,,314649,23902,110360,0.0,274916,5070,10680,403912,141,827960,0.0,141400,129343,0.0,0.0,,766086,12004,0.0,844095,2014年06月30日,108848,,,2657673,2657673,0,135354,1660599,1918596,13429.0,20,206825.0,,27719.0,13002.0,913972,844095,,,2388364.0,1458996,1451943,7053,,5046037.0,0.0,0.0,14929,29594,,560756,727765,3127441,63747,,0
2014-11-13,3,2014,2446289,333508,176908,348084,0.0,289609,13934,177091,0.0,320164,4961,10683,415841,183,930839,0.0,620887,97302,0.0,0.0,0.0,635537,17572,0.0,844116,2014年09月30日,198134,,,2832548,2832548,0,135354,1260343,1998266,13568.0,20,288978.0,,39495.0,13002.0,512935,844116,,,2416598.0,1477833,1452024,25809,,5249146.0,838.0,0.0,17035,27098,,507650,1156255,3250880,93443,,0
2015-03-26,4,2014,2561742,391320,321724,553900,,333536,16903,321960,0.0,295439,4987,11821,393168,236,957483,0.0,481336,118387,,,14136.0,672686,10816,,844116,2014年12月31日,255946,,,3035229,3035229,0,135354,1468944,2135891,16941.0,20,404743.0,,40172.0,13004.0,667000,844116,,,2655194.0,1477833,1452024,25809,,5690423.0,274.0,,19763,28781,,673330,1186250,3554532,55269,,0
2015-05-12,1,2015,2622595,432880,260217,491280,,292296,13811,260437,0.0,352122,3520,12046,389821,220,1019314,0.0,483812,112355,,,0.0,638160,3292,,851378,2015年03月31日,297506,57404.0,13004.0,3049748,3049748,0,135354,1721177,2290531,16398.0,20,,555523.0,,,907000,851378,5843389.0,2793641.0,,1505053,1480939,24114,5843389.0,,0.0,0.0,14945,32764,,561661,1072464,3552858,43907,,0
2015-08-12,2,2015,2625099,280686,233487,464550,,446672,10301,233685,0.0,347054,3829,11493,388909,198,1088558,0.0,486300,129515,,,0.0,687027,35,159.0,851378,2015年06月30日,119634,30644.0,12999.0,2870802,2870802,0,161032,1687812,2272493,19430.0,20,,422531.0,,,733927,851378,5804394.0,2933592.0,,1505053,1480939,24114,5804394.0,,0.0,23.0,14941,33754,,733046,1245780,3531901,47190,,0
