date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計減損－待出售非流動資產,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,,9204667,74429658,498572,17310571,61878,410259,1379970,,21333456,,,20452992,-1677274,-400062,,22875575,9038027,8378280,8308142,70138,302396,790993,790993,4901905,80096,-1339090,104435329,104435329,25804,,0.0,,7926843.0,148922077,436106,99994.0,104503,,81700490,2442071,666916,1625680,22901399,2013年03月31日,14727975,,135963902,101148771,1700000,1847737,217653660,292551776,2681876,734859,,67896622.0,4257183.0,19364169,,22901399,,257407,,245590275.0,62639879,2246632,60393247,,381554177.0,3190,1405652.0,6835733,1741735,2817824,16071392,3546880,34815131,27936615,89002401,972533,4632881,4632881,,0
2013-08-12,2,2013,,,7516911,75396194,490340,15268335,62601,427955,1375598,,28382554,6058602.0,16586659.0,8497237,-455127,-302425,,21484345,10244900,10973282,8591256,2382026,474262,808846,808846,5584278,141368,-215303,88805208,88805208,29495,,,,8038099.0,111506719,467207,99951.0,97938,5737293.0,81660121,422,664321,1579248,22901399,2013年06月30日,9529733,,134334249,100196038,1503000,2458117,191919462,259409239,2561191,3280485,,62823663.0,2302456.0,27328555,,22901399,,245129,,215836963.0,62510926,2117679,60393247,,350171212.0,4608,1770300.0,6221351,1883672,3110803,11416584,3510106,34138211,23917501,90761973,1458542,3722534,3722534,,0
2013-11-11,3,2013,,,10249848,74077742,490100,17745899,60161,390048,1271513,,29337969,10076228.0,19261741.0,19771684,-1276772,-317355,,28020826,14012889,12637112,10145576,2491536,472307,1103620,1103620,5545037,96729,-1019578,107969990,107969990,21556,,,,7987774.0,163022503,411543,99970.0,47104,,112194500,579,661726,1553742,23198938,2013年09月30日,12007297,,137831756,102695366,1503000,2458117,246365091,321931304,2424426,3280485,,62449613.0,2772387.0,22314196,,23198938,,336962,,273723578.0,63048857,2050168,60998689,,411555334.0,1631,678632.0,6517778,2077121,3599744,15511340,3607657,35136390,27358487,89624030,1368344,3758089,3758089,,3798000
2014-03-24,4,2013,,,9019299,73916654,539645,21143952,79871,431458,1156550,,24969709,5765144.0,19204565.0,29198019,-210136,-241370,,28699173,14972328,8024274,6187337,1836937,1236088,1169693,1169693,6430495,66447,-48637,103598872,103598872,17396,365243.0,365243.0,,8116490.0,158148185,482670,79978.0,42675,,104037288,198,659131,1187753,23211555,2013年12月31日,15405350,,144055179,107303794,1503000,2458117,239272864,326934979,1969832,3280485,,74261306.0,3377651.0,23014478,0.0,23211555,,450902,,271840345.0,63175819,1755534,61420285,,415895524.0,7443,235162.0,7018321,2454452,3100485,20591684,3645795,36751385,32567481,88960545,1482165,4707546,4707546,,0
2014-05-08,1,2014,8364234.0,4588267.0,12952501,73058070,497016,23875452,130700,490456,1226389,0.0,18839161,1891073.0,16948088.0,11393566,1241755,-187395,,30299402,13248099,6591006,3734038,2856968,811458,1152854,1152854,5706265,68320,1298450,80844157,80844157,18250,0.0,0.0,0.0,0.0,120248080,272714,79990.0,39052,,83625487,0,656537,1134575,23230585,2014年03月31日,18136850,,153560847,113768905,1503000,2458117,185893908,275958949,1971204,3280485,85971136.0,,3459878.0,11114103,0.0,23230585,,506600,,209903446.0,65439363,3962818,61476545,,363464293.0,1034928,0.0,7043141,2550426,3255288,20306258,3674309,39791942,24009538,87505344,1152178,4098802,4098802,,225400
2014-08-11,2,2014,8264858.0,7011559.0,15276417,70664712,645932,18876627,278708,493173,1361619,0.0,32552357,3905085.0,18527981.0,12937843,-358689,-133419,,30177938,11745726,8802326,5799406,3002920,622089,1065293,1065293,5125781,63869,-503978,76562701,76562701,6113,0.0,0.0,95400.0,0.0,119021200,126680,0.0,45047,10119291.0,82871410,0,653942,1067757,23282047,2014年06月30日,15463061,,144429548,107362036,553000,3413566,197855133,278615189,1917232,0,90346200.0,,2420429.0,10369904,0.0,23282047,,441276,,218693422.0,65568164,3926702,61641462,,363122970.0,2700302,0.0,6601536,2650282,3070806,17122714,3580493,37067512,20838289,84507781,859330,3155795,3155795,,5504000
2014-11-10,3,2014,7083403.0,2103333.0,9186736,70702982,568763,23643824,298440,495858,2039743,0.0,28351989,6877289.0,21474700.0,20107506,1218288,-89692,,23046002,11451274,11371775,9918688,1453087,1246392,1005352,1005352,6568041,110985,1009540,105952068,105952068,6113,0.0,0.0,36000.0,0.0,166309626,20223,0.0,40776,,107838302,0,651347,992655,23679105,2014年09月30日,20230258,,155364376,115743947,611300,3413566,244130110,332391620,1903569,0,80749265.0,,2699743.0,20981205,0.0,23679105,,544137,,263576651.0,67208843,3886272,63322571,,418941027.0,2136409,0.0,5876846,3107170,3122307,15334019,3802890,39620429,19446541,86549407,1407774,2407992,2407992,,39819800
2014-11-10,4,2014,1808230.0,7743689.0,9551919,72898284,568834,29325244,177810,1083436,1480281,0.0,32340052,7488338.0,24851714.0,14873148,4901345,-64523,,23141872,11506712,14224202,12036315,2187887,611921,980163,980163,6746113,109503,4788058,95630438,95630438,8183,493740.0,493740.0,207000.0,0.0,174713141,13136,0.0,41367,,129862306,502,648752,490372,25156805,2014年12月31日,25911678,,174871230,133670931,553000,3413566,264997445,369602726,1601259,0,107688632.0,,5919270.0,27180563,0.0,25156805,,521454,,282221911.0,74295720,3764399,70531321,,457093141.0,1126590,0.0,5746322,2295081,3056520,13949222,4093778,41200299,17224466,87490415,1930911,2083241,2083241,,147770000
2015-05-07,1,2015,0.0,7297750.0,7297750,71146748,568363,35653114,367365,1080080,1406474,0.0,26706294,5498503.0,21207791.0,4528093,3573865,-46072,-46072.0,20806384,11819922,14569960,11298649,3271311,653253,1183671,1183671,6646015,58185,3252572,88215246,88215246,1110,390323.0,390323.0,0.0,,148214920,15307,0.0,46036,,116832443,0,646158,471062,25637403,2015年03月31日,32239548,6852600.0,183897189,141879996,111000,3413566,234658986,350122976,1547102,0,,118018559.0,,31638283,,25637403,435792606.0,379162,251895417.0,,77016724,3767628,73249096,435792606.0,,0,,6488272,2388069,3237708,13664691,4041279,42017193,17236431,85669630,1893298,1688712,1688712,,48266800
2015-08-10,2,2015,0.0,4460456.0,4460456,69878877,654659,29799186,370672,909636,1136168,0.0,40565002,5135016.0,22587672.0,5111709,687117,-1828400,-1828400.0,18280190,12284013,16039653,12022671,4016982,285286,1246926,1246926,6322884,55447,2144845,121765226,121765226,960,193.0,193.0,96000.0,,137925086,16238,0.0,78512,12842314.0,87783801,0,643563,466562,25636473,2015年06月30日,24919806,3560895.0,175802158,135440849,96000,4879380,242121627,351553683,1501437,0,,112800359.0,,41304891,,26033253,434947804.0,390813,259145646.0,,78922253,5671618,73250635,434947804.0,,0,,7143106,2429364,2789971,13347729,3979675,40361309,17024019,83394121,2002476,1535721,1535721,396780.0,39678000
