date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別股股本,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,289747,-5766449,-192649.0,110004,271464,156731,23242,-192649,,,808815,23388,137653,34832,940599,13784,5499.0,,825845,517,,5186,632774,438730,32795,1536,6159,2973318,2013年03月31日,-5766449,,639864,333770,2821000,3058925,3098812,17164,,284426.0,3333334,,547253.0,,1261776,6306652,55.0,,544,,3197953.0,,,,,,3837817.0,33087.0,831,119639,0.0,306094,139028,739005,25479,0
2013-08-09,2,2013,287459,-5702202,-287623.0,39696,237193,190883,21936,-287623,,,757308,24722,138628,31930,1022884,13784,5153.0,,1146133,1757,99980.0,1746,878343,199644,30818,472,7386,2973318,2013年06月30日,-5702202,,603542,303043,2821000,3295187,3341618,13562,,246605.0,3333334,,751587.0,,1097335,6306652,45.0,,599,,3437070.0,,,,,,4040612.0,93040.0,2656,121464,0.0,300499,141883,698994,26718,0
2013-11-12,3,2013,273086,-5704441,-269033,39235,256244,153263,22639,-269033,,,263845,234071,137540,28856,761145,13784,4846,,966771,0,99987,8259,499884,275765,41059,294,7338,2973318,2013年09月30日,-5704441,,633501,319394,2821000,2201334,2767606,11047,,142531,3333334,,600403,,709164,6306652,45,,611,,2831356,,,,,,3464857,115084,1871,120680,490000,314107,630022,697251,30650,0
2014-03-24,4,2013,259769,-5708662,-278980.0,39542,245990,174948,28068,-278980,,,666787,153627,132549,40518,649045,13784,0.0,,696556,9,,5465,703683,238015,43887,115,7206,2973318,2013年12月31日,-5708662,,633106,305560,2821207,2722030,2807297,9600,,106631.0,3333334,,733283.0,,1178265,6306652,0.0,,623,,2856082.0,334.0,,334.0,,,3489188.0,89369.0,880,118808,0.0,327546,134052,681891,22032,0
2014-05-08,1,2014,252796,-5710589,-304236.0,45444,214832,151733,60731,-304236,,,671939,155882,132805,39174,670453,13784,0.0,0.0,588998,8916,,2695,458694,198232,41914,0,8533,2973318,2014年03月31日,-5710589,,615955,278377,2821207,2398079,2506886,7325,,101635.0,3333334,689536.0,,,973798,6306652,0.0,,635,,2532399.0,334.0,,334.0,,,3148354.0,62386.0,880,118808,,337578,134320,641468,21979,0
2014-08-11,2,2014,233973,-5698725,-302936.0,49972,211605,197809,24843,-302936,,,558766,169500,133089,36955,789971,13784,0.0,0.0,1030743,527,0.0,1194,867373,190712,45843,0,7118,2973318,2014年06月30日,-5698725,,629037,291805,2821207,2934963,3085502,4656,,101636.0,3333334,749195.0,,,1145924,6306652,0.0,,648,,3069580.0,598.0,264.0,334.0,,,3698617.0,60260.0,880,118808,,337232,134617,613115,36197,0
2014-11-10,3,2014,228570,-5748913,-319658.0,41587,203267,167484,27196,-319658,,,557852,172854,133384,33737,764120,13784,0.0,0.0,724221,2821,0.0,8056,621404,150313,40511,150,7468,2973318,2014年09月30日,-5748913,,576664,224454,2821207,2664974,2780531,4190,,101641.0,3333334,769447.0,,,1204540,6306652,0.0,,669,,2799907.0,157.0,-177.0,334.0,,,3376571.0,73243.0,880,118808,0.0,352210,134933,596040,18065,0
2015-03-17,4,2014,223665,-5794638,-329098.0,42258,193156,196233,26003,-329098,,,70968,256284,131758,33600,627048,13784,,0.0,583520,5534,,5894,459712,123150,39580,264,10269,2973318,2014年12月31日,-5794638,,530154,171968,2821207,1989212,2069046,4141,,101640.0,3333334,366119.0,,1574.0,1125489,6306652,,,681,,2122531.0,2836.0,,334.0,2502.0,,2652685.0,5012.0,880,118808,,358186,133319,583639,21976,0
2015-05-13,1,2015,213999,-5793897,-296165.0,40581,227766,152761,40630,-296165,,,69384,311513,132030,37480,562142,13784,,0.0,365665,4830,,3983,547316,3826,38126,50,9089,2973318,2015年03月31日,-5793897,962.0,565524,205642,2821207,1646976,1945677,3285,101646.0,,3333334,,277247.0,,1049391,6306652,,2556104.0,694,1990580.0,,2836.0,0.0,334.0,2502.0,2556104.0,,0.0,880,118808,210000.0,359882,343604,610427,22600,0
2015-08-11,2,2015,205104,-5836659,,34209,227934,191370,66026,-302370,-302370.0,-302370.0,44561,308067,132285,37030,748462,13784,,0.0,647812,9504,,3055,362944,3946,63816,159,8520,2973318,2015年06月30日,-5836659,,474458,156675,2821207,1798457,2015774,3616,101646.0,,3333334,,287378.0,,902155,6306652,,2616786.0,706,2142328.0,,2836.0,0.0,334.0,2502.0,2616786.0,,19011.0,880,118808,210000.0,317783,343871,601012,20110,0
