date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-04-24,1,2013,328865,185837,211085,8531,,153424,4279,-28498,9514,0,101508,6450,6432,485169,600,,425826,0.0,595369,,2755,95076.0,1473.0,2059645,2013年03月31日,208513,,,4000343,4000343,60000,0,777909,3836679,,438299,,,2572,,2716645.0,108274.0,2059645,,80611,,879417.0,1758711,,4879760.0,260.0,0.0,10715.0,0.0,,71442,0.0,101508,1043081,23931,,0
2013-08-01,2,2013,320568,187086,150299,7121,,415984,4496,-15392,5385,0,101038,6528,6432,489014,1000,,433813,0.0,668181,,5138,94606.0,0.0,2059045,2013年06月30日,120967,,,3806882,3806882,100000,21502,1080256,3975958,,420115,,,7830,,2754416.0,121336.0,2059045,,103679,,1181294.0,1613930,,4988176.0,59.0,0.0,10669.0,,,67252,,101038,1012218,47592,,0
2013-11-11,3,2013,309341,235086,241108,7258,,660243,6813,-10997,19488,559,100638,6607,6432,433324,247,,437758,0.0,680613,,4728,94206.0,0.0,1538034,2013年09月30日,211776,,,3382336,3382336,24723,21502,1352768,3805910,,398567,,,7830,,2631984.0,138730.0,1538034,,96549,,1453406.0,1614438,,4835742.0,,0.0,10969.0,,,69262,,100638,1029832,40631,,0
2014-02-19,4,2013,299865,196612,295049,5091,66351.0,180836,3468,20055,11982,128,102782,6502,6432,400467,517,,443736,0.0,692547,,5214,96350.0,0.0,1538034,2013年12月31日,265717,,,3468118,3468118,51694,21502,852025,3397727,,377122,,,7830,,2250066.0,130648.0,1538034,,84558,,954807.0,1615497,,4422925.0,265.0,0.0,10969.0,,,67777,,102782,1025198,40746,,0
2014-04-25,1,2014,291191,189472,392928,4632,64957.0,171122,2819,21710,10991,0,102464,6960,6432,373405,150,,366405,,597119,,2257,96032.0,0.0,1537517,2014年03月31日,363596,,,3571260,3571260,14984,21502,790939,3463035,,370325,,15237.0,7830,2437080.0,,152080.0,1537517,,90341,,893403.0,1619255,,4464663.0,0.0,,11231.0,,,67492,0.0,102464,1001628,30486,,0
2014-08-01,2,2014,283684,217112,319593,5198,43401.0,391776,2954,4007,11580,8,102104,47878,6432,399739,300,0.0,438396,,662656,,2994,95672.0,0.0,1537517,2014年06月30日,275988,,,3521296,3521296,29968,43605,1075839,3664984,,363438,,14922.0,0,2492817.0,,161538.0,1574990,,72549,,1177943.0,1623006,,4699239.0,0.0,40020.0,11231.0,,,67511,,102104,1034255,43676,37473.0,1097457
2014-11-07,3,2014,277886,209493,445469,5473,30221.0,168442,5819,-70826,6348,77,102166,18681,6798,401245,200,0.0,456147,,630061,,8037,95368.0,0.0,1578192,2014年09月30日,401864,,,3675904,3675904,20000,43605,876069,3681922,,356708,,15225.0,0,2450182.0,,171076.0,1582388,,74056,,978235.0,1719073,,4654139.0,0.0,130122.0,11329.0,,,67899,,102166,972217,35681,4196.0,126169
2015-02-25,4,2014,276730,194419,474152,5106,23351.0,185198,2267,-67563,9964,0,106877,7444,6798,404317,250,0.0,346275,,533810,,6128,100079.0,0.0,1578783,2014年12月31日,430547,,,3707714,3707714,25000,43605,770729,3668375,,354514,,15835.0,0,2492709.0,,147166.0,1580149,,82126,,877606.0,1721226,,4585320.0,0.0,170251.0,0.0,,,60487,,106877,916945,37952,1366.0,40000
2015-05-08,1,2015,272734,194419,570770,5198,23386.0,182828,2458,-58890,9328,85,106560,27435,6798,396511,100,0.0,341439,,510050,,8106,,,1578933,2015年03月31日,527165,167543.0,,3815216,3815216,10000,43605,782029,3777550,99762.0,347317,15645.0,,0,,2368711.0,,1580368,4703805.0,80891,888589.0,,1723068,4703805.0,,,430556.0,0.0,,,60964,,106560,926255,40230,1435.0,42000
2015-08-10,2,2015,276000,208437,291263,4693,15752.0,515058,1291,-36762,3915,104,106228,15064,6798,370667,200,0.0,287338,,477008,,7156,,0.0,1579253,2015年06月30日,197366,148203.0,,3557298,3557298,20000,80408,1032676,3779843,99430.0,340307,15458.0,,13489,,2322467.0,,1579253,4696202.0,78162,1138904.0,,1723744,4696202.0,,,560513.0,0.0,,,60799,,106228,916359,20486,0.0,0
2015-11-06,3,2015,273068,208437,405378,3975,13549.0,155807,2050,-30943,5903,138,105909,15097,6798,328522,81883,0.0,314907,,621878,,8697,,,1578903,2015年09月30日,311481,150734.0,,3595067,3595067,3399000,80408,726889,3518803,99111.0,333820,16480.0,,13489,,2350737.0,,1578903,4427865.0,99538,832798.0,,1723612,4427865.0,,,150107.0,0.0,,,65091,,105909,909062,36219,0.0,0
2016-02-25,4,2015,269942,204622,502167,3455,13271.0,203873,1198,-21074,19925,173,98884,15081,6798,361599,85285,0.0,366494,,545080,,9597,,1365.0,1578743,2015年12月31日,408270,126800.0,,3698029,3698029,3522000,80408,818953,3726361,92086.0,326799,16440.0,,13489,,2349251.0,,1578743,4615866.0,101861,917837.0,,1723478,4615866.0,,,400176.0,,,,58425,,98884,889505,39392,0.0,0
2016-05-12,1,2016,267122,202748,576950,3272,12612.0,197658,1448,-13703,6462,116,98448,17078,6798,404103,85285,0.0,324243,,450923,,6456,,22704.0,1578743,2016年03月31日,483053,149250.0,,3786497,3786497,3522000,80408,778656,3762572,91650.0,320200,16088.0,,13489,,2422360.0,,1578743,4663601.0,101043,877104.0,,1729792,4663601.0,,,430155.0,,,,58565,,98448,901029,27651,0.0,0
2016-08-11,2,2016,266166,202358,354993,3577,14573.0,520322,1189,-2541,14211,127,97993,7717,6798,387898,85285,0.0,297701,,494167,342.0,9720,,20081.0,1578743,2016年06月30日,239556,158932.0,,3579261,3579261,3522000,114240,1106891,3896740,91195.0,314660,16150.0,,1197,,2383422.0,,1578743,4784240.0,115725,1204979.0,,1733351,4784240.0,,,570349.0,,95.0,95.0,61945,,98088,887500,29799,0.0,0
2016-11-10,3,2016,262899,198888,488123,3784,14139,177586,446,611,17681,84,97551,27690,6798,310161,85285,0,304813,,612621,,10738,,14254,1578743,2016年09月30日,372686,144989,24,3715543,3715543,3522000,114240,768081,3705269,90753,308228,15680,,1197,,2463435,,1578743,4581197,123012,865654,,1733351,4581197,,,240130,,22,22,49830,,97573,875928,48166,,0
