date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應收帳款淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,4314.0,328273,19788,48215,55587.0,55587.0,-9617,23870,19556.0,91206,,,,173,66752,,,,222485,0.0,,203961,426593,1082594,2013年03月31日,19788.0,1099115,1099015,0,,366257,1012203,,38033,,,271919.0,82839,1082594,,,445709.0,6250,,1544824.0,,51348,79279,100,79452,532621,,0
2013-08-09,2,2013,12000.0,332101,44133,48245,55254.0,55254.0,850,46307,34307.0,63212,,,,155,103298,,6605.0,,236357,,,199799,480271,1082594,2013年06月30日,24640.0,1133928,1133827,0,1949.0,367136,999401,,37726,17544.0,,219561.0,65776,1082594,,,438191.0,6250,,1572119.0,-5755.0,51348,70900,101,71055,572718,,0
2013-11-08,3,2013,12000.0,332096,58986,43339,62733.0,62733.0,-12424,23544,11544.0,57481,,,,155,103908,,-1763.0,,235605,,,154641,424321,1082594,2013年09月30日,39494.0,1135508,1135406,0,1949.0,335012,970113,,37410,17543.0,,252706.0,94094,1082594,,,403067.0,6250,,1538575.0,-10661.0,51709,67900,102,68055,568462,,0
2014-03-21,4,2013,12000.0,339930,61266,43128,54011.0,54011.0,-785,37523,25523.0,80343,,,,355,57088,,,,258186,710.0,,188321,448032,1082594,2013年12月31日,61266.0,1148717,1148615,60000,,378571,1063774,,37194,,,277213.0,98716,1082594,,,443826.0,6250,,1592543.0,,51429,64900,102,65255,528769,,0
2014-05-09,1,2014,12000.0,339007,83133,44724,52839.0,52839.0,-949,49210,37210.0,77057,,,,324,52472,,,,280742,20120.0,0.0,195022,431170,1082594,2014年03月31日,,1151009,1150908,1500000,,386621,1075263,,36959,,286294.0,,89550,1082594,,,448845.0,6250,,1599854.0,,51429,61900,101,62224,524591,,0
2014-08-07,2,2014,12000.0,336145,85125,48064,90662.0,90662.0,-11640,35883,23883.0,77828,,,15802.0,421,49435,32863.0,,,292635,20120.0,0.0,247703,529555,1082594,2014年06月30日,,1142310,1142209,1500000,,468561,1148416,,36703,,248398.0,,94313,1082594,,,527882.0,6250,,1670192.0,,51429,58900,101,59321,521776,770.0,0
2014-11-03,3,2014,12000.0,336654,103036,54574,75379.0,75379.0,14867,38824,26824.0,81163,36172.0,44991.0,17587.0,522,50347,31971.0,,,319453,20120.0,0.0,193201,463484,1082594,2014年09月30日,,1186731,1186627,1500000,,426217,1139880,,36486,,275780.0,,118813,1082594,,,482639.0,6250,,1669370.0,,51429,55900,104,56422,529490,789.0,0
2015-03-24,4,2014,,333880,120195,51838,,,38729,133257,,77431,,,,683,56352,,,,363604,46103.0,0.0,236716,501779,1082594,2014年12月31日,,1201773,1201665,3500000,,523452,1250313,,36657,,307499.0,,153479,1082594,,,577035.0,6250,,1778808.0,,49768,52900,108,53583,528495,,0
2015-05-05,1,2015,,329567,125137,54540,80387.0,,33125,56189,,85712,,,,476,35198,,,,396744,46103.0,0.0,244066,506900,1082594,2015年03月31日,125137.0,1201112,1201003,3500000,,502464,1248324,,36555,,,258968.0,121822,1082594,1753952.0,552840.0,,6250,1753952.0,,,49768,49900,109,50376,505628,,0
2015-08-12,2,2015,,326628,74629,56876,140230.0,,22546,37636,,93388,,,,588,32801,,,,386823,46103.0,0.0,251163,542635,1082594,2015年06月30日,74629.0,1140025,1139916,3500000,,579154,1264312,,36282,,,241466.0,150125,1082594,1766667.0,626642.0,,6250,1766667.0,,,49768,46900,109,47488,502355,,0
