date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,持有至到期日金融資產－流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銷貨退回及折讓之短期負債準備,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,5905.0,531402,537307,3182004,-932592,0.0,0.0,,361912,361912.0,88420,-17670,,549907,12600,172576,,,425,425,362236,32617,,,867813,0.0,,0.0,1762477,25.0,1816606,9929,382,1376526,2013年03月31日,-1039755,2813549,2813549,0,33598.0,4328186,4565544,18275,,0.0,4953.0,73565.0,,1609818.0,1652592,1376526,,,,5499153.0,2387285,,8312702.0,1273.0,0.0,4556,179690,,1165986,65928,0.0,1170967,3747158,263691,0
2013-08-12,2,2013,5932.0,534203,540135,3194563,-28532,0.0,0.0,,467636,467636.0,98075,-7587,,569389,29254,154003,,,426,426,517172,32375,,,1036000,,,0.0,2357479,25.0,2558180,7765,391,1376526,2013年06月30日,-73575,2855190,2855190,0,0.0,5984375,5864263,16982,,0.0,4953.0,45043.0,,2009849.0,2588728,1376526,,,,6916007.0,1514783,,9771197.0,1118.0,0.0,5824,173264,,925382,66988,,931632,3906934,417809,0
2013-11-06,3,2013,0.0,527929,527929,3233443,-160897,0.0,0.0,,392136,392136.0,40333,-13667,,549927,21998,126457,,,333,333,517854,31714,,,530902,,,0.0,1085782,335.0,1524939,8079,399,1376682,2013年09月30日,-205940,2719353,2719353,0,0.0,4614988,4290939,14792,,0.0,4953.0,45043.0,,2059830.0,2586808,1376682,,,,5510179.0,1517235,,8229532.0,0.0,0.0,957,167551,,893901,66065,,895191,3938593,420075,0
2014-03-24,4,2013,0.0,571591,571591,3266125,-341954,0.0,0.0,,357648,357648.0,29114,-6422,,590622,19031,198001,,,334,334,683341,57791,,,359160,,,0.0,979234,,1220077,2564,411,1376682,2013年12月31日,-386997,2546751,2546751,0,0.0,4537438,3580669,13566,,0.0,4953.0,45043.0,,1771146.0,2609934,1376682,,,,5158025.0,1518445,,7704776.0,0.0,196.0,5405,156122,,614848,69059,,620587,4124107,556491,0
2014-05-12,1,2014,0,635938,635938,3284267,-663717,,,,307831,307831,63848,968,,651417,15479,204441,,,334,334,597364,33690,,,615473,,0,,1312635,,1213621,5943,419,1376682,2014年03月31日,-708760,2233861,2233861,0,0,5008918,4054414,11885,,4953,0,45043,1945716,,2737035,1376682,,,,5864201,1519928,,8098062,0,0,5558,150132,,849391,90039,,855283,4043648,473635,0
2014-08-08,2,2014,0.0,627049,627049,3660468,-526548,,,,440407,440407.0,89686,-4894,,643610,16561,239736,,,304,304,151254,33783,,,912093,,0.0,,2936263,,2583113,111826,408,1376682,2014年06月30日,-526548,2023214,2023214,0,,6985128,5629824,10252,,,0.0,0.0,1692962.0,,2964848,1376682,,,,7568107.0,1177974,,9591321.0,0.0,0.0,2093,139523,,580582,87215,,582979,3961497,30256,0
2014-11-03,3,2014,,623062,623062,3599543,-494460,,,,537145,537145.0,129343,-29,,640549,17487,216612,,,303,303,127206,33803,,,878225,,0.0,,3120452,,2828658,142986,386,1376682,2014年09月30日,-494460,2060167,2060167,0,,7532006,6288474,8597,,,0.0,0.0,2092264.0,,3233860,1376682,,,,8102492.0,1177974,,10162659.0,,0.0,6992,138839,,563191,88377,,570486,3874185,5026,0
2015-03-20,4,2014,,557559,557559,3571943,-473341,,,,427669,427669.0,87672,-31092,,571516,13957,165420,,,304,304,124959,31526,,,486573,,0.0,,2555050,,2467779,12000,385,1376682,2014年12月31日,-473341,2100923,2100923,0,,6558025,5208484,7740,,,0.0,0.0,1988655.0,,2969565,1376682,,34225.0,,6951010.0,1228674,,9051933.0,,0.0,6579,138807,34225.0,386102,91970,,392985,3843449,1463,0
2015-05-05,1,2015,,571643,571643,3409414,-863801,,,0.0,279705,279705.0,63686,-24720,,579779,8136,130788,,,303,303,122811,31316,,,424525,,,,1403398,,1037636,236160,337,1406682,2015年03月31日,-863801,1716835,1716835,0,,5102941,3481938,6397,0.0,,,0.0,,1588806.0,2806931,1406682,7156362.0,33128.0,5439527.0,,1198674,7156362.0,,,,4833,135802,,331450,90132,0.0,336586,3674424,1363,0
2015-08-11,2,2015,,365197,365197,3257108,-758166,,,,265933,265933.0,63241,-11880,,371590,6393,151930,,,304,304,123772,31803,,,344532,,,,1562660,,1249207,43745,345,1406682,2015年06月30日,-758166,1361969,1361969,0,,4967809,3095966,5038,,,,,,1242966.0,2752746,1406682,6598948.0,14880.0,5236979.0,,725333,6598948.0,,,,4520,117064,,264346,88808,,269170,3502982,3161,0
